Orthogroup	Prad	Syao
OG0000001	Prad.g_00609	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Prad.g_01269	Syao.g_02374
OG0000004	Prad.g_01759	Syao.g_01271, Syao.g_01007
OG0000005	Prad.g_00928	Syao.g_01680
OG0000005	Prad.g_00438	Syao.g_01578
OG0000006	Prad.g_01750	Syao.g_00919, Syao.g_01518
OG0000007	Prad.g_00132	Syao.g_00105
OG0000007	Prad.g_00941	Syao.g_01554
OG0000009	Prad.g_01888	Syao.g_02598
OG0000010	Prad.g_01304, Prad.g_01011	Syao.g_02683
OG0000011	Prad.g_01212	Syao.g_01282
OG0000012	Prad.g_01412	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201
OG0000013	Prad.g_01664	Syao.g_01910, Syao.g_01222, Syao.g_01844
OG0000014	Prad.g_01685	Syao.g_02027
OG0000015	Prad.g_01108	Syao.g_02339, Syao.g_00302
OG0000016	Prad.g_01973	Syao.g_01955
OG0000017	Prad.g_01387	Syao.g_00997, Syao.g_01064
OG0000018	Prad.g_01515	Syao.g_00071
OG0000019	Prad.g_01742, Prad.g_01125	Syao.g_02108
OG0000021	Prad.g_01981, Prad.g_00745	Syao.g_01002
OG0000022	Prad.g_01993	Syao.g_01218
OG0000023	Prad.g_00751	Syao.g_01266
OG0000025	Prad.g_01660, Prad.g_01181	Syao.g_00436, Syao.g_00437
OG0000026	Prad.g_01955, Prad.g_01004	Syao.g_02234
OG0000027	Prad.g_01298, Prad.g_00353	Syao.g_01286, Syao.g_00202
OG0000028	Prad.g_01204, Prad.g_01671	Syao.g_02012
OG0000032	Prad.g_00572	Syao.g_00090
OG0000032	Prad.g_00561	Syao.g_01984, Syao.g_01983
OG0000035	Prad.g_00515	Syao.g_01483, Syao.g_01486
OG0000037	Prad.g_01884	Syao.g_00374
OG0000038	Prad.g_01582	Syao.g_02440, Syao.g_02442
OG0000039	Prad.g_01260	Syao.g_00704
OG0000040	Prad.g_01516	Syao.g_00711
OG0000041	Prad.g_00894	Syao.g_00509, Syao.g_01637
OG0000042	Prad.g_01624	Syao.g_00019, Syao.g_01941
OG0000045	Prad.g_00738	Syao.g_00148
OG0000047	Prad.g_00683	Syao.g_01899
OG0000048	Prad.g_00735	Syao.g_02077
OG0000052	Prad.g_00571	Syao.g_01972
OG0000053	Prad.g_00494	Syao.g_00067
OG0000054	Prad.g_01395	Syao.g_00295, Syao.g_00625
OG0000055	Prad.g_01126	Syao.g_00498
OG0000057	Prad.g_01272	Syao.g_00377
OG0000058	Prad.g_00565	Syao.g_01978, Syao.g_01080
OG0000059	Prad.g_00855	Syao.g_01801
OG0000061	Prad.g_01496	Syao.g_00123
OG0000062	Prad.g_00436	Syao.g_01576
