Orthogroup	Prad	Syac
OG0000001	Prad.g_00609	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169
OG0000002	Prad.g_00601, Prad.g_01252	Syac.g_01084
OG0000004	Prad.g_01269	Syac.g_00898
OG0000004	Prad.g_01759	Syac.g_00948, Syac.g_01975
OG0000005	Prad.g_00928	Syac.g_00527
OG0000005	Prad.g_00438	Syac.g_00569
OG0000006	Prad.g_01750	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Prad.g_00132	Syac.g_01885
OG0000007	Prad.g_00941	Syac.g_00544
OG0000009	Prad.g_01888	Syac.g_01004, Syac.g_00398
OG0000010	Prad.g_01304, Prad.g_01011	Syac.g_01701
OG0000011	Prad.g_01212	Syac.g_00924
OG0000012	Prad.g_01412	Syac.g_00955, Syac.g_00758, Syac.g_01577
OG0000013	Prad.g_01664	Syac.g_02056, Syac.g_02046, Syac.g_02062
OG0000014	Prad.g_01685	Syac.g_00253
OG0000015	Prad.g_01108	Syac.g_01408
OG0000016	Prad.g_01973	Syac.g_00014
OG0000017	Prad.g_01387	Syac.g_01749, Syac.g_01742
OG0000018	Prad.g_01515	Syac.g_01660
OG0000019	Prad.g_01742, Prad.g_01125	Syac.g_02207
OG0000022	Prad.g_01993	Syac.g_01031
OG0000023	Prad.g_00751	Syac.g_00760
OG0000024	Prad.g_01088, Prad.g_01249	Syac.g_00925
OG0000025	Prad.g_01660, Prad.g_01181	Syac.g_00847
OG0000026	Prad.g_01955, Prad.g_01004	Syac.g_00034
OG0000027	Prad.g_01298, Prad.g_00353	Syac.g_01095, Syac.g_01009
OG0000028	Prad.g_01204, Prad.g_01671	Syac.g_00237
OG0000029	Prad.g_01096, Prad.g_00734	Syac.g_01942
OG0000032	Prad.g_00572	Syac.g_01677
OG0000034	Prad.g_00618	Syac.g_00334, Syac.g_00715
OG0000035	Prad.g_00515	Syac.g_01630
OG0000037	Prad.g_01884	Syac.g_01077
OG0000038	Prad.g_01582	Syac.g_02357, Syac.g_02358
OG0000039	Prad.g_01260	Syac.g_00856, Syac.g_02378
OG0000040	Prad.g_00369	Syac.g_01006
OG0000040	Prad.g_01516	Syac.g_02437
OG0000041	Prad.g_00894	Syac.g_00655, Syac.g_00876
OG0000042	Prad.g_01624	Syac.g_00146
OG0000043	Prad.g_00313	Syac.g_00808
OG0000044	Prad.g_01213	Syac.g_00477, Syac.g_00858
OG0000045	Prad.g_00738	Syac.g_01040
OG0000047	Prad.g_01661, Prad.g_00683	Syac.g_02031
OG0000048	Prad.g_00735	Syac.g_02240
OG0000050	Prad.g_00985	Syac.g_01937
OG0000051	Prad.g_00342	Syac.g_01073
OG0000052	Prad.g_00571	Syac.g_00207
OG0000053	Prad.g_00494	Syac.g_01657
OG0000054	Prad.g_01395	Syac.g_00933, Syac.g_01050
OG0000055	Prad.g_01126	Syac.g_01034, Syac.g_00859
OG0000057	Prad.g_01272	Syac.g_00894
OG0000058	Prad.g_00565	Syac.g_00226
OG0000059	Prad.g_00855	Syac.g_02142
OG0000061	Prad.g_01496	Syac.g_00769
OG0000062	Prad.g_00436	Syac.g_00567
OG0000063	Prad.g_01953, Prad.g_00081	Syac.g_00037
OG0000065	Prad.g_01886	Syac.g_00396, Syac.g_00490
OG0000066	Prad.g_00090	Syac.g_01827
OG0000067	Prad.g_01146	Syac.g_01341
OG0000068	Prad.g_00594	Syac.g_01916
OG0000069	Prad.g_00952, Prad.g_00400	Syac.g_01272
OG0000070	Prad.g_00057	Syac.g_00711
OG0000071	Prad.g_00628	Syac.g_01049, Syac.g_00729
OG0000072	Prad.g_01820	Syac.g_00302
OG0000073	Prad.g_00130	Syac.g_01883
OG0000075	Prad.g_00775	Syac.g_00191
OG0000076	Prad.g_01631	Syac.g_00156
OG0000077	Prad.g_01915	Syac.g_00439
OG0000078	Prad.g_01752	Syac.g_01964
OG0000079	Prad.g_01739	Syac.g_02211
OG0000081	Prad.g_00098	Syac.g_01954, Syac.g_00461
OG0000082	Prad.g_01374	Syac.g_01766
OG0000084	Prad.g_00519	Syac.g_00822, Syac.g_01627
OG0000085	Prad.g_00948	Syac.g_00560
OG0000086	Prad.g_01905	Syac.g_00423
OG0000087	Prad.g_01854	Syac.g_00343
OG0000088	Prad.g_01825	Syac.g_00308
OG0000089	Prad.g_00755	Syac.g_01988, Syac.g_01543
OG0000090	Prad.g_00096	Syac.g_01836
OG0000091	Prad.g_01431	Syac.g_00987
OG0000093	Prad.g_00218	Syac.g_01357
OG0000094	Prad.g_01038	Syac.g_01251
OG0000095	Prad.g_01018	Syac.g_00884
OG0000097	Prad.g_01454	Syac.g_01507
OG0000098	Prad.g_00612	Syac.g_02157
OG0000099	Prad.g_00566	Syac.g_00234
OG0000100	Prad.g_00440	Syac.g_01309
OG0000101	Prad.g_00807	Syac.g_02094
OG0000102	Prad.g_01626	Syac.g_00151
OG0000103	Prad.g_01548	Syac.g_02476
OG0000104	Prad.g_01540	Syac.g_02490
OG0000105	Prad.g_01717	Syac.g_02245
OG0000106	Prad.g_00739	Syac.g_01098
OG0000107	Prad.g_00724	Syac.g_02191
OG0000108	Prad.g_00027	Syac.g_01904
OG0000109	Prad.g_00013	Syac.g_01889
OG0000110	Prad.g_01364	Syac.g_01778
OG0000111	Prad.g_01273	Syac.g_00893
OG0000112	Prad.g_01109	Syac.g_01173
OG0000113	Prad.g_01168	Syac.g_01314
OG0000114	Prad.g_00245	Syac.g_01394
OG0000115	Prad.g_00641	Syac.g_01655
OG0000116	Prad.g_01506	Syac.g_00753
OG0000117	Prad.g_01214	Syac.g_01477
OG0000118	Prad.g_00616	Syac.g_01728
OG0000120	Prad.g_00564	Syac.g_00233
OG0000121	Prad.g_00513	Syac.g_01635
OG0000122	Prad.g_00474	Syac.g_01013
OG0000123	Prad.g_00800	Syac.g_02086
OG0000124	Prad.g_01616	Syac.g_00135
OG0000125	Prad.g_01580	Syac.g_02360
OG0000126	Prad.g_01541	Syac.g_02488
OG0000128	Prad.g_01975	Syac.g_00012
OG0000129	Prad.g_01943	Syac.g_02349
OG0000130	Prad.g_01924	Syac.g_00450
OG0000131	Prad.g_01846	Syac.g_00330
OG0000132	Prad.g_01827	Syac.g_00310
OG0000133	Prad.g_01669	Syac.g_01178
OG0000134	Prad.g_00754	Syac.g_01985
OG0000135	Prad.g_00727	Syac.g_02398
OG0000136	Prad.g_00066	Syac.g_00701
OG0000137	Prad.g_00032	Syac.g_01700
OG0000138	Prad.g_00012	Syac.g_01888
OG0000139	Prad.g_00092	Syac.g_01830
OG0000140	Prad.g_00091	Syac.g_01829
OG0000141	Prad.g_01396	Syac.g_00934
OG0000142	Prad.g_01424	Syac.g_00979
OG0000143	Prad.g_01428	Syac.g_00983
OG0000144	Prad.g_01226	Syac.g_01090
OG0000145	Prad.g_01107	Syac.g_01882
OG0000146	Prad.g_01110	Syac.g_01172
OG0000147	Prad.g_01111	Syac.g_01171
OG0000148	Prad.g_01162	Syac.g_01320
OG0000149	Prad.g_00301	Syac.g_00832
OG0000150	Prad.g_00293	Syac.g_00935
OG0000151	Prad.g_00235	Syac.g_01383
OG0000152	Prad.g_00186	Syac.g_01182
OG0000153	Prad.g_00167	Syac.g_01217
OG0000154	Prad.g_00139	Syac.g_01241
OG0000155	Prad.g_01476	Syac.g_00804
OG0000156	Prad.g_00359	Syac.g_00743
OG0000157	Prad.g_00360	Syac.g_00742
OG0000158	Prad.g_00567	Syac.g_00182
OG0000160	Prad.g_00514	Syac.g_01633
OG0000161	Prad.g_00508	Syac.g_01641
OG0000162	Prad.g_00502	Syac.g_01648
OG0000163	Prad.g_00467	Syac.g_00619
OG0000164	Prad.g_00917	Syac.g_00508
OG0000165	Prad.g_00910	Syac.g_00674
OG0000166	Prad.g_00843	Syac.g_02132
OG0000167	Prad.g_00777	Syac.g_00194
OG0000168	Prad.g_00767	Syac.g_00179
OG0000169	Prad.g_01637	Syac.g_00168
OG0000170	Prad.g_01635	Syac.g_00161
OG0000171	Prad.g_01617	Syac.g_00136
OG0000172	Prad.g_01609	Syac.g_00084
OG0000173	Prad.g_01594	Syac.g_00057
OG0000174	Prad.g_01566	Syac.g_02401
OG0000175	Prad.g_01556	Syac.g_02465
OG0000176	Prad.g_01532	Syac.g_00004
OG0000177	Prad.g_01531	Syac.g_00005
OG0000178	Prad.g_01530	Syac.g_00006
OG0000179	Prad.g_01970	Syac.g_00019
OG0000180	Prad.g_01969	Syac.g_00020
OG0000181	Prad.g_01968	Syac.g_00021
OG0000182	Prad.g_01967	Syac.g_00022
OG0000183	Prad.g_01963	Syac.g_00026
OG0000184	Prad.g_01940	Syac.g_02339
OG0000185	Prad.g_01937	Syac.g_02336
OG0000186	Prad.g_01929	Syac.g_00454
OG0000187	Prad.g_01928	Syac.g_00453
OG0000188	Prad.g_01911	Syac.g_00433
OG0000189	Prad.g_01897	Syac.g_00408
OG0000190	Prad.g_01896	Syac.g_00406
OG0000191	Prad.g_01876	Syac.g_00373
OG0000192	Prad.g_01872	Syac.g_00368
OG0000193	Prad.g_01845	Syac.g_00329
OG0000194	Prad.g_01842	Syac.g_00326
OG0000195	Prad.g_01840	Syac.g_00324
OG0000196	Prad.g_01830	Syac.g_00313
OG0000197	Prad.g_01829	Syac.g_00312
OG0000198	Prad.g_01828	Syac.g_00311
OG0000199	Prad.g_01821	Syac.g_00303
OG0000200	Prad.g_01807	Syac.g_02261
OG0000201	Prad.g_01799	Syac.g_02278
OG0000202	Prad.g_01798	Syac.g_02279
OG0000203	Prad.g_01797	Syac.g_02280
OG0000204	Prad.g_01796	Syac.g_02281
OG0000205	Prad.g_01789	Syac.g_02288
OG0000206	Prad.g_01784	Syac.g_02297
OG0000207	Prad.g_01782	Syac.g_02300
OG0000208	Prad.g_01781	Syac.g_02301
OG0000209	Prad.g_01772	Syac.g_02316
OG0000210	Prad.g_01771	Syac.g_02317
OG0000211	Prad.g_01758	Syac.g_01972
OG0000212	Prad.g_01751	Syac.g_01963
OG0000213	Prad.g_01734	Syac.g_02219
OG0000214	Prad.g_01724	Syac.g_02236
OG0000215	Prad.g_01699	Syac.g_00281
OG0000216	Prad.g_01697	Syac.g_00277
OG0000217	Prad.g_01694	Syac.g_00273
OG0000218	Prad.g_01692	Syac.g_00271
OG0000219	Prad.g_01691	Syac.g_00270
OG0000220	Prad.g_01690	Syac.g_00269
OG0000221	Prad.g_01689	Syac.g_00261
OG0000222	Prad.g_01681	Syac.g_00247
OG0000223	Prad.g_01668	Syac.g_00225
OG0000224	Prad.g_01666	Syac.g_00217
OG0000225	Prad.g_01645	Syac.g_02004
OG0000226	Prad.g_00761	Syac.g_02000
OG0000227	Prad.g_00759	Syac.g_01998
OG0000228	Prad.g_00756	Syac.g_01989
OG0000229	Prad.g_00666	Syac.g_00692
OG0000230	Prad.g_00069	Syac.g_00694
OG0000231	Prad.g_00058	Syac.g_00710
OG0000232	Prad.g_00049	Syac.g_01717
OG0000233	Prad.g_00043	Syac.g_01713
OG0000234	Prad.g_00031	Syac.g_01699
OG0000235	Prad.g_00028	Syac.g_01905
OG0000236	Prad.g_00014	Syac.g_01890
OG0000237	Prad.g_00123	Syac.g_01873
OG0000238	Prad.g_00117	Syac.g_01868
OG0000239	Prad.g_00104	Syac.g_01852
OG0000240	Prad.g_00103	Syac.g_01851
OG0000241	Prad.g_00099	Syac.g_00970
OG0000242	Prad.g_00097	Syac.g_01839
OG0000243	Prad.g_01333	Syac.g_01821
OG0000244	Prad.g_01336	Syac.g_01814
OG0000245	Prad.g_01338	Syac.g_01811
OG0000246	Prad.g_01342	Syac.g_01807
OG0000247	Prad.g_01352	Syac.g_01795
OG0000248	Prad.g_01354	Syac.g_01792
OG0000249	Prad.g_01356	Syac.g_01790
OG0000250	Prad.g_01361	Syac.g_01782
OG0000251	Prad.g_01380	Syac.g_01757
OG0000252	Prad.g_01383	Syac.g_01753
