Species Tree Node	Duplications (all)	Duplications (50% support)
N3	29	9
N7	71	5
N22	72	53
Prai	12	12
N36	22	0
N43	6	3
N37	6	6
Prbm	54	54
N14	19	11
Prbb	15	15
Praj	24	24
N21	73	10
N34	12	12
N15	18	18
Prav	14	14
N48	6	0
N44	5	0
N47	3	3
N8	52	34
Syal	46	46
N0	459	7
Syat	151	151
N1	153	0
Prat	14	14
Pram	1	1
Prbi	37	37
Prbc	26	26
N13	25	0
Prad	17	17
Prae	2	2
N29	36	3
Prag	1	1
Praa	7	7
Prab	1	1
N53	3	3
N20	35	35
N10	58	2
Syai	87	87
Syaq	65	65
N12	5	5
Syas	58	58
Syap	245	245
Syab	38	38
N16	28	28
N33	7	1
Syao	52	52
Syag	53	53
Syad	85	85
Syan	131	131
Praf	79	79
Prah	67	67
N9	20	1
N19	5	0
N2	78	14
Syar	111	111
Syaf	39	39
Syak	29	29
Syae	29	29
N41	4	4
Syah	15	15
Syaa	73	73
Pray	4	4
Prak	2	2
Syaj	44	44
N4	124	6
N24	4	3
N32	8	8
Pral	10	10
N35	8	7
N40	15	6
N5	11	11
Prau	11	11
Syac	13	13
Prbj	5	5
N6	61	30
N26	7	7
N30	6	3
Syam	27	27
N54	1	0
Prbd	6	6
N31	7	7
N51	5	0
Prbn	2	2
Praw	1	1
Pran	3	3
Praz	2	2
Prba	4	4
Praq	2	2
Prap	1	1
Prar	1	1
N23	3	3
Pras	4	4
Prao	3	3
N57	1	0
N25	1	1
Prbf	2	2
N17	8	4
N46	7	7
Prac	3	3
N11	22	22
N50	4	0
N27	9	0
N52	1	1
Prax	2	2
N56	1	0
N18	1	1
Prbk	2	2
