	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
Praa	0.0	32.0	14.0	4.0	11.0	20.0	8.0	16.0	24.0	26.0	31.0	26.0	27.0	36.0	12.0	31.0	14.0	14.0	6.0	31.0	6.0	8.0	10.0	10.0	4.0	4.0	4.0	29.0	28.0	4.0	31.0	31.0	31.0	27.0	8.0	22.0	22.0	22.0	26.0	31.0	32.0	48.0	37.0	43.0	35.0	35.0	38.0	39.0	35.0	47.0	33.0	47.0	33.0	33.0	38.0	22.0	29.0	29.0	26.0	34.0
Prab	22.0	0.0	27.0	18.0	23.0	28.0	22.0	26.0	24.0	41.0	33.0	37.0	25.0	0.0	31.0	33.0	27.0	27.0	22.0	37.0	22.0	22.0	22.0	27.0	23.0	23.0	23.0	40.0	39.0	23.0	33.0	33.0	33.0	25.0	24.0	26.0	26.0	26.0	33.0	33.0	30.0	47.0	32.0	35.0	29.0	35.0	34.0	30.0	33.0	35.0	33.0	33.0	26.0	29.0	38.0	22.0	23.0	34.0	27.0	23.0
Prac	12.0	22.0	0.0	28.0	4.0	37.0	12.0	33.0	30.0	44.0	42.0	42.0	26.0	22.0	10.0	38.0	6.0	10.0	10.0	35.0	10.0	10.0	12.0	6.0	20.0	20.0	20.0	44.0	45.0	10.0	42.0	38.0	38.0	26.0	12.0	33.0	33.0	33.0	40.0	42.0	40.0	64.0	49.0	49.0	45.0	51.0	59.0	51.0	53.0	45.0	45.0	49.0	47.0	45.0	45.0	30.0	38.0	49.0	40.0	48.0
Prad	15.0	26.0	16.0	0.0	6.0	22.0	8.0	22.0	26.0	38.0	28.0	31.0	18.0	30.0	8.0	28.0	14.0	16.0	12.0	37.0	12.0	10.0	10.0	12.0	8.0	8.0	8.0	39.0	32.0	12.0	28.0	28.0	28.0	18.0	6.0	22.0	22.0	22.0	28.0	28.0	35.0	54.0	44.0	46.0	42.0	42.0	39.0	42.0	38.0	48.0	38.0	42.0	36.0	38.0	41.0	21.0	30.0	32.0	29.0	29.0
Prae	4.0	16.0	6.0	9.0	0.0	14.0	6.0	10.0	13.0	27.0	18.0	25.0	12.0	18.0	10.0	18.0	6.0	6.0	6.0	24.0	5.0	6.0	8.0	4.0	4.0	6.0	6.0	30.0	22.0	3.0	18.0	18.0	18.0	12.0	3.0	16.0	16.0	16.0	19.0	18.0	22.0	39.0	32.0	30.0	33.0	30.0	31.0	33.0	28.0	34.0	32.0	35.0	28.0	27.0	38.0	16.0	25.0	24.0	22.0	24.0
Praf	52.0	59.0	48.0	49.0	49.0	0.0	46.0	95.0	49.0	62.0	52.0	58.0	54.0	62.0	51.0	52.0	48.0	57.0	50.0	54.0	49.0	44.0	46.0	46.0	53.0	53.0	53.0	71.0	57.0	46.0	52.0	52.0	52.0	54.0	59.0	69.0	71.0	67.0	63.0	52.0	83.0	75.0	65.0	76.0	87.0	66.0	70.0	64.0	63.0	81.0	73.0	93.0	59.0	77.0	94.0	54.0	90.0	91.0	71.0	86.0
Prag	15.0	19.0	20.0	16.0	11.0	25.0	0.0	21.0	21.0	34.0	27.0	45.0	22.0	25.0	22.0	27.0	20.0	20.0	9.0	43.0	16.0	17.0	2.0	15.0	15.0	15.0	15.0	33.0	34.0	16.0	27.0	27.0	27.0	22.0	12.0	27.0	27.0	27.0	29.0	27.0	22.0	55.0	33.0	39.0	33.0	34.0	32.0	36.0	34.0	39.0	33.0	36.0	34.0	32.0	36.0	24.0	20.0	33.0	23.0	25.0
Prah	34.0	45.0	39.0	44.0	40.0	76.0	38.0	0.0	43.0	45.0	39.0	42.0	42.0	47.0	38.0	39.0	39.0	42.0	39.0	43.0	42.0	41.0	40.0	38.0	45.0	45.0	45.0	50.0	43.0	40.0	39.0	39.0	39.0	42.0	41.0	85.0	85.0	85.0	42.0	39.0	56.0	69.0	49.0	60.0	51.0	63.0	74.0	45.0	51.0	66.0	65.0	71.0	56.0	78.0	73.0	34.0	85.0	60.0	51.0	52.0
Prai	16.0	18.0	21.0	23.0	22.0	28.0	14.0	24.0	0.0	28.0	30.0	28.0	22.0	24.0	18.0	30.0	21.0	21.0	17.0	26.0	27.0	10.0	16.0	16.0	23.0	25.0	25.0	28.0	30.0	20.0	30.0	30.0	30.0	22.0	18.0	30.0	30.0	30.0	24.0	30.0	33.0	57.0	38.0	43.0	34.0	41.0	39.0	40.0	41.0	40.0	34.0	46.0	38.0	33.0	38.0	33.0	29.0	36.0	31.0	37.0
Praj	66.0	52.0	59.0	71.0	57.0	47.0	45.0	56.0	53.0	0.0	55.0	56.0	59.0	60.0	58.0	55.0	52.0	59.0	61.0	56.0	67.0	42.0	51.0	55.0	64.0	68.0	68.0	24.0	15.0	61.0	55.0	55.0	55.0	59.0	51.0	48.0	48.0	46.0	20.0	55.0	39.0	73.0	49.0	46.0	61.0	44.0	42.0	45.0	46.0	43.0	32.0	57.0	62.0	44.0	58.0	24.0	25.0	40.0	30.0	25.0
Prak	38.0	33.0	33.0	40.0	33.0	39.0	37.0	39.0	36.0	34.0	0.0	26.0	18.0	33.0	37.0	4.0	33.0	33.0	33.0	30.0	33.0	39.0	37.0	35.0	35.0	35.0	35.0	34.0	32.0	35.0	4.0	4.0	4.0	18.0	33.0	41.0	41.0	41.0	34.0	4.0	36.0	44.0	42.0	49.0	33.0	31.0	35.0	46.0	38.0	45.0	34.0	37.0	42.0	32.0	38.0	24.0	26.0	29.0	25.0	27.0
Pral	37.0	33.0	27.0	33.0	35.0	35.0	35.0	31.0	40.0	20.0	19.0	0.0	29.0	33.0	36.0	21.0	27.0	27.0	27.0	19.0	34.0	33.0	35.0	33.0	31.0	31.0	31.0	24.0	26.0	31.0	21.0	21.0	21.0	29.0	36.0	35.0	35.0	33.0	25.0	21.0	38.0	55.0	43.0	50.0	39.0	37.0	43.0	51.0	46.0	53.0	41.0	43.0	38.0	45.0	40.0	27.0	34.0	38.0	27.0	33.0
Pram	31.0	27.0	26.0	30.0	29.0	31.0	30.0	25.0	31.0	22.0	14.0	21.0	0.0	27.0	31.0	14.0	26.0	26.0	30.0	15.0	28.0	26.0	30.0	31.0	35.0	35.0	35.0	22.0	27.0	31.0	14.0	14.0	14.0	2.0	34.0	31.0	31.0	31.0	22.0	14.0	33.0	46.0	36.0	42.0	33.0	30.0	36.0	45.0	39.0	38.0	33.0	34.0	35.0	27.0	29.0	22.0	24.0	25.0	23.0	23.0
Pran	21.0	6.0	25.0	16.0	21.0	32.0	22.0	28.0	25.0	37.0	33.0	32.0	27.0	0.0	24.0	33.0	25.0	25.0	22.0	35.0	20.0	24.0	22.0	27.0	21.0	21.0	21.0	36.0	38.0	19.0	33.0	33.0	33.0	27.0	19.0	28.0	28.0	28.0	32.0	33.0	32.0	41.0	29.0	32.0	28.0	34.0	33.0	29.0	32.0	32.0	30.0	30.0	25.0	29.0	35.0	20.0	25.0	29.0	27.0	25.0
Prao	4.0	14.0	4.0	4.0	4.0	12.0	8.0	10.0	10.0	26.0	18.0	19.0	10.0	16.0	0.0	18.0	4.0	4.0	6.0	15.0	4.0	8.0	10.0	6.0	4.0	4.0	4.0	27.0	20.0	6.0	18.0	18.0	18.0	10.0	4.0	12.0	12.0	12.0	18.0	18.0	22.0	37.0	27.0	31.0	27.0	27.0	27.0	29.0	27.0	35.0	29.0	31.0	25.0	20.0	27.0	14.0	24.0	21.0	16.0	20.0
Prap	40.0	35.0	35.0	42.0	35.0	39.0	37.0	39.0	37.0	34.0	2.0	26.0	18.0	35.0	39.0	0.0	35.0	35.0	35.0	28.0	35.0	39.0	37.0	37.0	37.0	37.0	37.0	34.0	32.0	37.0	2.0	2.0	2.0	18.0	35.0	41.0	41.0	41.0	34.0	2.0	36.0	44.0	42.0	49.0	33.0	31.0	35.0	46.0	38.0	45.0	34.0	37.0	42.0	34.0	38.0	26.0	26.0	27.0	25.0	27.0
Praq	10.0	21.0	2.0	25.0	4.0	36.0	13.0	32.0	29.0	41.0	37.0	41.0	23.0	21.0	10.0	33.0	0.0	4.0	13.0	32.0	11.0	9.0	13.0	6.0	18.0	18.0	18.0	39.0	42.0	10.0	37.0	33.0	33.0	23.0	10.0	31.0	31.0	31.0	37.0	37.0	42.0	65.0	51.0	52.0	47.0	52.0	60.0	53.0	54.0	47.0	43.0	51.0	47.0	43.0	43.0	32.0	38.0	45.0	36.0	46.0
Prar	12.0	23.0	2.0	25.0	4.0	38.0	13.0	34.0	33.0	45.0	41.0	43.0	27.0	23.0	10.0	37.0	2.0	0.0	13.0	36.0	11.0	9.0	13.0	6.0	20.0	20.0	20.0	47.0	48.0	12.0	41.0	37.0	37.0	27.0	9.0	33.0	33.0	33.0	43.0	41.0	42.0	66.0	51.0	52.0	47.0	52.0	59.0	53.0	56.0	47.0	45.0	50.0	49.0	45.0	45.0	32.0	40.0	47.0	38.0	48.0
Pras	16.0	43.0	30.0	26.0	12.0	42.0	20.0	42.0	41.0	55.0	49.0	48.0	50.0	47.0	19.0	49.0	30.0	30.0	0.0	50.0	18.0	22.0	24.0	21.0	17.0	17.0	17.0	59.0	49.0	18.0	49.0	49.0	49.0	50.0	14.0	46.0	46.0	46.0	47.0	49.0	53.0	77.0	61.0	65.0	61.0	61.0	63.0	61.0	59.0	69.0	55.0	67.0	55.0	50.0	65.0	45.0	47.0	55.0	53.0	53.0
Prat	35.0	34.0	34.0	37.0	40.0	41.0	36.0	38.0	36.0	36.0	26.0	24.0	24.0	34.0	38.0	26.0	34.0	34.0	31.0	0.0	31.0	38.0	36.0	34.0	34.0	32.0	34.0	36.0	34.0	34.0	26.0	26.0	26.0	26.0	32.0	37.0	37.0	37.0	36.0	24.0	44.0	57.0	48.0	54.0	42.0	39.0	47.0	54.0	54.0	51.0	46.0	44.0	47.0	41.0	46.0	29.0	33.0	40.0	32.0	33.0
Prau	20.0	36.0	26.0	18.0	12.0	47.0	17.0	43.0	37.0	54.0	42.0	44.0	51.0	38.0	14.0	42.0	28.0	26.0	18.0	43.0	0.0	24.0	17.0	16.0	20.0	20.0	20.0	58.0	52.0	16.0	42.0	42.0	42.0	51.0	16.0	45.0	45.0	45.0	48.0	42.0	57.0	71.0	58.0	63.0	61.0	59.0	64.0	60.0	61.0	67.0	63.0	57.0	56.0	53.0	67.0	34.0	52.0	54.0	46.0	54.0
Prav	15.0	31.0	18.0	26.0	12.0	32.0	26.0	32.0	31.0	50.0	40.0	62.0	40.0	37.0	19.0	40.0	20.0	21.0	17.0	61.0	26.0	0.0	28.0	12.0	19.0	19.0	19.0	57.0	45.0	17.0	40.0	40.0	40.0	40.0	14.0	39.0	41.0	41.0	42.0	40.0	29.0	56.0	41.0	43.0	47.0	35.0	42.0	47.0	39.0	43.0	37.0	48.0	39.0	39.0	48.0	20.0	30.0	42.0	29.0	31.0
Praw	17.0	19.0	20.0	16.0	11.0	27.0	2.0	23.0	22.0	37.0	29.0	44.0	24.0	25.0	21.0	29.0	20.0	20.0	11.0	45.0	16.0	19.0	0.0	15.0	13.0	13.0	13.0	36.0	36.0	15.0	29.0	29.0	29.0	24.0	11.0	27.0	29.0	29.0	32.0	29.0	24.0	56.0	34.0	40.0	34.0	35.0	35.0	37.0	35.0	40.0	34.0	37.0	35.0	34.0	35.0	24.0	22.0	34.0	25.0	27.0
Prax	11.0	40.0	9.0	11.0	11.0	41.0	13.0	35.0	30.0	45.0	39.0	42.0	29.0	42.0	9.0	39.0	11.0	9.0	13.0	42.0	13.0	17.0	13.0	0.0	7.0	7.0	7.0	46.0	43.0	11.0	39.0	39.0	39.0	29.0	8.0	39.0	41.0	41.0	41.0	39.0	32.0	49.0	39.0	45.0	45.0	43.0	46.0	41.0	39.0	51.0	42.0	42.0	35.0	29.0	37.0	26.0	37.0	27.0	25.0	31.0
Pray	14.0	18.0	8.0	8.0	8.0	18.0	12.0	16.0	18.0	26.0	22.0	31.0	16.0	20.0	12.0	22.0	8.0	8.0	8.0	27.0	8.0	8.0	12.0	10.0	0.0	8.0	8.0	27.0	24.0	10.0	22.0	22.0	22.0	16.0	10.0	22.0	20.0	22.0	22.0	22.0	30.0	48.0	37.0	43.0	41.0	37.0	40.0	37.0	37.0	47.0	35.0	43.0	33.0	33.0	38.0	20.0	27.0	25.0	22.0	28.0
Praz	10.0	16.0	4.0	4.0	6.0	14.0	10.0	14.0	20.0	24.0	20.0	25.0	12.0	18.0	10.0	20.0	4.0	4.0	6.0	21.0	6.0	6.0	10.0	6.0	4.0	0.0	4.0	25.0	22.0	8.0	20.0	20.0	20.0	12.0	8.0	20.0	20.0	20.0	20.0	20.0	28.0	44.0	31.0	39.0	37.0	31.0	36.0	33.0	35.0	43.0	33.0	37.0	31.0	29.0	36.0	18.0	23.0	23.0	18.0	24.0
Prba	16.0	20.0	10.0	8.0	8.0	22.0	14.0	20.0	22.0	30.0	28.0	31.0	22.0	22.0	12.0	28.0	10.0	10.0	10.0	29.0	12.0	12.0	14.0	10.0	8.0	8.0	0.0	31.0	28.0	10.0	28.0	28.0	28.0	22.0	12.0	24.0	24.0	24.0	26.0	28.0	30.0	50.0	37.0	45.0	39.0	37.0	40.0	39.0	37.0	49.0	37.0	43.0	33.0	33.0	40.0	18.0	29.0	31.0	24.0	30.0
Prbb	74.0	61.0	67.0	79.0	54.0	48.0	49.0	53.0	55.0	14.0	57.0	66.0	67.0	69.0	59.0	57.0	60.0	67.0	62.0	62.0	68.0	42.0	55.0	56.0	66.0	72.0	72.0	0.0	13.0	63.0	57.0	57.0	57.0	67.0	52.0	47.0	47.0	45.0	24.0	57.0	44.0	77.0	56.0	46.0	61.0	49.0	42.0	53.0	52.0	49.0	33.0	60.0	57.0	47.0	56.0	25.0	31.0	44.0	33.0	33.0
Prbc	69.0	58.0	59.0	65.0	55.0	37.0	52.0	45.0	59.0	25.0	59.0	53.0	65.0	60.0	55.0	59.0	56.0	61.0	54.0	52.0	60.0	59.0	56.0	57.0	63.0	63.0	63.0	31.0	0.0	61.0	59.0	59.0	59.0	65.0	66.0	49.0	49.0	47.0	33.0	59.0	49.0	72.0	53.0	55.0	56.0	51.0	51.0	55.0	60.0	53.0	47.0	60.0	59.0	38.0	52.0	22.0	32.0	48.0	37.0	29.0
Prbd	8.0	22.0	6.0	8.0	8.0	24.0	7.0	18.0	20.0	31.0	29.0	34.0	18.0	24.0	11.0	29.0	6.0	6.0	8.0	34.0	6.0	8.0	7.0	10.0	6.0	4.0	6.0	32.0	31.0	0.0	29.0	29.0	29.0	18.0	8.0	22.0	22.0	22.0	25.0	29.0	28.0	48.0	34.0	42.0	36.0	32.0	40.0	34.0	36.0	44.0	40.0	36.0	34.0	35.0	39.0	26.0	38.0	28.0	27.0	32.0
Prbe	39.0	34.0	33.0	41.0	34.0	38.0	36.0	38.0	36.0	33.0	0.0	26.0	17.0	34.0	38.0	0.0	34.0	33.0	34.0	26.0	34.0	38.0	36.0	36.0	36.0	36.0	36.0	33.0	30.0	36.0	0.0	0.0	0.0	17.0	34.0	40.0	40.0	40.0	33.0	0.0	35.0	42.0	41.0	48.0	32.0	30.0	34.0	45.0	36.0	44.0	32.0	36.0	40.0	32.0	36.0	24.0	24.0	25.0	23.0	25.0
Prbf	40.0	35.0	35.0	42.0	35.0	41.0	37.0	41.0	35.0	36.0	4.0	28.0	20.0	35.0	39.0	4.0	35.0	35.0	35.0	30.0	35.0	39.0	37.0	37.0	37.0	37.0	37.0	36.0	34.0	37.0	4.0	0.0	4.0	20.0	35.0	43.0	43.0	43.0	36.0	4.0	36.0	44.0	44.0	49.0	33.0	33.0	37.0	46.0	40.0	45.0	36.0	37.0	44.0	36.0	40.0	26.0	28.0	27.0	27.0	27.0
Prbg	36.0	31.0	31.0	38.0	31.0	35.0	33.0	35.0	33.0	30.0	0.0	22.0	14.0	31.0	37.0	0.0	31.0	31.0	31.0	26.0	31.0	35.0	33.0	33.0	33.0	33.0	33.0	30.0	28.0	33.0	0.0	0.0	0.0	14.0	31.0	37.0	37.0	37.0	30.0	0.0	32.0	40.0	38.0	45.0	29.0	27.0	31.0	42.0	36.0	41.0	30.0	33.0	40.0	30.0	34.0	22.0	22.0	23.0	21.0	23.0
Prbh	33.0	29.0	28.0	32.0	31.0	31.0	32.0	25.0	33.0	22.0	12.0	19.0	0.0	29.0	33.0	12.0	28.0	28.0	32.0	15.0	30.0	28.0	32.0	33.0	37.0	37.0	37.0	22.0	27.0	33.0	12.0	12.0	12.0	0.0	36.0	31.0	31.0	31.0	22.0	12.0	35.0	45.0	35.0	43.0	34.0	29.0	35.0	44.0	40.0	39.0	34.0	35.0	34.0	29.0	28.0	22.0	24.0	24.0	23.0	25.0
Prbi	16.0	28.0	27.0	17.0	11.0	35.0	31.0	35.0	34.0	51.0	35.0	44.0	34.0	30.0	18.0	38.0	25.0	31.0	21.0	42.0	20.0	37.0	31.0	5.0	11.0	11.0	11.0	52.0	83.0	42.0	38.0	38.0	38.0	34.0	0.0	33.0	33.0	33.0	45.0	38.0	59.0	75.0	66.0	68.0	73.0	62.0	68.0	72.0	64.0	72.0	73.0	74.0	60.0	64.0	72.0	31.0	44.0	54.0	52.0	46.0
Prbj	28.0	30.0	26.0	35.0	24.0	36.0	26.0	42.0	32.0	41.0	31.0	32.0	33.0	32.0	26.0	31.0	26.0	26.0	28.0	37.0	32.0	26.0	26.0	22.0	30.0	28.0	26.0	43.0	37.0	26.0	31.0	31.0	31.0	33.0	27.0	0.0	12.0	14.0	43.0	31.0	44.0	41.0	35.0	48.0	35.0	34.0	66.0	39.0	42.0	52.0	40.0	43.0	38.0	44.0	58.0	26.0	52.0	39.0	33.0	37.0
