	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
Praa	0.0	4.0	2.0	2.0	2.0	9.0	4.0	9.0	6.0	9.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	2.0	0.0	4.0	4.0	4.0	8.0	9.0	0.0	2.0	2.0	2.0	2.0	0.0	5.0	5.0	5.0	9.0	2.0	4.0	2.0	4.0	4.0	8.0	4.0	6.0	4.0	6.0	0.0	4.0	9.0	6.0	2.0	2.0	2.0	2.0	4.0	4.0	5.0
Prab	4.0	0.0	0.0	5.0	2.0	6.0	4.0	6.0	6.0	8.0	2.0	2.0	5.0	0.0	2.0	2.0	0.0	0.0	4.0	2.0	2.0	6.0	4.0	2.0	2.0	2.0	2.0	7.0	7.0	2.0	2.0	2.0	2.0	5.0	4.0	6.0	6.0	6.0	10.0	2.0	4.0	0.0	2.0	2.0	4.0	2.0	2.0	4.0	2.0	0.0	0.0	15.0	4.0	0.0	2.0	2.0	2.0	2.0	0.0	7.0
Prac	4.0	0.0	0.0	2.0	0.0	5.0	0.0	5.0	0.0	6.0	2.0	4.0	5.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	8.0	0.0	2.0	2.0	2.0	5.0	0.0	7.0	7.0	7.0	6.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	0.0	0.0	4.0	6.0	5.0
Prad	2.0	4.0	2.0	0.0	2.0	11.0	2.0	9.0	0.0	7.0	4.0	4.0	6.0	0.0	4.0	4.0	2.0	2.0	2.0	2.0	2.0	6.0	2.0	0.0	2.0	2.0	2.0	6.0	11.0	0.0	4.0	4.0	4.0	6.0	0.0	5.0	5.0	5.0	13.0	4.0	2.0	0.0	2.0	2.0	4.0	2.0	4.0	2.0	6.0	0.0	2.0	10.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0
Prae	3.0	2.0	0.0	3.0	0.0	13.0	4.0	13.0	0.0	5.0	2.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	3.0	4.0	2.0	0.0	4.0	2.0	2.0	4.0	7.0	0.0	2.0	2.0	2.0	4.0	0.0	9.0	9.0	9.0	9.0	2.0	4.0	3.0	2.0	7.0	4.0	7.0	7.0	4.0	6.0	5.0	2.0	7.0	6.0	0.0	2.0	0.0	3.0	0.0	0.0	4.0
Praf	9.0	5.0	5.0	11.0	12.0	0.0	11.0	10.0	7.0	7.0	6.0	3.0	6.0	2.0	9.0	6.0	5.0	5.0	11.0	3.0	7.0	21.0	9.0	12.0	9.0	9.0	9.0	11.0	18.0	10.0	6.0	6.0	6.0	6.0	12.0	16.0	14.0	16.0	15.0	6.0	13.0	15.0	6.0	31.0	4.0	16.0	23.0	12.0	20.0	8.0	8.0	9.0	12.0	14.0	15.0	4.0	4.0	10.0	10.0	12.0
Prag	5.0	6.0	0.0	3.0	4.0	16.0	0.0	16.0	5.0	13.0	2.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	12.0	8.0	0.0	2.0	2.0	2.0	3.0	0.0	12.0	12.0	12.0	13.0	2.0	7.0	5.0	4.0	5.0	5.0	8.0	8.0	4.0	5.0	3.0	2.0	18.0	5.0	2.0	2.0	0.0	5.0	2.0	4.0	10.0
Prah	9.0	4.0	4.0	9.0	11.0	13.0	11.0	0.0	6.0	6.0	4.0	2.0	4.0	2.0	9.0	4.0	4.0	4.0	9.0	2.0	7.0	13.0	9.0	9.0	7.0	7.0	7.0	6.0	7.0	11.0	4.0	4.0	4.0	4.0	9.0	12.0	12.0	12.0	12.0	4.0	8.0	11.0	6.0	47.0	8.0	13.0	40.0	10.0	16.0	5.0	6.0	14.0	10.0	10.0	18.0	8.0	4.0	6.0	8.0	13.0
Prai	6.0	6.0	0.0	0.0	0.0	9.0	4.0	9.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	4.0	2.0	2.0	0.0	0.0	0.0	8.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	7.0	8.0	0.0	2.0	2.0	4.0	2.0	2.0	2.0	2.0	4.0	5.0	0.0	2.0	12.0	2.0	2.0	6.0	4.0	2.0	6.0	2.0	5.0
Praj	12.0	13.0	6.0	6.0	4.0	10.0	16.0	10.0	13.0	0.0	4.0	8.0	8.0	7.0	4.0	4.0	6.0	6.0	12.0	2.0	6.0	17.0	13.0	9.0	8.0	4.0	4.0	11.0	2.0	4.0	4.0	4.0	4.0	8.0	8.0	5.0	5.0	5.0	24.0	4.0	5.0	5.0	6.0	8.0	5.0	9.0	5.0	5.0	5.0	2.0	5.0	31.0	5.0	3.0	0.0	0.0	3.0	5.0	3.0	8.0
Prak	2.0	2.0	2.0	4.0	2.0	4.0	2.0	4.0	0.0	5.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	6.0	0.0	6.0	2.0	2.0	2.0	0.0	0.0	0.0	5.0	7.0	2.0	0.0	0.0	0.0	0.0	6.0	4.0	4.0	4.0	7.0	0.0	6.0	0.0	0.0	2.0	2.0	4.0	2.0	2.0	9.0	2.0	3.0	5.0	9.0	4.0	0.0	0.0	0.0	2.0	0.0	4.0
Pral	0.0	2.0	4.0	4.0	0.0	3.0	0.0	3.0	0.0	4.0	2.0	0.0	0.0	2.0	0.0	0.0	4.0	4.0	6.0	0.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	6.0	0.0	2.0	2.0	0.0	2.0	4.0	2.0	4.0	0.0	4.0	0.0	0.0	6.0	2.0	0.0	0.0	4.0	0.0	0.0	6.0	5.0
Pram	2.0	4.0	4.0	7.0	4.0	5.0	2.0	5.0	0.0	5.0	0.0	0.0	0.0	4.0	2.0	0.0	4.0	4.0	7.0	4.0	7.0	4.0	2.0	6.0	2.0	2.0	2.0	5.0	5.0	4.0	0.0	0.0	0.0	0.0	6.0	3.0	3.0	3.0	10.0	0.0	2.0	0.0	2.0	7.0	3.0	4.0	3.0	2.0	6.0	4.0	2.0	6.0	6.0	2.0	2.0	2.0	0.0	2.0	2.0	7.0
Pran	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	6.0	2.0	2.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	0.0	2.0	2.0	2.0	5.0	2.0	2.0	2.0	2.0	8.0	2.0	2.0	0.0	2.0	2.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	12.0	2.0	0.0	2.0	4.0	2.0	2.0	0.0	4.0
Prao	0.0	2.0	0.0	4.0	0.0	9.0	0.0	9.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	9.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	5.0	5.0	7.0	0.0	2.0	0.0	2.0	2.0	4.0	2.0	4.0	2.0	4.0	0.0	2.0	8.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0
Prap	2.0	2.0	2.0	4.0	2.0	4.0	2.0	4.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	2.0	6.0	0.0	6.0	2.0	2.0	2.0	0.0	0.0	0.0	5.0	7.0	2.0	0.0	0.0	0.0	0.0	4.0	4.0	4.0	4.0	7.0	0.0	6.0	0.0	0.0	2.0	2.0	4.0	2.0	2.0	9.0	2.0	3.0	5.0	9.0	2.0	0.0	0.0	0.0	2.0	0.0	4.0
Praq	4.0	0.0	2.0	2.0	0.0	5.0	0.0	5.0	0.0	6.0	2.0	4.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	8.0	0.0	2.0	2.0	2.0	5.0	0.0	8.0	8.0	8.0	6.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	7.0	2.0	0.0	2.0	0.0	0.0	2.0	6.0	3.0
Prar	3.0	0.0	0.0	2.0	0.0	5.0	0.0	5.0	0.0	6.0	2.0	4.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	8.0	0.0	2.0	2.0	2.0	5.0	0.0	8.0	8.0	8.0	9.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	0.0	0.0	2.0	5.0	3.0
Pras	4.0	4.0	0.0	2.0	2.0	12.0	4.0	10.0	6.0	10.0	6.0	6.0	6.0	0.0	0.0	6.0	0.0	0.0	0.0	4.0	0.0	2.0	2.0	0.0	2.0	2.0	2.0	12.0	12.0	0.0	6.0	6.0	6.0	6.0	2.0	8.0	8.0	8.0	12.0	6.0	6.0	2.0	4.0	6.0	6.0	4.0	6.0	4.0	10.0	0.0	4.0	8.0	8.0	4.0	4.0	0.0	4.0	2.0	4.0	6.0
Prat	2.0	2.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	2.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	3.0	3.0	4.0	2.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	0.0	0.0	7.0	2.0	0.0	0.0	2.0	0.0	0.0	6.0	7.0
Prau	2.0	2.0	0.0	2.0	2.0	7.0	2.0	7.0	2.0	6.0	6.0	6.0	6.0	0.0	0.0	6.0	0.0	0.0	0.0	4.0	0.0	2.0	2.0	0.0	2.0	2.0	2.0	6.0	10.0	0.0	6.0	6.0	6.0	6.0	0.0	5.0	5.0	5.0	14.0	6.0	0.0	3.0	2.0	4.0	4.0	0.0	2.0	2.0	2.0	0.0	2.0	8.0	2.0	2.0	4.0	4.0	0.0	4.0	5.0	5.0
Prav	3.0	6.0	0.0	7.0	9.0	25.0	2.0	23.0	4.0	10.0	2.0	2.0	4.0	0.0	2.0	2.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	13.0	0.0	2.0	2.0	2.0	4.0	0.0	18.0	16.0	16.0	12.0	2.0	4.0	10.0	2.0	10.0	2.0	12.0	10.0	4.0	6.0	13.0	0.0	12.0	6.0	0.0	4.0	0.0	8.0	0.0	2.0	6.0
