	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
Praa	0.0	10.0	6.0	7.0	2.0	23.0	6.0	17.0	7.0	22.0	16.0	16.0	12.0	10.0	2.0	17.0	5.0	6.0	8.0	14.0	10.0	7.0	7.0	5.0	7.0	5.0	8.0	23.0	27.0	4.0	16.0	17.0	15.0	13.0	7.0	14.0	13.0	13.0	24.0	18.0	18.0	18.0	13.0	19.0	18.0	12.0	23.0	15.0	15.0	15.0	16.0	19.0	12.0	34.0	27.0	122.0	15.0	95.0	33.0	28.0
Prab	16.0	0.0	11.0	13.0	8.0	26.0	9.0	22.0	9.0	22.0	14.0	14.0	10.0	3.0	7.0	15.0	10.0	11.0	21.0	14.0	18.0	14.0	9.0	19.0	9.0	8.0	10.0	24.0	24.0	11.0	14.0	15.0	13.0	11.0	13.0	15.0	14.0	14.0	28.0	16.0	18.0	20.0	12.0	22.0	16.0	16.0	23.0	15.0	18.0	17.0	17.0	19.0	14.0	34.0	26.0	126.0	16.0	102.0	37.0	36.0
Prac	7.0	13.0	0.0	8.0	3.0	22.0	9.0	19.0	10.0	19.0	14.0	11.0	10.0	12.0	2.0	15.0	1.0	1.0	14.0	14.0	13.0	9.0	9.0	4.0	4.0	2.0	5.0	21.0	25.0	3.0	14.0	15.0	13.0	11.0	13.0	13.0	12.0	12.0	24.0	16.0	17.0	19.0	14.0	22.0	19.0	16.0	24.0	16.0	23.0	15.0	17.0	20.0	16.0	34.0	27.0	124.0	12.0	97.0	34.0	32.0
Prad	2.0	9.0	13.0	0.0	4.0	22.0	7.0	22.0	11.0	23.0	17.0	14.0	12.0	8.0	2.0	18.0	11.0	11.0	12.0	15.0	9.0	9.0	7.0	5.0	4.0	2.0	4.0	25.0	26.0	3.0	17.0	18.0	16.0	13.0	8.0	17.0	16.0	16.0	25.0	19.0	21.0	19.0	15.0	21.0	19.0	14.0	23.0	14.0	21.0	16.0	19.0	17.0	14.0	36.0	27.0	123.0	13.0	100.0	33.0	31.0
Prae	5.0	11.0	2.0	3.0	0.0	22.0	5.0	20.0	11.0	22.0	14.0	15.0	11.0	10.0	2.0	15.0	2.0	2.0	6.0	17.0	6.0	6.0	5.0	5.0	4.0	3.0	4.0	21.0	23.0	4.0	14.0	15.0	13.0	12.0	5.0	12.0	11.0	11.0	30.0	16.0	17.0	21.0	13.0	18.0	15.0	13.0	22.0	12.0	17.0	15.0	18.0	21.0	12.0	36.0	28.0	125.0	16.0	98.0	36.0	30.0
Praf	10.0	13.0	17.0	11.0	7.0	0.0	11.0	33.0	14.0	18.0	17.0	14.0	13.0	15.0	6.0	17.0	16.0	17.0	20.0	18.0	23.0	15.0	12.0	19.0	9.0	7.0	11.0	18.0	16.0	11.0	16.0	18.0	15.0	13.0	17.0	17.0	16.0	15.0	19.0	18.0	22.0	39.0	20.0	33.0	15.0	20.0	28.0	18.0	43.0	28.0	26.0	30.0	18.0	46.0	34.0	148.0	16.0	110.0	42.0	46.0
Prag	4.0	10.0	5.0	4.0	3.0	21.0	0.0	19.0	7.0	19.0	16.0	15.0	12.0	10.0	4.0	16.0	5.0	5.0	9.0	15.0	8.0	12.0	1.0	5.0	6.0	5.0	7.0	19.0	22.0	3.0	15.0	16.0	14.0	13.0	14.0	13.0	13.0	13.0	28.0	17.0	18.0	20.0	15.0	22.0	19.0	13.0	21.0	13.0	19.0	17.0	17.0	19.0	15.0	37.0	27.0	128.0	12.0	96.0	32.0	30.0
Prah	8.0	12.0	15.0	11.0	5.0	41.0	9.0	0.0	12.0	17.0	17.0	12.0	10.0	13.0	5.0	17.0	14.0	15.0	20.0	16.0	21.0	15.0	10.0	16.0	8.0	7.0	10.0	20.0	19.0	9.0	16.0	18.0	15.0	10.0	17.0	16.0	16.0	15.0	20.0	18.0	23.0	35.0	18.0	27.0	12.0	18.0	27.0	17.0	40.0	26.0	20.0	22.0	18.0	45.0	33.0	145.0	14.0	110.0	42.0	43.0
Prai	12.0	11.0	14.0	13.0	6.0	22.0	9.0	21.0	0.0	19.0	15.0	17.0	12.0	12.0	5.0	16.0	13.0	15.0	20.0	15.0	18.0	14.0	10.0	14.0	9.0	10.0	11.0	20.0	24.0	10.0	15.0	15.0	14.0	13.0	14.0	16.0	15.0	15.0	23.0	17.0	18.0	21.0	14.0	18.0	17.0	14.0	24.0	16.0	18.0	18.0	17.0	18.0	16.0	35.0	25.0	124.0	12.0	94.0	31.0	30.0
Praj	13.0	18.0	19.0	19.0	13.0	29.0	14.0	22.0	13.0	0.0	17.0	10.0	11.0	17.0	13.0	17.0	17.0	19.0	26.0	18.0	27.0	22.0	16.0	20.0	13.0	12.0	15.0	7.0	12.0	15.0	16.0	18.0	15.0	11.0	25.0	19.0	19.0	19.0	18.0	18.0	21.0	18.0	18.0	23.0	17.0	17.0	27.0	18.0	23.0	21.0	17.0	20.0	18.0	41.0	31.0	129.0	13.0	97.0	35.0	34.0
