Orthogroup	Pram	Prar
OG0000000	Pram.g_00873, Pram.g_00879	Prar.g_00918
OG0000000	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174	Prar.g_01508
OG0000002	Pram.g_01953, Pram.g_01954	Prar.g_00926
OG0000002	Pram.g_00719	Prar.g_01203, Prar.g_01202
OG0000003	Pram.g_01513, Pram.g_01176	Prar.g_00973, Prar.g_00727
OG0000004	Pram.g_01207	Prar.g_01630
OG0000005	Pram.g_01511	Prar.g_00729, Prar.g_00713
OG0000006	Pram.g_00433	Prar.g_01328
OG0000006	Pram.g_01632	Prar.g_01143
OG0000007	Pram.g_01263	Prar.g_01185
OG0000009	Pram.g_01164	Prar.g_01663
OG0000009	Pram.g_00237	Prar.g_00078
OG0000010	Pram.g_01505, Pram.g_00621	Prar.g_01006, Prar.g_01313, Prar.g_00991
OG0000011	Pram.g_00359	Prar.g_00468
OG0000012	Pram.g_00542, Pram.g_00535	Prar.g_01428
OG0000013	Pram.g_01545, Pram.g_00696	Prar.g_01179
OG0000015	Pram.g_01597, Pram.g_00618, Pram.g_00662	Prar.g_00443
OG0000016	Pram.g_01283	Prar.g_00915
OG0000017	Pram.g_01580, Pram.g_01357	Prar.g_00589
OG0000018	Pram.g_00229	Prar.g_00086
OG0000019	Pram.g_00794	Prar.g_00425
OG0000020	Pram.g_00259	Prar.g_00435
OG0000021	Pram.g_01544, Pram.g_00644	Prar.g_01665
OG0000022	Pram.g_01561	Prar.g_00971
OG0000023	Pram.g_01284	Prar.g_00737
OG0000024	Pram.g_00295	Prar.g_00281
OG0000026	Pram.g_01258	Prar.g_01189
OG0000028	Pram.g_01381, Pram.g_01378	Prar.g_00339
OG0000029	Pram.g_00391	Prar.g_00736, Prar.g_01170
OG0000032	Pram.g_01413	Prar.g_00879
OG0000035	Pram.g_00681	Prar.g_01761
OG0000036	Pram.g_01559	Prar.g_01414
OG0000037	Pram.g_00561	Prar.g_01453
OG0000038	Pram.g_01287	Prar.g_01649
OG0000039	Pram.g_00151	Prar.g_00161
OG0000040	Pram.g_00689	Prar.g_00420
OG0000041	Pram.g_01587	Prar.g_00476
OG0000042	Pram.g_00801	Prar.g_01599
OG0000043	Pram.g_00905	Prar.g_01668
OG0000044	Pram.g_01140	Prar.g_01263
OG0000045	Pram.g_01447	Prar.g_00870
OG0000046	Pram.g_01265	Prar.g_01150
OG0000047	Pram.g_01833	Prar.g_00592, Prar.g_00653
OG0000048	Pram.g_01841	Prar.g_00660
OG0000050	Pram.g_00018	Prar.g_00007
OG0000051	Pram.g_00142	Prar.g_01569, Prar.g_00170
OG0000052	Pram.g_00677	Prar.g_00431
OG0000053	Pram.g_01558	Prar.g_01369
OG0000055	Pram.g_00832	Prar.g_01706
OG0000057	Pram.g_00224	Prar.g_00090
OG0000058	Pram.g_00411	Prar.g_00525
OG0000059	Pram.g_00792	Prar.g_01528
OG0000060	Pram.g_00631	Prar.g_01628, Prar.g_01558, Prar.g_01562, Prar.g_01004
OG0000062	Pram.g_01546	Prar.g_01296
OG0000063	Pram.g_01112	Prar.g_01003
OG0000065	Pram.g_01230	Prar.g_00955
OG0000066	Pram.g_01446	Prar.g_00880
OG0000067	Pram.g_01579	Prar.g_00988
OG0000068	Pram.g_01770	Prar.g_01027
OG0000070	Pram.g_01611	Prar.g_00932
OG0000071	Pram.g_01949	Prar.g_00027
OG0000072	Pram.g_00310	Prar.g_00265
OG0000073	Pram.g_01039	Prar.g_01499
OG0000074	Pram.g_00782	Prar.g_01521
OG0000075	Pram.g_00816	Prar.g_01691
OG0000076	Pram.g_00888	Prar.g_01904
OG0000077	Pram.g_01510	Prar.g_00712
OG0000078	Pram.g_01445	Prar.g_00872
OG0000079	Pram.g_01293	Prar.g_00769
OG0000080	Pram.g_01554	Prar.g_01166
OG0000081	Pram.g_01805	Prar.g_00627
OG0000083	Pram.g_01941	Prar.g_00035
OG0000084	Pram.g_01944	Prar.g_00032
OG0000085	Pram.g_00010	Prar.g_00015
OG0000086	Pram.g_01588	Prar.g_00581
OG0000087	Pram.g_00036	Prar.g_00570
OG0000088	Pram.g_00099	Prar.g_00215
OG0000089	Pram.g_00108	Prar.g_00207
OG0000090	Pram.g_00125	Prar.g_00189
OG0000091	Pram.g_00154	Prar.g_00158
OG0000092	Pram.g_00155	Prar.g_00157
OG0000093	Pram.g_00168	Prar.g_00143
OG0000094	Pram.g_00187	Prar.g_00125
OG0000095	Pram.g_00192	Prar.g_00120
OG0000096	Pram.g_00239	Prar.g_00076
OG0000097	Pram.g_00262	Prar.g_00313
OG0000098	Pram.g_00273	Prar.g_00303
OG0000099	Pram.g_00283	Prar.g_00293
OG0000100	Pram.g_00286	Prar.g_00290, Prar.g_01154
OG0000101	Pram.g_00354	Prar.g_00417
OG0000102	Pram.g_01589	Prar.g_00444
OG0000103	Pram.g_00412	Prar.g_00526
OG0000104	Pram.g_00416	Prar.g_00530
OG0000105	Pram.g_00437	Prar.g_01330
OG0000106	Pram.g_00470	Prar.g_01362
OG0000107	Pram.g_00471	Prar.g_01363
OG0000108	Pram.g_00480	Prar.g_01373
OG0000109	Pram.g_00489	Prar.g_01382
OG0000110	Pram.g_00507	Prar.g_01398
OG0000111	Pram.g_01059	Prar.g_01481
OG0000112	Pram.g_01058	Prar.g_01482
OG0000113	Pram.g_01006	Prar.g_01621
OG0000114	Pram.g_00807	Prar.g_01682
OG0000115	Pram.g_00943	Prar.g_01833
OG0000116	Pram.g_00947	Prar.g_01837
OG0000117	Pram.g_00891	Prar.g_01901
OG0000118	Pram.g_01185	Prar.g_01953
OG0000119	Pram.g_01549	Prar.g_01293
OG0000120	Pram.g_01133	Prar.g_01257
OG0000121	Pram.g_01110	Prar.g_01238
OG0000122	Pram.g_01090	Prar.g_01219
OG0000123	Pram.g_00571	Prar.g_01206
OG0000124	Pram.g_01254	Prar.g_00376
OG0000125	Pram.g_01242	Prar.g_00943
OG0000126	Pram.g_01468	Prar.g_00911
OG0000127	Pram.g_01393	Prar.g_00352
OG0000128	Pram.g_01377	Prar.g_00338
OG0000129	Pram.g_01341	Prar.g_00810
OG0000130	Pram.g_01629	Prar.g_01145
OG0000131	Pram.g_01669	Prar.g_01959
OG0000132	Pram.g_01672	Prar.g_00595, Prar.g_01956
OG0000133	Pram.g_01728	Prar.g_01068
OG0000134	Pram.g_01764	Prar.g_01032
OG0000135	Pram.g_01766	Prar.g_01030
OG0000136	Pram.g_01817	Prar.g_00638
OG0000137	Pram.g_01851	Prar.g_00669
OG0000138	Pram.g_01886	Prar.g_00704
OG0000139	Pram.g_01917	Prar.g_00055
OG0000140	Pram.g_01939	Prar.g_00037
OG0000141	Pram.g_01940	Prar.g_00036
OG0000142	Pram.g_01942	Prar.g_00034
OG0000143	Pram.g_01943	Prar.g_00033
OG0000144	Pram.g_01945	Prar.g_00031
