Orthogroup	Pram	Prbl
OG0000000	Pram.g_00873, Pram.g_00879	Prbl.g_01582
OG0000000	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174	Prbl.g_01092
OG0000002	Pram.g_01953, Pram.g_01954	Prbl.g_00808, Prbl.g_02598, Prbl.g_02578, Prbl.g_00725, Prbl.g_00121
OG0000002	Pram.g_00719	Prbl.g_02599
OG0000003	Pram.g_01513, Pram.g_01176	Prbl.g_00117
OG0000004	Pram.g_01207	Prbl.g_01685, Prbl.g_00628, Prbl.g_00679
OG0000006	Pram.g_00433	Prbl.g_00531
OG0000006	Pram.g_01632	Prbl.g_00394
OG0000007	Pram.g_01263, Pram.g_01262	Prbl.g_01854, Prbl.g_01855
OG0000009	Pram.g_01164, Pram.g_00237	Prbl.g_01509
OG0000011	Pram.g_00359	Prbl.g_01574
OG0000012	Pram.g_00542	Prbl.g_01755
OG0000012	Pram.g_00535	Prbl.g_01763
OG0000013	Pram.g_00696	Prbl.g_01566
OG0000016	Pram.g_01283	Prbl.g_00046
OG0000017	Pram.g_01580, Pram.g_01357	Prbl.g_00691
OG0000018	Pram.g_00229	Prbl.g_02601
OG0000019	Pram.g_00794	Prbl.g_01768
OG0000020	Pram.g_00259	Prbl.g_01465
OG0000024	Pram.g_00295	Prbl.g_01416
OG0000026	Pram.g_01258	Prbl.g_01981
OG0000028	Pram.g_01381, Pram.g_01378	Prbl.g_00242
OG0000032	Pram.g_01413	Prbl.g_00835, Prbl.g_00830
OG0000034	Pram.g_00040	Prbl.g_00870
OG0000036	Pram.g_01559	Prbl.g_01783
OG0000037	Pram.g_00561	Prbl.g_01618
OG0000038	Pram.g_01287	Prbl.g_01072
OG0000039	Pram.g_00151	Prbl.g_00281
OG0000040	Pram.g_00689	Prbl.g_02355
OG0000042	Pram.g_00801	Prbl.g_02567, Prbl.g_01839
OG0000043	Pram.g_00905	Prbl.g_01099, Prbl.g_01097
OG0000044	Pram.g_01140	Prbl.g_02084
OG0000045	Pram.g_01447	Prbl.g_00890
OG0000046	Pram.g_01265	Prbl.g_00405
OG0000047	Pram.g_01833	Prbl.g_01285
OG0000048	Pram.g_01841	Prbl.g_01236, Prbl.g_01121
OG0000050	Pram.g_00018	Prbl.g_01977
OG0000051	Pram.g_00142	Prbl.g_00290
OG0000052	Pram.g_00677	Prbl.g_00411
OG0000054	Pram.g_01517	Prbl.g_01943
OG0000055	Pram.g_00832	Prbl.g_02310
OG0000056	Pram.g_01191	Prbl.g_00138
OG0000058	Pram.g_00411	Prbl.g_01340
OG0000059	Pram.g_00792	Prbl.g_00025
OG0000062	Pram.g_01546	Prbl.g_02204
OG0000063	Pram.g_01112	Prbl.g_01384
OG0000065	Pram.g_01230	Prbl.g_01722
OG0000066	Pram.g_01446	Prbl.g_00892
OG0000068	Pram.g_01770	Prbl.g_01126, Prbl.g_01000
OG0000069	Pram.g_01339	Prbl.g_00712
OG0000070	Pram.g_01611	Prbl.g_01171, Prbl.g_01599
OG0000071	Pram.g_01949	Prbl.g_02109
OG0000072	Pram.g_00310	Prbl.g_00897
OG0000073	Pram.g_01039	Prbl.g_01395
OG0000074	Pram.g_00782	Prbl.g_01859
OG0000075	Pram.g_00816	Prbl.g_02328
OG0000076	Pram.g_00888	Prbl.g_00927
OG0000078	Pram.g_01445	Prbl.g_00893
OG0000079	Pram.g_01293	Prbl.g_00417
OG0000080	Pram.g_01554	Prbl.g_00462
OG0000081	Pram.g_01805	Prbl.g_00857
OG0000082	Pram.g_01898	Prbl.g_02195
OG0000083	Pram.g_01941	Prbl.g_02118
OG0000084	Pram.g_01944	Prbl.g_02115
OG0000085	Pram.g_00010	Prbl.g_01968
OG0000087	Pram.g_00036	Prbl.g_02273
OG0000088	Pram.g_00099	Prbl.g_01331
OG0000089	Pram.g_00108	Prbl.g_01316
OG0000090	Pram.g_00125	Prbl.g_00810
OG0000091	Pram.g_00154	Prbl.g_00278
OG0000092	Pram.g_00155	Prbl.g_00277
OG0000093	Pram.g_00168	Prbl.g_00069
OG0000094	Pram.g_00187	Prbl.g_00098
OG0000095	Pram.g_00192	Prbl.g_01282
OG0000096	Pram.g_00239	Prbl.g_01506
OG0000097	Pram.g_00262	Prbl.g_01461
OG0000098	Pram.g_00273	Prbl.g_01448
OG0000099	Pram.g_00283	Prbl.g_01436
OG0000100	Pram.g_00286	Prbl.g_01432
OG0000101	Pram.g_00354	Prbl.g_02677
OG0000102	Pram.g_01589	Prbl.g_02190
OG0000103	Pram.g_00412	Prbl.g_01339
OG0000104	Pram.g_00416	Prbl.g_00511
OG0000105	Pram.g_00437	Prbl.g_00533
OG0000106	Pram.g_00470	Prbl.g_00768
OG0000107	Pram.g_00471	Prbl.g_00766
OG0000108	Pram.g_00480	Prbl.g_02647
OG0000109	Pram.g_00489	Prbl.g_01886
OG0000110	Pram.g_00507	Prbl.g_01905
OG0000111	Pram.g_01059	Prbl.g_01043
OG0000112	Pram.g_01058	Prbl.g_01042
OG0000113	Pram.g_01006	Prbl.g_02432
OG0000114	Pram.g_00807	Prbl.g_02337
OG0000115	Pram.g_00943	Prbl.g_02478
OG0000116	Pram.g_00947	Prbl.g_02486
OG0000117	Pram.g_00891	Prbl.g_00930
OG0000118	Pram.g_01185	Prbl.g_02128
OG0000119	Pram.g_01549	Prbl.g_02202
OG0000120	Pram.g_01133	Prbl.g_02091
OG0000121	Pram.g_01110	Prbl.g_01119
OG0000122	Pram.g_01090	Prbl.g_02583
OG0000123	Pram.g_00571	Prbl.g_01102
OG0000124	Pram.g_01254	Prbl.g_00937
OG0000125	Pram.g_01242	Prbl.g_01736
OG0000126	Pram.g_01468	Prbl.g_00502
OG0000127	Pram.g_01393	Prbl.g_00258
OG0000128	Pram.g_01377	Prbl.g_00241
OG0000129	Pram.g_01341	Prbl.g_00709
OG0000130	Pram.g_01629	Prbl.g_00399
OG0000131	Pram.g_01669	Prbl.g_00350
OG0000132	Pram.g_01672	Prbl.g_00347
OG0000133	Pram.g_01728	Prbl.g_00957
OG0000134	Pram.g_01764	Prbl.g_00994
OG0000135	Pram.g_01766	Prbl.g_00996
OG0000136	Pram.g_01817	Prbl.g_00841
OG0000137	Pram.g_01851	Prbl.g_02053
OG0000138	Pram.g_01886	Prbl.g_02231
OG0000139	Pram.g_01917	Prbl.g_02147
OG0000140	Pram.g_01939	Prbl.g_02120
OG0000141	Pram.g_01940	Prbl.g_02119
OG0000142	Pram.g_01942	Prbl.g_02117
OG0000143	Pram.g_01943	Prbl.g_02116
OG0000144	Pram.g_01945	Prbl.g_02114
OG0000145	Pram.g_01946	Prbl.g_02112
OG0000146	Pram.g_01947	Prbl.g_02111
OG0000147	Pram.g_01948	Prbl.g_02110
OG0000148	Pram.g_01950	Prbl.g_02108
OG0000149	Pram.g_00001	Prbl.g_01955
OG0000150	Pram.g_00002	Prbl.g_01956
OG0000151	Pram.g_00003	Prbl.g_01961
OG0000152	Pram.g_00004	Prbl.g_01962
OG0000153	Pram.g_00005	Prbl.g_01963
OG0000154	Pram.g_00006	Prbl.g_01964
OG0000155	Pram.g_00007	Prbl.g_01965
OG0000156	Pram.g_00008	Prbl.g_01966
OG0000157	Pram.g_00009	Prbl.g_01967
OG0000158	Pram.g_00011	Prbl.g_01969
OG0000159	Pram.g_00012	Prbl.g_01970
OG0000160	Pram.g_00013	Prbl.g_01971
OG0000161	Pram.g_00014	Prbl.g_01972
OG0000162	Pram.g_00015	Prbl.g_01973
OG0000163	Pram.g_00016	Prbl.g_01975
OG0000164	Pram.g_00019	Prbl.g_01980
OG0000165	Pram.g_00021	Prbl.g_01985
OG0000166	Pram.g_00022	Prbl.g_01986
OG0000167	Pram.g_00023	Prbl.g_01987
OG0000168	Pram.g_00024	Prbl.g_01988
OG0000169	Pram.g_00026	Prbl.g_01990
OG0000170	Pram.g_00028	Prbl.g_02241
OG0000171	Pram.g_00029	Prbl.g_02243
OG0000172	Pram.g_00030	Prbl.g_02244
OG0000173	Pram.g_00033	Prbl.g_02251
OG0000174	Pram.g_00034	Prbl.g_02258
OG0000175	Pram.g_00035	Prbl.g_02266
OG0000176	Pram.g_00037	Prbl.g_02274
OG0000177	Pram.g_00038	Prbl.g_02275
OG0000178	Pram.g_00039	Prbl.g_02276
OG0000179	Pram.g_00048	Prbl.g_00614
OG0000180	Pram.g_00049	Prbl.g_00613
OG0000181	Pram.g_00050	Prbl.g_00612
OG0000182	Pram.g_00054	Prbl.g_00608
OG0000183	Pram.g_00055	Prbl.g_00607
OG0000184	Pram.g_00058	Prbl.g_00603
OG0000185	Pram.g_00062	Prbl.g_00597
OG0000186	Pram.g_00063	Prbl.g_00596
OG0000187	Pram.g_01536	Prbl.g_01075
OG0000188	Pram.g_00064	Prbl.g_00595
OG0000189	Pram.g_00065	Prbl.g_00592
OG0000190	Pram.g_00066	Prbl.g_00591
OG0000191	Pram.g_00067	Prbl.g_00590
OG0000192	Pram.g_00068	Prbl.g_00589
OG0000193	Pram.g_00069	Prbl.g_00588
OG0000194	Pram.g_00070	Prbl.g_00587
OG0000195	Pram.g_00072	Prbl.g_00583
OG0000196	Pram.g_00073	Prbl.g_00582
OG0000197	Pram.g_00074	Prbl.g_00576
OG0000198	Pram.g_00075	Prbl.g_00572
OG0000199	Pram.g_00078	Prbl.g_00567
OG0000200	Pram.g_00079	Prbl.g_00566
OG0000201	Pram.g_00080	Prbl.g_00565
OG0000202	Pram.g_00081	Prbl.g_00563
OG0000203	Pram.g_00082	Prbl.g_00562
OG0000204	Pram.g_00083	Prbl.g_00561
OG0000205	Pram.g_00085	Prbl.g_00559
OG0000206	Pram.g_00086	Prbl.g_00558
OG0000207	Pram.g_00087	Prbl.g_00557
OG0000208	Pram.g_00088	Prbl.g_00556
OG0000209	Pram.g_00089	Prbl.g_00555
OG0000210	Pram.g_00090	Prbl.g_00553
OG0000211	Pram.g_00091	Prbl.g_00552
OG0000212	Pram.g_00092	Prbl.g_00551
OG0000213	Pram.g_00093	Prbl.g_00548
OG0000214	Pram.g_00097	Prbl.g_00542
OG0000215	Pram.g_00098	Prbl.g_01332
OG0000216	Pram.g_00100	Prbl.g_01330
OG0000217	Pram.g_00101	Prbl.g_01328
OG0000218	Pram.g_00102	Prbl.g_01326
OG0000219	Pram.g_00103	Prbl.g_01325
OG0000220	Pram.g_00106	Prbl.g_01320
OG0000221	Pram.g_00109	Prbl.g_01315
OG0000222	Pram.g_00110	Prbl.g_01314
OG0000223	Pram.g_00111	Prbl.g_01313
OG0000224	Pram.g_00113	Prbl.g_00827
OG0000225	Pram.g_00115	Prbl.g_00825
OG0000226	Pram.g_00117	Prbl.g_00822
OG0000227	Pram.g_00118	Prbl.g_00820
OG0000228	Pram.g_00119	Prbl.g_00819
OG0000229	Pram.g_00120	Prbl.g_00818
OG0000230	Pram.g_00121	Prbl.g_00817
OG0000231	Pram.g_01001	Prbl.g_00815
OG0000232	Pram.g_00123	Prbl.g_00814
OG0000233	Pram.g_00126	Prbl.g_00809
OG0000234	Pram.g_00128	Prbl.g_00305
OG0000235	Pram.g_00130	Prbl.g_00303
OG0000236	Pram.g_00131	Prbl.g_00302
OG0000237	Pram.g_00132	Prbl.g_00301
OG0000238	Pram.g_00133	Prbl.g_00300
OG0000239	Pram.g_00134	Prbl.g_00299
OG0000240	Pram.g_00136	Prbl.g_00297
OG0000241	Pram.g_00137	Prbl.g_00296
OG0000242	Pram.g_00138	Prbl.g_00295
OG0000243	Pram.g_00139	Prbl.g_00294
OG0000244	Pram.g_00140	Prbl.g_00293
OG0000245	Pram.g_00141	Prbl.g_00291
OG0000246	Pram.g_00143	Prbl.g_00289
OG0000247	Pram.g_00144	Prbl.g_00288
OG0000248	Pram.g_00145	Prbl.g_00287
OG0000249	Pram.g_00146	Prbl.g_00286
OG0000250	Pram.g_00147	Prbl.g_00285
OG0000251	Pram.g_00148	Prbl.g_00284
OG0000252	Pram.g_00149	Prbl.g_00283
OG0000253	Pram.g_00150	Prbl.g_00282
OG0000254	Pram.g_00152	Prbl.g_00280
OG0000255	Pram.g_00153	Prbl.g_00279
OG0000256	Pram.g_00156	Prbl.g_00276
OG0000257	Pram.g_00157	Prbl.g_00275
OG0000258	Pram.g_00158	Prbl.g_00274
OG0000259	Pram.g_00159	Prbl.g_00273
OG0000260	Pram.g_00160	Prbl.g_00272
OG0000261	Pram.g_00161	Prbl.g_00271
OG0000262	Pram.g_00162	Prbl.g_00270
OG0000263	Pram.g_00163	Prbl.g_00269
OG0000264	Pram.g_00165	Prbl.g_02377
OG0000265	Pram.g_00166	Prbl.g_00066
OG0000266	Pram.g_00167	Prbl.g_00068
OG0000267	Pram.g_00169	Prbl.g_00072
OG0000268	Pram.g_00171	Prbl.g_00074
OG0000269	Pram.g_00172	Prbl.g_00077
OG0000270	Pram.g_00173	Prbl.g_00079
OG0000271	Pram.g_00174	Prbl.g_00082
OG0000272	Pram.g_00175	Prbl.g_00083
OG0000273	Pram.g_00176	Prbl.g_00086
OG0000274	Pram.g_00177	Prbl.g_00088
OG0000275	Pram.g_00178	Prbl.g_00089
OG0000276	Pram.g_00179	Prbl.g_00090
OG0000277	Pram.g_00180	Prbl.g_00091
OG0000278	Pram.g_00181	Prbl.g_00092
OG0000279	Pram.g_00182	Prbl.g_00093
OG0000280	Pram.g_00183	Prbl.g_00094
OG0000281	Pram.g_00185	Prbl.g_00096
OG0000282	Pram.g_00186	Prbl.g_00097
OG0000283	Pram.g_00189	Prbl.g_00104
OG0000284	Pram.g_00190	Prbl.g_00105
OG0000285	Pram.g_00191	Prbl.g_01283
OG0000286	Pram.g_00193	Prbl.g_01281
OG0000287	Pram.g_00194	Prbl.g_00130
OG0000288	Pram.g_00195	Prbl.g_00129
OG0000289	Pram.g_00196	Prbl.g_00127
OG0000290	Pram.g_00197	Prbl.g_00126
OG0000291	Pram.g_00198	Prbl.g_00124
OG0000292	Pram.g_00199	Prbl.g_01244
OG0000293	Pram.g_00200	Prbl.g_01245
OG0000294	Pram.g_00201	Prbl.g_01246
OG0000295	Pram.g_00202	Prbl.g_01252
OG0000296	Pram.g_00203	Prbl.g_01253
OG0000297	Pram.g_00204	Prbl.g_01256
OG0000298	Pram.g_00205	Prbl.g_01257
OG0000299	Pram.g_00206	Prbl.g_01258
OG0000300	Pram.g_00207	Prbl.g_01259
OG0000301	Pram.g_00208	Prbl.g_01260
OG0000302	Pram.g_00209	Prbl.g_01261
OG0000303	Pram.g_00210	Prbl.g_01262
OG0000304	Pram.g_00212	Prbl.g_01264
OG0000305	Pram.g_00213	Prbl.g_01265
OG0000306	Pram.g_00214	Prbl.g_01266
OG0000307	Pram.g_00216	Prbl.g_01918
OG0000308	Pram.g_00217	Prbl.g_01769
OG0000309	Pram.g_00218	Prbl.g_01770
OG0000310	Pram.g_00219	Prbl.g_01771
OG0000311	Pram.g_00220	Prbl.g_01922
OG0000312	Pram.g_00222	Prbl.g_01923
OG0000313	Pram.g_00223	Prbl.g_00199
OG0000314	Pram.g_00227	Prbl.g_00193
OG0000315	Pram.g_00228	Prbl.g_00192
OG0000316	Pram.g_00230	Prbl.g_02679
