Orthogroup	Pram	Prbd
OG0000000	Pram.g_00873, Pram.g_00879	Prbd.g_01771
OG0000000	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174	Prbd.g_00566
OG0000002	Pram.g_01953, Pram.g_01954	Prbd.g_01779
OG0000002	Pram.g_00719	Prbd.g_01930
OG0000003	Pram.g_01513, Pram.g_01176	Prbd.g_01835, Prbd.g_01567
OG0000004	Pram.g_01207	Prbd.g_00038
OG0000005	Pram.g_01511	Prbd.g_01568, Prbd.g_01914
OG0000006	Pram.g_00433	Prbd.g_00745
OG0000006	Pram.g_01632	Prbd.g_01525
OG0000009	Pram.g_01164	Prbd.g_00082
OG0000009	Pram.g_00237	Prbd.g_00990
OG0000010	Pram.g_01505, Pram.g_00621	Prbd.g_01840, Prbd.g_00409, Prbd.g_01870
OG0000012	Pram.g_00542, Pram.g_00535	Prbd.g_00646
OG0000013	Pram.g_01545, Pram.g_00696	Prbd.g_00065, Prbd.g_00826
OG0000015	Pram.g_01597, Pram.g_00618, Pram.g_00662	Prbd.g_00856
OG0000016	Pram.g_01283	Prbd.g_01768
OG0000018	Pram.g_00229	Prbd.g_00998
OG0000019	Pram.g_00794	Prbd.g_01546, Prbd.g_00874
OG0000020	Pram.g_00259	Prbd.g_00439, Prbd.g_00864
OG0000021	Pram.g_01544, Pram.g_00644	Prbd.g_00084
OG0000022	Pram.g_01561	Prbd.g_01833
OG0000023	Pram.g_00390, Pram.g_01573	Prbd.g_01887
OG0000023	Pram.g_01284	Prbd.g_01576
OG0000024	Pram.g_00295	Prbd.g_00933
OG0000028	Pram.g_01381, Pram.g_01378	Prbd.g_01689
OG0000029	Pram.g_00391	Prbd.g_01575
OG0000035	Pram.g_00681	Prbd.g_00192
OG0000036	Pram.g_01559	Prbd.g_00658
OG0000037	Pram.g_00561	Prbd.g_00621
OG0000038	Pram.g_01287	Prbd.g_00061
OG0000039	Pram.g_00151	Prbd.g_01074
OG0000040	Pram.g_00689	Prbd.g_00879
OG0000041	Pram.g_01587	Prbd.g_00833
OG0000042	Pram.g_00801	Prbd.g_00007
OG0000043	Pram.g_00905	Prbd.g_00087
OG0000044	Pram.g_01140	Prbd.g_00468
OG0000045	Pram.g_01447	Prbd.g_01733
OG0000046	Pram.g_01265	Prbd.g_01532
OG0000047	Pram.g_01833	Prbd.g_01335
OG0000048	Pram.g_01841	Prbd.g_01328
OG0000050	Pram.g_00018	Prbd.g_01206
OG0000051	Pram.g_00142	Prbd.g_01083
OG0000052	Pram.g_00677	Prbd.g_00868
OG0000053	Pram.g_01558	Prbd.g_00703
OG0000055	Pram.g_00832	Prbd.g_00124
OG0000057	Pram.g_00224	Prbd.g_01002, Prbd.g_01537
OG0000058	Pram.g_00411	Prbd.g_00767
OG0000059	Pram.g_00792	Prbd.g_00546
OG0000060	Pram.g_00631	Prbd.g_00036
OG0000062	Pram.g_01546	Prbd.g_00427
OG0000063	Pram.g_01112	Prbd.g_01895
OG0000065	Pram.g_01230	Prbd.g_01801
OG0000066	Pram.g_01446	Prbd.g_01737
OG0000067	Pram.g_01579	Prbd.g_01867, Prbd.g_00534
OG0000068	Pram.g_01770	Prbd.g_01391
OG0000071	Pram.g_01949	Prbd.g_01226
OG0000072	Pram.g_00310	Prbd.g_00917
OG0000073	Pram.g_01039	Prbd.g_00575
OG0000074	Pram.g_00782	Prbd.g_00553
OG0000075	Pram.g_00816	Prbd.g_00109
OG0000076	Pram.g_00888	Prbd.g_00340
OG0000077	Pram.g_01510	Prbd.g_01913
OG0000078	Pram.g_01445	Prbd.g_01734
OG0000079	Pram.g_01293	Prbd.g_01610
OG0000080	Pram.g_01554	Prbd.g_01561
OG0000081	Pram.g_01805	Prbd.g_01361
OG0000083	Pram.g_01941	Prbd.g_01234
OG0000084	Pram.g_01944	Prbd.g_01231
OG0000085	Pram.g_00010	Prbd.g_01214
OG0000086	Pram.g_01588	Prbd.g_01199
OG0000087	Pram.g_00036	Prbd.g_01188
OG0000088	Pram.g_00099	Prbd.g_01131
OG0000089	Pram.g_00108	Prbd.g_01122
