Orthogroup	Pram	Prbe
OG0000000	Pram.g_00873	Prbe.g_01285
OG0000000	Pram.g_00879	Prbe.g_01290
OG0000000	Pram.g_00768	Prbe.g_00452
OG0000000	Pram.g_01278	Prbe.g_00208
OG0000000	Pram.g_01170	Prbe.g_01579
OG0000000	Pram.g_01471	Prbe.g_00379
OG0000000	Pram.g_01168	Prbe.g_01577
OG0000000	Pram.g_01174	Prbe.g_01584
OG0000001	Pram.g_01512	Prbe.g_01586
OG0000002	Pram.g_01953, Pram.g_01954	Prbe.g_00400
OG0000002	Pram.g_00719	Prbe.g_00112
OG0000003	Pram.g_01176	Prbe.g_01587
OG0000004	Pram.g_01207	Prbe.g_01628
OG0000005	Pram.g_01511	Prbe.g_01119
OG0000006	Pram.g_00433	Prbe.g_00636
OG0000006	Pram.g_01632	Prbe.g_00985
OG0000007	Pram.g_01263	Prbe.g_00036
OG0000007	Pram.g_01262	Prbe.g_00037
OG0000009	Pram.g_01164	Prbe.g_01573
OG0000009	Pram.g_00237	Prbe.g_01802
OG0000010	Pram.g_01505, Pram.g_00621	Prbe.g_00081
OG0000011	Pram.g_00359	Prbe.g_01921
OG0000012	Pram.g_00542	Prbe.g_00529
OG0000012	Pram.g_00535	Prbe.g_00536
OG0000013	Pram.g_01545	Prbe.g_01046
OG0000013	Pram.g_00696	Prbe.g_01000
OG0000015	Pram.g_00662	Prbe.g_01130, Prbe.g_01024
OG0000016	Pram.g_01283	Prbe.g_00214
OG0000017	Pram.g_01580	Prbe.g_01040
OG0000017	Pram.g_01357	Prbe.g_00290
OG0000018	Pram.g_00229	Prbe.g_01794
OG0000019	Pram.g_00794	Prbe.g_01208
OG0000020	Pram.g_00259	Prbe.g_00906, Prbe.g_01825
OG0000021	Pram.g_00644	Prbe.g_01003
OG0000023	Pram.g_00390	Prbe.g_00216
OG0000024	Pram.g_00295	Prbe.g_01861
OG0000025	Pram.g_00706	Prbe.g_00098
OG0000026	Pram.g_01258	Prbe.g_00021
OG0000028	Pram.g_01381, Pram.g_01378	Prbe.g_00311
OG0000029	Pram.g_00391	Prbe.g_00678
OG0000032	Pram.g_01413	Prbe.g_00352
OG0000033	Pram.g_01193	Prbe.g_01607
OG0000034	Pram.g_00040	Prbe.g_00158
OG0000035	Pram.g_00681	Prbe.g_00074
OG0000036	Pram.g_01559	Prbe.g_00996
OG0000037	Pram.g_00561	Prbe.g_00511, Prbe.g_00196
OG0000038	Pram.g_01287	Prbe.g_00220
OG0000039	Pram.g_00151	Prbe.g_01714
OG0000040	Pram.g_00689	Prbe.g_00062
OG0000041	Pram.g_01587	Prbe.g_01021, Prbe.g_01027
OG0000042	Pram.g_00801	Prbe.g_01214
OG0000043	Pram.g_00905	Prbe.g_01314
OG0000044	Pram.g_01140	Prbe.g_01549
OG0000045	Pram.g_01447	Prbe.g_00351
OG0000046	Pram.g_01265	Prbe.g_00007
OG0000047	Pram.g_01833	Prbe.g_00774
OG0000048	Pram.g_01841	Prbe.g_00766
OG0000050	Pram.g_00018	Prbe.g_00132
OG0000051	Pram.g_00142	Prbe.g_01705
OG0000052	Pram.g_00677	Prbe.g_00740
OG0000053	Pram.g_01558	Prbe.g_01114
OG0000054	Pram.g_01517	Prbe.g_00494
OG0000055	Pram.g_00832	Prbe.g_01245
OG0000056	Pram.g_01191	Prbe.g_01605
OG0000057	Pram.g_00224	Prbe.g_01789
OG0000058	Pram.g_00411	Prbe.g_00658
OG0000059	Pram.g_00792	Prbe.g_01206
OG0000062	Pram.g_01546	Prbe.g_00041
OG0000063	Pram.g_01112	Prbe.g_01522
OG0000065	Pram.g_01230	Prbe.g_00893
OG0000066	Pram.g_01446	Prbe.g_00353
OG0000067	Pram.g_01579	Prbe.g_00713
OG0000068	Pram.g_01770	Prbe.g_00836
OG0000069	Pram.g_01339	Prbe.g_00272
OG0000071	Pram.g_01949	Prbe.g_01076
OG0000072	Pram.g_00310	Prbe.g_01875
OG0000073	Pram.g_01039	Prbe.g_01449
OG0000074	Pram.g_00782	Prbe.g_00466
OG0000075	Pram.g_00816	Prbe.g_01229
OG0000076	Pram.g_00888	Prbe.g_01297
OG0000077	Pram.g_01510	Prbe.g_01118
OG0000078	Pram.g_01445	Prbe.g_00350
OG0000079	Pram.g_01293	Prbe.g_00226
OG0000080	Pram.g_01554	Prbe.g_00714
OG0000081	Pram.g_01805	Prbe.g_00802
OG0000082	Pram.g_01898	Prbe.g_00709
OG0000083	Pram.g_01941	Prbe.g_01068
OG0000084	Pram.g_01944	Prbe.g_01071
OG0000085	Pram.g_00010	Prbe.g_00123
OG0000087	Pram.g_00036	Prbe.g_00152
OG0000088	Pram.g_00099	Prbe.g_01657
OG0000089	Pram.g_00108	Prbe.g_01666
OG0000090	Pram.g_00125	Prbe.g_01683
OG0000091	Pram.g_00154	Prbe.g_01717
OG0000092	Pram.g_00155	Prbe.g_01718
OG0000093	Pram.g_00168	Prbe.g_01732
OG0000094	Pram.g_00187	Prbe.g_01751
OG0000095	Pram.g_00192	Prbe.g_01756
OG0000096	Pram.g_00239	Prbe.g_01804
OG0000097	Pram.g_00262	Prbe.g_01828
OG0000098	Pram.g_00273	Prbe.g_01839
OG0000099	Pram.g_00283	Prbe.g_01849
OG0000100	Pram.g_00286	Prbe.g_01852
OG0000101	Pram.g_00354	Prbe.g_01917
OG0000102	Pram.g_01589	Prbe.g_00911
OG0000103	Pram.g_00412	Prbe.g_00657
OG0000104	Pram.g_00416	Prbe.g_00653
OG0000105	Pram.g_00437	Prbe.g_00633
OG0000106	Pram.g_00470	Prbe.g_00603
OG0000107	Pram.g_00471	Prbe.g_00602
OG0000108	Pram.g_00480	Prbe.g_00592
OG0000109	Pram.g_00489	Prbe.g_00583
OG0000110	Pram.g_00507	Prbe.g_00566
OG0000111	Pram.g_01059	Prbe.g_01468
OG0000112	Pram.g_01058	Prbe.g_01467
OG0000113	Pram.g_01006	Prbe.g_01417
OG0000114	Pram.g_00807	Prbe.g_01220
OG0000115	Pram.g_00943	Prbe.g_01350
OG0000116	Pram.g_00947	Prbe.g_01354
OG0000117	Pram.g_00891	Prbe.g_01300
OG0000118	Pram.g_01185	Prbe.g_01594
OG0000119	Pram.g_01549	Prbe.g_00044
OG0000120	Pram.g_01133	Prbe.g_01543
OG0000121	Pram.g_01110	Prbe.g_01520
OG0000122	Pram.g_01090	Prbe.g_01500
OG0000123	Pram.g_00571	Prbe.g_00501
OG0000124	Pram.g_01254	Prbe.g_00215
OG0000125	Pram.g_01242	Prbe.g_00880
OG0000126	Pram.g_01468	Prbe.g_00373
OG0000127	Pram.g_01393	Prbe.g_00323
OG0000128	Pram.g_01377	Prbe.g_00310
OG0000129	Pram.g_01341	Prbe.g_00274
OG0000130	Pram.g_01629	Prbe.g_00988
OG0000131	Pram.g_01669	Prbe.g_00949
OG0000132	Pram.g_01672	Prbe.g_00946
OG0000133	Pram.g_01728	Prbe.g_01088
OG0000134	Pram.g_01764	Prbe.g_00842
OG0000135	Pram.g_01766	Prbe.g_00840
OG0000136	Pram.g_01817	Prbe.g_00790
OG0000137	Pram.g_01851	Prbe.g_00746
OG0000138	Pram.g_01886	Prbe.g_01158
OG0000139	Pram.g_01917	Prbe.g_01189
OG0000140	Pram.g_01939	Prbe.g_01066
OG0000141	Pram.g_01940	Prbe.g_01067
OG0000142	Pram.g_01942	Prbe.g_01069
OG0000143	Pram.g_01943	Prbe.g_01070
OG0000144	Pram.g_01945	Prbe.g_01072
OG0000145	Pram.g_01946	Prbe.g_01073
OG0000146	Pram.g_01947	Prbe.g_01074
OG0000147	Pram.g_01948	Prbe.g_01075
OG0000148	Pram.g_01950	Prbe.g_01077
OG0000149	Pram.g_00001	Prbe.g_00114
OG0000150	Pram.g_00002	Prbe.g_00115
