Orthogroup	Pram	Praq
OG0000000	Pram.g_00873, Pram.g_00879	Praq.g_00168
OG0000000	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174	Praq.g_00807
OG0000002	Pram.g_01953, Pram.g_01954	Praq.g_00160
OG0000002	Pram.g_00719	Praq.g_01393, Praq.g_01394
OG0000003	Pram.g_01513, Pram.g_01176	Praq.g_00115, Praq.g_00028
OG0000004	Pram.g_01207	Praq.g_00614
OG0000005	Pram.g_01511	Praq.g_00026, Praq.g_01956
OG0000006	Pram.g_00433	Praq.g_01105
OG0000006	Pram.g_01632	Praq.g_00497
OG0000007	Pram.g_01263	Praq.g_00071
OG0000009	Pram.g_01164	Praq.g_00649
OG0000009	Pram.g_00237	Praq.g_01753
OG0000010	Pram.g_01505, Pram.g_00621	Praq.g_00081, Praq.g_01283, Praq.g_00097
OG0000011	Pram.g_00359	Praq.g_01137
OG0000012	Pram.g_00542, Pram.g_00535	Praq.g_01004
OG0000013	Pram.g_01545, Pram.g_00696	Praq.g_00065
OG0000015	Pram.g_01597, Pram.g_00618, Pram.g_00662	Praq.g_01161
OG0000016	Pram.g_01283	Praq.g_00171
OG0000017	Pram.g_01580, Pram.g_01357	Praq.g_01246
OG0000018	Pram.g_00229	Praq.g_01761
OG0000019	Pram.g_00794	Praq.g_01179
OG0000020	Pram.g_00259	Praq.g_01169
OG0000021	Pram.g_01544, Pram.g_00644	Praq.g_00651
OG0000022	Pram.g_01561	Praq.g_00117
OG0000023	Pram.g_01284	Praq.g_00017
OG0000024	Pram.g_00295	Praq.g_01696
OG0000026	Pram.g_01258	Praq.g_00075
OG0000028	Pram.g_01381, Pram.g_01378	Praq.g_00294
OG0000029	Pram.g_00391	Praq.g_00018, Praq.g_00056
OG0000032	Pram.g_01413	Praq.g_00209
OG0000035	Pram.g_00681	Praq.g_01475
OG0000036	Pram.g_01559	Praq.g_01018
OG0000037	Pram.g_00561	Praq.g_00979
OG0000038	Pram.g_01287	Praq.g_00635
OG0000039	Pram.g_00151	Praq.g_01836
OG0000040	Pram.g_00689	Praq.g_01184
OG0000041	Pram.g_01587	Praq.g_01129
OG0000042	Pram.g_00801	Praq.g_00583
OG0000043	Pram.g_00905	Praq.g_00654
OG0000044	Pram.g_01140	Praq.g_01333
OG0000045	Pram.g_01447	Praq.g_00218
OG0000047	Pram.g_01833	Praq.g_01243, Praq.g_00763
OG0000048	Pram.g_01841	Praq.g_00770
OG0000050	Pram.g_00018	Praq.g_01234
OG0000051	Pram.g_00142	Praq.g_00554, Praq.g_01845
OG0000052	Pram.g_00677	Praq.g_01173
OG0000053	Pram.g_01558	Praq.g_01063
OG0000055	Pram.g_00832	Praq.g_01420
OG0000057	Pram.g_00224	Praq.g_01765
OG0000058	Pram.g_00411	Praq.g_00526
OG0000059	Pram.g_00792	Praq.g_00827
OG0000060	Pram.g_00631	Praq.g_00612, Praq.g_00857, Praq.g_00548, Praq.g_00083
OG0000062	Pram.g_01546	Praq.g_01300
OG0000063	Pram.g_01112	Praq.g_00084
OG0000065	Pram.g_01230	Praq.g_00133
OG0000066	Pram.g_01446	Praq.g_00208
