Orthogroup	Pram	Prah
OG0000000	Pram.g_00873, Pram.g_00879	Prah.g_00562
OG0000000	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174	Prah.g_01226
OG0000002	Pram.g_01953, Pram.g_01954	Prah.g_02270, Prah.g_00896, Prah.g_01159, Prah.g_00324, Prah.g_01343
OG0000003	Pram.g_01513, Pram.g_01176	Prah.g_01347
OG0000004	Pram.g_01207	Prah.g_01175, Prah.g_00215
OG0000006	Pram.g_00433	Prah.g_01546
OG0000006	Pram.g_01632	Prah.g_01676
OG0000007	Pram.g_01263, Pram.g_01262	Prah.g_00969, Prah.g_00970
OG0000009	Pram.g_01164, Pram.g_00237	Prah.g_02086
OG0000011	Pram.g_00359	Prah.g_00322, Prah.g_00321
OG0000012	Pram.g_00542	Prah.g_01397
OG0000012	Pram.g_00535	Prah.g_01405
OG0000013	Pram.g_00696	Prah.g_01155, Prah.g_00576
OG0000016	Pram.g_01283	Prah.g_01048
OG0000017	Pram.g_01580, Pram.g_01357	Prah.g_00381
OG0000018	Pram.g_00229	Prah.g_00475, Prah.g_01767
OG0000019	Pram.g_00794	Prah.g_01410
OG0000020	Pram.g_00259	Prah.g_02122
OG0000024	Pram.g_00295	Prah.g_02171
OG0000025	Pram.g_00706	Prah.g_01120
OG0000026	Pram.g_01258	Prah.g_00042
OG0000028	Pram.g_01381, Pram.g_01378	Prah.g_00408
OG0000032	Pram.g_01413	Prah.g_02248
OG0000033	Pram.g_01193	Prah.g_01270
OG0000034	Pram.g_00040	Prah.g_02219
OG0000036	Pram.g_01559	Prah.g_01427
OG0000037	Pram.g_00561	Prah.g_00524
OG0000038	Pram.g_01287	Prah.g_01209
OG0000039	Pram.g_00151	Prah.g_02304
OG0000040	Pram.g_00689	Prah.g_00688
OG0000042	Pram.g_00801	Prah.g_00887, Prah.g_00958
OG0000043	Pram.g_00905	Prah.g_01233, Prah.g_01231
OG0000044	Pram.g_01140	Prah.g_01322
OG0000045	Pram.g_01447	Prah.g_02195
OG0000046	Pram.g_01265	Prah.g_01666
OG0000047	Pram.g_01833	Prah.g_00150
OG0000048	Pram.g_01841	Prah.g_01256, Prah.g_00135
OG0000050	Pram.g_00018	Prah.g_00038
OG0000051	Pram.g_00142	Prah.g_02295
OG0000052	Pram.g_00677	Prah.g_01660
OG0000054	Pram.g_01517	Prah.g_01812
OG0000055	Pram.g_00832	Prah.g_00641
OG0000056	Pram.g_01191	Prah.g_02425
OG0000057	Pram.g_00224	Prah.g_01778
OG0000058	Pram.g_00411	Prah.g_00312
OG0000059	Pram.g_00792	Prah.g_01027
OG0000062	Pram.g_01546	Prah.g_02524
OG0000063	Pram.g_01112	Prah.g_01257
OG0000065	Pram.g_01230	Prah.g_01364
OG0000066	Pram.g_01446	Prah.g_02192
OG0000068	Pram.g_01770	Prah.g_01995
OG0000069	Pram.g_01339	Prah.g_00358
OG0000070	Pram.g_01611	Prah.g_00342, Prah.g_00341, Prah.g_01968, Prah.g_01082, Prah.g_00543
OG0000071	Pram.g_01949	Prah.g_00013
OG0000072	Pram.g_00310	Prah.g_02187
OG0000073	Pram.g_01039	Prah.g_00445
OG0000074	Pram.g_00782	Prah.g_00974
OG0000075	Pram.g_00816	Prah.g_00660
OG0000076	Pram.g_00888	Prah.g_00915
OG0000078	Pram.g_01445	Prah.g_02191
OG0000079	Pram.g_01293	Prah.g_01654
OG0000080	Pram.g_01554	Prah.g_01609
OG0000081	Pram.g_01805	Prah.g_02230
OG0000082	Pram.g_01898	Prah.g_02533
OG0000083	Pram.g_01941	Prah.g_00004
OG0000084	Pram.g_01944	Prah.g_00007
OG0000085	Pram.g_00010	Prah.g_00029
OG0000087	Pram.g_00036	Prah.g_02458
OG0000088	Pram.g_00099	Prah.g_00194
OG0000089	Pram.g_00108	Prah.g_00176, Prah.g_00180
OG0000090	Pram.g_00125	Prah.g_02268
OG0000091	Pram.g_00154	Prah.g_02307
OG0000092	Pram.g_00155	Prah.g_02308
OG0000093	Pram.g_00168	Prah.g_02324
OG0000094	Pram.g_00187	Prah.g_02362
OG0000095	Pram.g_00192	Prah.g_02371
OG0000096	Pram.g_00239	Prah.g_02089
OG0000097	Pram.g_00262	Prah.g_02126
OG0000098	Pram.g_00273	Prah.g_02139
OG0000099	Pram.g_00283	Prah.g_02151
OG0000100	Pram.g_00286	Prah.g_02155
OG0000101	Pram.g_00354	Prah.g_00208
OG0000102	Pram.g_01589	Prah.g_02538
OG0000103	Pram.g_00412	Prah.g_00313, Prah.g_00314
OG0000104	Pram.g_00416	Prah.g_01566
OG0000105	Pram.g_00437	Prah.g_01544
OG0000106	Pram.g_00470	Prah.g_00108, Prah.g_01503
OG0000107	Pram.g_00471	Prah.g_01501
OG0000108	Pram.g_00480	Prah.g_01476
OG0000109	Pram.g_00489	Prah.g_01465
OG0000110	Pram.g_00507	Prah.g_01446
OG0000111	Pram.g_01059	Prah.g_00474
OG0000112	Pram.g_01058	Prah.g_00473
OG0000113	Pram.g_01006	Prah.g_00752
OG0000114	Pram.g_00807	Prah.g_01823, Prah.g_00669
OG0000115	Pram.g_00943	Prah.g_00796
OG0000116	Pram.g_00947	Prah.g_00805
OG0000117	Pram.g_00891	Prah.g_00912
OG0000118	Pram.g_01185	Prah.g_02597
OG0000119	Pram.g_01549	Prah.g_02526
OG0000120	Pram.g_01133	Prah.g_01315
OG0000121	Pram.g_01110	Prah.g_01254
OG0000122	Pram.g_01090	Prah.g_01276
OG0000123	Pram.g_00571	Prah.g_01237, Prah.g_01238
OG0000124	Pram.g_01254	Prah.g_00905
OG0000125	Pram.g_01242	Prah.g_01378
OG0000126	Pram.g_01468	Prah.g_01576
OG0000127	Pram.g_01393	Prah.g_00424
OG0000128	Pram.g_01377	Prah.g_00407
OG0000129	Pram.g_01341	Prah.g_00361
OG0000130	Pram.g_01629	Prah.g_01672
OG0000131	Pram.g_01669	Prah.g_01725
OG0000132	Pram.g_01672	Prah.g_01728
OG0000133	Pram.g_01728	Prah.g_02038
OG0000134	Pram.g_01764	Prah.g_02001
OG0000135	Pram.g_01766	Prah.g_01999
OG0000136	Pram.g_01817	Prah.g_02244
OG0000137	Pram.g_01851	Prah.g_00089
OG0000138	Pram.g_01886	Prah.g_02498
OG0000139	Pram.g_01917	Prah.g_02578
OG0000140	Pram.g_01939	Prah.g_00002
OG0000141	Pram.g_01940	Prah.g_00003
OG0000142	Pram.g_01942	Prah.g_00005
OG0000143	Pram.g_01943	Prah.g_00006
OG0000144	Pram.g_01945	Prah.g_00008
OG0000145	Pram.g_01946	Prah.g_00010
OG0000146	Pram.g_01947	Prah.g_00011
OG0000147	Pram.g_01948	Prah.g_00012
OG0000148	Pram.g_01950	Prah.g_00014
OG0000149	Pram.g_00001	Prah.g_00016
OG0000150	Pram.g_00002	Prah.g_00017
OG0000151	Pram.g_00003	Prah.g_00022
OG0000152	Pram.g_00004	Prah.g_00023
OG0000153	Pram.g_00005	Prah.g_00024
OG0000154	Pram.g_00006	Prah.g_00025
OG0000155	Pram.g_00007	Prah.g_00026
OG0000156	Pram.g_00008	Prah.g_00027
OG0000157	Pram.g_00009	Prah.g_00028
OG0000158	Pram.g_00011	Prah.g_00030
OG0000159	Pram.g_00012	Prah.g_00031
OG0000160	Pram.g_00013	Prah.g_00032
OG0000161	Pram.g_00014	Prah.g_00033
OG0000162	Pram.g_00015	Prah.g_00034
OG0000163	Pram.g_00016	Prah.g_00036
OG0000164	Pram.g_00019	Prah.g_00041
OG0000165	Pram.g_00021	Prah.g_00046
OG0000166	Pram.g_00022	Prah.g_00047
OG0000167	Pram.g_00023	Prah.g_00048
OG0000168	Pram.g_00024	Prah.g_00049
OG0000169	Pram.g_00026	Prah.g_00051
OG0000170	Pram.g_00028	Prah.g_02488
OG0000171	Pram.g_00029	Prah.g_02486
OG0000172	Pram.g_00030	Prah.g_02485
OG0000173	Pram.g_00033	Prah.g_02478
OG0000174	Pram.g_00034	Prah.g_02471
OG0000175	Pram.g_00035	Prah.g_02466
OG0000176	Pram.g_00037	Prah.g_02457
OG0000177	Pram.g_00038	Prah.g_02454
OG0000178	Pram.g_00039	Prah.g_02453
OG0000179	Pram.g_00048	Prah.g_01830
OG0000180	Pram.g_00049	Prah.g_01833
OG0000181	Pram.g_00050	Prah.g_01834
OG0000182	Pram.g_00054	Prah.g_01838
OG0000183	Pram.g_00055	Prah.g_01839
OG0000184	Pram.g_00058	Prah.g_01843
OG0000185	Pram.g_00062	Prah.g_01849
OG0000186	Pram.g_00063	Prah.g_01850
OG0000187	Pram.g_01536	Prah.g_01211
OG0000188	Pram.g_00064	Prah.g_01851
OG0000189	Pram.g_00065	Prah.g_01859
OG0000190	Pram.g_00066	Prah.g_01860
OG0000191	Pram.g_00067	Prah.g_01861
OG0000192	Pram.g_00068	Prah.g_01862
OG0000193	Pram.g_00069	Prah.g_01863
OG0000194	Pram.g_00070	Prah.g_01864
OG0000195	Pram.g_00072	Prah.g_01866
OG0000196	Pram.g_00073	Prah.g_01867
OG0000197	Pram.g_00074	Prah.g_01873
OG0000198	Pram.g_00075	Prah.g_01877
OG0000199	Pram.g_00078	Prah.g_01882
OG0000200	Pram.g_00079	Prah.g_01883
OG0000201	Pram.g_00080	Prah.g_01884
OG0000202	Pram.g_00081	Prah.g_01886
OG0000203	Pram.g_00082	Prah.g_01887
OG0000204	Pram.g_00083	Prah.g_01888
OG0000205	Pram.g_00085	Prah.g_01890
OG0000206	Pram.g_00086	Prah.g_01891
OG0000207	Pram.g_00087	Prah.g_01892
OG0000208	Pram.g_00088	Prah.g_01893
OG0000209	Pram.g_00089	Prah.g_01894
OG0000210	Pram.g_00090	Prah.g_01896
OG0000211	Pram.g_00091	Prah.g_01897
OG0000212	Pram.g_00092	Prah.g_01898
OG0000213	Pram.g_00093	Prah.g_01901
OG0000214	Pram.g_00097	Prah.g_01908
OG0000215	Pram.g_00098	Prah.g_00195
OG0000216	Pram.g_00100	Prah.g_00193
OG0000217	Pram.g_00101	Prah.g_00191
OG0000218	Pram.g_00102	Prah.g_00189
OG0000219	Pram.g_00103	Prah.g_00188
OG0000220	Pram.g_00106	Prah.g_00183
OG0000221	Pram.g_00109	Prah.g_00175
OG0000222	Pram.g_00110	Prah.g_00174
OG0000223	Pram.g_00111	Prah.g_00173
OG0000224	Pram.g_00113	Prah.g_02252
OG0000225	Pram.g_00115	Prah.g_02254
OG0000226	Pram.g_00117	Prah.g_02257
OG0000227	Pram.g_00118	Prah.g_02259
OG0000228	Pram.g_00119	Prah.g_02260
OG0000229	Pram.g_00120	Prah.g_02261
OG0000230	Pram.g_00121	Prah.g_02262
OG0000231	Pram.g_01001	Prah.g_02264
OG0000232	Pram.g_00123	Prah.g_02265
OG0000233	Pram.g_00126	Prah.g_02269
OG0000234	Pram.g_00128	Prah.g_02280
OG0000235	Pram.g_00130	Prah.g_02282
OG0000236	Pram.g_00131	Prah.g_02283
OG0000237	Pram.g_00132	Prah.g_02284
OG0000238	Pram.g_00133	Prah.g_02285
OG0000239	Pram.g_00134	Prah.g_02286
OG0000240	Pram.g_00136	Prah.g_02288
OG0000241	Pram.g_00137	Prah.g_02289
OG0000242	Pram.g_00138	Prah.g_02290
OG0000243	Pram.g_00139	Prah.g_02291
OG0000244	Pram.g_00140	Prah.g_02292
OG0000245	Pram.g_00141	Prah.g_02294
OG0000246	Pram.g_00143	Prah.g_02296
OG0000247	Pram.g_00144	Prah.g_02297
OG0000248	Pram.g_00145	Prah.g_02298
OG0000249	Pram.g_00146	Prah.g_02299
OG0000250	Pram.g_00147	Prah.g_02300
OG0000251	Pram.g_00148	Prah.g_02301
OG0000252	Pram.g_00149	Prah.g_02302
OG0000253	Pram.g_00150	Prah.g_02303
OG0000254	Pram.g_00152	Prah.g_02305
OG0000255	Pram.g_00153	Prah.g_02306
OG0000256	Pram.g_00156	Prah.g_02309
OG0000257	Pram.g_00157	Prah.g_02310
OG0000258	Pram.g_00158	Prah.g_02311
OG0000259	Pram.g_00159	Prah.g_02312
OG0000260	Pram.g_00160	Prah.g_02313
OG0000261	Pram.g_00161	Prah.g_02314
OG0000262	Pram.g_00162	Prah.g_02315
OG0000263	Pram.g_00163	Prah.g_02316
OG0000264	Pram.g_00165	Prah.g_00709
OG0000265	Pram.g_00166	Prah.g_02321
