Orthogroup	Pram	Pras
OG0000000	Pram.g_00873, Pram.g_00879	Pras.g_00243
OG0000000	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174	Pras.g_01554
OG0000002	Pram.g_01953, Pram.g_01954	Pras.g_00235
OG0000002	Pram.g_00719	Pras.g_00541, Pras.g_00118, Pras.g_00120
OG0000003	Pram.g_01513, Pram.g_01176	Pras.g_00182, Pras.g_00471, Pras.g_00136
OG0000004	Pram.g_01207	Pras.g_01638
OG0000005	Pram.g_01511	Pras.g_00470, Pras.g_00493
OG0000006	Pram.g_00433	Pras.g_01375
OG0000006	Pram.g_01632	Pras.g_00550
OG0000009	Pram.g_01164	Pras.g_01681
OG0000009	Pram.g_00237	Pras.g_01101
OG0000010	Pram.g_01505, Pram.g_00621	Pras.g_00004, Pras.g_00163
OG0000011	Pram.g_00359	Pras.g_01263
OG0000012	Pram.g_00542, Pram.g_00535	Pras.g_01474
OG0000013	Pram.g_01545, Pram.g_00696	Pras.g_00127
OG0000015	Pram.g_01597, Pram.g_00618, Pram.g_00662	Pras.g_00539, Pras.g_01235
OG0000016	Pram.g_01283	Pras.g_00246
OG0000017	Pram.g_01580, Pram.g_01357	Pras.g_00886
OG0000018	Pram.g_00229	Pras.g_00148, Pras.g_01093
OG0000019	Pram.g_00794	Pras.g_00507, Pras.g_01218
OG0000020	Pram.g_00259	Pras.g_01227
OG0000021	Pram.g_01544, Pram.g_00644	Pras.g_01683
OG0000022	Pram.g_01561	Pras.g_00184
OG0000023	Pram.g_00390, Pram.g_01573	Pras.g_00157
OG0000023	Pram.g_01284	Pras.g_00463
OG0000024	Pram.g_00295	Pras.g_01158
OG0000028	Pram.g_01381, Pram.g_01378	Pras.g_00350
OG0000029	Pram.g_00391	Pras.g_00464, Pras.g_00538
OG0000032	Pram.g_01413	Pras.g_00331
OG0000034	Pram.g_01436, Pram.g_00040	Pras.g_00096
OG0000036	Pram.g_01559	Pras.g_01462
OG0000037	Pram.g_00561	Pras.g_01499
OG0000038	Pram.g_01287	Pras.g_01662
OG0000039	Pram.g_00151	Pras.g_01017
OG0000040	Pram.g_00689	Pras.g_01213
OG0000041	Pram.g_01587	Pras.g_01296
OG0000042	Pram.g_00801	Pras.g_01606
OG0000043	Pram.g_00905	Pras.g_01686
OG0000044	Pram.g_01140	Pras.g_00056
OG0000045	Pram.g_01447	Pras.g_00291
OG0000046	Pram.g_01265	Pras.g_00543
OG0000047	Pram.g_01833	Pras.g_00883, Pras.g_00743
OG0000048	Pram.g_01841	Pras.g_00750
OG0000050	Pram.g_00018	Pras.g_00873
OG0000051	Pram.g_00142	Pras.g_01008
OG0000052	Pram.g_00677	Pras.g_01223
OG0000053	Pram.g_01558	Pras.g_01416
OG0000055	Pram.g_00832	Pras.g_01723
OG0000057	Pram.g_00224	Pras.g_01089
OG0000058	Pram.g_00411	Pras.g_01353
OG0000059	Pram.g_00792	Pras.g_01574
OG0000060	Pram.g_00631	Pras.g_01636, Pras.g_01594, Pras.g_00529
OG0000062	Pram.g_01546	Pras.g_00023
OG0000063	Pram.g_01112	Pras.g_00150
OG0000065	Pram.g_01230	Pras.g_00209
OG0000066	Pram.g_01446	Pras.g_00273, Pras.g_00271, Pras.g_00272
OG0000067	Pram.g_01579	Pras.g_00166, Pras.g_00142
OG0000068	Pram.g_01770	Pras.g_00687
OG0000069	Pram.g_01339	Pras.g_00326
OG0000070	Pram.g_01611	Pras.g_00881
OG0000071	Pram.g_01949	Pras.g_00853
OG0000072	Pram.g_00310	Pras.g_01174
OG0000073	Pram.g_01039	Pras.g_00327, Pras.g_01545
OG0000074	Pram.g_00782	Pras.g_01567
OG0000075	Pram.g_00816	Pras.g_01708
OG0000076	Pram.g_00888	Pras.g_01934
OG0000077	Pram.g_01510	Pras.g_00494
OG0000078	Pram.g_01445	Pras.g_00294
OG0000079	Pram.g_01293	Pras.g_00431
OG0000080	Pram.g_01554	Pras.g_00477
OG0000081	Pram.g_01805	Pras.g_00717
OG0000082	Pram.g_01898	Pras.g_00131
OG0000083	Pram.g_01941	Pras.g_00845
OG0000084	Pram.g_01944	Pras.g_00848
OG0000085	Pram.g_00010	Pras.g_00865
OG0000086	Pram.g_01588	Pras.g_00892, Pras.g_01273
OG0000087	Pram.g_00036	Pras.g_00902
OG0000088	Pram.g_00099	Pras.g_00964
OG0000089	Pram.g_00108	Pras.g_00972
OG0000090	Pram.g_00125	Pras.g_00990
OG0000091	Pram.g_00154	Pras.g_01020
OG0000092	Pram.g_00155	Pras.g_01021
