Orthogroup	Syaj	Prbm
OG0000001	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prbm.g_01633
OG0000002	Syaj.g_02667	Prbm.g_00874, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712
OG0000004	Syaj.g_00441	Prbm.g_01483
OG0000004	Syaj.g_01314, Syaj.g_02853	Prbm.g_00291
OG0000005	Syaj.g_01698	Prbm.g_01790
OG0000006	Syaj.g_02635	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Syaj.g_00091	Prbm.g_00522
OG0000007	Syaj.g_01721	Prbm.g_01841
OG0000008	Syaj.g_00496	Prbm.g_01907
OG0000008	Syaj.g_00497	Prbm.g_01908
OG0000009	Syaj.g_01069	Prbm.g_01235, Prbm.g_01400
OG0000010	Syaj.g_01445	Prbm.g_01066
OG0000011	Syaj.g_01133	Prbm.g_01202
OG0000012	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831	Prbm.g_01106
OG0000013	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769	Prbm.g_00382
OG0000014	Syaj.g_02522	Prbm.g_00362
OG0000014	Syaj.g_02344	Prbm.g_02126
OG0000015	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659	Prbm.g_01427, Prbm.g_01149
OG0000016	Syaj.g_02276	Prbm.g_00013
OG0000016	Syaj.g_00590, Syaj.g_01191	Prbm.g_01944
OG0000018	Syaj.g_01413	Prbm.g_01571
OG0000019	Syaj.g_02613	Prbm.g_00792
OG0000021	Syaj.g_00042	Prbm.g_01939
OG0000022	Syaj.g_01220	Prbm.g_01324
OG0000023	Syaj.g_00829, Syaj.g_01791	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000024	Syaj.g_00500	Prbm.g_01151, Prbm.g_00709
OG0000025	Syaj.g_00383	Prbm.g_00849
OG0000026	Syaj.g_02298	Prbm.g_00031
OG0000028	Syaj.g_02506	Prbm.g_01656
OG0000029	Syaj.g_01229	Prbm.g_01823
OG0000030	Syaj.g_02396, Syaj.g_02395	Prbm.g_02105
OG0000031	Syaj.g_02501	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000032	Syaj.g_01432	Prbm.g_01747
OG0000033	Syaj.g_01990	Prbm.g_00228
OG0000034	Syaj.g_01959	Prbm.g_01620
OG0000035	Syaj.g_01378	Prbm.g_01710
OG0000037	Syaj.g_01891, Syaj.g_02902	Prbm.g_00166
OG0000038	Syaj.g_02115	Prbm.g_02174
OG0000039	Syaj.g_00392, Syaj.g_00275	Prbm.g_00723
OG0000041	Syaj.g_01602, Syaj.g_00418	Prbm.g_01886
OG0000042	Syaj.g_02399	Prbm.g_02102
OG0000043	Syaj.g_01085	Prbm.g_01173
OG0000043	Syaj.g_01247	Prbm.g_00906
OG0000044	Syaj.g_01344	Prbm.g_00478, Prbm.g_01281
OG0000046	Syaj.g_02775, Syaj.g_02781, Syaj.g_02768	Prbm.g_00383
