Orthogroup	Syaj	Pral
OG0000001	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Pral.g_01236
OG0000002	Syaj.g_02667	Pral.g_01549, Pral.g_01554, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764
OG0000004	Syaj.g_00441	Pral.g_01743
OG0000004	Syaj.g_01314, Syaj.g_02853	Pral.g_00809
OG0000005	Syaj.g_01698	Pral.g_01075
OG0000006	Syaj.g_02635	Pral.g_00797
OG0000007	Syaj.g_00091	Pral.g_00593
OG0000007	Syaj.g_01721	Pral.g_00107
OG0000008	Syaj.g_00496	Pral.g_00020
OG0000008	Syaj.g_00497	Pral.g_00021
OG0000009	Syaj.g_01069	Pral.g_01065, Pral.g_01163
OG0000010	Syaj.g_01445	Pral.g_01832, Pral.g_01848
OG0000012	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831	Pral.g_00015
OG0000013	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769	Pral.g_00712
OG0000014	Syaj.g_02522	Pral.g_00732
OG0000014	Syaj.g_02344	Pral.g_01261
OG0000015	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659	Pral.g_01813
OG0000017	Syaj.g_00248	Pral.g_00491
OG0000017	Syaj.g_00255	Pral.g_00484
OG0000018	Syaj.g_01413	Pral.g_01346
OG0000019	Syaj.g_02613	Pral.g_00790, Pral.g_01344
OG0000021	Syaj.g_00042	Pral.g_01667, Pral.g_01738
OG0000023	Syaj.g_00829, Syaj.g_01791	Pral.g_01687
OG0000024	Syaj.g_00500	Pral.g_01895
OG0000025	Syaj.g_00383	Pral.g_01523
OG0000026	Syaj.g_02298	Pral.g_01012
OG0000027	Syaj.g_00396	Pral.g_01036, Pral.g_00039
OG0000028	Syaj.g_02506	Pral.g_00053, Pral.g_00719
OG0000029	Syaj.g_01229	Pral.g_01890
OG0000030	Syaj.g_02396, Syaj.g_02395	Pral.g_00316
OG0000032	Syaj.g_01432	Pral.g_01121
