Orthogroup	Syaj	Syah
OG0000001	Syaj.g_02674	Syah.g_00726
OG0000001	Syaj.g_01949	Syah.g_01516
OG0000001	Syaj.g_01950	Syah.g_00040, Syah.g_00041
OG0000001	Syaj.g_02660	Syah.g_00710
OG0000002	Syaj.g_02667	Syah.g_01829
OG0000004	Syaj.g_00441	Syah.g_02017
OG0000004	Syaj.g_01314	Syah.g_01967
OG0000004	Syaj.g_02853	Syah.g_00901
OG0000005	Syaj.g_01736	Syah.g_02403
OG0000005	Syaj.g_01698	Syah.g_02363
OG0000005	Syaj.g_01155	Syah.g_01827
OG0000006	Syaj.g_02635	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Syaj.g_00091	Syah.g_01016
OG0000007	Syaj.g_01721	Syah.g_02384
OG0000008	Syaj.g_00496	Syah.g_01994
OG0000008	Syaj.g_00497	Syah.g_01993
OG0000009	Syaj.g_01069	Syah.g_02457
OG0000009	Syaj.g_01885	Syah.g_02535
OG0000010	Syaj.g_01445	Syah.g_01220
OG0000012	Syaj.g_01306	Syah.g_01960
OG0000012	Syaj.g_00172	Syah.g_02169, Syah.g_01340
OG0000013	Syaj.g_02774	Syah.g_00822
OG0000013	Syaj.g_02782	Syah.g_00831
OG0000013	Syaj.g_02769	Syah.g_00817
OG0000014	Syaj.g_02522	Syah.g_00127
OG0000014	Syaj.g_02344	Syah.g_00323
OG0000015	Syaj.g_00725	Syah.g_01511
OG0000015	Syaj.g_02659	Syah.g_01510
OG0000016	Syaj.g_02276	Syah.g_00359
OG0000016	Syaj.g_00590	Syah.g_01402
OG0000016	Syaj.g_01191	Syah.g_01859
OG0000017	Syaj.g_00248	Syah.g_01152
OG0000017	Syaj.g_00255	Syah.g_01159
OG0000018	Syaj.g_01413	Syah.g_01264
OG0000019	Syaj.g_02613	Syah.g_00669
OG0000022	Syaj.g_01220	Syah.g_01881
OG0000023	Syaj.g_01791	Syah.g_00930
OG0000024	Syaj.g_00500	Syah.g_01990
OG0000025	Syaj.g_00383	Syah.g_02082
OG0000026	Syaj.g_02298	Syah.g_00340
OG0000027	Syaj.g_00396	Syah.g_01541
OG0000028	Syaj.g_02506	Syah.g_00141
OG0000029	Syaj.g_01229	Syah.g_01292
OG0000030	Syaj.g_02396	Syah.g_00264
OG0000030	Syaj.g_02395	Syah.g_00265
OG0000031	Syaj.g_02501	Syah.g_00146
OG0000032	Syaj.g_01432	Syah.g_01246
OG0000033	Syaj.g_01990	Syah.g_00078
OG0000034	Syaj.g_01959	Syah.g_00048, Syah.g_02213
OG0000035	Syaj.g_01378	Syah.g_01293
OG0000037	Syaj.g_01891	Syah.g_02541
OG0000038	Syaj.g_02115	Syah.g_00508
OG0000039	Syaj.g_00392	Syah.g_02074
OG0000040	Syaj.g_02208	Syah.g_00431
OG0000041	Syaj.g_01602	Syah.g_02271
OG0000041	Syaj.g_00418	Syah.g_02039
OG0000042	Syaj.g_02399	Syah.g_00261
OG0000043	Syaj.g_01085	Syah.g_02119
OG0000043	Syaj.g_01247	Syah.g_01546
OG0000044	Syaj.g_01344	Syah.g_02454, Syah.g_02072, Syah.g_01194
OG0000045	Syaj.g_00132	Syah.g_02356
OG0000046	Syaj.g_02775	Syah.g_00823
OG0000046	Syaj.g_02781	Syah.g_00830
OG0000046	Syaj.g_02768	Syah.g_00816
OG0000047	Syaj.g_02799	Syah.g_00847
OG0000048	Syaj.g_02578	Syah.g_00637
OG0000050	Syaj.g_01584	Syah.g_00941
OG0000051	Syaj.g_02898	Syah.g_02473
OG0000052	Syaj.g_02476	Syah.g_00171
OG0000053	Syaj.g_01409	Syah.g_01267
OG0000054	Syaj.g_01341	Syah.g_01982
OG0000055	Syaj.g_00394	Syah.g_02071
OG0000057	Syaj.g_00438	Syah.g_02020
OG0000058	Syaj.g_02495	Syah.g_00152
OG0000059	Syaj.g_02686	Syah.g_00737
OG0000060	Syaj.g_00635	Syah.g_01515
OG0000061	Syaj.g_02351	Syah.g_00215
OG0000061	Syaj.g_00302	Syah.g_02158
OG0000062	Syaj.g_01700	Syah.g_02365
OG0000063	Syaj.g_02302	Syah.g_00337
OG0000065	Syaj.g_01887	Syah.g_02537
OG0000065	Syaj.g_00007	Syah.g_02443
OG0000066	Syaj.g_00157	Syah.g_01073
OG0000067	Syaj.g_01023	Syah.g_01779
OG0000068	Syaj.g_00059	Syah.g_00986
OG0000070	Syaj.g_01529	Syah.g_02217
OG0000071	Syaj.g_01511	Syah.g_02199
OG0000072	Syaj.g_01992	Syah.g_00080
OG0000073	Syaj.g_00093	Syah.g_01018
OG0000075	Syaj.g_02457	Syah.g_00186
OG0000076	Syaj.g_02417	Syah.g_00250
OG0000077	Syaj.g_01831	Syah.g_02494
OG0000078	Syaj.g_02880	Syah.g_00912
OG0000079	Syaj.g_02609	Syah.g_00665
OG0000080	Syaj.g_02022, Syaj.g_02368	Syah.g_00290
OG0000081	Syaj.g_02888	Syah.g_00922
OG0000082	Syaj.g_00229	Syah.g_01136
OG0000084	Syaj.g_01375	Syah.g_02105, Syah.g_01296
OG0000085	Syaj.g_01707	Syah.g_02372
OG0000086	Syaj.g_01848	Syah.g_02511
OG0000087	Syaj.g_01945	Syah.g_00038
OG0000088	Syaj.g_01986	Syah.g_00074
OG0000089	Syaj.g_02829	Syah.g_00888
OG0000090	Syaj.g_00144	Syah.g_01064
OG0000091	Syaj.g_01275	Syah.g_01927
OG0000093	Syaj.g_01042	Syah.g_01794
OG0000094	Syaj.g_00804	Syah.g_01692
OG0000095	Syaj.g_00427	Syah.g_02030
OG0000097	Syaj.g_00589	Syah.g_01400
OG0000098	Syaj.g_02671	Syah.g_00723
OG0000099	Syaj.g_02503	Syah.g_00144
OG0000100	Syaj.g_00987	Syah.g_01747
OG0000101	Syaj.g_02738	Syah.g_00785
OG0000102	Syaj.g_02411	Syah.g_00255
OG0000103	Syaj.g_02243	Syah.g_00391
OG0000104	Syaj.g_02258	Syah.g_00377
OG0000105	Syaj.g_02573	Syah.g_00632
OG0000106	Syaj.g_01130	Syah.g_01544
OG0000108	Syaj.g_00072	Syah.g_00997
OG0000109	Syaj.g_00087	Syah.g_01012
OG0000110	Syaj.g_00215	Syah.g_01124
OG0000111	Syaj.g_00437	Syah.g_02021
OG0000112	Syaj.g_00907	Syah.g_01613
OG0000113	Syaj.g_00992	Syah.g_01752
OG0000114	Syaj.g_00741	Syah.g_01529
OG0000115	Syaj.g_01402	Syah.g_01269
OG0000116	Syaj.g_00289	Syah.g_02175
OG0000117	Syaj.g_00637	Syah.g_01425
OG0000118	Syaj.g_00267	Syah.g_01173
OG0000120	Syaj.g_02502	Syah.g_00145
OG0000121	Syaj.g_01383	Syah.g_01287
OG0000122	Syaj.g_01250	Syah.g_01900
OG0000123	Syaj.g_02745	Syah.g_00793
OG0000124	Syaj.g_02388	Syah.g_00272
OG0000125	Syaj.g_02117	Syah.g_00504
OG0000126	Syaj.g_02256	Syah.g_00379
OG0000128	Syaj.g_02274	Syah.g_00361
