Orthogroup	Syaj	Prba
OG0000001	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prba.g_00211
OG0000002	Syaj.g_02667	Prba.g_00203, Prba.g_01639
OG0000004	Syaj.g_00441	Prba.g_01622
OG0000004	Syaj.g_01314, Syaj.g_02853	Prba.g_00451
OG0000005	Syaj.g_01736	Prba.g_00607
OG0000005	Syaj.g_01698	Prba.g_00312
OG0000006	Syaj.g_02635	Prba.g_00460
OG0000007	Syaj.g_00091	Prba.g_00964
OG0000007	Syaj.g_01721	Prba.g_00226
OG0000008	Syaj.g_00496	Prba.g_01131
OG0000009	Syaj.g_01069	Prba.g_01142, Prba.g_00276
OG0000009	Syaj.g_01885	Prba.g_01893
OG0000010	Syaj.g_01445	Prba.g_01256
OG0000011	Syaj.g_01133	Prba.g_00900, Prba.g_01165
OG0000012	Syaj.g_01306, Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172	Prba.g_01694
OG0000013	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769	Prba.g_00543
OG0000014	Syaj.g_02522	Prba.g_00522
OG0000014	Syaj.g_02344	Prba.g_00159
OG0000015	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659	Prba.g_01538
OG0000016	Syaj.g_02276	Prba.g_01806
OG0000017	Syaj.g_00248, Syaj.g_00255	Prba.g_01719
OG0000018	Syaj.g_01413	Prba.g_00083
OG0000019	Syaj.g_02613	Prba.g_00468, Prba.g_01519
OG0000021	Syaj.g_00982, Syaj.g_00042	Prba.g_00245, Prba.g_00858
OG0000022	Syaj.g_01220	Prba.g_00101
OG0000023	Syaj.g_00829, Syaj.g_01791	Prba.g_00854
OG0000024	Syaj.g_00500	Prba.g_01558, Prba.g_01642
OG0000025	Syaj.g_00383	Prba.g_00547, Prba.g_01464
OG0000026	Syaj.g_02298	Prba.g_01824, Prba.g_01249
OG0000027	Syaj.g_00396	Prba.g_00991, Prba.g_01175
OG0000028	Syaj.g_02506	Prba.g_01126, Prba.g_00536
OG0000029	Syaj.g_01229	Prba.g_01551, Prba.g_00869
OG0000030	Syaj.g_02396, Syaj.g_02395	Prba.g_00778
OG0000031	Syaj.g_02501	Prba.g_00173
OG0000034	Syaj.g_01959	Prba.g_01202
OG0000035	Syaj.g_01378	Prba.g_00713
OG0000037	Syaj.g_01891, Syaj.g_02902	Prba.g_01897
OG0000038	Syaj.g_02115	Prba.g_00819
OG0000039	Syaj.g_00392, Syaj.g_00275	Prba.g_01631
OG0000040	Syaj.g_02208	Prba.g_00084
OG0000042	Syaj.g_02399	Prba.g_00775
OG0000043	Syaj.g_01085	Prba.g_01138
OG0000044	Syaj.g_01344	Prba.g_00002
OG0000047	Syaj.g_02799	Prba.g_00546, Prba.g_00913
OG0000048	Syaj.g_02578	Prba.g_00868
OG0000050	Syaj.g_01242	Prba.g_00899
OG0000050	Syaj.g_01584	Prba.g_01229
OG0000051	Syaj.g_02898	Prba.g_01168
OG0000053	Syaj.g_01409	Prba.g_00693
OG0000054	Syaj.g_01341	Prba.g_01711
OG0000055	Syaj.g_00394	Prba.g_01518
OG0000056	Syaj.g_01081, Syaj.g_00880, Syaj.g_01082, Syaj.g_00533, Syaj.g_01676, Syaj.g_00546, Syaj.g_00879, Syaj.g_00462, Syaj.g_01088, Syaj.g_00360, Syaj.g_01093, Syaj.g_00962, Syaj.g_00985, Syaj.g_02864, Syaj.g_01794	Prba.g_01120
OG0000057	Syaj.g_00438	Prba.g_01619
OG0000058	Syaj.g_02495	Prba.g_00153
OG0000059	Syaj.g_02686	Prba.g_00381
OG0000061	Syaj.g_00302	Prba.g_00064
OG0000062	Syaj.g_01700	Prba.g_00310
OG0000063	Syaj.g_02302	Prba.g_01826
OG0000065	Syaj.g_01887, Syaj.g_00007	Prba.g_01895
OG0000066	Syaj.g_00157	Prba.g_00922
OG0000067	Syaj.g_01023	Prba.g_01499
OG0000068	Syaj.g_00059	Prba.g_00196
OG0000070	Syaj.g_01529	Prba.g_01011
OG0000071	Syaj.g_01511	Prba.g_01192
OG0000072	Syaj.g_01992	Prba.g_00627
