Orthogroup	Syaj	Syag
OG0000001	Syaj.g_01949, Syaj.g_01952	Syag.g_01942
OG0000001	Syaj.g_01950	Syag.g_01943
OG0000001	Syaj.g_02660	Syag.g_00520
OG0000004	Syaj.g_00441	Syag.g_00988
OG0000004	Syaj.g_01314	Syag.g_00370
OG0000004	Syaj.g_02853	Syag.g_01790
OG0000005	Syaj.g_01736	Syag.g_01708
OG0000005	Syaj.g_01698	Syag.g_01667
OG0000006	Syaj.g_02635	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Syaj.g_00091	Syag.g_01507
OG0000007	Syaj.g_01721	Syag.g_01687
OG0000008	Syaj.g_00496	Syag.g_00496
OG0000008	Syaj.g_00497	Syag.g_01017
OG0000009	Syaj.g_01069	Syag.g_00220, Syag.g_00231
OG0000009	Syaj.g_01885	Syag.g_01883
OG0000010	Syaj.g_01445	Syag.g_01355
OG0000012	Syaj.g_01306	Syag.g_00377
OG0000012	Syaj.g_00172	Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000013	Syaj.g_02774	Syag.g_02811
OG0000013	Syaj.g_02782	Syag.g_02820
OG0000013	Syaj.g_02769	Syag.g_02806
OG0000014	Syaj.g_02522	Syag.g_02559
OG0000014	Syaj.g_02344	Syag.g_02487
OG0000015	Syaj.g_02242	Syag.g_02252
OG0000015	Syaj.g_00725, Syaj.g_02659	Syag.g_00596
OG0000016	Syaj.g_02276	Syag.g_02286
OG0000016	Syaj.g_00590	Syag.g_01066
OG0000017	Syaj.g_00248	Syag.g_00336
OG0000017	Syaj.g_00255	Syag.g_00344
OG0000018	Syaj.g_01413	Syag.g_01387
OG0000019	Syaj.g_02613	Syag.g_02663
OG0000021	Syaj.g_00042	Syag.g_00229
OG0000022	Syaj.g_01220	Syag.g_00458
OG0000023	Syaj.g_01791	Syag.g_00261, Syag.g_00234
OG0000024	Syaj.g_00500	Syag.g_00455
OG0000025	Syaj.g_00383	Syag.g_00718
OG0000026	Syaj.g_02298	Syag.g_02309
OG0000027	Syaj.g_00396	Syag.g_00165
OG0000028	Syaj.g_02506	Syag.g_02540
OG0000029	Syaj.g_01229	Syag.g_00195
OG0000030	Syaj.g_02396	Syag.g_02375
OG0000030	Syaj.g_02395	Syag.g_02374
OG0000031	Syaj.g_02501	Syag.g_02510
OG0000032	Syaj.g_01432	Syag.g_01366
OG0000033	Syaj.g_01990	Syag.g_01978
OG0000034	Syaj.g_01959	Syag.g_01225, Syag.g_01947
OG0000035	Syaj.g_01378	Syag.g_01420, Syag.g_01421
OG0000037	Syaj.g_01891	Syag.g_00173
OG0000038	Syaj.g_02115	Syag.g_02130
OG0000039	Syaj.g_00275	Syag.g_02155
OG0000040	Syaj.g_02208	Syag.g_02215
OG0000041	Syaj.g_00418	Syag.g_00962
OG0000042	Syaj.g_02399	Syag.g_01094, Syag.g_02378
OG0000043	Syaj.g_01085, Syaj.g_01247	Syag.g_00564
OG0000044	Syaj.g_01344	Syag.g_00945
OG0000045	Syaj.g_00132	Syag.g_00225
OG0000046	Syaj.g_02775	Syag.g_02812
OG0000046	Syaj.g_02781	Syag.g_02819
OG0000046	Syaj.g_02768	Syag.g_02805
OG0000047	Syaj.g_02799	Syag.g_00768
OG0000048	Syaj.g_02578	Syag.g_02611
OG0000051	Syaj.g_02898	Syag.g_01026
OG0000051	Syaj.g_00017	Syag.g_00214
OG0000052	Syaj.g_02476	Syag.g_02451
OG0000053	Syaj.g_01409	Syag.g_01391
OG0000054	Syaj.g_01341	Syag.g_00350
OG0000055	Syaj.g_00394	Syag.g_00946
OG0000057	Syaj.g_00438	Syag.g_00985
OG0000058	Syaj.g_02495	Syag.g_02477
OG0000059	Syaj.g_02686	Syag.g_02721
OG0000060	Syaj.g_01469	Syag.g_01338
OG0000060	Syaj.g_00067	Syag.g_01530
OG0000060	Syaj.g_00635	Syag.g_01095
OG0000061	Syaj.g_00302	Syag.g_01141
OG0000062	Syaj.g_01700	Syag.g_01669
OG0000063	Syaj.g_02302	Syag.g_02313
OG0000064	Syaj.g_01253	Syag.g_00487
OG0000065	Syaj.g_00007	Syag.g_00182
OG0000067	Syaj.g_01023	Syag.g_00667
OG0000068	Syaj.g_00059	Syag.g_01537
OG0000070	Syaj.g_01529	Syag.g_00049
OG0000071	Syaj.g_01511	Syag.g_01192
OG0000072	Syaj.g_01992	Syag.g_01980
OG0000073	Syaj.g_00093	Syag.g_01505
OG0000075	Syaj.g_02457	Syag.g_02434
OG0000076	Syaj.g_02417	Syag.g_02393
OG0000077	Syaj.g_01831	Syag.g_01831
OG0000078	Syaj.g_02880	Syag.g_01778
OG0000080	Syaj.g_02022	Syag.g_00124
OG0000080	Syaj.g_02368	Syag.g_02500
OG0000082	Syaj.g_00229	Syag.g_00318
OG0000084	Syaj.g_01375	Syag.g_00212
OG0000085	Syaj.g_01707	Syag.g_01676
OG0000086	Syaj.g_01848	Syag.g_01853
OG0000087	Syaj.g_01945	Syag.g_01939
OG0000088	Syaj.g_01986	Syag.g_01974
OG0000089	Syaj.g_02829, Syaj.g_01915	Syag.g_00005
OG0000090	Syaj.g_00144	Syag.g_01454
OG0000091	Syaj.g_01275	Syag.g_00418
OG0000092	Syaj.g_00339	Syag.g_00242
OG0000093	Syaj.g_01042	Syag.g_00649
OG0000094	Syaj.g_00804	Syag.g_00881
OG0000095	Syaj.g_00427	Syag.g_00974
OG0000097	Syaj.g_00589	Syag.g_01065
OG0000099	Syaj.g_02503	Syag.g_02536
OG0000100	Syaj.g_00987	Syag.g_00704
OG0000101	Syaj.g_02738	Syag.g_02773
OG0000102	Syaj.g_02411	Syag.g_02387
OG0000103	Syaj.g_02243	Syag.g_02253
OG0000104	Syaj.g_02258	Syag.g_02268
OG0000105	Syaj.g_02573	Syag.g_02606
OG0000106	Syaj.g_01130	Syag.g_00462
OG0000107	Syaj.g_02637	Syag.g_02689
OG0000108	Syaj.g_00072	Syag.g_01528
OG0000109	Syaj.g_00087	Syag.g_01512
OG0000110	Syaj.g_00215	Syag.g_00303
OG0000111	Syaj.g_00437	Syag.g_00984
OG0000112	Syaj.g_00907	Syag.g_00801
OG0000113	Syaj.g_00992	Syag.g_00699
OG0000114	Syaj.g_00741	Syag.g_00609
OG0000115	Syaj.g_01402	Syag.g_01397
OG0000116	Syaj.g_00289	Syag.g_01156
OG0000117	Syaj.g_00637	Syag.g_01097
OG0000118	Syaj.g_00267	Syag.g_01232
OG0000120	Syaj.g_02502	Syag.g_02535
OG0000121	Syaj.g_01383	Syag.g_01414
OG0000122	Syaj.g_01250	Syag.g_00446
OG0000123	Syaj.g_02745	Syag.g_02781
OG0000124	Syaj.g_02388	Syag.g_02367
OG0000125	Syaj.g_02117	Syag.g_02136, Syag.g_02134
OG0000126	Syaj.g_02256	Syag.g_02266
OG0000128	Syaj.g_02274	Syag.g_02284
OG0000129	Syaj.g_02106	Syag.g_02121
OG0000130	Syaj.g_01818	Syag.g_01819
OG0000131	Syaj.g_01964	Syag.g_01951
OG0000132	Syaj.g_01984	Syag.g_01972
OG0000133	Syaj.g_00902	Syag.g_00806
OG0000134	Syaj.g_02832	Syag.g_00008
OG0000135	Syaj.g_02167	Syag.g_02171
OG0000136	Syaj.g_01550	Syag.g_00038
OG0000137	Syaj.g_01444	Syag.g_01356
OG0000138	Syaj.g_00088	Syag.g_01511
OG0000139	Syaj.g_00150	Syag.g_01448
OG0000140	Syaj.g_00153	Syag.g_01446
OG0000141	Syaj.g_01340	Syag.g_00351
OG0000142	Syaj.g_01283	Syag.g_00410
OG0000143	Syaj.g_01279	Syag.g_00414
OG0000144	Syaj.g_01151	Syag.g_00493
OG0000145	Syaj.g_00094	Syag.g_01504
OG0000146	Syaj.g_00908	Syag.g_00800
OG0000147	Syaj.g_00909	Syag.g_00799
OG0000148	Syaj.g_01003	Syag.g_00693
OG0000149	Syaj.g_00369	Syag.g_00731
OG0000150	Syaj.g_01339, Syaj.g_00154	Syag.g_00352
OG0000151	Syaj.g_01074	Syag.g_00623
OG0000152	Syaj.g_00898	Syag.g_00810
OG0000153	Syaj.g_00842	Syag.g_00845
OG0000154	Syaj.g_00814	Syag.g_00870
OG0000155	Syaj.g_00338	Syag.g_01107
OG0000156	Syaj.g_00282	Syag.g_01166
OG0000157	Syaj.g_00281	Syag.g_01167
OG0000158	Syaj.g_02445	Syag.g_02422
OG0000160	Syaj.g_01382	Syag.g_01415
OG0000161	Syaj.g_01389	Syag.g_01409
OG0000162	Syaj.g_01395	Syag.g_01402
OG0000163	Syaj.g_01639	Syag.g_01618
OG0000164	Syaj.g_01758	Syag.g_01725
OG0000165	Syaj.g_01582	Syag.g_01733
OG0000166	Syaj.g_02698	Syag.g_02733
OG0000167	Syaj.g_02460	Syag.g_02437
OG0000168	Syaj.g_02444	Syag.g_02417
OG0000169	Syaj.g_02431, Syaj.g_02429	Syag.g_02405
OG0000170	Syaj.g_02422	Syag.g_02398
OG0000171	Syaj.g_02389	Syag.g_02368
OG0000172	Syaj.g_02365	Syag.g_02360
OG0000173	Syaj.g_02321	Syag.g_02337
OG0000174	Syaj.g_02169	Syag.g_02175
OG0000175	Syaj.g_02229	Syag.g_02240
OG0000176	Syaj.g_02266	Syag.g_02276
OG0000177	Syaj.g_02267	Syag.g_02277
OG0000178	Syaj.g_02268	Syag.g_02278
OG0000179	Syaj.g_02283	Syag.g_02293
OG0000180	Syaj.g_02284	Syag.g_02294
OG0000181	Syaj.g_02285	Syag.g_02295
OG0000182	Syaj.g_02286	Syag.g_02296
OG0000183	Syaj.g_02290	Syag.g_02300
OG0000184	Syaj.g_02098	Syag.g_02110
OG0000185	Syaj.g_02087	Syag.g_02092
OG0000186	Syaj.g_01812	Syag.g_01815
OG0000187	Syaj.g_01814	Syag.g_01816
OG0000188	Syaj.g_01837	Syag.g_01839
OG0000189	Syaj.g_01874	Syag.g_01872
OG0000190	Syaj.g_01876	Syag.g_01874
OG0000191	Syaj.g_01910	Syag.g_01909
OG0000192	Syaj.g_01919	Syag.g_01915
OG0000193	Syaj.g_01965	Syag.g_01952
OG0000194	Syaj.g_01968	Syag.g_01955
OG0000195	Syaj.g_01971	Syag.g_01957
OG0000196	Syaj.g_01981	Syag.g_01968
OG0000197	Syaj.g_01982	Syag.g_01969
OG0000198	Syaj.g_01983	Syag.g_01971
