Orthogroup	Syaj	Praw
OG0000001	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Praw.g_01000
OG0000002	Syaj.g_02667	Praw.g_01009, Praw.g_01844
OG0000004	Syaj.g_00441	Praw.g_01827
OG0000004	Syaj.g_01314, Syaj.g_02853	Praw.g_01203
OG0000005	Syaj.g_01736	Praw.g_00528
OG0000005	Syaj.g_01698	Praw.g_00413
OG0000006	Syaj.g_02635	Praw.g_01950
OG0000007	Syaj.g_00091	Praw.g_00651
OG0000007	Syaj.g_01721	Praw.g_00515
OG0000008	Syaj.g_00496	Praw.g_00501
OG0000008	Syaj.g_00497	Praw.g_00502
OG0000009	Syaj.g_01069	Praw.g_00447
OG0000009	Syaj.g_01885	Praw.g_01330
OG0000010	Syaj.g_01445	Praw.g_01460
OG0000011	Syaj.g_01133	Praw.g_00952
OG0000012	Syaj.g_01306, Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172	Praw.g_00159
OG0000013	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769	Praw.g_00807
OG0000014	Syaj.g_02522	Praw.g_00828
OG0000015	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659	Praw.g_01738
OG0000016	Syaj.g_00590	Praw.g_01415
OG0000016	Syaj.g_01191	Praw.g_00484
OG0000017	Syaj.g_00248, Syaj.g_00255	Praw.g_01944
OG0000018	Syaj.g_01413	Praw.g_00215
OG0000019	Syaj.g_02613	Praw.g_00884, Praw.g_01717
OG0000021	Syaj.g_00982, Syaj.g_00042	Praw.g_00479, Praw.g_00767
OG0000022	Syaj.g_01220	Praw.g_00197
OG0000023	Syaj.g_00829, Syaj.g_01791	Praw.g_00772
OG0000024	Syaj.g_00500	Praw.g_01763, Praw.g_01847
OG0000025	Syaj.g_00383	Praw.g_00803, Praw.g_01664
OG0000026	Syaj.g_02298	Praw.g_01397, Praw.g_01453
OG0000027	Syaj.g_00396	Praw.g_00677, Praw.g_00492, Praw.g_00962
OG0000028	Syaj.g_02506	Praw.g_00334, Praw.g_00814
OG0000029	Syaj.g_01229	Praw.g_01755
OG0000030	Syaj.g_02396, Syaj.g_02395	Praw.g_00029
OG0000034	Syaj.g_01959	Praw.g_00991
OG0000035	Syaj.g_01378	Praw.g_01081, Praw.g_01083
OG0000037	Syaj.g_01891, Syaj.g_02902	Praw.g_01326
OG0000038	Syaj.g_02115	Praw.g_01182
OG0000039	Syaj.g_00392, Syaj.g_00275	Praw.g_01836
OG0000040	Syaj.g_02208	Praw.g_00214
OG0000041	Syaj.g_01602, Syaj.g_00418	Praw.g_00562
OG0000042	Syaj.g_02399	Praw.g_00032
OG0000047	Syaj.g_02799	Praw.g_00804
OG0000048	Syaj.g_02578	Praw.g_00504, Praw.g_00758
OG0000050	Syaj.g_01584	Praw.g_01432
OG0000051	Syaj.g_02898	Praw.g_00955
OG0000053	Syaj.g_01409	Praw.g_00357
OG0000054	Syaj.g_01341	Praw.g_00142
OG0000055	Syaj.g_00394	Praw.g_01716
OG0000057	Syaj.g_00438	Praw.g_01824
OG0000059	Syaj.g_02686	Praw.g_01894
OG0000060	Syaj.g_01469, Syaj.g_00067, Syaj.g_00635	Praw.g_01743
OG0000061	Syaj.g_00302	Praw.g_00234
OG0000062	Syaj.g_01700	Praw.g_00415
OG0000063	Syaj.g_02302	Praw.g_01395
OG0000065	Syaj.g_01887, Syaj.g_00007	Praw.g_01328
OG0000066	Syaj.g_00157	Praw.g_00609
OG0000067	Syaj.g_01023	Praw.g_01697
OG0000068	Syaj.g_00059	Praw.g_01016
OG0000070	Syaj.g_01529	Praw.g_00697
OG0000071	Syaj.g_01511	Praw.g_00981
OG0000072	Syaj.g_01992	Praw.g_01264
OG0000073	Syaj.g_00093	Praw.g_00649
OG0000075	Syaj.g_02457	Praw.g_00064
OG0000076	Syaj.g_02417	Praw.g_00039
OG0000077	Syaj.g_01831	Praw.g_01356
OG0000078	Syaj.g_02880	Praw.g_01196
OG0000081	Syaj.g_02888	Praw.g_00617
OG0000082	Syaj.g_00229	Praw.g_01932
OG0000084	Syaj.g_01375	Praw.g_01087
OG0000085	Syaj.g_01707	Praw.g_00508
OG0000086	Syaj.g_01848	Praw.g_01346
OG0000087	Syaj.g_01945	Praw.g_01296
OG0000088	Syaj.g_01986	Praw.g_01269
OG0000089	Syaj.g_02829, Syaj.g_01915	Praw.g_00776
OG0000090	Syaj.g_00144	Praw.g_00615
OG0000091	Syaj.g_01275	Praw.g_01880
