Orthogroup	Syaj	Prai
OG0000001	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prai.g_01235, Prai.g_01356
OG0000002	Syaj.g_02667	Prai.g_01363, Prai.g_00707
OG0000004	Syaj.g_00441	Prai.g_00724
OG0000004	Syaj.g_01314, Syaj.g_02853	Prai.g_00243
OG0000005	Syaj.g_01736	Prai.g_01651
OG0000005	Syaj.g_01698	Prai.g_01538
OG0000006	Syaj.g_02635	Prai.g_00252, Prai.g_00254
OG0000007	Syaj.g_00091	Prai.g_00527
OG0000007	Syaj.g_01721	Prai.g_01638
OG0000008	Syaj.g_00496, Syaj.g_00497	Prai.g_00701
OG0000009	Syaj.g_01069	Prai.g_01578
OG0000009	Syaj.g_01885	Prai.g_00105
OG0000010	Syaj.g_01445	Prai.g_01292, Prai.g_01067
OG0000012	Syaj.g_01306, Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172	Prai.g_00652
OG0000013	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769	Prai.g_00340
OG0000014	Syaj.g_02522	Prai.g_00319
OG0000015	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659	Prai.g_01243
OG0000016	Syaj.g_02276	Prai.g_00013
OG0000016	Syaj.g_01191	Prai.g_01573
OG0000017	Syaj.g_00248, Syaj.g_00255	Prai.g_00626
OG0000018	Syaj.g_01413	Prai.g_01153
OG0000019	Syaj.g_02613	Prai.g_00262, Prai.g_00867
OG0000021	Syaj.g_00982, Syaj.g_00042	Prai.g_00378
OG0000022	Syaj.g_01220	Prai.g_01139
OG0000023	Syaj.g_00829, Syaj.g_01791	Prai.g_00373
OG0000024	Syaj.g_00500	Prai.g_00899, Prai.g_00704
OG0000025	Syaj.g_00383	Prai.g_00344, Prai.g_00812
OG0000026	Syaj.g_02298	Prai.g_00031, Prai.g_01074
OG0000027	Syaj.g_00396	Prai.g_00904
OG0000028	Syaj.g_02506	Prai.g_01297, Prai.g_00333
OG0000029	Syaj.g_01229	Prai.g_00890
OG0000030	Syaj.g_02396, Syaj.g_02395	Prai.g_01848
OG0000034	Syaj.g_01959	Prai.g_01345
OG0000035	Syaj.g_01378	Prai.g_01463
OG0000037	Syaj.g_01891, Syaj.g_02902	Prai.g_00109
OG0000038	Syaj.g_02115	Prai.g_01890
OG0000039	Syaj.g_00392, Syaj.g_00275	Prai.g_00715
OG0000041	Syaj.g_01602, Syaj.g_00418	Prai.g_01684
OG0000042	Syaj.g_02399	Prai.g_01845
