Orthogroup	Syaj	Prat
OG0000001	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prat.g_01285, Prat.g_01286
OG0000002	Syaj.g_02667	Prat.g_00977, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751
OG0000004	Syaj.g_00441	Prat.g_00772
OG0000004	Syaj.g_01314, Syaj.g_02853	Prat.g_00236
OG0000005	Syaj.g_01698	Prat.g_01440
OG0000006	Syaj.g_02635	Prat.g_00248
OG0000007	Syaj.g_00091	Prat.g_00458
OG0000007	Syaj.g_01721	Prat.g_01592
OG0000008	Syaj.g_00496	Prat.g_00376
OG0000008	Syaj.g_00497	Prat.g_00377
OG0000009	Syaj.g_01069	Prat.g_01451
OG0000010	Syaj.g_01445	Prat.g_00682, Prat.g_00662
OG0000012	Syaj.g_01306	Prat.g_00586
OG0000013	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769	Prat.g_00334
OG0000014	Syaj.g_02522	Prat.g_00314
OG0000014	Syaj.g_02344	Prat.g_01267
OG0000015	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659	Prat.g_00701
OG0000016	Syaj.g_02276	Prat.g_00014
OG0000016	Syaj.g_00590, Syaj.g_01191	Prat.g_01219
OG0000017	Syaj.g_00248	Prat.g_00560
OG0000017	Syaj.g_00255	Prat.g_00567
OG0000018	Syaj.g_01413	Prat.g_01177
OG0000019	Syaj.g_02613	Prat.g_00255, Prat.g_01180
OG0000021	Syaj.g_00042	Prat.g_00854, Prat.g_00461
OG0000022	Syaj.g_01220	Prat.g_01448
OG0000023	Syaj.g_00829, Syaj.g_01791	Prat.g_00834
OG0000024	Syaj.g_00500	Prat.g_00622, Prat.g_00749
OG0000025	Syaj.g_00383	Prat.g_01003
OG0000026	Syaj.g_02298	Prat.g_00033
OG0000027	Syaj.g_00396	Prat.g_01474, Prat.g_01548
OG0000028	Syaj.g_02506	Prat.g_00380, Prat.g_00327
OG0000030	Syaj.g_02396, Syaj.g_02395	Prat.g_01799
OG0000032	Syaj.g_01432	Prat.g_01394
OG0000033	Syaj.g_01990	Prat.g_01265
OG0000034	Syaj.g_01959	Prat.g_01259
