Orthogroup	Prao	Prbj
OG0000000	Prao.g_01294	Prbj.g_00166, Prbj.g_00165
OG0000000	Prao.g_01515	Prbj.g_00164
OG0000001	Prao.g_01254	Prbj.g_00672, Prbj.g_00169, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690
OG0000002	Prao.g_01246	Prbj.g_02517
OG0000002	Prao.g_00116	Prbj.g_00030
OG0000004	Prao.g_00133	Prbj.g_00754
OG0000004	Prao.g_00370	Prbj.g_01777
OG0000005	Prao.g_01472	Prbj.g_00883
OG0000006	Prao.g_00379	Prbj.g_02699
OG0000007	Prao.g_00603	Prbj.g_01610
OG0000007	Prao.g_01552	Prbj.g_00857
OG0000010	Prao.g_00985	Prbj.g_00129
OG0000011	Prao.g_01307	Prbj.g_00897
OG0000012	Prao.g_00062	Prbj.g_02552
OG0000013	Prao.g_00463	Prbj.g_00359
OG0000014	Prao.g_01213	Prbj.g_01442
OG0000015	Prao.g_00703	Prbj.g_02502
OG0000017	Prao.g_00036	Prbj.g_01769, Prbj.g_01761
OG0000018	Prao.g_01108	Prbj.g_00641
OG0000019	Prao.g_00387, Prao.g_00720	Prbj.g_00025, Prbj.g_01349
OG0000021	Prao.g_01346, Prao.g_00500	Prbj.g_01121, Prbj.g_01774
OG0000022	Prao.g_01126	Prbj.g_00050
OG0000022	Prao.g_00699	Prbj.g_01572
OG0000023	Prao.g_00494	Prbj.g_02392
OG0000024	Prao.g_00683, Prao.g_00114	Prbj.g_00773
OG0000025	Prao.g_00467, Prao.g_00776	Prbj.g_02475
OG0000026	Prao.g_00177, Prao.g_00992	Prbj.g_01204
OG0000028	Prao.g_00456	Prbj.g_01457
OG0000029	Prao.g_00690	Prbj.g_00378
OG0000030	Prao.g_01753	Prbj.g_01288, Prbj.g_01287
OG0000034	Prao.g_01266	Prbj.g_01740
OG0000035	Prao.g_01397	Prbj.g_01056
OG0000037	Prao.g_00247	Prbj.g_00624
OG0000038	Prao.g_01794	Prbj.g_01959, Prbj.g_01961
OG0000039	Prao.g_00124	Prbj.g_00429, Prbj.g_00278
OG0000041	Prao.g_01598	Prbj.g_00450
OG0000042	Prao.g_01750	Prbj.g_01808, Prbj.g_00001
OG0000047	Prao.g_00466	Prbj.g_00666
OG0000048	Prao.g_00509	Prbj.g_01393
OG0000053	Prao.g_01417	Prbj.g_00638
OG0000054	Prao.g_00044	Prbj.g_01758
OG0000057	Prao.g_00136	Prbj.g_00758
OG0000059	Prao.g_01639	Prbj.g_01029
OG0000061	Prao.g_01089	Prbj.g_00971
OG0000062	Prao.g_01474	Prbj.g_00881
OG0000063	Prao.g_00179	Prbj.g_01208
OG0000065	Prao.g_00245	Prbj.g_00620
OG0000067	Prao.g_00741	Prbj.g_02412
OG0000068	Prao.g_01239	Prbj.g_01639
OG0000070	Prao.g_00554	Prbj.g_00118
OG0000071	Prao.g_01276	Prbj.g_01728
OG0000072	Prao.g_00309	Prbj.g_00516
OG0000073	Prao.g_00605	Prbj.g_01608
OG0000075	Prao.g_01719	Prbj.g_01502
OG0000076	Prao.g_01743	Prbj.g_01598
OG0000077	Prao.g_00217	Prbj.g_01900, Prbj.g_00576
OG0000078	Prao.g_00377	Prbj.g_02614
OG0000079	Prao.g_00390	Prbj.g_01353
OG0000081	Prao.g_01860	Prbj.g_00799, Prbj.g_00765
OG0000082	Prao.g_00024	Prbj.g_01789
OG0000084	Prao.g_01393	Prbj.g_01052
OG0000085	Prao.g_01545	Prbj.g_00869
OG0000086	Prao.g_00227	Prbj.g_00589
OG0000087	Prao.g_00277	Prbj.g_01547
OG0000088	Prao.g_00304	Prbj.g_00521, Prbj.g_00912
OG0000089	Prao.g_00490	Prbj.g_00064
OG0000090	Prao.g_01858	Prbj.g_02127
OG0000091	Prao.g_00081	Prbj.g_02581
OG0000093	Prao.g_00870	Prbj.g_02388
OG0000094	Prao.g_00955	Prbj.g_01985
OG0000095	Prao.g_00974	Prbj.g_01838
OG0000097	Prao.g_01048	Prbj.g_02152
OG0000098	Prao.g_01257	Prbj.g_00669
OG0000099	Prao.g_01214	Prbj.g_01464
OG0000100	Prao.g_01470	Prbj.g_00185, Prbj.g_02442
OG0000101	Prao.g_01687	Prbj.g_00415, Prbj.g_00981
OG0000102	Prao.g_01748	Prbj.g_01819
OG0000103	Prao.g_01828	Prbj.g_02055
OG0000104	Prao.g_01837	Prbj.g_02069
OG0000105	Prao.g_01378	Prbj.g_01397
OG0000106	Prao.g_00505	Prbj.g_00875
OG0000107	Prao.g_00518	Prbj.g_02659
OG0000108	Prao.g_00586	Prbj.g_01630
OG0000109	Prao.g_00600	Prbj.g_01614
OG0000110	Prao.g_01867	Prbj.g_01801
OG0000111	Prao.g_00137	Prbj.g_00759
OG0000112	Prao.g_00704	Prbj.g_02276
