Orthogroup	Prao	Syam
OG0000001	Prao.g_01254	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929
OG0000002	Prao.g_01246, Prao.g_00116	Syam.g_00931
OG0000004	Prao.g_00133	Syam.g_00787
OG0000004	Prao.g_00370	Syam.g_01499, Syam.g_00501
OG0000005	Prao.g_01565	Syam.g_02004
OG0000005	Prao.g_01472	Syam.g_01970
OG0000006	Prao.g_00379	Syam.g_01446, Syam.g_00286, Syam.g_00518
OG0000007	Prao.g_00603	Syam.g_00602
OG0000007	Prao.g_01552	Syam.g_01990
OG0000010	Prao.g_00985	Syam.g_01669
OG0000012	Prao.g_00062	Syam.g_01492, Syam.g_00794, Syam.g_00994
OG0000013	Prao.g_00463	Syam.g_00409, Syam.g_00421, Syam.g_00404
OG0000014	Prao.g_01213	Syam.g_00191
OG0000015	Prao.g_00703	Syam.g_01218, Syam.g_01362
OG0000016	Prao.g_00160	Syam.g_00014
OG0000017	Prao.g_00036	Syam.g_01715, Syam.g_01708
OG0000018	Prao.g_01108	Syam.g_01640
OG0000019	Prao.g_00387, Prao.g_00720	Syam.g_00274
OG0000021	Prao.g_01346, Prao.g_00500	Syam.g_00523
OG0000022	Prao.g_01126	Syam.g_01418
OG0000023	Prao.g_00494	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Prao.g_00683, Prao.g_00114	Syam.g_00815
OG0000025	Prao.g_00467, Prao.g_00776	Syam.g_00740
OG0000026	Prao.g_00177, Prao.g_00992	Syam.g_00035
OG0000027	Prao.g_00576, Prao.g_01293	Syam.g_01442, Syam.g_00989
OG0000028	Prao.g_01348, Prao.g_00456	Syam.g_00176
OG0000029	Prao.g_00690, Prao.g_00510	Syam.g_01390, Syam.g_01055
OG0000030	Prao.g_01753	Syam.g_00104, Syam.g_00103
OG0000031	Prao.g_01355	Syam.g_00086
OG0000034	Prao.g_01266	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Prao.g_01397	Syam.g_01612
OG0000037	Prao.g_00247	Syam.g_02125
OG0000038	Prao.g_01794	Syam.g_02317
OG0000039	Prao.g_00124	Syam.g_00749
OG0000040	Prao.g_01109	Syam.g_02390
OG0000041	Prao.g_01598	Syam.g_01899, Syam.g_00765
OG0000042	Prao.g_01750	Syam.g_00107
OG0000045	Prao.g_00506	Syam.g_02028
OG0000047	Prao.g_00466	Syam.g_00434
OG0000048	Prao.g_00509	Syam.g_00243
OG0000052	Prao.g_01358	Syam.g_00161
OG0000053	Prao.g_01417	Syam.g_01636
OG0000054	Prao.g_00044	Syam.g_01515
OG0000055	Prao.g_00721	Syam.g_00754
OG0000057	Prao.g_00136	Syam.g_00784
OG0000059	Prao.g_01639	Syam.g_00320
OG0000061	Prao.g_01089	Syam.g_01795
OG0000062	Prao.g_01474	Syam.g_01972
OG0000063	Prao.g_00179	Syam.g_00039
OG0000065	Prao.g_00245	Syam.g_02121
OG0000067	Prao.g_00741	Syam.g_01290
OG0000068	Prao.g_01239	Syam.g_00575
OG0000069	Prao.g_01508	Syam.g_01521
OG0000070	Prao.g_00554	Syam.g_01847
OG0000071	Prao.g_01276	Syam.g_01830
OG0000072	Prao.g_00309	Syam.g_02219
OG0000073	Prao.g_00605	Syam.g_00604
OG0000074	Prao.g_00120	Syam.g_00533
OG0000075	Prao.g_01719	Syam.g_00148
OG0000076	Prao.g_01743	Syam.g_00115
OG0000077	Prao.g_00217	Syam.g_02074
OG0000078	Prao.g_00377	Syam.g_00514
OG0000079	Prao.g_00390	Syam.g_00270
OG0000081	Prao.g_01860	Syam.g_00520, Syam.g_01918
OG0000082	Prao.g_00024	Syam.g_01730
OG0000084	Prao.g_01393	Syam.g_00441
OG0000085	Prao.g_01545	Syam.g_01979
OG0000086	Prao.g_00227	Syam.g_02092
OG0000087	Prao.g_00277	Syam.g_02175
OG0000088	Prao.g_00304	Syam.g_02213
OG0000089	Prao.g_00490	Syam.g_00489
OG0000090	Prao.g_01858	Syam.g_00651
OG0000091	Prao.g_00081	Syam.g_01460
OG0000093	Prao.g_00870	Syam.g_01305
OG0000094	Prao.g_00955	Syam.g_01198
OG0000095	Prao.g_00974	Syam.g_00774
OG0000097	Prao.g_01048	Syam.g_00874
OG0000098	Prao.g_01257	Syam.g_00944
OG0000099	Prao.g_01214	Syam.g_00173
OG0000100	Prao.g_01470	Syam.g_01259
OG0000101	Prao.g_01687	Syam.g_00371
OG0000102	Prao.g_01748	Syam.g_00110
OG0000103	Prao.g_01828	Syam.g_02428
OG0000104	Prao.g_01837	Syam.g_02442
OG0000105	Prao.g_01378	Syam.g_00238
OG0000106	Prao.g_00505	Syam.g_01039
OG0000107	Prao.g_00518	Syam.g_00288
OG0000108	Prao.g_00586	Syam.g_00583
OG0000109	Prao.g_00600	Syam.g_00598
OG0000110	Prao.g_01867	Syam.g_01743
OG0000111	Prao.g_00137	Syam.g_00783
OG0000112	Prao.g_00704	Syam.g_01115
OG0000113	Prao.g_00763	Syam.g_01264
OG0000114	Prao.g_00845	Syam.g_01349
OG0000115	Prao.g_01150	Syam.g_01634
OG0000116	Prao.g_01099	Syam.g_01807
OG0000117	Prao.g_01332	Syam.g_00904
OG0000118	Prao.g_01264	Syam.g_01698
OG0000120	Prao.g_01215	Syam.g_00172
OG0000121	Prao.g_01399	Syam.g_01615
OG0000122	Prao.g_01436	Syam.g_01436
OG0000123	Prao.g_01694	Syam.g_00379
OG0000124	Prao.g_01759	Syam.g_00096
OG0000125	Prao.g_01796	Syam.g_02319
OG0000126	Prao.g_01836	Syam.g_02440
OG0000128	Prao.g_00158	Syam.g_00012
OG0000129	Prao.g_00190	Syam.g_02307
OG0000130	Prao.g_00208	Syam.g_02062
OG0000131	Prao.g_00283	Syam.g_02191
OG0000132	Prao.g_00302	Syam.g_02211
OG0000133	Prao.g_00458	Syam.g_01120
OG0000134	Prao.g_00491	Syam.g_00492
OG0000135	Prao.g_00516	Syam.g_02347
OG0000136	Prao.g_00545	Syam.g_01857
OG0000137	Prao.g_00581	Syam.g_01668
OG0000138	Prao.g_00601	Syam.g_00599
OG0000139	Prao.g_01854	Syam.g_00657
OG0000140	Prao.g_01853	Syam.g_00659
OG0000141	Prao.g_00045	Syam.g_01514
OG0000142	Prao.g_00074	Syam.g_01468
OG0000143	Prao.g_00078	Syam.g_01464
OG0000144	Prao.g_00091	Syam.g_01032
OG0000145	Prao.g_00701	Syam.g_00605
OG0000146	Prao.g_00705	Syam.g_01114
OG0000147	Prao.g_00706	Syam.g_01113
OG0000148	Prao.g_00757	Syam.g_01270
OG0000149	Prao.g_00788	Syam.g_00725
OG0000150	Prao.g_00796	Syam.g_00660
OG0000151	Prao.g_00855	Syam.g_01338
OG0000152	Prao.g_00902	Syam.g_01124
OG0000153	Prao.g_00921	Syam.g_01160
OG0000154	Prao.g_00948	Syam.g_01187
OG0000155	Prao.g_01069	Syam.g_01763
OG0000156	Prao.g_01287	Syam.g_01814
OG0000157	Prao.g_01286	Syam.g_01815
OG0000158	Prao.g_01220	Syam.g_00139
OG0000160	Prao.g_01398	Syam.g_01614
OG0000161	Prao.g_01404	Syam.g_01620
OG0000162	Prao.g_01410	Syam.g_01627
OG0000163	Prao.g_01443	Syam.g_01927
OG0000164	Prao.g_01576	Syam.g_02023
OG0000165	Prao.g_01583	Syam.g_01879, Syam.g_01878
OG0000166	Prao.g_01651	Syam.g_00330
OG0000167	Prao.g_01717	Syam.g_00151
OG0000168	Prao.g_01727	Syam.g_00138
OG0000169	Prao.g_01737	Syam.g_00127
OG0000170	Prao.g_01739	Syam.g_00120
OG0000171	Prao.g_01758	Syam.g_00097
OG0000172	Prao.g_01767	Syam.g_00075
OG0000173	Prao.g_01782	Syam.g_00057
OG0000174	Prao.g_01810	Syam.g_02349
OG0000175	Prao.g_01820	Syam.g_02417
OG0000176	Prao.g_01845	Syam.g_00004
OG0000177	Prao.g_01846	Syam.g_00005
OG0000178	Prao.g_01847	Syam.g_00006
OG0000179	Prao.g_00163	Syam.g_00021
OG0000180	Prao.g_00164	Syam.g_00022
OG0000181	Prao.g_00165	Syam.g_00023
OG0000182	Prao.g_00166	Syam.g_00024
OG0000183	Prao.g_00170	Syam.g_00028
OG0000184	Prao.g_00192	Syam.g_02298
OG0000185	Prao.g_00195	Syam.g_02295
OG0000186	Prao.g_00203	Syam.g_02058
OG0000187	Prao.g_00204	Syam.g_02059
OG0000188	Prao.g_00221	Syam.g_02081
OG0000189	Prao.g_00235	Syam.g_02108
