Orthogroup	Prao	Prbn
OG0000000	Prao.g_01515	Prbn.g_01662
OG0000001	Prao.g_01254	Prbn.g_01213
OG0000002	Prao.g_01246	Prbn.g_01483, Prbn.g_01478
OG0000002	Prao.g_00116	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586
OG0000004	Prao.g_00133	Prbn.g_01565
OG0000004	Prao.g_00370	Prbn.g_00318
OG0000005	Prao.g_01472	Prbn.g_00899
OG0000006	Prao.g_00379	Prbn.g_00308
OG0000007	Prao.g_00603	Prbn.g_00617
OG0000007	Prao.g_01552	Prbn.g_01745
OG0000009	Prao.g_01342	Prbn.g_00887
OG0000010	Prao.g_00580	Prbn.g_00640
OG0000010	Prao.g_00985	Prbn.g_01939, Prbn.g_01357
OG0000011	Prao.g_00529	Prbn.g_00802
OG0000012	Prao.g_00062	Prbn.g_00492, Prbn.g_00867
OG0000013	Prao.g_00463	Prbn.g_00092
OG0000014	Prao.g_01213	Prbn.g_00074
OG0000015	Prao.g_00703	Prbn.g_01684, Prbn.g_01730
OG0000017	Prao.g_00036	Prbn.g_00517, Prbn.g_00510
OG0000018	Prao.g_00768	Prbn.g_01518
OG0000018	Prao.g_01108	Prbn.g_01167
OG0000019	Prao.g_00387	Prbn.g_00015
OG0000019	Prao.g_00720	Prbn.g_01165
OG0000021	Prao.g_01346, Prao.g_00500	Prbn.g_00874, Prbn.g_01560
OG0000022	Prao.g_00699	Prbn.g_00891
OG0000023	Prao.g_00494	Prbn.g_01030
OG0000024	Prao.g_00683	Prbn.g_01353
OG0000024	Prao.g_00114	Prbn.g_01589
OG0000025	Prao.g_00467, Prao.g_00776	Prbn.g_01510
OG0000026	Prao.g_00177, Prao.g_00992	Prbn.g_00750
OG0000027	Prao.g_00576, Prao.g_01293	Prbn.g_00139, Prbn.g_01664
OG0000028	Prao.g_01348	Prbn.g_01644
OG0000029	Prao.g_00690	Prbn.g_00126, Prbn.g_01676
OG0000029	Prao.g_00510	Prbn.g_01836
OG0000030	Prao.g_01753	Prbn.g_00985
OG0000031	Prao.g_01355, Prao.g_01364	Prbn.g_00171
OG0000034	Prao.g_01266	Prbn.g_01073
