Orthogroup	Prao	Pras
OG0000000	Prao.g_01294	Pras.g_00184
OG0000000	Prao.g_01515	Pras.g_00470
OG0000000	Prao.g_01029	Pras.g_00117
OG0000000	Prao.g_01029	Pras.g_00469
OG0000000	Prao.g_01296	Pras.g_00182
OG0000000	Prao.g_01518	Pras.g_00471
OG0000001	Prao.g_01254	Pras.g_00235
OG0000001	Prao.g_01852	Pras.g_00118, Pras.g_00120
OG0000001	Prao.g_01529	Pras.g_00541
OG0000002	Prao.g_01246	Pras.g_00243
OG0000002	Prao.g_00116	Pras.g_01554
OG0000004	Prao.g_00133	Pras.g_01571
OG0000004	Prao.g_00370	Pras.g_01084
OG0000005	Prao.g_01565	Pras.g_00563
OG0000005	Prao.g_01472	Pras.g_00429
OG0000006	Prao.g_00379	Pras.g_00148
OG0000006	Prao.g_00379	Pras.g_01093
OG0000007	Prao.g_00603	Pras.g_01375
OG0000007	Prao.g_01552	Pras.g_00550
OG0000008	Prao.g_00111	Pras.g_01548
OG0000009	Prao.g_01342	Pras.g_00157
OG0000009	Prao.g_01507	Pras.g_00463
OG0000010	Prao.g_00580	Pras.g_01352
OG0000010	Prao.g_00985	Pras.g_01942
OG0000011	Prao.g_01307	Pras.g_00176
OG0000012	Prao.g_00062	Pras.g_01499
OG0000013	Prao.g_00463	Pras.g_01179
OG0000014	Prao.g_01213	Pras.g_01158, Pras.g_00304
OG0000016	Prao.g_00160	Pras.g_00855
OG0000017	Prao.g_00036	Pras.g_01474
OG0000018	Prao.g_00768	Pras.g_01728
OG0000018	Prao.g_01108	Pras.g_00037
OG0000019	Prao.g_00387	Pras.g_01101
OG0000019	Prao.g_00720	Pras.g_01681
OG0000020	Prao.g_01145	Pras.g_00001
OG0000021	Prao.g_01346	Pras.g_00507
OG0000021	Prao.g_00500	Pras.g_01218
OG0000022	Prao.g_01126	Pras.g_00019
OG0000022	Prao.g_00699	Pras.g_01662
OG0000023	Prao.g_00494	Pras.g_01213
OG0000024	Prao.g_00683	Pras.g_01645
OG0000024	Prao.g_00114	Pras.g_01551
OG0000025	Prao.g_00467	Pras.g_01183
OG0000025	Prao.g_00776	Pras.g_01735
OG0000026	Prao.g_00177	Pras.g_00873
OG0000026	Prao.g_00992	Pras.g_01949
OG0000027	Prao.g_00576	Pras.g_01348
OG0000027	Prao.g_01293	Pras.g_00185
OG0000028	Prao.g_01348	Pras.g_00169
OG0000028	Prao.g_00456	Pras.g_01172
OG0000029	Prao.g_00690	Pras.g_01653
OG0000029	Prao.g_00510	Pras.g_01228
OG0000030	Prao.g_01753	Pras.g_00753
OG0000031	Prao.g_01355, Prao.g_01364	Pras.g_00331
OG0000032	Prao.g_01362, Prao.g_01201	Pras.g_00326
OG0000033	Prao.g_00307	Pras.g_01020
OG0000034	Prao.g_01266	Pras.g_00219
OG0000035	Prao.g_01397	Pras.g_00350
OG0000037	Prao.g_00247	Pras.g_00960
OG0000038	Prao.g_01794	Pras.g_00795
OG0000039	Prao.g_00124	Pras.g_01562
OG0000040	Prao.g_01531	Pras.g_00489
OG0000040	Prao.g_01109	Pras.g_00036
OG0000041	Prao.g_01598	Pras.g_00597
OG0000042	Prao.g_01750	Pras.g_00750
OG0000043	Prao.g_01331	Pras.g_00153
