Orthogroup	Prao	Syad
OG0000001	Prao.g_01254	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611
OG0000002	Prao.g_01246, Prao.g_00116	Syad.g_00619
OG0000004	Prao.g_00133	Syad.g_01304
OG0000004	Prao.g_00370	Syad.g_02184, Syad.g_00810
OG0000005	Prao.g_01565	Syad.g_02639
OG0000005	Prao.g_01472	Syad.g_02596
OG0000006	Prao.g_00379	Syad.g_02130, Syad.g_00588, Syad.g_00829
OG0000007	Prao.g_00603	Syad.g_00923
OG0000007	Prao.g_01552	Syad.g_02623
OG0000009	Prao.g_01342, Prao.g_01507	Syad.g_01952, Syad.g_00868
OG0000010	Prao.g_00985	Syad.g_02354
OG0000011	Prao.g_01307	Syad.g_02006
OG0000012	Prao.g_00062	Syad.g_02176, Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008
OG0000013	Prao.g_00463	Syad.g_00729, Syad.g_00737, Syad.g_00724
OG0000014	Prao.g_01213	Syad.g_00480, Syad.g_00297, Syad.g_00260
OG0000015	Prao.g_00703	Syad.g_00142, Syad.g_01600, Syad.g_01601
OG0000016	Prao.g_00160	Syad.g_00176
OG0000017	Prao.g_00036	Syad.g_01084, Syad.g_01091
OG0000018	Prao.g_01108	Syad.g_02306
OG0000019	Prao.g_00387, Prao.g_00720	Syad.g_00569
OG0000020	Prao.g_01145	Syad.g_00845
OG0000021	Prao.g_01346, Prao.g_00500	Syad.g_01835, Syad.g_00874
OG0000022	Prao.g_01126	Syad.g_02090
OG0000023	Prao.g_00494	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Prao.g_00683, Prao.g_00114	Syad.g_01374
OG0000025	Prao.g_00467, Prao.g_00776	Syad.g_01241
OG0000026	Prao.g_00177, Prao.g_00992	Syad.g_00198
OG0000027	Prao.g_00576, Prao.g_01293	Syad.g_01257
OG0000028	Prao.g_01348, Prao.g_00456	Syad.g_00463
OG0000029	Prao.g_00690, Prao.g_00510	Syad.g_02099
OG0000030	Prao.g_01753	Syad.g_00328, Syad.g_00327
OG0000031	Prao.g_01355	Syad.g_00294
OG0000034	Prao.g_01266	Syad.g_02420, Syad.g_02872
OG0000035	Prao.g_01397	Syad.g_02275
OG0000037	Prao.g_00247	Syad.g_02805
OG0000038	Prao.g_01794	Syad.g_03038
OG0000039	Prao.g_00124	Syad.g_01249, Syad.g_01111
OG0000040	Prao.g_01109	Syad.g_00104
OG0000041	Prao.g_01598	Syad.g_02498, Syad.g_01281
OG0000042	Prao.g_01750	Syad.g_00333
OG0000047	Prao.g_00466	Syad.g_00754
OG0000048	Prao.g_00509	Syad.g_00534
OG0000050	Prao.g_01012	Syad.g_02478
OG0000051	Prao.g_01304	Syad.g_00842
OG0000053	Prao.g_01417	Syad.g_02302
OG0000054	Prao.g_00044	Syad.g_02209
OG0000055	Prao.g_00721	Syad.g_01255
OG0000057	Prao.g_00136	Syad.g_01301
OG0000059	Prao.g_01639	Syad.g_00642
OG0000061	Prao.g_01089	Syad.g_01152
OG0000062	Prao.g_01474	Syad.g_02598
OG0000063	Prao.g_00179	Syad.g_00202
OG0000065	Prao.g_00245	Syad.g_02801, Syad.g_02574
OG0000067	Prao.g_00741	Syad.g_01889
OG0000068	Prao.g_01239	Syad.g_00891
OG0000070	Prao.g_00554	Syad.g_02424
OG0000071	Prao.g_01276	Syad.g_02405
OG0000072	Prao.g_00309	Syad.g_02905
OG0000073	Prao.g_00605	Syad.g_00926
OG0000075	Prao.g_01719	Syad.g_00416
OG0000076	Prao.g_01743	Syad.g_00348
OG0000077	Prao.g_00217	Syad.g_02741
OG0000078	Prao.g_00377	Syad.g_00824
OG0000079	Prao.g_00390	Syad.g_00565
OG0000081	Prao.g_01860	Syad.g_00833
OG0000082	Prao.g_00024	Syad.g_01063
OG0000084	Prao.g_01393	Syad.g_02272
OG0000085	Prao.g_01545	Syad.g_02612
OG0000086	Prao.g_00227	Syad.g_02770
OG0000087	Prao.g_00277	Syad.g_02860
OG0000088	Prao.g_00304	Syad.g_02899
OG0000089	Prao.g_00490	Syad.g_00785, Syad.g_02829
OG0000090	Prao.g_01858	Syad.g_00977
OG0000091	Prao.g_00081	Syad.g_02144
OG0000093	Prao.g_00870	Syad.g_01905
OG0000094	Prao.g_00955	Syad.g_01676
OG0000095	Prao.g_00974	Syad.g_01290
OG0000097	Prao.g_01048	Syad.g_01458
OG0000098	Prao.g_01257	Syad.g_00625
OG0000099	Prao.g_01214	Syad.g_00460
OG0000100	Prao.g_01470	Syad.g_01846
OG0000101	Prao.g_01687	Syad.g_00694
OG0000102	Prao.g_01748	Syad.g_00343
OG0000103	Prao.g_01828	Syad.g_00143
OG0000104	Prao.g_01837	Syad.g_00158
OG0000105	Prao.g_01378	Syad.g_00530
OG0000106	Prao.g_00505	Syad.g_01993
OG0000107	Prao.g_00518	Syad.g_00590
OG0000108	Prao.g_00586	Syad.g_00904
OG0000109	Prao.g_00600	Syad.g_00919
OG0000110	Prao.g_01867	Syad.g_01048
OG0000111	Prao.g_00137	Syad.g_01300
OG0000112	Prao.g_00704	Syad.g_01766
OG0000113	Prao.g_00763	Syad.g_01851
OG0000114	Prao.g_00845	Syad.g_01617
OG0000115	Prao.g_01150	Syad.g_02300
OG0000116	Prao.g_01099	Syad.g_01123
OG0000117	Prao.g_01332	Syad.g_01510
OG0000118	Prao.g_01264	Syad.g_01104
OG0000119	Prao.g_01243	Syad.g_01168
OG0000120	Prao.g_01215	Syad.g_00459
OG0000121	Prao.g_01399	Syad.g_02280
OG0000122	Prao.g_01436	Syad.g_02122
OG0000123	Prao.g_01694	Syad.g_00701
OG0000124	Prao.g_01759	Syad.g_00320
OG0000125	Prao.g_01796	Syad.g_03040
OG0000126	Prao.g_01836	Syad.g_00156
OG0000128	Prao.g_00158	Syad.g_00174
OG0000129	Prao.g_00190	Syad.g_03028
OG0000130	Prao.g_00208	Syad.g_02728
OG0000131	Prao.g_00283	Syad.g_02876
OG0000132	Prao.g_00302	Syad.g_02897
OG0000133	Prao.g_00458	Syad.g_01761
OG0000134	Prao.g_00491	Syad.g_00788
OG0000135	Prao.g_00516	Syad.g_00063
OG0000136	Prao.g_00545	Syad.g_02445
OG0000137	Prao.g_00581	Syad.g_02353
OG0000138	Prao.g_00601	Syad.g_00920
OG0000139	Prao.g_01854	Syad.g_00983
OG0000140	Prao.g_01853	Syad.g_00987
OG0000141	Prao.g_00045	Syad.g_02208
OG0000142	Prao.g_00074	Syad.g_02152
OG0000143	Prao.g_00078	Syad.g_02148
OG0000144	Prao.g_00091	Syad.g_02024
OG0000145	Prao.g_00701	Syad.g_00927
OG0000146	Prao.g_00705	Syad.g_01767
OG0000147	Prao.g_00706	Syad.g_01768
OG0000148	Prao.g_00757	Syad.g_01861
OG0000149	Prao.g_00788	Syad.g_01221
OG0000150	Prao.g_00796	Syad.g_02207, Syad.g_00989
OG0000151	Prao.g_00855	Syad.g_01956
OG0000152	Prao.g_00902	Syad.g_01757
OG0000153	Prao.g_00921	Syad.g_01713
OG0000154	Prao.g_00948	Syad.g_01686
OG0000155	Prao.g_01069	Syad.g_01189
OG0000156	Prao.g_01287	Syad.g_01116
OG0000157	Prao.g_01286	Syad.g_01115
OG0000158	Prao.g_01220	Syad.g_00374
OG0000160	Prao.g_01398	Syad.g_02279
OG0000161	Prao.g_01404	Syad.g_02287
OG0000162	Prao.g_01410	Syad.g_02293
OG0000163	Prao.g_01443	Syad.g_02542
OG0000164	Prao.g_01576	Syad.g_02659
OG0000165	Prao.g_01583	Syad.g_02476
OG0000166	Prao.g_01651	Syad.g_00654
OG0000167	Prao.g_01717	Syad.g_00419
OG0000168	Prao.g_01727	Syad.g_00371
OG0000169	Prao.g_01737	Syad.g_00360
OG0000170	Prao.g_01739	Syad.g_00353
OG0000171	Prao.g_01758	Syad.g_00321
OG0000172	Prao.g_01767	Syad.g_00244
OG0000173	Prao.g_01782	Syad.g_00220
OG0000174	Prao.g_01810	Syad.g_00065
OG0000175	Prao.g_01820	Syad.g_00129
OG0000176	Prao.g_01845	Syad.g_00166
OG0000177	Prao.g_01846	Syad.g_00167
OG0000178	Prao.g_01847	Syad.g_00168
OG0000179	Prao.g_00163	Syad.g_00183
OG0000180	Prao.g_00164	Syad.g_00184
OG0000181	Prao.g_00165	Syad.g_00185
OG0000182	Prao.g_00166	Syad.g_00186
OG0000183	Prao.g_00170	Syad.g_00190
OG0000184	Prao.g_00192	Syad.g_03018
OG0000185	Prao.g_00195	Syad.g_03006
OG0000186	Prao.g_00203	Syad.g_02722
OG0000187	Prao.g_00204	Syad.g_02724
OG0000188	Prao.g_00221	Syad.g_02759
OG0000189	Prao.g_00235	Syad.g_02788
OG0000190	Prao.g_00236	Syad.g_02790
OG0000191	Prao.g_00256	Syad.g_02824
OG0000192	Prao.g_00260	Syad.g_02834
OG0000193	Prao.g_00284	Syad.g_02877
OG0000194	Prao.g_00287	Syad.g_02880
OG0000195	Prao.g_00289	Syad.g_02884
