Orthogroup	Pral	Syak
OG0000001	Pral.g_01236	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579
OG0000004	Pral.g_01743	Syak.g_01219, Syak.g_00720
OG0000004	Pral.g_00809	Syak.g_00003, Syak.g_02297
OG0000005	Pral.g_01075	Syak.g_00885, Syak.g_02436
OG0000006	Pral.g_00797	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Pral.g_00593	Syak.g_02595
OG0000007	Pral.g_00107	Syak.g_02416
OG0000008	Pral.g_00020	Syak.g_00267
OG0000008	Pral.g_00021	Syak.g_00692
OG0000010	Pral.g_01832, Pral.g_01848	Syak.g_01119
OG0000011	Pral.g_00064	Syak.g_00960
OG0000013	Pral.g_00712	Syak.g_01270, Syak.g_01275
OG0000014	Pral.g_00732	Syak.g_01505
OG0000014	Pral.g_01261	Syak.g_01582
OG0000015	Pral.g_01813	Syak.g_01813, Syak.g_00107, Syak.g_00358
OG0000017	Pral.g_00491	Syak.g_02730
OG0000017	Pral.g_00484	Syak.g_02738
OG0000018	Pral.g_01346	Syak.g_01072
OG0000019	Pral.g_00790, Pral.g_01344	Syak.g_01413
OG0000021	Pral.g_01667, Pral.g_01738	Syak.g_00566
OG0000023	Pral.g_01687	Syak.g_00316, Syak.g_00223
OG0000025	Pral.g_01523	Syak.g_00610
OG0000026	Pral.g_01012	Syak.g_01757
OG0000027	Pral.g_01036, Pral.g_00039	Syak.g_00127
OG0000028	Pral.g_00053, Pral.g_00719	Syak.g_01522
OG0000029	Pral.g_01890	Syak.g_00169, Syak.g_00178
OG0000030	Pral.g_00316	Syak.g_01684, Syak.g_01685
OG0000032	Pral.g_01121	Syak.g_01092
OG0000033	Pral.g_00874	Syak.g_02101
OG0000034	Pral.g_01271	Syak.g_00950, Syak.g_02133
OG0000035	Pral.g_01161, Pral.g_01165	Syak.g_01041, Syak.g_01040
OG0000037	Pral.g_00938	Syak.g_02188
OG0000038	Pral.g_00356	Syak.g_01938, Syak.g_01936
OG0000039	Pral.g_01755	Syak.g_00772, Syak.g_01918
OG0000041	Pral.g_00155	Syak.g_02354, Syak.g_00752
OG0000042	Pral.g_00313	Syak.g_00843, Syak.g_01681
OG0000043	Pral.g_01347	Syak.g_00335
OG0000044	Pral.g_01888	Syak.g_00767, Syak.g_00153
OG0000046	Pral.g_00711	Syak.g_01269, Syak.g_01276
OG0000047	Pral.g_00672	Syak.g_01147
OG0000048	Pral.g_00768	Syak.g_01446
OG0000050	Pral.g_01829	Syak.g_00106
OG0000052	Pral.g_00987	Syak.g_01549
OG0000053	Pral.g_01139, Pral.g_00066	Syak.g_01068
OG0000054	Pral.g_00482	Syak.g_02744, Syak.g_02321
OG0000055	Pral.g_01670, Pral.g_00082	Syak.g_00766
OG0000057	Pral.g_01740	Syak.g_00724, Syak.g_01676
OG0000058	Pral.g_01202	Syak.g_01530
OG0000059	Pral.g_00195	Syak.g_01355
OG0000061	Pral.g_01367	Syak.g_00898
OG0000062	Pral.g_01073	Syak.g_02434
OG0000063	Pral.g_00435	Syak.g_01752
OG0000064	Pral.g_00980	Syak.g_00983, Syak.g_00254, Syak.g_00126, Syak.g_00164
OG0000065	Pral.g_00940	Syak.g_02192, Syak.g_00282
OG0000066	Pral.g_00551	Syak.g_02653
OG0000067	Pral.g_01488	Syak.g_00434
OG0000068	Pral.g_01222	Syak.g_02565
OG0000070	Pral.g_00643	Syak.g_01174
OG0000071	Pral.g_01281	Syak.g_02322, Syak.g_00936
OG0000072	Pral.g_00872	Syak.g_02099
OG0000073	Pral.g_00591	Syak.g_02597
OG0000075	Pral.g_00279	Syak.g_01564
OG0000076	Pral.g_00305	Syak.g_01650
OG0000077	Pral.g_00969	Syak.g_02243
OG0000078	Pral.g_00800	Syak.g_02310
OG0000079	Pral.g_00787	Syak.g_01417
OG0000081	Pral.g_00559	Syak.g_00115
OG0000082	Pral.g_00057	Syak.g_02711
OG0000084	Pral.g_01169	Syak.g_01036
OG0000085	Pral.g_00099	Syak.g_02427
OG0000086	Pral.g_00959	Syak.g_02219
OG0000087	Pral.g_00906	Syak.g_02141
OG0000088	Pral.g_00878	Syak.g_02106
OG0000089	Pral.g_00676	Syak.g_01215
OG0000090	Pral.g_00557	Syak.g_02640
OG0000091	Pral.g_01443	Syak.g_00043
OG0000092	Pral.g_01244	Syak.g_01126
OG0000093	Pral.g_01472	Syak.g_00416
OG0000094	Pral.g_01604	Syak.g_00656
OG0000095	Pral.g_01561	Syak.g_00736
OG0000097	Pral.g_01416	Syak.g_00816
OG0000098	Pral.g_01239	Syak.g_00345, Syak.g_02651
OG0000099	Pral.g_01201	Syak.g_01527
OG0000100	Pral.g_01078	Syak.g_00622
OG0000101	Pral.g_00243	Syak.g_01305
OG0000102	Pral.g_00310	Syak.g_01661
OG0000103	Pral.g_00397	Syak.g_01812
OG0000104	Pral.g_00406	Syak.g_01799
OG0000105	Pral.g_00765	Syak.g_01451
OG0000106	Pral.g_01859	Syak.g_00096
OG0000107	Pral.g_00171	Syak.g_01392
OG0000108	Pral.g_00611	Syak.g_02574
OG0000109	Pral.g_00596	Syak.g_01061, Syak.g_02590
OG0000110	Pral.g_00513	Syak.g_02698
OG0000111	Pral.g_01739	Syak.g_00725
OG0000112	Pral.g_01635	Syak.g_00512
OG0000113	Pral.g_01511	Syak.g_00461
OG0000114	Pral.g_01799	Syak.g_00373, Syak.g_00065
OG0000115	Pral.g_01141	Syak.g_01066
OG0000116	Pral.g_01356	Syak.g_00911
OG0000117	Pral.g_01396, Pral.g_01398, Pral.g_01397	Syak.g_00846
OG0000118	Pral.g_01269	Syak.g_00954
OG0000119	Pral.g_01861, Pral.g_01063	Syak.g_00917
OG0000120	Pral.g_00702	Syak.g_01526
OG0000121	Pral.g_01159	Syak.g_01044
OG0000122	Pral.g_01116	Syak.g_00081
OG0000123	Pral.g_00250	Syak.g_01299
OG0000124	Pral.g_00322	Syak.g_01692
OG0000125	Pral.g_00358	Syak.g_01934
OG0000126	Pral.g_00405	Syak.g_01801
OG0000128	Pral.g_00421	Syak.g_01782
OG0000129	Pral.g_01000	Syak.g_01947
OG0000130	Pral.g_00978	Syak.g_02255
OG0000131	Pral.g_00900	Syak.g_02128
OG0000132	Pral.g_00880	Syak.g_02108
OG0000133	Pral.g_00717	Syak.g_00507
OG0000134	Pral.g_00674	Syak.g_01212
OG0000135	Pral.g_01034	Syak.g_01897
OG0000136	Pral.g_00653	Syak.g_01186
OG0000137	Pral.g_00617	Syak.g_01118
OG0000138	Pral.g_00595	Syak.g_02591
OG0000139	Pral.g_00553	Syak.g_02646
OG0000140	Pral.g_00552	Syak.g_02650
OG0000141	Pral.g_00481	Syak.g_02746
OG0000142	Pral.g_01436	Syak.g_00035
OG0000143	Pral.g_01440	Syak.g_00039
OG0000144	Pral.g_01453	Syak.g_00260
OG0000145	Pral.g_01037	Syak.g_02598
OG0000146	Pral.g_01636	Syak.g_00514
OG0000147	Pral.g_01637	Syak.g_00515
OG0000148	Pral.g_01505	Syak.g_00455
OG0000149	Pral.g_01535	Syak.g_00596
OG0000150	Pral.g_01545	Syak.g_02747
OG0000151	Pral.g_01789	Syak.g_00387
OG0000152	Pral.g_01627	Syak.g_00503
OG0000153	Pral.g_01578	Syak.g_00470
OG0000154	Pral.g_01595	Syak.g_00645
OG0000155	Pral.g_01390	Syak.g_00855
OG0000156	Pral.g_01292	Syak.g_00919
OG0000157	Pral.g_01291	Syak.g_00920
OG0000158	Pral.g_00287	Syak.g_01624
OG0000159	Pral.g_01263	Syak.g_01580
OG0000160	Pral.g_01160	Syak.g_01043
OG0000161	Pral.g_01154	Syak.g_01050
OG0000162	Pral.g_01148	Syak.g_01058
OG0000163	Pral.g_01106	Syak.g_02478
OG0000164	Pral.g_00131	Syak.g_02384
OG0000165	Pral.g_00138	Syak.g_02374
OG0000166	Pral.g_00206	Syak.g_01345
OG0000167	Pral.g_00277	Syak.g_01561
OG0000168	Pral.g_00288	Syak.g_01625
OG0000169	Pral.g_00298	Syak.g_01637
OG0000170	Pral.g_00301	Syak.g_01644
OG0000171	Pral.g_00321	Syak.g_01691
OG0000172	Pral.g_00328	Syak.g_01713
OG0000173	Pral.g_00343	Syak.g_01733
OG0000174	Pral.g_00375	Syak.g_01895
OG0000175	Pral.g_00387	Syak.g_01827
OG0000176	Pral.g_00414	Syak.g_01790
OG0000177	Pral.g_00415	Syak.g_01789
OG0000178	Pral.g_00416	Syak.g_01788
OG0000179	Pral.g_01028	Syak.g_01773
OG0000180	Pral.g_01027	Syak.g_01772
OG0000181	Pral.g_01026	Syak.g_01771
OG0000182	Pral.g_01025	Syak.g_01770
