Orthogroup	Pral	Syai
OG0000001	Pral.g_01236	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729
OG0000002	Pral.g_01549, Pral.g_01554, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764	Syai.g_01728
OG0000004	Pral.g_01743	Syai.g_01994
OG0000004	Pral.g_00809	Syai.g_01062, Syai.g_00530
OG0000005	Pral.g_01075	Syai.g_02356
OG0000006	Pral.g_00797	Syai.g_01126, Syai.g_00317, Syai.g_00547
OG0000007	Pral.g_00593	Syai.g_00657
OG0000007	Pral.g_00107	Syai.g_02378
OG0000008	Pral.g_00020	Syai.g_01956
OG0000008	Pral.g_00021	Syai.g_01955
OG0000009	Pral.g_01065, Pral.g_01163	Syai.g_01626
OG0000010	Pral.g_01832, Pral.g_01848	Syai.g_00864
OG0000011	Pral.g_00064	Syai.g_01952
OG0000013	Pral.g_00712	Syai.g_00442, Syai.g_00450, Syai.g_00436
OG0000014	Pral.g_00732	Syai.g_00220
OG0000015	Pral.g_01813	Syai.g_01246, Syai.g_01245
OG0000017	Pral.g_00491	Syai.g_00801
OG0000017	Pral.g_00484	Syai.g_00808
OG0000018	Pral.g_01346	Syai.g_00915
OG0000019	Pral.g_00790, Pral.g_01344	Syai.g_00304
OG0000020	Pral.g_01038, Pral.g_00443, Pral.g_01883, Pral.g_01891	Syai.g_00476
OG0000021	Pral.g_01667, Pral.g_01738	Syai.g_00556
OG0000023	Pral.g_01687	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Pral.g_01895	Syai.g_01951
OG0000025	Pral.g_01523	Syai.g_02044
OG0000026	Pral.g_01012	Syai.g_00038
OG0000027	Pral.g_01036, Pral.g_00039	Syai.g_01128, Syai.g_01654
OG0000028	Pral.g_00053, Pral.g_00719	Syai.g_00205
OG0000029	Pral.g_01890	Syai.g_01035, Syai.g_01584
OG0000030	Pral.g_00316	Syai.g_00096, Syai.g_00095
OG0000032	Pral.g_01121	Syai.g_00895
OG0000034	Pral.g_01271	Syai.g_02192, Syai.g_02604
OG0000035	Pral.g_01161, Pral.g_01165	Syai.g_00955
OG0000037	Pral.g_00938	Syai.g_02544, Syai.g_02815
OG0000038	Pral.g_00356	Syai.g_02780
OG0000039	Pral.g_01755	Syai.g_02034
OG0000041	Pral.g_00155	Syai.g_02265, Syai.g_02016
OG0000042	Pral.g_00313	Syai.g_00099
OG0000043	Pral.g_01347	Syai.g_01599
OG0000044	Pral.g_01888	Syai.g_00833
OG0000046	Pral.g_00711	Syai.g_00443, Syai.g_00449, Syai.g_00435
OG0000047	Pral.g_00672	Syai.g_00462
OG0000048	Pral.g_00768	Syai.g_00272
OG0000052	Pral.g_00987	Syai.g_00176
OG0000053	Pral.g_01139, Pral.g_00066	Syai.g_00930
