Orthogroup	Pral	Syal
OG0000000	Pral.g_01331	Syal.g_01111, Syal.g_01832
OG0000001	Pral.g_01236	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184
OG0000004	Pral.g_01743	Syal.g_01809
OG0000004	Pral.g_00809	Syal.g_02718, Syal.g_00691
OG0000005	Pral.g_01075	Syal.g_00565
OG0000006	Pral.g_00797	Syal.g_02611, Syal.g_00674
OG0000007	Pral.g_00593	Syal.g_02918
OG0000007	Pral.g_00107	Syal.g_00587
OG0000008	Pral.g_00020	Syal.g_02512
OG0000008	Pral.g_00021	Syal.g_01783
OG0000009	Pral.g_01065, Pral.g_01163	Syal.g_02089
OG0000010	Pral.g_01832, Pral.g_01848	Syal.g_00464
OG0000011	Pral.g_00064	Syal.g_00702
OG0000013	Pral.g_00712	Syal.g_00315, Syal.g_00322, Syal.g_00310
OG0000014	Pral.g_00732	Syal.g_01305
OG0000015	Pral.g_01813	Syal.g_02210, Syal.g_01183
OG0000017	Pral.g_00491	Syal.g_02752
OG0000017	Pral.g_00484	Syal.g_02745
OG0000018	Pral.g_01346	Syal.g_00410
OG0000019	Pral.g_00790, Pral.g_01344	Syal.g_01209
OG0000023	Pral.g_01687	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Pral.g_01895	Syal.g_02597
OG0000025	Pral.g_01523	Syal.g_02459
OG0000026	Pral.g_01012	Syal.g_00132
OG0000027	Pral.g_01036, Pral.g_00039	Syal.g_02543
OG0000028	Pral.g_00053, Pral.g_00719	Syal.g_01319
OG0000029	Pral.g_01890	Syal.g_03014
OG0000030	Pral.g_00316	Syal.g_01511, Syal.g_01512
OG0000032	Pral.g_01121	Syal.g_00428
OG0000034	Pral.g_01271	Syal.g_00881, Syal.g_01586
OG0000035	Pral.g_01161, Pral.g_01165	Syal.g_00370, Syal.g_00020
OG0000037	Pral.g_00938	Syal.g_00601, Syal.g_00824
OG0000038	Pral.g_00356	Syal.g_01071, Syal.g_01073
OG0000039	Pral.g_01755	Syal.g_01097
OG0000041	Pral.g_00155	Syal.g_00649
OG0000042	Pral.g_00313	Syal.g_01705, Syal.g_01508
OG0000043	Pral.g_01347	Syal.g_01110, Syal.g_02547, Syal.g_02183
OG0000044	Pral.g_01888	Syal.g_01853, Syal.g_01847
OG0000046	Pral.g_00711	Syal.g_00316, Syal.g_00321, Syal.g_00309
OG0000047	Pral.g_00672	Syal.g_01568
OG0000048	Pral.g_00768	Syal.g_01250
OG0000052	Pral.g_00987	Syal.g_01338
OG0000053	Pral.g_01139, Pral.g_00066	Syal.g_00406
OG0000054	Pral.g_00482	Syal.g_02739, Syal.g_02098
OG0000056	Pral.g_01041	Syal.g_02054
OG0000057	Pral.g_01740	Syal.g_01812
OG0000058	Pral.g_01202	Syal.g_01326
OG0000059	Pral.g_00195	Syal.g_00225
OG0000061	Pral.g_01367	Syal.g_01653
OG0000062	Pral.g_01073	Syal.g_00567
OG0000063	Pral.g_00435	Syal.g_00136
OG0000064	Pral.g_00980	Syal.g_01545, Syal.g_01115, Syal.g_02544, Syal.g_01681
OG0000065	Pral.g_00940	Syal.g_00820, Syal.g_02528
OG0000066	Pral.g_00551	Syal.g_02828
OG0000067	Pral.g_01488	Syal.g_02414
OG0000068	Pral.g_01222	Syal.g_02888
OG0000070	Pral.g_00643	Syal.g_00509
OG0000071	Pral.g_01281	Syal.g_02099, Syal.g_01601
OG0000072	Pral.g_00872	Syal.g_00914
OG0000073	Pral.g_00591	Syal.g_02920
OG0000075	Pral.g_00279	Syal.g_01350
OG0000076	Pral.g_00305	Syal.g_01459
OG0000077	Pral.g_00969	Syal.g_00763, Syal.g_00506
OG0000078	Pral.g_00800	Syal.g_00680
OG0000079	Pral.g_00787	Syal.g_01213
OG0000081	Pral.g_00559	Syal.g_02555
OG0000082	Pral.g_00057	Syal.g_02769
OG0000084	Pral.g_01169	Syal.g_01896, Syal.g_00023
OG0000085	Pral.g_00099	Syal.g_00575
OG0000086	Pral.g_00959	Syal.g_00784
OG0000087	Pral.g_00906	Syal.g_00871
OG0000088	Pral.g_00878	Syal.g_00908
OG0000089	Pral.g_00676	Syal.g_00555
OG0000090	Pral.g_00557	Syal.g_02838
OG0000091	Pral.g_01443	Syal.g_02628
OG0000092	Pral.g_01244	Syal.g_00470
OG0000093	Pral.g_01472	Syal.g_02233
OG0000094	Pral.g_01604	Syal.g_01907
OG0000095	Pral.g_01561	Syal.g_01823
OG0000097	Pral.g_01416	Syal.g_01735, Syal.g_01553
OG0000098	Pral.g_01239	Syal.g_02196
OG0000099	Pral.g_01201	Syal.g_01323
OG0000100	Pral.g_01078	Syal.g_02448
OG0000101	Pral.g_00243	Syal.g_00275
OG0000102	Pral.g_00310	Syal.g_01488
OG0000103	Pral.g_00397	Syal.g_00077, Syal.g_01897
OG0000104	Pral.g_00406	Syal.g_00092
OG0000105	Pral.g_00765	Syal.g_01255
OG0000106	Pral.g_01859	Syal.g_02577
OG0000107	Pral.g_00171	Syal.g_00194
OG0000108	Pral.g_00611	Syal.g_02897
OG0000109	Pral.g_00596	Syal.g_02913
OG0000110	Pral.g_00513	Syal.g_02782
OG0000111	Pral.g_01739	Syal.g_01813
OG0000112	Pral.g_01635	Syal.g_02000
OG0000113	Pral.g_01511	Syal.g_02443
OG0000114	Pral.g_01799	Syal.g_02286
OG0000115	Pral.g_01141	Syal.g_00404
OG0000116	Pral.g_01356	Syal.g_01630
OG0000117	Pral.g_01396, Pral.g_01398, Pral.g_01397	Syal.g_01704
OG0000118	Pral.g_01269	Syal.g_01583
OG0000119	Pral.g_01861, Pral.g_01063	Syal.g_02056
OG0000120	Pral.g_00702	Syal.g_01324
OG0000121	Pral.g_01159	Syal.g_00374
OG0000122	Pral.g_01116	Syal.g_02602
OG0000123	Pral.g_00250	Syal.g_00283
OG0000124	Pral.g_00322	Syal.g_01519
OG0000125	Pral.g_00358	Syal.g_01075
OG0000126	Pral.g_00405	Syal.g_00090
OG0000128	Pral.g_00421	Syal.g_00109
OG0000129	Pral.g_01000	Syal.g_01062
OG0000130	Pral.g_00978	Syal.g_00751
OG0000131	Pral.g_00900	Syal.g_00886
OG0000132	Pral.g_00880	Syal.g_00906
OG0000133	Pral.g_00717	Syal.g_01995
OG0000134	Pral.g_00674	Syal.g_00552
OG0000135	Pral.g_01034	Syal.g_01119
OG0000136	Pral.g_00653	Syal.g_00520
OG0000137	Pral.g_00617	Syal.g_00463
OG0000138	Pral.g_00595	Syal.g_02914
OG0000139	Pral.g_00553	Syal.g_02832
OG0000140	Pral.g_00552	Syal.g_02830
OG0000141	Pral.g_00481	Syal.g_02738
OG0000142	Pral.g_01436	Syal.g_02636
OG0000143	Pral.g_01440	Syal.g_02632
OG0000144	Pral.g_01453	Syal.g_02515
OG0000145	Pral.g_01037	Syal.g_02921
OG0000146	Pral.g_01636	Syal.g_02001
OG0000147	Pral.g_01637	Syal.g_02002
OG0000148	Pral.g_01505	Syal.g_02437
OG0000149	Pral.g_01535	Syal.g_02475
OG0000150	Pral.g_01545	Syal.g_02737
OG0000151	Pral.g_01789	Syal.g_02263
OG0000152	Pral.g_01627	Syal.g_01991
OG0000153	Pral.g_01578	Syal.g_01958
OG0000154	Pral.g_01595	Syal.g_01918
OG0000155	Pral.g_01390	Syal.g_01695
OG0000156	Pral.g_01292	Syal.g_01620
OG0000157	Pral.g_01291	Syal.g_01619
OG0000158	Pral.g_00287	Syal.g_01431
OG0000159	Pral.g_01263	Syal.g_01400
OG0000160	Pral.g_01160	Syal.g_00372
OG0000161	Pral.g_01154	Syal.g_00384
OG0000162	Pral.g_01148	Syal.g_00396
OG0000163	Pral.g_01106	Syal.g_02971
OG0000164	Pral.g_00131	Syal.g_00623
OG0000165	Pral.g_00138	Syal.g_00632
OG0000166	Pral.g_00206	Syal.g_00236
OG0000167	Pral.g_00277	Syal.g_01347
OG0000168	Pral.g_00288	Syal.g_01433
OG0000169	Pral.g_00298	Syal.g_01447
OG0000170	Pral.g_00301	Syal.g_01454
OG0000171	Pral.g_00321	Syal.g_01518
