Orthogroup	Pral	Syar
OG0000001	Pral.g_01236	Syar.g_00069, Syar.g_00070, Syar.g_02229
OG0000004	Pral.g_01743	Syar.g_02051
OG0000004	Pral.g_00809	Syar.g_02225, Syar.g_00842
OG0000005	Pral.g_01075	Syar.g_02909
OG0000006	Pral.g_00797	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Pral.g_00593	Syar.g_01491
OG0000007	Pral.g_00107	Syar.g_02929
OG0000008	Pral.g_00020	Syar.g_02097
OG0000008	Pral.g_00021	Syar.g_02098
OG0000010	Pral.g_01832, Pral.g_01848	Syar.g_01272
OG0000012	Pral.g_00015	Syar.g_00690, Syar.g_02860
OG0000013	Pral.g_00712	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Pral.g_00732	Syar.g_00825
OG0000014	Pral.g_01261	Syar.g_02736
OG0000015	Pral.g_01813	Syar.g_00451, Syar.g_00180
OG0000017	Pral.g_00491	Syar.g_03181
OG0000017	Pral.g_00484	Syar.g_02180
OG0000018	Pral.g_01346	Syar.g_01409
OG0000019	Pral.g_00790, Pral.g_01344	Syar.g_00163
OG0000025	Pral.g_01523	Syar.g_01811
OG0000026	Pral.g_01012	Syar.g_00505
OG0000027	Pral.g_01036, Pral.g_00039	Syar.g_02055, Syar.g_02835
OG0000028	Pral.g_00053, Pral.g_00719	Syar.g_00718
OG0000032	Pral.g_01121	Syar.g_01390
OG0000034	Pral.g_01271	Syar.g_00074, Syar.g_02790
OG0000035	Pral.g_01161, Pral.g_01165	Syar.g_02809
OG0000037	Pral.g_00938	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Pral.g_00356	Syar.g_00334, Syar.g_00336
OG0000039	Pral.g_01755	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000041	Pral.g_00155	Syar.g_01370, Syar.g_02014, Syar.g_02993
OG0000042	Pral.g_00313	Syar.g_00595, Syar.g_01970
OG0000044	Pral.g_01888	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Pral.g_01322	Syar.g_02592
OG0000046	Pral.g_00711	Syar.g_03233, Syar.g_01102, Syar.g_01105
OG0000048	Pral.g_00768	Syar.g_00213
OG0000051	Pral.g_00095	Syar.g_01597
OG0000052	Pral.g_00987	Syar.g_00281
OG0000053	Pral.g_01139, Pral.g_00066	Syar.g_01413
OG0000054	Pral.g_00482	Syar.g_02265
OG0000055	Pral.g_00082	Syar.g_01386
OG0000056	Pral.g_01041	Syar.g_01662
OG0000057	Pral.g_01740	Syar.g_01941, Syar.g_00006
OG0000058	Pral.g_01202	Syar.g_00648
OG0000059	Pral.g_00195	Syar.g_01024
OG0000061	Pral.g_01367	Syar.g_01539
OG0000062	Pral.g_01073	Syar.g_02911
OG0000063	Pral.g_00435	Syar.g_00509
OG0000064	Pral.g_00980	Syar.g_03117, Syar.g_00860
OG0000065	Pral.g_00940	Syar.g_03119
OG0000066	Pral.g_00551	Syar.g_03187, Syar.g_02228
OG0000067	Pral.g_01488	Syar.g_02639
OG0000068	Pral.g_01222	Syar.g_02329, Syar.g_01461
OG0000069	Pral.g_01164, Pral.g_01114	Syar.g_01716
OG0000070	Pral.g_00643	Syar.g_02223
OG0000071	Pral.g_01281	Syar.g_02777
OG0000072	Pral.g_00872	Syar.g_00107, Syar.g_01140
OG0000073	Pral.g_00591	Syar.g_01493
OG0000075	Pral.g_00279	Syar.g_03065, Syar.g_00659
OG0000076	Pral.g_00305	Syar.g_00608
OG0000077	Pral.g_00969	Syar.g_03051
OG0000078	Pral.g_00800	Syar.g_03265, Syar.g_03018
OG0000079	Pral.g_00787	Syar.g_00166
OG0000081	Pral.g_00559	Syar.g_01898
OG0000082	Pral.g_00057	Syar.g_02202
OG0000085	Pral.g_00099	Syar.g_02919
OG0000086	Pral.g_00959	Syar.g_03085
OG0000087	Pral.g_00906	Syar.g_03192, Syar.g_00068
OG0000088	Pral.g_00878	Syar.g_00101
OG0000089	Pral.g_00676	Syar.g_01162
OG0000090	Pral.g_00557	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Pral.g_01443	Syar.g_01891, Syar.g_02426
OG0000092	Pral.g_01244	Syar.g_01960
OG0000093	Pral.g_01472	Syar.g_02623
OG0000094	Pral.g_01604	Syar.g_01789
OG0000095	Pral.g_01561	Syar.g_01932
OG0000097	Pral.g_01416	Syar.g_01706, Syar.g_00364
OG0000098	Pral.g_01239	Syar.g_02343
OG0000099	Pral.g_01201	Syar.g_00715
OG0000100	Pral.g_01078	Syar.g_02477
OG0000101	Pral.g_00243	Syar.g_01073, Syar.g_03154
OG0000102	Pral.g_00310	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Pral.g_00397	Syar.g_00014, Syar.g_00452
OG0000104	Pral.g_00406	Syar.g_00466
OG0000105	Pral.g_00765	Syar.g_00218
OG0000106	Pral.g_01859	Syar.g_01748
OG0000107	Pral.g_00171	Syar.g_03290, Syar.g_00149
OG0000108	Pral.g_00611	Syar.g_01469
OG0000109	Pral.g_00596	Syar.g_03310, Syar.g_01485
OG0000110	Pral.g_00513	Syar.g_02295
OG0000111	Pral.g_01739	Syar.g_01940, Syar.g_00005
OG0000112	Pral.g_01635	Syar.g_03195, Syar.g_02548
OG0000113	Pral.g_01511	Syar.g_02664
OG0000114	Pral.g_01799	Syar.g_01616
OG0000115	Pral.g_01141	Syar.g_02854, Syar.g_01415
OG0000116	Pral.g_01356	Syar.g_01525, Syar.g_02255
OG0000117	Pral.g_01396, Pral.g_01398, Pral.g_01397	Syar.g_01969
OG0000118	Pral.g_01269	Syar.g_02793
OG0000120	Pral.g_00702	Syar.g_00713
OG0000121	Pral.g_01159	Syar.g_02806
OG0000123	Pral.g_00250	Syar.g_01079
OG0000124	Pral.g_00322	Syar.g_00586
OG0000125	Pral.g_00358	Syar.g_00338
OG0000126	Pral.g_00405	Syar.g_00887, Syar.g_00888
OG0000128	Pral.g_00421	Syar.g_00482
OG0000129	Pral.g_01000	Syar.g_00324
OG0000130	Pral.g_00978	Syar.g_03040
OG0000131	Pral.g_00900	Syar.g_02216, Syar.g_00078
OG0000132	Pral.g_00880	Syar.g_00099
OG0000133	Pral.g_00717	Syar.g_02543
OG0000134	Pral.g_00674	Syar.g_02009, Syar.g_01165
OG0000135	Pral.g_01034	Syar.g_00698
OG0000136	Pral.g_00653	Syar.g_02874
OG0000137	Pral.g_00617	Syar.g_01273
OG0000138	Pral.g_00595	Syar.g_01486
OG0000139	Pral.g_00553	Syar.g_03245, Syar.g_02348
OG0000140	Pral.g_00552	Syar.g_02344, Syar.g_03246
OG0000141	Pral.g_00481	Syar.g_02129
OG0000142	Pral.g_01436	Syar.g_02418
OG0000143	Pral.g_01440	Syar.g_02422
OG0000144	Pral.g_01453	Syar.g_02441
OG0000145	Pral.g_01037	Syar.g_01494, Syar.g_03205
OG0000146	Pral.g_01636	Syar.g_02549
OG0000147	Pral.g_01637	Syar.g_02550
OG0000148	Pral.g_01505	Syar.g_02658
OG0000149	Pral.g_01535	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Pral.g_01545	Syar.g_02130
OG0000151	Pral.g_01789	Syar.g_02038
OG0000152	Pral.g_01627	Syar.g_02539
OG0000153	Pral.g_01578	Syar.g_03283, Syar.g_02503
OG0000154	Pral.g_01595	Syar.g_01800
OG0000155	Pral.g_01390	Syar.g_01959
OG0000156	Pral.g_01292	Syar.g_01517
OG0000157	Pral.g_01291	Syar.g_01516
OG0000158	Pral.g_00287	Syar.g_00650
OG0000159	Pral.g_01263	Syar.g_02359, Syar.g_02762
OG0000160	Pral.g_01160	Syar.g_02807
OG0000161	Pral.g_01154	Syar.g_02801
OG0000162	Pral.g_01148	Syar.g_02863
OG0000163	Pral.g_01106	Syar.g_00639, Syar.g_01186
