Orthogroup	Prap	Syal
OG0000000	Prap.g_00494, Prap.g_01862, Prap.g_00493, Prap.g_01861, Prap.g_01846	Syal.g_01111, Syal.g_01832
OG0000001	Prap.g_01925, Prap.g_00653	Syal.g_02193
OG0000004	Prap.g_00802	Syal.g_01809
OG0000004	Prap.g_01480	Syal.g_02718, Syal.g_00691
OG0000005	Prap.g_00204	Syal.g_00565
OG0000006	Prap.g_01470	Syal.g_00674
OG0000007	Prap.g_01270	Syal.g_02918
OG0000007	Prap.g_01779	Syal.g_00587
OG0000008	Prap.g_01888	Syal.g_02512
OG0000008	Prap.g_01887	Syal.g_01783
OG0000009	Prap.g_00216	Syal.g_02089
OG0000010	Prap.g_00669, Prap.g_00318, Prap.g_01293	Syal.g_00464
OG0000011	Prap.g_00619	Syal.g_00702
OG0000013	Prap.g_01385	Syal.g_00322, Syal.g_00310, Syal.g_00315
OG0000014	Prap.g_01403	Syal.g_01305
OG0000016	Prap.g_00514	Syal.g_01734
OG0000017	Prap.g_01163	Syal.g_02745
OG0000017	Prap.g_01170	Syal.g_02752
OG0000018	Prap.g_00478, Prap.g_00755	Syal.g_00410
OG0000019	Prap.g_01462, Prap.g_00480	Syal.g_01209
OG0000022	Prap.g_00212	Syal.g_02587
OG0000023	Prap.g_00029	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prap.g_00322, Prap.g_00826	Syal.g_02597
OG0000025	Prap.g_00747	Syal.g_02459
OG0000026	Prap.g_00923	Syal.g_00132
OG0000027	Prap.g_01860, Prap.g_01912	Syal.g_02543
OG0000028	Prap.g_01889	Syal.g_01319
OG0000029	Prap.g_01688, Prap.g_01899, Prap.g_01848	Syal.g_03014
OG0000030	Prap.g_01569	Syal.g_01511, Syal.g_01512
OG0000032	Prap.g_00160	Syal.g_00428
OG0000033	Prap.g_01001	Syal.g_00912
OG0000034	Prap.g_00572	Syal.g_00881, Syal.g_01586
OG0000035	Prap.g_00121	Syal.g_00370
OG0000037	Prap.g_01067	Syal.g_00824
OG0000038	Prap.g_01530	Syal.g_01071, Syal.g_01073
OG0000039	Prap.g_00814	Syal.g_01097
OG0000041	Prap.g_01731	Syal.g_00649
OG0000042	Prap.g_01572	Syal.g_01705, Syal.g_01508
OG0000043	Prap.g_00477	Syal.g_02183
OG0000046	Prap.g_01384	Syal.g_00309, Syal.g_00316, Syal.g_00321
OG0000047	Prap.g_01343	Syal.g_01568
OG0000048	Prap.g_00548, Prap.g_01439	Syal.g_01250
OG0000052	Prap.g_00099	Syal.g_01338
OG0000053	Prap.g_01834, Prap.g_00142	Syal.g_00406
OG0000054	Prap.g_01161	Syal.g_02739
OG0000055	Prap.g_00505	Syal.g_01845
OG0000057	Prap.g_00799	Syal.g_01812
OG0000058	Prap.g_00081	Syal.g_01326
OG0000059	Prap.g_01691	Syal.g_00225
OG0000061	Prap.g_00456	Syal.g_01653
OG0000062	Prap.g_00206	Syal.g_00567, Syal.g_02113
OG0000063	Prap.g_01903	Syal.g_00136
OG0000064	Prap.g_00883	Syal.g_01115, Syal.g_02544, Syal.g_01681, Syal.g_01545
OG0000065	Prap.g_01069	Syal.g_00820, Syal.g_02528
OG0000066	Prap.g_01230, Prap.g_01867	Syal.g_02828
OG0000067	Prap.g_00783	Syal.g_02414
OG0000068	Prap.g_00059	Syal.g_02888
OG0000070	Prap.g_01316	Syal.g_00509
OG0000071	Prap.g_00561	Syal.g_01601
OG0000072	Prap.g_00999	Syal.g_00914
OG0000073	Prap.g_01267	Syal.g_02920
OG0000075	Prap.g_01606	Syal.g_01350
OG0000076	Prap.g_01580	Syal.g_01459
