Orthogroup	Prap	Prag
OG0000000	Prap.g_01862	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000002	Prap.g_00720, Prap.g_00715	Prag.g_01382
OG0000002	Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823	Prag.g_00656
OG0000004	Prap.g_00802	Prag.g_00673
OG0000004	Prap.g_01480	Prag.g_00225
OG0000005	Prap.g_00204	Prag.g_01566
OG0000006	Prap.g_01470	Prag.g_00234, Prag.g_01231
OG0000007	Prap.g_01270	Prag.g_00476
OG0000007	Prap.g_01779	Prag.g_01669
OG0000008	Prap.g_01888	Prag.g_01655
OG0000008	Prap.g_01887	Prag.g_01656
OG0000010	Prap.g_00669, Prap.g_00318, Prap.g_01293	Prag.g_00453
OG0000012	Prap.g_00236, Prap.g_01145	Prag.g_00601
OG0000013	Prap.g_01385	Prag.g_00318
OG0000014	Prap.g_01403	Prag.g_00297
OG0000015	Prap.g_01840, Prap.g_01794	Prag.g_00765
OG0000016	Prap.g_00514	Prag.g_01638
OG0000017	Prap.g_01170	Prag.g_00576
OG0000018	Prap.g_00478	Prag.g_01134
OG0000018	Prap.g_00755	Prag.g_00833
OG0000019	Prap.g_01462	Prag.g_00242
OG0000019	Prap.g_00480	Prag.g_00786
OG0000020	Prap.g_00228	Prag.g_01100
OG0000020	Prap.g_01906	Prag.g_01637
OG0000021	Prap.g_00229	Prag.g_01633, Prag.g_00359
OG0000022	Prap.g_00212	Prag.g_00757
OG0000023	Prap.g_00029	Prag.g_00354
OG0000024	Prap.g_00322	Prag.g_00740
OG0000024	Prap.g_00826	Prag.g_00653
OG0000025	Prap.g_00747	Prag.g_00839, Prag.g_00322
OG0000026	Prap.g_00923	Prag.g_00031, Prag.g_01050
OG0000027	Prap.g_01912	Prag.g_00449, Prag.g_01646, Prag.g_01336
OG0000028	Prap.g_01889	Prag.g_01270
OG0000029	Prap.g_01899, Prap.g_01848	Prag.g_00748
OG0000030	Prap.g_01569	Prag.g_01871
OG0000031	Prap.g_00080	Prag.g_01446
OG0000033	Prap.g_01001	Prag.g_00162
OG0000034	Prap.g_00572	Prag.g_01365
OG0000037	Prap.g_01067	Prag.g_00102
OG0000038	Prap.g_01530	Prag.g_01911
OG0000039	Prap.g_00814	Prag.g_00664
OG0000041	Prap.g_01731	Prag.g_01716
OG0000042	Prap.g_01572	Prag.g_01868
OG0000043	Prap.g_00477	Prag.g_00876
OG0000045	Prap.g_00500	Prag.g_00365
OG0000048	Prap.g_01439	Prag.g_01658, Prag.g_00368
OG0000052	Prap.g_00099	Prag.g_01444
OG0000053	Prap.g_01834, Prap.g_00142	Prag.g_01510
OG0000054	Prap.g_01161	Prag.g_00584
OG0000055	Prap.g_00505	Prag.g_00787
OG0000057	Prap.g_00799	Prag.g_00676
OG0000058	Prap.g_00081	Prag.g_01428
OG0000059	Prap.g_01691	Prag.g_01755
OG0000061	Prap.g_00456	Prag.g_01153
OG0000062	Prap.g_00206	Prag.g_01568
OG0000063	Prap.g_01903	Prag.g_00033
OG0000065	Prap.g_01069	Prag.g_00100
OG0000066	Prap.g_01230, Prap.g_01867	Prag.g_00518
OG0000067	Prap.g_00783	Prag.g_00806
OG0000068	Prap.g_00059	Prag.g_01389
OG0000069	Prap.g_01312	Prag.g_01601
OG0000070	Prap.g_01316	Prag.g_00429
OG0000071	Prap.g_00561	Prag.g_01355
OG0000072	Prap.g_00999	Prag.g_00164
OG0000073	Prap.g_01267	Prag.g_00478
OG0000074	Prap.g_00819	Prag.g_00660
OG0000075	Prap.g_01606	Prag.g_01836
OG0000076	Prap.g_01580	Prag.g_01861
OG0000077	Prap.g_01099	Prag.g_00072
OG0000078	Prap.g_01472	Prag.g_00232
OG0000081	Prap.g_01238	Prag.g_00510
OG0000082	Prap.g_01183, Prap.g_01790	Prag.g_00563
OG0000084	Prap.g_00118	Prag.g_01484
OG0000085	Prap.g_01787, Prap.g_01917	Prag.g_01662
OG0000086	Prap.g_01090	Prag.g_00082
OG0000087	Prap.g_01035	Prag.g_00132
OG0000088	Prap.g_01004	Prag.g_00159
OG0000089	Prap.g_01349	Prag.g_00350
OG0000090	Prap.g_01236	Prag.g_00512
OG0000091	Prap.g_00384	Prag.g_00620
OG0000092	Prap.g_00853	Prag.g_00911
OG0000093	Prap.g_00355	Prag.g_00932
OG0000094	Prap.g_00306	Prag.g_01017
OG0000095	Prap.g_00708	Prag.g_01036
OG0000096	Prap.g_00010	Prag.g_01636, Prag.g_01103, Prag.g_01319
OG0000097	Prap.g_00410	Prag.g_01194
OG0000098	Prap.g_01928	Prag.g_01371
OG0000099	Prap.g_00082	Prag.g_01424
OG0000100	Prap.g_00200	Prag.g_01564
OG0000101	Prap.g_01642	Prag.g_01804
OG0000102	Prap.g_01575	Prag.g_01866
OG0000103	Prap.g_01491	Prag.g_01945
OG0000104	Prap.g_01869	Prag.g_01953
OG0000105	Prap.g_01436	Prag.g_00265
OG0000106	Prap.g_00591	Prag.g_00364
OG0000107	Prap.g_01714	Prag.g_00378
OG0000108	Prap.g_01287	Prag.g_00459
OG0000109	Prap.g_01273	Prag.g_00473
OG0000110	Prap.g_01194	Prag.g_00553
OG0000111	Prap.g_00798	Prag.g_00677
OG0000112	Prap.g_01121	Prag.g_00771
OG0000113	Prap.g_00760	Prag.g_00828
OG0000114	Prap.g_00858	Prag.g_00906
OG0000115	Prap.g_00525	Prag.g_01097
OG0000116	Prap.g_00467	Prag.g_01143
OG0000117	Prap.g_00429	Prag.g_01298
OG0000118	Prap.g_00574	Prag.g_01367
OG0000119	Prap.g_00510, Prap.g_00218	Prag.g_01385
OG0000120	Prap.g_00079	Prag.g_01423
OG0000121	Prap.g_00123	Prag.g_01492
OG0000122	Prap.g_00532, Prap.g_00164	Prag.g_01530
OG0000123	Prap.g_01635	Prag.g_01811
OG0000124	Prap.g_01563	Prag.g_01877
OG0000125	Prap.g_01528	Prag.g_01913
OG0000126	Prap.g_01870	Prag.g_01952
OG0000128	Prap.g_00043	Prag.g_00011
OG0000129	Prap.g_00910	Prag.g_00044
OG0000130	Prap.g_00881	Prag.g_00063
OG0000131	Prap.g_01026	Prag.g_00138
OG0000132	Prap.g_01006	Prag.g_00157
OG0000133	Prap.g_01389	Prag.g_00313
OG0000134	Prap.g_01347	Prag.g_00351
OG0000135	Prap.g_00543	Prag.g_00375
OG0000136	Prap.g_01325	Prag.g_00420
OG0000137	Prap.g_01292	Prag.g_00454
OG0000138	Prap.g_01272	Prag.g_00474
OG0000139	Prap.g_01232	Prag.g_00516
OG0000140	Prap.g_01231	Prag.g_00517
OG0000141	Prap.g_01160	Prag.g_00585
OG0000142	Prap.g_00392	Prag.g_00613
OG0000143	Prap.g_00388	Prag.g_00617
OG0000144	Prap.g_00374	Prag.g_00630
OG0000145	Prap.g_00545	Prag.g_00758
OG0000146	Prap.g_01122	Prag.g_00772
OG0000147	Prap.g_01123	Prag.g_00773
OG0000148	Prap.g_00766	Prag.g_00822
OG0000149	Prap.g_00734	Prag.g_00851
OG0000150	Prap.g_00724	Prag.g_00859
OG0000151	Prap.g_00848	Prag.g_00916
OG0000152	Prap.g_00257	Prag.g_00964
OG0000153	Prap.g_00276	Prag.g_00983
OG0000154	Prap.g_00296	Prag.g_01010
OG0000155	Prap.g_00435	Prag.g_01173
OG0000156	Prap.g_00550	Prag.g_01342
OG0000157	Prap.g_00551	Prag.g_01343
OG0000158	Prap.g_01598	Prag.g_01425
OG0000159	Prap.g_00890	Prag.g_01427
OG0000160	Prap.g_00122	Prag.g_01491
OG0000161	Prap.g_00128	Prag.g_01497
OG0000162	Prap.g_00134	Prag.g_01503
OG0000163	Prap.g_00173	Prag.g_01537
OG0000164	Prap.g_01754	Prag.g_01693
OG0000165	Prap.g_01747	Prag.g_01700
OG0000166	Prap.g_01680	Prag.g_01768
OG0000167	Prap.g_01608	Prag.g_01834
OG0000168	Prap.g_01597	Prag.g_01844
OG0000169	Prap.g_01587	Prag.g_01854
OG0000170	Prap.g_01584	Prag.g_01856
OG0000171	Prap.g_01564	Prag.g_01876
OG0000172	Prap.g_01557	Prag.g_01884
OG0000173	Prap.g_01542	Prag.g_01899
OG0000174	Prap.g_01513	Prag.g_01927
OG0000175	Prap.g_01500	Prag.g_01937
OG0000176	Prap.g_00050	Prag.g_00004
OG0000177	Prap.g_00049	Prag.g_00005
OG0000178	Prap.g_00048	Prag.g_00006
OG0000179	Prap.g_00939	Prag.g_00016
OG0000180	Prap.g_00938	Prag.g_00017
OG0000181	Prap.g_00937	Prag.g_00018
OG0000182	Prap.g_00936	Prag.g_00019
OG0000183	Prap.g_00932	Prag.g_00023
OG0000184	Prap.g_00906	Prag.g_00046
OG0000185	Prap.g_00903	Prag.g_00049
OG0000186	Prap.g_00887	Prag.g_00058
OG0000187	Prap.g_00886	Prag.g_00059
OG0000188	Prap.g_01096	Prag.g_00076
OG0000189	Prap.g_01082	Prag.g_00089
OG0000190	Prap.g_01080	Prag.g_00090
OG0000191	Prap.g_01057	Prag.g_00110
OG0000192	Prap.g_01052	Prag.g_00114
OG0000193	Prap.g_01025	Prag.g_00139
OG0000194	Prap.g_01022	Prag.g_00142
OG0000195	Prap.g_01020	Prag.g_00144
OG0000196	Prap.g_01009	Prag.g_00154
OG0000197	Prap.g_01008	Prag.g_00155
OG0000198	Prap.g_01007	Prag.g_00156
OG0000199	Prap.g_01000	Prag.g_00163
OG0000200	Prap.g_00986	Prag.g_00177
OG0000201	Prap.g_00977	Prag.g_00185
OG0000202	Prap.g_00976	Prag.g_00186
OG0000203	Prap.g_00975	Prag.g_00187
OG0000204	Prap.g_00974	Prag.g_00188
OG0000205	Prap.g_00967	Prag.g_00195
OG0000206	Prap.g_00962	Prag.g_00200
OG0000207	Prap.g_00959	Prag.g_00202
OG0000208	Prap.g_00958	Prag.g_00203
OG0000209	Prap.g_00949	Prag.g_00212
OG0000210	Prap.g_00948	Prag.g_00213
OG0000211	Prap.g_01479	Prag.g_00226
OG0000212	Prap.g_01471	Prag.g_00233
OG0000213	Prap.g_01453	Prag.g_00249
OG0000214	Prap.g_01443	Prag.g_00258
OG0000215	Prap.g_01416	Prag.g_00283
OG0000216	Prap.g_01415	Prag.g_00285
OG0000217	Prap.g_01412	Prag.g_00288
OG0000218	Prap.g_01410	Prag.g_00290
OG0000219	Prap.g_01409	Prag.g_00291
OG0000220	Prap.g_01408	Prag.g_00292
OG0000221	Prap.g_01407	Prag.g_00293
OG0000222	Prap.g_01400	Prag.g_00301
OG0000223	Prap.g_01388	Prag.g_00314
OG0000224	Prap.g_01386	Prag.g_00316
OG0000225	Prap.g_01360	Prag.g_00340
OG0000226	Prap.g_01356	Prag.g_00344
OG0000227	Prap.g_01354	Prag.g_00346
OG0000228	Prap.g_01350	Prag.g_00349
OG0000229	Prap.g_01330	Prag.g_00415
OG0000230	Prap.g_01328	Prag.g_00417
OG0000231	Prap.g_01317	Prag.g_00428
OG0000232	Prap.g_01306	Prag.g_00437
OG0000233	Prap.g_01300	Prag.g_00442
OG0000234	Prap.g_01291	Prag.g_00455
OG0000235	Prap.g_01288	Prag.g_00458
OG0000236	Prap.g_01274	Prag.g_00472
OG0000237	Prap.g_01261	Prag.g_00485
OG0000238	Prap.g_01255	Prag.g_00491
OG0000239	Prap.g_01244	Prag.g_00504
OG0000240	Prap.g_01243	Prag.g_00505
OG0000241	Prap.g_01239	Prag.g_00509
OG0000242	Prap.g_01237	Prag.g_00511
OG0000243	Prap.g_01226	Prag.g_00522
OG0000244	Prap.g_01223	Prag.g_00525
OG0000245	Prap.g_01221	Prag.g_00527
OG0000246	Prap.g_01217	Prag.g_00531
OG0000247	Prap.g_01207	Prag.g_00541
OG0000248	Prap.g_01204	Prag.g_00543
OG0000249	Prap.g_01202	Prag.g_00545
OG0000250	Prap.g_01197	Prag.g_00550
OG0000251	Prap.g_01177	Prag.g_00569
OG0000252	Prap.g_01174	Prag.g_00572
OG0000253	Prap.g_01173	Prag.g_00573
OG0000254	Prap.g_01156	Prag.g_00589
OG0000255	Prap.g_01150	Prag.g_00595
OG0000256	Prap.g_01140	Prag.g_00605
OG0000257	Prap.g_00397	Prag.g_00608
OG0000258	Prap.g_00383	Prag.g_00621
OG0000259	Prap.g_00366	Prag.g_00638
OG0000260	Prap.g_00363	Prag.g_00641
OG0000261	Prap.g_00360	Prag.g_00643
OG0000262	Prap.g_00356	Prag.g_00647
OG0000263	Prap.g_00820	Prag.g_00659
OG0000264	Prap.g_00809	Prag.g_00669
OG0000265	Prap.g_00791	Prag.g_00692
OG0000266	Prap.g_00337	Prag.g_00702
OG0000267	Prap.g_00325	Prag.g_00713
OG0000268	Prap.g_00324	Prag.g_00714
OG0000269	Prap.g_00788	Prag.g_00801
OG0000270	Prap.g_00785	Prag.g_00804
OG0000271	Prap.g_00777	Prag.g_00812
OG0000272	Prap.g_00776	Prag.g_00813
OG0000273	Prap.g_00752	Prag.g_00835
OG0000274	Prap.g_00751	Prag.g_00836
OG0000275	Prap.g_00748	Prag.g_00838
OG0000276	Prap.g_00742	Prag.g_00843
OG0000277	Prap.g_00741	Prag.g_00844
OG0000278	Prap.g_00738	Prag.g_00847
OG0000279	Prap.g_00731	Prag.g_00854
OG0000280	Prap.g_00730	Prag.g_00855
OG0000281	Prap.g_00723	Prag.g_00860
OG0000282	Prap.g_00856	Prag.g_00908
OG0000283	Prap.g_00680	Prag.g_00941
OG0000284	Prap.g_00675	Prag.g_00946
OG0000285	Prap.g_00243	Prag.g_00951
OG0000286	Prap.g_00256	Prag.g_00963
OG0000287	Prap.g_00522	Prag.g_00980
OG0000288	Prap.g_00295	Prag.g_01009
OG0000289	Prap.g_00311	Prag.g_01020
OG0000290	Prap.g_00705	Prag.g_01033
OG0000291	Prap.g_00707	Prag.g_01035
OG0000292	Prap.g_00501	Prag.g_01085
OG0000293	Prap.g_00466	Prag.g_01144
OG0000294	Prap.g_00465	Prag.g_01145
OG0000295	Prap.g_00442	Prag.g_01165
OG0000296	Prap.g_00440	Prag.g_01167
OG0000297	Prap.g_00431	Prag.g_01175
OG0000298	Prap.g_00430	Prag.g_01176
OG0000299	Prap.g_00411	Prag.g_01193
OG0000300	Prap.g_00408	Prag.g_01196
OG0000301	Prap.g_00407	Prag.g_01197
OG0000302	Prap.g_00405	Prag.g_01199
OG0000303	Prap.g_00399	Prag.g_01206
OG0000304	Prap.g_01135	Prag.g_01210
OG0000305	Prap.g_00499	Prag.g_01381
OG0000306	Prap.g_00719	Prag.g_01384
OG0000307	Prap.g_00068	Prag.g_01398
OG0000308	Prap.g_00069	Prag.g_01399
OG0000309	Prap.g_00073	Prag.g_01403
OG0000310	Prap.g_00107	Prag.g_01473
OG0000311	Prap.g_00109	Prag.g_01475
OG0000312	Prap.g_00112	Prag.g_01478
OG0000313	Prap.g_00125	Prag.g_01494
OG0000314	Prap.g_00148	Prag.g_01516
OG0000315	Prap.g_00158	Prag.g_01527
