Orthogroup	Prap	Prav
OG0000000	Prap.g_01862	Prav.g_01695, Prav.g_00973
OG0000002	Prap.g_00720, Prap.g_00715	Prav.g_01466
OG0000002	Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823	Prav.g_01276
OG0000004	Prap.g_00802	Prav.g_01293
OG0000004	Prap.g_01480	Prav.g_00806
OG0000005	Prap.g_00204	Prav.g_01654
OG0000006	Prap.g_01470	Prav.g_02001
OG0000007	Prap.g_01270	Prav.g_01095
OG0000007	Prap.g_01779	Prav.g_01761
OG0000008	Prap.g_01888	Prav.g_01749
OG0000008	Prap.g_01887	Prav.g_01750
OG0000010	Prap.g_00669, Prap.g_00318, Prap.g_01293	Prav.g_01072
OG0000012	Prap.g_00236, Prap.g_01145	Prav.g_01221
OG0000013	Prap.g_01385	Prav.g_01973
OG0000014	Prap.g_01403	Prav.g_01952
OG0000015	Prap.g_01840, Prap.g_01794	Prav.g_00363, Prav.g_00961
OG0000016	Prap.g_00514	Prav.g_01385
OG0000017	Prap.g_01170	Prav.g_01194
OG0000018	Prap.g_00478	Prav.g_00046
OG0000018	Prap.g_00755	Prav.g_00424
OG0000019	Prap.g_01462	Prav.g_01896
OG0000019	Prap.g_00480	Prav.g_00375
OG0000020	Prap.g_00228	Prav.g_00014
OG0000020	Prap.g_01906	Prav.g_01386
OG0000021	Prap.g_00229	Prav.g_00984
OG0000022	Prap.g_00212	Prav.g_00360
OG0000023	Prap.g_00029	Prav.g_00979
OG0000024	Prap.g_00322	Prav.g_00343
OG0000024	Prap.g_00826	Prav.g_01273
OG0000025	Prap.g_00747	Prav.g_00431, Prav.g_01977
OG0000026	Prap.g_00923	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000027	Prap.g_01912	Prav.g_01068, Prav.g_01416
OG0000028	Prap.g_01889	Prav.g_01885
OG0000029	Prap.g_01899, Prap.g_01848	Prav.g_00350
OG0000030	Prap.g_01569	Prav.g_00699
OG0000033	Prap.g_01001	Prav.g_00869
OG0000034	Prap.g_00572	Prav.g_01448
OG0000037	Prap.g_01067	Prav.g_00174
OG0000038	Prap.g_01530	Prav.g_00739
OG0000039	Prap.g_00814	Prav.g_01284
OG0000041	Prap.g_01731	Prav.g_01808
OG0000042	Prap.g_01572	Prav.g_00696
OG0000043	Prap.g_00477	Prav.g_00467
OG0000045	Prap.g_00500	Prav.g_00990
OG0000048	Prap.g_01439	Prav.g_00993
OG0000050	Prap.g_00667	Prav.g_01013
OG0000052	Prap.g_00099	Prav.g_01533
OG0000053	Prap.g_01834, Prap.g_00142	Prav.g_01598
OG0000054	Prap.g_01161	Prav.g_01202
OG0000055	Prap.g_00505	Prav.g_00376
OG0000057	Prap.g_00799	Prav.g_01296
OG0000058	Prap.g_00081	Prav.g_01512
OG0000059	Prap.g_01691	Prav.g_00292
OG0000061	Prap.g_00456	Prav.g_00065
OG0000062	Prap.g_00206	Prav.g_01551, Prav.g_01338, Prav.g_01656
OG0000063	Prap.g_01903	Prav.g_00101
OG0000065	Prap.g_01069	Prav.g_00172
OG0000066	Prap.g_01230, Prap.g_01867	Prav.g_01137
OG0000067	Prap.g_00783	Prav.g_00397
OG0000068	Prap.g_00059	Prav.g_01473
OG0000069	Prap.g_01312	Prav.g_01881, Prav.g_01689
OG0000070	Prap.g_01316	Prav.g_01049
OG0000071	Prap.g_00561	Prav.g_01438
OG0000072	Prap.g_00999	Prav.g_00867
OG0000073	Prap.g_01267	Prav.g_01097
OG0000074	Prap.g_00819	Prav.g_01280
OG0000075	Prap.g_01606	Prav.g_00665
OG0000076	Prap.g_01580	Prav.g_00689
OG0000077	Prap.g_01099	Prav.g_00143
OG0000078	Prap.g_01472	Prav.g_00799
OG0000079	Prap.g_01459	Prav.g_01899
OG0000081	Prap.g_01238	Prav.g_01129
OG0000082	Prap.g_01183, Prap.g_01790	Prav.g_01182
OG0000084	Prap.g_00118	Prav.g_01574
OG0000085	Prap.g_01787, Prap.g_01917	Prav.g_01754
OG0000086	Prap.g_01090	Prav.g_00153
OG0000087	Prap.g_01035	Prav.g_00204
OG0000088	Prap.g_01004	Prav.g_00872
OG0000089	Prap.g_01349	Prav.g_00975
OG0000090	Prap.g_01236	Prav.g_01131
OG0000091	Prap.g_00384	Prav.g_01240
OG0000092	Prap.g_00853	Prav.g_00504
OG0000093	Prap.g_00355	Prav.g_01497, Prav.g_00525
OG0000094	Prap.g_00306	Prav.g_00914
OG0000095	Prap.g_00708	Prav.g_00933
OG0000096	Prap.g_00010	Prav.g_01732, Prav.g_01400
OG0000097	Prap.g_00410	Prav.g_01840
OG0000098	Prap.g_01928	Prav.g_01455
OG0000099	Prap.g_00082	Prav.g_01514
OG0000100	Prap.g_00200	Prav.g_01652
OG0000101	Prap.g_01642	Prav.g_00632
OG0000102	Prap.g_01575	Prav.g_00694
OG0000103	Prap.g_01491	Prav.g_00773
OG0000104	Prap.g_01869	Prav.g_00782
OG0000105	Prap.g_01436	Prav.g_01920
OG0000106	Prap.g_00591	Prav.g_00989
OG0000107	Prap.g_01714	Prav.g_01001
OG0000108	Prap.g_01287	Prav.g_01078
OG0000109	Prap.g_01273	Prav.g_01092
OG0000110	Prap.g_01194	Prav.g_01172
OG0000111	Prap.g_00798	Prav.g_01297
OG0000112	Prap.g_01121	Prav.g_00364
OG0000113	Prap.g_00760	Prav.g_00419
OG0000114	Prap.g_00858	Prav.g_00499
OG0000115	Prap.g_00525	Prav.g_00010
OG0000116	Prap.g_00467	Prav.g_00055
OG0000117	Prap.g_00429	Prav.g_01390
OG0000118	Prap.g_00574	Prav.g_01450
OG0000119	Prap.g_00510, Prap.g_00218	Prav.g_01469
OG0000120	Prap.g_00079	Prav.g_01513
OG0000121	Prap.g_00123	Prav.g_01580
OG0000122	Prap.g_00532, Prap.g_00164	Prav.g_01618
OG0000123	Prap.g_01635	Prav.g_00639
OG0000124	Prap.g_01563	Prav.g_00705
OG0000125	Prap.g_01528	Prav.g_00741
OG0000126	Prap.g_01870	Prav.g_00781
OG0000128	Prap.g_00043	Prav.g_00079
OG0000129	Prap.g_00910	Prav.g_00115
OG0000130	Prap.g_00881	Prav.g_00134
OG0000131	Prap.g_01026	Prav.g_00212
OG0000132	Prap.g_01006	Prav.g_00874
OG0000133	Prap.g_01389	Prav.g_01968
OG0000134	Prap.g_01347	Prav.g_00976
OG0000135	Prap.g_00543	Prav.g_00999
OG0000136	Prap.g_01325	Prav.g_01040
OG0000137	Prap.g_01292	Prav.g_01073
OG0000138	Prap.g_01272	Prav.g_01093
OG0000139	Prap.g_01232	Prav.g_01135
OG0000140	Prap.g_01231	Prav.g_01136
OG0000141	Prap.g_01160	Prav.g_01203
OG0000142	Prap.g_00392	Prav.g_01233
OG0000143	Prap.g_00388	Prav.g_01237
OG0000144	Prap.g_00374	Prav.g_01250
OG0000145	Prap.g_00545	Prav.g_00362
OG0000146	Prap.g_01122	Prav.g_00365
OG0000147	Prap.g_01123	Prav.g_00366
OG0000148	Prap.g_00766	Prav.g_00413
OG0000149	Prap.g_00734	Prav.g_00443
