Orthogroup	Prap	Prat
OG0000000	Prap.g_00494	Prat.g_01190
OG0000000	Prap.g_01862	Prat.g_01549
OG0000000	Prap.g_01846	Prat.g_01189
OG0000001	Prap.g_01925	Prat.g_01285, Prat.g_01286
OG0000001	Prap.g_00653	Prat.g_00851
OG0000002	Prap.g_00720	Prat.g_00977
OG0000002	Prap.g_00486	Prat.g_01184
OG0000002	Prap.g_01946	Prat.g_01487
OG0000002	Prap.g_00484	Prat.g_01182
OG0000002	Prap.g_00491	Prat.g_01187
OG0000002	Prap.g_00224	Prat.g_01462
OG0000002	Prap.g_00823	Prat.g_00751
OG0000004	Prap.g_00802	Prat.g_00772
OG0000004	Prap.g_01480	Prat.g_00236
OG0000005	Prap.g_00204	Prat.g_01440
OG0000006	Prap.g_01470	Prat.g_00248
OG0000007	Prap.g_01270	Prat.g_00458
OG0000007	Prap.g_01779	Prat.g_01592
OG0000008	Prap.g_01888	Prat.g_00376
OG0000008	Prap.g_01887	Prat.g_00377
OG0000009	Prap.g_00216	Prat.g_01451
OG0000010	Prap.g_00669	Prat.g_00682
OG0000010	Prap.g_00318	Prat.g_00662
OG0000010	Prap.g_01293	Prat.g_00433
OG0000012	Prap.g_01145	Prat.g_00586
OG0000013	Prap.g_01385	Prat.g_00334
OG0000014	Prap.g_01403	Prat.g_00314
OG0000015	Prap.g_01840, Prap.g_01794	Prat.g_00701
OG0000016	Prap.g_00514	Prat.g_01219
OG0000017	Prap.g_01163	Prat.g_00567
OG0000017	Prap.g_01170	Prat.g_00560
OG0000018	Prap.g_00478	Prat.g_01177
OG0000018	Prap.g_00755	Prat.g_01009
OG0000019	Prap.g_01462	Prat.g_00255
OG0000019	Prap.g_00480	Prat.g_01180
OG0000020	Prap.g_00228	Prat.g_01470
OG0000020	Prap.g_01906	Prat.g_00648
OG0000021	Prap.g_00229	Prat.g_00854
OG0000021	Prap.g_00797	Prat.g_00461
OG0000022	Prap.g_00212	Prat.g_01192
OG0000023	Prap.g_00029	Prat.g_00834
OG0000024	Prap.g_00322	Prat.g_00622
OG0000024	Prap.g_00826	Prat.g_00749
OG0000025	Prap.g_00747	Prat.g_01003
OG0000026	Prap.g_00923	Prat.g_00033
OG0000027	Prap.g_01860	Prat.g_01548
OG0000027	Prap.g_01912	Prat.g_01474
OG0000028	Prap.g_01889	Prat.g_00380
OG0000030	Prap.g_01569	Prat.g_01799
OG0000031	Prap.g_00080	Prat.g_01266
OG0000032	Prap.g_00160	Prat.g_01394
OG0000033	Prap.g_00087	Prat.g_01265
OG0000033	Prap.g_01001	Prat.g_00170
OG0000034	Prap.g_00572	Prat.g_01259
OG0000035	Prap.g_00121	Prat.g_01352
OG0000037	Prap.g_01067	Prat.g_00106
OG0000038	Prap.g_01530	Prat.g_01839
OG0000039	Prap.g_00814	Prat.g_00760
OG0000041	Prap.g_01731	Prat.g_01640
OG0000042	Prap.g_01572	Prat.g_01796
OG0000043	Prap.g_00477	Prat.g_01176
OG0000045	Prap.g_00500	Prat.g_01203
OG0000046	Prap.g_01384	Prat.g_00335
OG0000047	Prap.g_01343	Prat.g_00374
OG0000048	Prap.g_00548, Prap.g_01439	Prat.g_00278
OG0000050	Prap.g_00667	Prat.g_00685
OG0000052	Prap.g_00897	Prat.g_00058
OG0000053	Prap.g_01834, Prap.g_00142	Prat.g_01375
OG0000054	Prap.g_01161	Prat.g_00569
OG0000055	Prap.g_00505	Prat.g_00852
OG0000057	Prap.g_00799	Prat.g_00775
OG0000058	Prap.g_00081	Prat.g_01311
OG0000059	Prap.g_01691	Prat.g_01679
OG0000061	Prap.g_00456	Prat.g_01156
OG0000062	Prap.g_00206	Prat.g_01442
OG0000063	Prap.g_01903	Prat.g_01516
OG0000064	Prap.g_00883	Prat.g_00064
OG0000065	Prap.g_01069	Prat.g_00104
OG0000066	Prap.g_01867	Prat.g_01499
OG0000067	Prap.g_00783	Prat.g_01037
OG0000068	Prap.g_00059	Prat.g_01291
OG0000069	Prap.g_01312	Prat.g_01400
OG0000070	Prap.g_01316	Prat.g_00412
OG0000071	Prap.g_00561	Prat.g_01249
OG0000072	Prap.g_00999	Prat.g_00172
OG0000073	Prap.g_01267	Prat.g_00462
OG0000074	Prap.g_00658	Prat.g_00696
OG0000074	Prap.g_00819	Prat.g_00755
OG0000075	Prap.g_01606	Prat.g_01761
OG0000076	Prap.g_01580	Prat.g_01788
OG0000077	Prap.g_01099	Prat.g_00075
OG0000078	Prap.g_01472	Prat.g_00245
OG0000079	Prap.g_01459	Prat.g_00258
OG0000080	Prap.g_00093, Prap.g_00095	Prat.g_01323
OG0000081	Prap.g_01238	Prat.g_00493
OG0000082	Prap.g_01183, Prap.g_01790	Prat.g_01507
OG0000084	Prap.g_00118	Prat.g_01348
OG0000085	Prap.g_01787	Prat.g_01584
OG0000086	Prap.g_01090	Prat.g_00086
OG0000087	Prap.g_01035	Prat.g_00138
OG0000088	Prap.g_01004	Prat.g_00166
OG0000089	Prap.g_01349	Prat.g_00370
OG0000090	Prap.g_01236	Prat.g_00495
OG0000091	Prap.g_00384	Prat.g_01082
OG0000092	Prap.g_00853	Prat.g_00721
OG0000093	Prap.g_00355	Prat.g_01053
OG0000094	Prap.g_00306	Prat.g_00943
OG0000095	Prap.g_00708	Prat.g_00965
OG0000096	Prap.g_00010	Prat.g_00634
OG0000097	Prap.g_00410	Prat.g_01111
OG0000098	Prap.g_01928	Prat.g_01282
OG0000099	Prap.g_00082	Prat.g_01312
OG0000100	Prap.g_00200	Prat.g_01437
OG0000101	Prap.g_01642	Prat.g_01726
OG0000102	Prap.g_01575	Prat.g_01793
OG0000103	Prap.g_01491	Prat.g_01880
OG0000104	Prap.g_01869	Prat.g_01889
OG0000105	Prap.g_01436	Prat.g_00281
OG0000106	Prap.g_00591	Prat.g_00637
OG0000107	Prap.g_01714	Prat.g_01656
OG0000108	Prap.g_01287	Prat.g_00440
OG0000109	Prap.g_01273	Prat.g_00455
OG0000110	Prap.g_01194	Prat.g_00539
OG0000111	Prap.g_00798	Prat.g_00776
OG0000112	Prap.g_01121	Prat.g_00888
OG0000113	Prap.g_00760	Prat.g_01014
OG0000114	Prap.g_00858	Prat.g_00716
OG0000115	Prap.g_00525	Prat.g_01373
OG0000116	Prap.g_00467	Prat.g_01166
OG0000117	Prap.g_00429	Prat.g_01129
OG0000118	Prap.g_00574	Prat.g_01261
OG0000119	Prap.g_00510	Prat.g_00647
OG0000119	Prap.g_00218	Prat.g_01452
OG0000120	Prap.g_00079	Prat.g_00344
OG0000121	Prap.g_00123	Prat.g_01355
OG0000122	Prap.g_00532	Prat.g_00781
OG0000122	Prap.g_00164	Prat.g_01398
OG0000123	Prap.g_01635	Prat.g_01733
OG0000124	Prap.g_01563	Prat.g_01805
OG0000125	Prap.g_01528	Prat.g_01841
OG0000126	Prap.g_01870	Prat.g_01888
OG0000128	Prap.g_00043	Prat.g_00012, Prat.g_00011
OG0000129	Prap.g_00910	Prat.g_00047
OG0000130	Prap.g_00881	Prat.g_00066
OG0000131	Prap.g_01026	Prat.g_00144
OG0000132	Prap.g_01006	Prat.g_00164
OG0000133	Prap.g_01389	Prat.g_00329
OG0000134	Prap.g_01347	Prat.g_00372
OG0000135	Prap.g_00543	Prat.g_01477
OG0000136	Prap.g_01325	Prat.g_00401
OG0000137	Prap.g_01292	Prat.g_00434
OG0000138	Prap.g_01272	Prat.g_00456
OG0000139	Prap.g_01232	Prat.g_00499
OG0000140	Prap.g_01231	Prat.g_00500
OG0000141	Prap.g_01160	Prat.g_00570
OG0000142	Prap.g_00392	Prat.g_01090
OG0000143	Prap.g_00388	Prat.g_01086
OG0000144	Prap.g_00374	Prat.g_01072
OG0000145	Prap.g_00545	Prat.g_01472
OG0000146	Prap.g_01122	Prat.g_00887
OG0000147	Prap.g_01123	Prat.g_00886
OG0000148	Prap.g_00766	Prat.g_01020
OG0000149	Prap.g_00734	Prat.g_00991
OG0000150	Prap.g_00724	Prat.g_00981
OG0000151	Prap.g_00848	Prat.g_00726
OG0000152	Prap.g_00257	Prat.g_00896, Prat.g_01277
OG0000153	Prap.g_00276	Prat.g_00915
OG0000154	Prap.g_00296	Prat.g_00934
OG0000155	Prap.g_00435	Prat.g_01135
OG0000156	Prap.g_00550	Prat.g_01238
OG0000157	Prap.g_00551	Prat.g_01239
OG0000158	Prap.g_01598	Prat.g_01769
OG0000160	Prap.g_00122	Prat.g_01354
OG0000161	Prap.g_00128	Prat.g_01360
OG0000162	Prap.g_00134	Prat.g_01366
OG0000163	Prap.g_00173	Prat.g_01409
OG0000164	Prap.g_01754	Prat.g_01615
OG0000165	Prap.g_01747	Prat.g_01623
OG0000166	Prap.g_01680	Prat.g_01690
OG0000167	Prap.g_01608	Prat.g_01759
OG0000168	Prap.g_01597	Prat.g_01770
OG0000169	Prap.g_01587	Prat.g_01781
OG0000170	Prap.g_01584	Prat.g_01784
OG0000171	Prap.g_01564	Prat.g_01804
OG0000172	Prap.g_01557	Prat.g_01811
OG0000173	Prap.g_01542	Prat.g_01826
OG0000174	Prap.g_01513	Prat.g_01858
OG0000175	Prap.g_01500	Prat.g_01870
OG0000176	Prap.g_00050	Prat.g_00004
OG0000177	Prap.g_00049	Prat.g_00005
OG0000178	Prap.g_00048	Prat.g_00006
OG0000179	Prap.g_00939	Prat.g_00017
OG0000180	Prap.g_00938	Prat.g_00018
OG0000181	Prap.g_00937	Prat.g_00019
OG0000182	Prap.g_00936	Prat.g_00020
OG0000183	Prap.g_00932	Prat.g_00024
OG0000184	Prap.g_00906	Prat.g_00051
OG0000185	Prap.g_00903	Prat.g_00054
OG0000186	Prap.g_00887	Prat.g_00060
OG0000187	Prap.g_00886	Prat.g_00061
OG0000188	Prap.g_01096	Prat.g_00080
OG0000189	Prap.g_01082	Prat.g_00093
