Orthogroup	Prap	Syaa
OG0000004	Prap.g_00802	Syaa.g_00892
OG0000004	Prap.g_01480	Syaa.g_01667, Syaa.g_02116
OG0000005	Prap.g_00204	Syaa.g_00573
OG0000006	Prap.g_01470	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prap.g_01270	Syaa.g_02032
OG0000007	Prap.g_01779	Syaa.g_00551
OG0000008	Prap.g_01888	Syaa.g_00918
OG0000008	Prap.g_01887	Syaa.g_00919
OG0000010	Prap.g_00669, Prap.g_00318, Prap.g_01293	Syaa.g_01843
OG0000012	Prap.g_01145	Syaa.g_01660
OG0000013	Prap.g_01385	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212
OG0000014	Prap.g_01403	Syaa.g_00222
OG0000015	Prap.g_01840, Prap.g_01794	Syaa.g_01079, Syaa.g_01989
OG0000016	Prap.g_00514	Syaa.g_00981, Syaa.g_01481
OG0000017	Prap.g_01163	Syaa.g_01883
OG0000017	Prap.g_01170	Syaa.g_01890
OG0000018	Prap.g_00478, Prap.g_00755	Syaa.g_01801
OG0000019	Prap.g_01462, Prap.g_00480	Syaa.g_00307
OG0000021	Prap.g_00797	Syaa.g_02627
OG0000022	Prap.g_00212	Syaa.g_01571
OG0000023	Prap.g_00029	Syaa.g_01529, Syaa.g_01216
OG0000024	Prap.g_00322, Prap.g_00826	Syaa.g_00922
OG0000025	Prap.g_00747	Syaa.g_00839
OG0000026	Prap.g_00923	Syaa.g_00038
OG0000027	Prap.g_01860, Prap.g_01912	Syaa.g_01605, Syaa.g_00854
OG0000028	Prap.g_01889	Syaa.g_00205
OG0000029	Prap.g_01688, Prap.g_01899, Prap.g_01848	Syaa.g_01578
OG0000030	Prap.g_01569	Syaa.g_00099, Syaa.g_00098
OG0000031	Prap.g_00080	Syaa.g_00480
OG0000032	Prap.g_00160	Syaa.g_01818
OG0000033	Prap.g_00087	Syaa.g_00485
OG0000033	Prap.g_01001	Syaa.g_02478
OG0000034	Prap.g_00572	Syaa.g_00722, Syaa.g_02444
OG0000035	Prap.g_00121	Syaa.g_01773
OG0000037	Prap.g_01067	Syaa.g_02384
OG0000038	Prap.g_01530	Syaa.g_02596
OG0000039	Prap.g_00814	Syaa.g_00846
OG0000041	Prap.g_01731	Syaa.g_00660
OG0000042	Prap.g_01572	Syaa.g_00103
OG0000045	Prap.g_00500	Syaa.g_01560
