Orthogroup	Praj	Prbn
OG0000000	Praj.g_01077, Praj.g_01357, Praj.g_00418, Praj.g_01730, Praj.g_01078, Praj.g_01309, Praj.g_01272, Praj.g_01202, Praj.g_00417	Prbn.g_01662
OG0000000	Praj.g_01307, Praj.g_01732	Prbn.g_01663
OG0000001	Praj.g_00832	Prbn.g_01483
OG0000001	Praj.g_00670	Prbn.g_01586
OG0000001	Praj.g_01492	Prbn.g_00879
OG0000001	Praj.g_01489	Prbn.g_01159
OG0000001	Praj.g_01488	Prbn.g_01234, Prbn.g_01161
OG0000001	Praj.g_01493, Praj.g_01487	Prbn.g_01154
OG0000002	Praj.g_01861, Praj.g_00463, Praj.g_01112	Prbn.g_01923
OG0000002	Praj.g_01549	Prbn.g_01213
OG0000004	Praj.g_01099, Praj.g_00415, Praj.g_01274, Praj.g_01204, Praj.g_01311, Praj.g_01737	Prbn.g_01151
OG0000005	Praj.g_00411, Praj.g_01121, Praj.g_00734	Prbn.g_01110
OG0000006	Praj.g_01249	Prbn.g_01049
OG0000008	Praj.g_00489	Prbn.g_00617
OG0000008	Praj.g_01768	Prbn.g_01745
OG0000010	Praj.g_00743, Praj.g_00747	Prbn.g_01165
OG0000011	Praj.g_01745	Prbn.g_01676, Prbn.g_00126
OG0000012	Praj.g_00308	Prbn.g_01097
OG0000014	Praj.g_00341	Prbn.g_00074
OG0000015	Praj.g_00408	Prbn.g_00690
OG0000016	Praj.g_01113	Prbn.g_01684, Prbn.g_01730
OG0000017	Praj.g_01331	Prbn.g_01664, Prbn.g_00139
OG0000018	Praj.g_00585	Prbn.g_00517
OG0000020	Praj.g_01568	Prbn.g_01135, Prbn.g_00885
OG0000021	Praj.g_01651	Prbn.g_00233, Prbn.g_01690
OG0000022	Praj.g_01281, Praj.g_00282, Praj.g_01505	Prbn.g_00308
OG0000023	Praj.g_00084	Prbn.g_01560
OG0000024	Praj.g_01165	Prbn.g_00138
OG0000024	Praj.g_01141, Praj.g_01151	Prbn.g_01143
OG0000025	Praj.g_00666	Prbn.g_01353, Prbn.g_01589
OG0000027	Praj.g_01830	Prbn.g_01646
OG0000028	Praj.g_01829	Prbn.g_01645
OG0000029	Praj.g_00733	Prbn.g_01140
OG0000029	Praj.g_01842	Prbn.g_01719
OG0000030	Praj.g_01051, Praj.g_01316	Prbn.g_01727
OG0000031	Praj.g_02020	Prbn.g_00988
OG0000032	Praj.g_01867	Prbn.g_00130
OG0000034	Praj.g_01632	Prbn.g_00212
OG0000035	Praj.g_01276, Praj.g_01675	Prbn.g_00659
OG0000036	Praj.g_01025	Prbn.g_00875
OG0000037	Praj.g_01339	Prbn.g_00809
OG0000038	Praj.g_00371	Prbn.g_00171
OG0000039	Praj.g_01865	Prbn.g_01131
OG0000041	Praj.g_01066	Prbn.g_00867
