Orthogroup	Praj	Pral
OG0000000	Praj.g_01077, Praj.g_01357, Praj.g_00418, Praj.g_01730, Praj.g_01078, Praj.g_01309, Praj.g_01272, Praj.g_01202, Praj.g_00417	Pral.g_00037
OG0000000	Praj.g_01307, Praj.g_01732	Pral.g_01333
OG0000001	Praj.g_00832	Pral.g_01549
OG0000001	Praj.g_00670	Pral.g_01764
OG0000001	Praj.g_01492	Pral.g_01052
OG0000001	Praj.g_01489	Pral.g_01340
OG0000001	Praj.g_01488	Pral.g_00430, Pral.g_01342
OG0000001	Praj.g_01493, Praj.g_01487	Pral.g_01337
OG0000002	Praj.g_01861, Praj.g_00463, Praj.g_01112	Pral.g_01296, Pral.g_01671
OG0000002	Praj.g_01549	Pral.g_01236
OG0000004	Praj.g_01099, Praj.g_00415, Praj.g_01274, Praj.g_01204, Praj.g_01311, Praj.g_01737	Pral.g_00040, Pral.g_01332
OG0000005	Praj.g_00411, Praj.g_01121, Praj.g_00734	Pral.g_01898
OG0000006	Praj.g_01249	Pral.g_00444
OG0000008	Praj.g_00489	Pral.g_00593
OG0000008	Praj.g_01768	Pral.g_00107
OG0000010	Praj.g_00743, Praj.g_00747	Pral.g_01344
OG0000011	Praj.g_01745	Pral.g_01890
OG0000012	Praj.g_00308	Pral.g_00768
OG0000014	Praj.g_00341	Pral.g_00732
OG0000014	Praj.g_01609	Pral.g_01261
OG0000015	Praj.g_00408	Pral.g_00672
OG0000016	Praj.g_01113	Pral.g_01813
OG0000017	Praj.g_01331	Pral.g_00039, Pral.g_01036
OG0000018	Praj.g_00585	Pral.g_00491
OG0000019	Praj.g_01148	Pral.g_01887
OG0000020	Praj.g_01568	Pral.g_01861, Pral.g_01063
OG0000021	Praj.g_01651	Pral.g_00066, Pral.g_01139
OG0000022	Praj.g_01281, Praj.g_00282, Praj.g_01505	Pral.g_00797
OG0000023	Praj.g_00084	Pral.g_01738
OG0000024	Praj.g_01165	Pral.g_00046
OG0000025	Praj.g_01134, Praj.g_00666	Pral.g_01895
OG0000026	Praj.g_01076, Praj.g_01356, Praj.g_00419, Praj.g_01201, Praj.g_01308, Praj.g_01271	Pral.g_01331
OG0000027	Praj.g_01830	Pral.g_00021
OG0000028	Praj.g_01829	Pral.g_00020
OG0000029	Praj.g_01842	Pral.g_00082
OG0000030	Praj.g_01051, Praj.g_01316	Pral.g_00090
OG0000031	Praj.g_02020	Pral.g_00313
OG0000032	Praj.g_01867	Pral.g_00435
OG0000034	Praj.g_01632	Pral.g_01165, Pral.g_01161
OG0000035	Praj.g_01276	Pral.g_01164
OG0000035	Praj.g_01675	Pral.g_01114
OG0000036	Praj.g_01025	Pral.g_01038
OG0000037	Praj.g_01347	Pral.g_00095
OG0000038	Praj.g_00371	Pral.g_01193
OG0000041	Praj.g_01066	Pral.g_00015
OG0000042	Praj.g_02091	Pral.g_00358
OG0000043	Praj.g_01395	Pral.g_01853
OG0000045	Praj.g_01827	Pral.g_00057
OG0000046	Praj.g_01189	Pral.g_00044
OG0000047	Praj.g_01461	Pral.g_01367
OG0000048	Praj.g_00095	Pral.g_00987
OG0000049	Praj.g_00839	Pral.g_01202
OG0000050	Praj.g_00206	Pral.g_00878
OG0000051	Praj.g_01329, Praj.g_01365	Pral.g_01687
OG0000053	Praj.g_00698	Pral.g_01729
OG0000054	Praj.g_01762	Pral.g_00099
