Orthogroup	Praj	Prah
OG0000000	Praj.g_01078, Praj.g_01309, Praj.g_01272, Praj.g_01202, Praj.g_00417	Prah.g_01348
OG0000000	Praj.g_01080, Praj.g_01100, Praj.g_01359, Praj.g_01307, Praj.g_01732, Praj.g_00087, Praj.g_01267	Prah.g_01152, Prah.g_01154, Prah.g_01346
OG0000001	Praj.g_00832	Prah.g_00562
OG0000001	Praj.g_00670, Praj.g_01492, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487	Prah.g_01226
OG0000002	Praj.g_01549	Prah.g_01343, Prah.g_00324, Prah.g_01159, Prah.g_02270, Prah.g_00896
OG0000003	Praj.g_01565	Prah.g_00319
OG0000004	Praj.g_01099, Praj.g_00415, Praj.g_01274, Praj.g_01204, Praj.g_01311, Praj.g_01737	Prah.g_01347
OG0000005	Praj.g_00411, Praj.g_01121, Praj.g_00734	Prah.g_01175, Prah.g_00215
OG0000008	Praj.g_00489	Prah.g_01546
OG0000008	Praj.g_01768	Prah.g_01676
OG0000010	Praj.g_00743, Praj.g_00747	Prah.g_02086
OG0000011	Praj.g_01745	Prah.g_01972
OG0000012	Praj.g_00308	Prah.g_02122
OG0000014	Praj.g_00341	Prah.g_02171
OG0000015	Praj.g_00408	Prah.g_00321
OG0000015	Praj.g_00370	Prah.g_00353
OG0000016	Praj.g_01113	Prah.g_01155, Prah.g_00576
OG0000018	Praj.g_00585	Prah.g_01405
OG0000020	Praj.g_01568	Prah.g_01007, Prah.g_01048
OG0000021	Praj.g_01651	Prah.g_00381
OG0000022	Praj.g_01281, Praj.g_00282, Praj.g_01505	Prah.g_01767, Prah.g_00475
OG0000023	Praj.g_00084	Prah.g_01410
OG0000024	Praj.g_01165	Prah.g_00998
OG0000025	Praj.g_01134, Praj.g_00666	Prah.g_01043
OG0000027	Praj.g_01830	Prah.g_00969
OG0000028	Praj.g_01829	Prah.g_00970
OG0000029	Praj.g_01842	Prah.g_00942
OG0000031	Praj.g_02020	Prah.g_01256, Prah.g_00135, Prah.g_02545
OG0000032	Praj.g_01867	Prah.g_00042
OG0000034	Praj.g_01632	Prah.g_00408
OG0000037	Praj.g_01339, Praj.g_01347	Prah.g_01166
OG0000038	Praj.g_00371	Prah.g_00091
OG0000039	Praj.g_01865	Prah.g_01270
OG0000040	Praj.g_01187, Praj.g_01323	Prah.g_01084
OG0000041	Praj.g_01066	Prah.g_00524
OG0000042	Praj.g_02091	Prah.g_02498
OG0000045	Praj.g_01827	Prah.g_01427
OG0000046	Praj.g_01189	Prah.g_01209, Prah.g_00170
OG0000047	Praj.g_01461	Prah.g_01322
OG0000048	Praj.g_00095	Prah.g_02219
OG0000049	Praj.g_00839	Prah.g_02195
OG0000050	Praj.g_00206	Prah.g_00957, Prah.g_02304
OG0000051	Praj.g_01329, Praj.g_01365	Prah.g_00688
OG0000053	Praj.g_00698	Prah.g_00958, Prah.g_00887
OG0000054	Praj.g_01762	Prah.g_01666
OG0000055	Praj.g_02012	Prah.g_00150
OG0000056	Praj.g_00031	Prah.g_00038
OG0000057	Praj.g_00197	Prah.g_02295
OG0000058	Praj.g_01156, Praj.g_01282	Prah.g_01660
OG0000059	Praj.g_00530	Prah.g_01485
OG0000060	Praj.g_00711	Prah.g_00873
OG0000061	Praj.g_00042	Prah.g_01812
OG0000062	Praj.g_00793, Praj.g_01176	Prah.g_00641
OG0000063	Praj.g_00043	Prah.g_02425
OG0000065	Praj.g_00277	Prah.g_01778
OG0000066	Praj.g_00467	Prah.g_00312
OG0000067	Praj.g_01313, Praj.g_00691	Prah.g_01027
OG0000070	Praj.g_01024	Prah.g_00915
OG0000071	Praj.g_01355	Prah.g_01257
OG0000072	Praj.g_01528	Prah.g_01364
OG0000074	Praj.g_00664	Prah.g_02192
OG0000075	Praj.g_01952	Prah.g_01995
OG0000076	Praj.g_01669	Prah.g_00358
OG0000077	Praj.g_00011	Prah.g_00013
OG0000078	Praj.g_00357	Prah.g_02187
OG0000079	Praj.g_01279	Prah.g_02538
OG0000080	Praj.g_00659	Prah.g_00445
OG0000081	Praj.g_00684	Prah.g_00974
OG0000082	Praj.g_00776	Prah.g_00660
OG0000083	Praj.g_00864, Praj.g_01157	Prah.g_01190
OG0000084	Praj.g_00946	Prah.g_00796
OG0000085	Praj.g_01196	Prah.g_02597
OG0000086	Praj.g_01832	Prah.g_02524
OG0000090	Praj.g_00372	Prah.g_02191
OG0000091	Praj.g_01640	Prah.g_00398
OG0000092	Praj.g_01166	Prah.g_01609
OG0000093	Praj.g_01892	Prah.g_02043
OG0000094	Praj.g_01948	Prah.g_01999
OG0000095	Praj.g_01985	Prah.g_02230
OG0000096	Praj.g_02083	Prah.g_00052
OG0000097	Praj.g_02103	Prah.g_02533
OG0000098	Praj.g_00003	Prah.g_00004
OG0000099	Praj.g_00023	Prah.g_00029
OG0000101	Praj.g_00053	Prah.g_02458
OG0000102	Praj.g_00153	Prah.g_00194
OG0000103	Praj.g_00162	Prah.g_00176, Prah.g_00180
OG0000104	Praj.g_00179	Prah.g_02268
OG0000105	Praj.g_00210	Prah.g_02308
OG0000106	Praj.g_00223	Prah.g_02324
OG0000107	Praj.g_00232	Prah.g_02352
OG0000108	Praj.g_00242	Prah.g_02362
OG0000109	Praj.g_00280	Prah.g_01773
OG0000110	Praj.g_00290	Prah.g_02089
OG0000111	Praj.g_00310	Prah.g_02126
OG0000112	Praj.g_00320	Prah.g_02139
OG0000113	Praj.g_00332	Prah.g_02155
OG0000114	Praj.g_00360	Prah.g_02207
OG0000115	Praj.g_00466	Prah.g_00311
OG0000116	Praj.g_00468	Prah.g_00313, Prah.g_00314
OG0000117	Praj.g_00473	Prah.g_01566
OG0000118	Praj.g_00491	Prah.g_01544
OG0000119	Praj.g_00523	Prah.g_00108, Prah.g_01503
OG0000120	Praj.g_00524	Prah.g_01501
OG0000121	Praj.g_00534	Prah.g_01476
