Orthogroup	Praj	Prbc
OG0000000	Praj.g_01077, Praj.g_01357, Praj.g_00418	Prbc.g_00104
OG0000000	Praj.g_01730	Prbc.g_00806
OG0000000	Praj.g_01078, Praj.g_01309, Praj.g_01272	Prbc.g_02165
OG0000000	Praj.g_01100	Prbc.g_00608
OG0000000	Praj.g_01307, Praj.g_01732	Prbc.g_00808
OG0000000	Praj.g_00087	Prbc.g_00525
OG0000001	Praj.g_00832	Prbc.g_01920
OG0000001	Praj.g_00670	Prbc.g_01759
OG0000001	Praj.g_01492	Prbc.g_01478
OG0000001	Praj.g_01489	Prbc.g_01475
OG0000001	Praj.g_01488	Prbc.g_01474
OG0000001	Praj.g_01493	Prbc.g_01479
OG0000001	Praj.g_01487	Prbc.g_01473
OG0000002	Praj.g_01861, Praj.g_00463	Prbc.g_00925
OG0000002	Praj.g_01112	Prbc.g_01530
OG0000002	Praj.g_01549	Prbc.g_00588
OG0000003	Praj.g_01565	Prbc.g_00647
OG0000003	Praj.g_00037	Prbc.g_01237
OG0000004	Praj.g_01099	Prbc.g_00609
OG0000004	Praj.g_00415, Praj.g_01274, Praj.g_01204, Praj.g_01311, Praj.g_01737	Prbc.g_00812
OG0000005	Praj.g_00411	Prbc.g_01233, Prbc.g_02193
OG0000005	Praj.g_00734	Prbc.g_01823
OG0000006	Praj.g_01249	Prbc.g_01323
OG0000007	Praj.g_01222	Prbc.g_01294
OG0000008	Praj.g_00489	Prbc.g_01556
OG0000008	Praj.g_01768	Prbc.g_00832
OG0000010	Praj.g_00743	Prbc.g_01832
OG0000010	Praj.g_00747	Prbc.g_01836
OG0000012	Praj.g_00308	Prbc.g_01165
OG0000014	Praj.g_00341	Prbc.g_01198
OG0000014	Praj.g_01609	Prbc.g_00680
OG0000015	Praj.g_00408	Prbc.g_01273
OG0000015	Praj.g_00370	Prbc.g_01227
OG0000016	Praj.g_01113	Prbc.g_00599
OG0000017	Praj.g_01331	Prbc.g_00072
OG0000018	Praj.g_00585	Prbc.g_01674
OG0000019	Praj.g_01148	Prbc.g_00125
OG0000020	Praj.g_01568	Prbc.g_00650
OG0000021	Praj.g_01651	Prbc.g_00728
OG0000022	Praj.g_01281, Praj.g_00282, Praj.g_01505	Prbc.g_02202
OG0000023	Praj.g_00084	Prbc.g_02189
OG0000024	Praj.g_01165	Prbc.g_00143
OG0000024	Praj.g_01141	Prbc.g_00118
OG0000024	Praj.g_01151	Prbc.g_00129
OG0000025	Praj.g_01134	Prbc.g_00598
OG0000025	Praj.g_00666	Prbc.g_01755
OG0000026	Praj.g_01076	Prbc.g_02163
OG0000026	Praj.g_01201, Praj.g_01308	Prbc.g_00103
OG0000027	Praj.g_01830	Prbc.g_00894
OG0000028	Praj.g_01829	Prbc.g_00893
OG0000029	Praj.g_00733	Prbc.g_01822
OG0000029	Praj.g_01842	Prbc.g_00907
OG0000030	Praj.g_00976	Prbc.g_02065
OG0000030	Praj.g_01335	Prbc.g_00075
OG0000030	Praj.g_00975	Prbc.g_02064
OG0000030	Praj.g_01051	Prbc.g_02139
OG0000030	Praj.g_01316	Prbc.g_00059
OG0000031	Praj.g_02020	Prbc.g_00203
OG0000032	Praj.g_01867	Prbc.g_00932
OG0000033	Praj.g_01070	Prbc.g_02158
OG0000033	Praj.g_01084	Prbc.g_02171
OG0000034	Praj.g_01632	Prbc.g_00709
OG0000035	Praj.g_01276	Prbc.g_02181
OG0000035	Praj.g_01675	Prbc.g_00752
OG0000036	Praj.g_01025	Prbc.g_02114
OG0000037	Praj.g_01339	Prbc.g_00088
OG0000037	Praj.g_01347	Prbc.g_00095
OG0000038	Praj.g_00371	Prbc.g_01228
OG0000039	Praj.g_01865	Prbc.g_00929
OG0000039	Praj.g_00013	Prbc.g_01083
OG0000040	Praj.g_01187	Prbc.g_00164
OG0000040	Praj.g_01323	Prbc.g_00066
OG0000041	Praj.g_01066	Prbc.g_02155
OG0000042	Praj.g_02091	Prbc.g_00997
OG0000043	Praj.g_01395	Prbc.g_01380
OG0000045	Praj.g_01827	Prbc.g_00891
OG0000046	Praj.g_01189	Prbc.g_00166
OG0000047	Praj.g_01461	Prbc.g_01446
OG0000048	Praj.g_00095	Prbc.g_00517
OG0000049	Praj.g_00839	Prbc.g_01928
OG0000050	Praj.g_00206	Prbc.g_00405
OG0000051	Praj.g_01329	Prbc.g_00047, Prbc.g_00071
OG0000052	Praj.g_01242	Prbc.g_01315
OG0000053	Praj.g_00698	Prbc.g_01787
OG0000054	Praj.g_01762	Prbc.g_00826
OG0000055	Praj.g_02012	Prbc.g_00211
OG0000056	Praj.g_00031	Prbc.g_01101
OG0000057	Praj.g_00197	Prbc.g_00414
OG0000058	Praj.g_01156	Prbc.g_00134
OG0000058	Praj.g_01282	Prbc.g_00641
OG0000059	Praj.g_00530	Prbc.g_01618
OG0000060	Praj.g_00711	Prbc.g_01800
OG0000061	Praj.g_00042	Prbc.g_01116
OG0000062	Praj.g_00793	Prbc.g_01882
OG0000062	Praj.g_01176	Prbc.g_00153
OG0000063	Praj.g_00043	Prbc.g_01117
OG0000065	Praj.g_00277	Prbc.g_00333
OG0000066	Praj.g_00467	Prbc.g_01534
OG0000067	Praj.g_01313	Prbc.g_00055
OG0000067	Praj.g_00691	Prbc.g_01780
OG0000068	Praj.g_01170	Prbc.g_00148
OG0000069	Praj.g_01563	Prbc.g_00645
OG0000070	Praj.g_01024	Prbc.g_02113
OG0000071	Praj.g_01355	Prbc.g_00102
OG0000072	Praj.g_01528	Prbc.g_00566
OG0000073	Praj.g_01146	Prbc.g_00123
OG0000073	Praj.g_01228	Prbc.g_01300
OG0000073	Praj.g_01377	Prbc.g_00040
OG0000074	Praj.g_00664	Prbc.g_01753
OG0000075	Praj.g_01952	Prbc.g_00284
OG0000076	Praj.g_01669	Prbc.g_00746
OG0000077	Praj.g_00011	Prbc.g_01081
OG0000078	Praj.g_00357	Prbc.g_01214
OG0000079	Praj.g_01279	Prbc.g_02183
OG0000080	Praj.g_00659	Prbc.g_01748
OG0000081	Praj.g_00684	Prbc.g_01773
OG0000082	Praj.g_00776	Prbc.g_01865
OG0000083	Praj.g_00864	Prbc.g_01953
OG0000083	Praj.g_01157	Prbc.g_00135
OG0000084	Praj.g_00946	Prbc.g_02036
OG0000085	Praj.g_01196	Prbc.g_00173
OG0000086	Praj.g_01832	Prbc.g_00896
OG0000087	Praj.g_01310	Prbc.g_00807
OG0000087	Praj.g_00416, Praj.g_01273	Prbc.g_02166, Prbc.g_00105
OG0000088	Praj.g_01260	Prbc.g_01334
OG0000090	Praj.g_00372	Prbc.g_01229
OG0000091	Praj.g_01640	Prbc.g_00717
OG0000092	Praj.g_01166	Prbc.g_00144
OG0000093	Praj.g_01892	Prbc.g_00958
OG0000094	Praj.g_01948	Prbc.g_00288
OG0000095	Praj.g_01985	Prbc.g_00238
OG0000096	Praj.g_02083	Prbc.g_00989
OG0000097	Praj.g_02103	Prbc.g_01009
OG0000098	Praj.g_00003	Prbc.g_01073
OG0000099	Praj.g_00023	Prbc.g_01093
OG0000100	Praj.g_01154	Prbc.g_00132
OG0000101	Praj.g_00053	Prbc.g_01127
OG0000102	Praj.g_00153	Prbc.g_00458
