Orthogroup	Prbe	Syab
OG0000000	Prbe.g_01587, Prbe.g_01119, Prbe.g_01586, Prbe.g_01120, Prbe.g_01052	Syab.g_01226
OG0000001	Prbe.g_00400, Prbe.g_00112	Syab.g_01549
OG0000002	Prbe.g_01285, Prbe.g_01290, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452	Syab.g_02285
OG0000004	Prbe.g_01203	Syab.g_00549, Syab.g_01193
OG0000004	Prbe.g_01784	Syab.g_01911, Syab.g_02377
OG0000005	Prbe.g_00228	Syab.g_02806, Syab.g_02232
OG0000006	Prbe.g_01794	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prbe.g_00636	Syab.g_02117
OG0000007	Prbe.g_00985	Syab.g_02256
OG0000008	Prbe.g_00036	Syab.g_01755
OG0000008	Prbe.g_00037	Syab.g_01168
OG0000009	Prbe.g_00216	Syab.g_00995
OG0000010	Prbe.g_00096, Prbe.g_01411, Prbe.g_00659	Syab.g_00696
OG0000013	Prbe.g_01879	Syab.g_00497, Syab.g_00482, Syab.g_00487
OG0000014	Prbe.g_01861	Syab.g_00249
OG0000016	Prbe.g_01607	Syab.g_01049
OG0000017	Prbe.g_00529	Syab.g_01945
OG0000017	Prbe.g_00536	Syab.g_01953
OG0000018	Prbe.g_01571, Prbe.g_01250	Syab.g_00742
OG0000019	Prbe.g_01802, Prbe.g_01573	Syab.g_00344
OG0000020	Prbe.g_00204, Prbe.g_00018	Syab.g_02230
OG0000022	Prbe.g_00220	Syab.g_01825
OG0000023	Prbe.g_00062	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prbe.g_01415, Prbe.g_00449	Syab.g_01834
OG0000025	Prbe.g_01258	Syab.g_01705
OG0000026	Prbe.g_00132	Syab.g_00036
OG0000027	Prbe.g_01121, Prbe.g_00012	Syab.g_01782
OG0000028	Prbe.g_00034	Syab.g_00234
OG0000030	Prbe.g_00763	Syab.g_00096, Syab.g_00095
OG0000032	Prbe.g_00272	Syab.g_00724
OG0000033	Prbe.g_01717	Syab.g_02590
OG0000034	Prbe.g_00882	Syab.g_00900, Syab.g_02560
OG0000035	Prbe.g_00311	Syab.g_00776
OG0000037	Prbe.g_01651	Syab.g_02504
OG0000038	Prbe.g_01156	Syab.g_02759, Syab.g_02761
OG0000039	Prbe.g_00461	Syab.g_02791
OG0000041	Prbe.g_00938	Syab.g_02333
OG0000042	Prbe.g_00766	Syab.g_01019, Syab.g_00099
OG0000043	Prbe.g_01570	Syab.g_01539
OG0000045	Prbe.g_01593	Syab.g_01787
OG0000046	Prbe.g_01880	Syab.g_00481, Syab.g_00488, Syab.g_00496
OG0000047	Prbe.g_01921	Syab.g_00876
OG0000048	Prbe.g_00906, Prbe.g_01825	Syab.g_00308
OG0000051	Prbe.g_00720	Syab.g_01073
OG0000052	Prbe.g_00333	Syab.g_00214
OG0000053	Prbe.g_01040, Prbe.g_00290	Syab.g_00746
OG0000054	Prbe.g_00527	Syab.g_01932
OG0000055	Prbe.g_01598	Syab.g_01255
OG0000057	Prbe.g_01206	Syab.g_01200
OG0000058	Prbe.g_00351	Syab.g_00227
OG0000059	Prbe.g_01094	Syab.g_00397
OG0000061	Prbe.g_01549	Syab.g_00969
OG0000062	Prbe.g_00226	Syab.g_02234
OG0000063	Prbe.g_00021	Syab.g_00040
OG0000064	Prbe.g_00172	Syab.g_02808, Syab.g_01783, Syab.g_00997, Syab.g_00824
OG0000065	Prbe.g_01649	Syab.g_02500, Syab.g_01768
OG0000066	Prbe.g_00596, Prbe.g_01114	Syab.g_02031
OG0000067	Prbe.g_01222	Syab.g_01659
OG0000068	Prbe.g_00373	Syab.g_02087
OG0000070	Prbe.g_01948	Syab.g_00614
OG0000071	Prbe.g_00893	Syab.g_00915
OG0000072	Prbe.g_01719	Syab.g_02593
OG0000073	Prbe.g_00633	Syab.g_02119
OG0000075	Prbe.g_00800	Syab.g_00202
OG0000076	Prbe.g_00774	Syab.g_00113
OG0000077	Prbe.g_00183	Syab.g_02446
OG0000078	Prbe.g_01792	Syab.g_02366
OG0000079	Prbe.g_01805	Syab.g_00340
OG0000081	Prbe.g_00604	Syab.g_01793
OG0000082	Prbe.g_00549, Prbe.g_00996	Syab.g_01971
OG0000084	Prbe.g_00314	Syab.g_00781
OG0000085	Prbe.g_00993, Prbe.g_00007	Syab.g_02243
OG0000086	Prbe.g_00192	Syab.g_02468
OG0000087	Prbe.g_01683	Syab.g_02551
OG0000088	Prbe.g_01714	Syab.g_02586
OG0000089	Prbe.g_01915	Syab.g_00551
OG0000090	Prbe.g_00602	Syab.g_02041
OG0000091	Prbe.g_01477	Syab.g_01866
OG0000092	Prbe.g_00422	Syab.g_01242, Syab.g_00690
OG0000093	Prbe.g_01448	Syab.g_01090
OG0000097	Prbe.g_01503	Syab.g_01051
OG0000098	Prbe.g_00397	Syab.g_01553
OG0000099	Prbe.g_00350	Syab.g_00230
OG0000100	Prbe.g_00232	Syab.g_01694
OG0000101	Prbe.g_00836	Syab.g_00446
OG0000102	Prbe.g_00769	Syab.g_00104
