Orthogroup	Prbe	Syag
OG0000001	Prbe.g_00400, Prbe.g_00112	Syag.g_00575
OG0000004	Prbe.g_01203	Syag.g_00988
OG0000004	Prbe.g_01784	Syag.g_00370, Syag.g_01790
OG0000005	Prbe.g_00228	Syag.g_01667
OG0000006	Prbe.g_01794	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prbe.g_00636	Syag.g_01507
OG0000007	Prbe.g_00985	Syag.g_01687
OG0000008	Prbe.g_00036	Syag.g_00496
OG0000008	Prbe.g_00037	Syag.g_01017
OG0000009	Prbe.g_00216	Syag.g_00220, Syag.g_00231
OG0000010	Prbe.g_00096, Prbe.g_01411, Prbe.g_00659	Syag.g_01355
OG0000011	Prbe.g_00713	Syag.g_01299
OG0000012	Prbe.g_00511	Syag.g_00377
OG0000013	Prbe.g_01879	Syag.g_02820, Syag.g_02806, Syag.g_02811
OG0000014	Prbe.g_01861	Syag.g_02559
OG0000015	Prbe.g_01046, Prbe.g_01000	Syag.g_00596
OG0000016	Prbe.g_01607	Syag.g_01066
OG0000017	Prbe.g_00529	Syag.g_00344
OG0000017	Prbe.g_00536	Syag.g_00336
OG0000018	Prbe.g_01571, Prbe.g_01250	Syag.g_01387
OG0000019	Prbe.g_01802, Prbe.g_01573	Syag.g_02663
OG0000020	Prbe.g_00204, Prbe.g_00018	Syag.g_00085
OG0000021	Prbe.g_01208	Syag.g_00229
OG0000022	Prbe.g_00220	Syag.g_00458
OG0000023	Prbe.g_00062	Syag.g_00261, Syag.g_00234
OG0000024	Prbe.g_01415, Prbe.g_00449	Syag.g_00455
OG0000025	Prbe.g_01258	Syag.g_00718
OG0000026	Prbe.g_00132	Syag.g_02309
OG0000027	Prbe.g_01121, Prbe.g_00012	Syag.g_00950, Syag.g_00165
OG0000028	Prbe.g_00034	Syag.g_02540
OG0000029	Prbe.g_01091, Prbe.g_00025, Prbe.g_01054, Prbe.g_01133	Syag.g_00195
OG0000030	Prbe.g_00763	Syag.g_02375, Syag.g_02374
OG0000031	Prbe.g_00352	Syag.g_02486
OG0000032	Prbe.g_00272	Syag.g_01366
OG0000033	Prbe.g_00345	Syag.g_02481
OG0000033	Prbe.g_01717	Syag.g_01978
OG0000034	Prbe.g_00882	Syag.g_01225, Syag.g_01947
OG0000035	Prbe.g_00311	Syag.g_01420
OG0000037	Prbe.g_01651	Syag.g_00173
OG0000038	Prbe.g_01156	Syag.g_02130, Syag.g_02132
OG0000039	Prbe.g_00461	Syag.g_01325, Syag.g_02155
OG0000041	Prbe.g_00938	Syag.g_01750
OG0000042	Prbe.g_00766	Syag.g_01094, Syag.g_02378
OG0000043	Prbe.g_01570	Syag.g_00564
OG0000045	Prbe.g_01593	Syag.g_00223
OG0000046	Prbe.g_01880	Syag.g_02805, Syag.g_02812, Syag.g_02819
OG0000047	Prbe.g_01921	Syag.g_00768
OG0000048	Prbe.g_00906, Prbe.g_01825	Syag.g_02611
OG0000052	Prbe.g_00333	Syag.g_02451
OG0000053	Prbe.g_01040, Prbe.g_00290	Syag.g_01391
OG0000054	Prbe.g_00527	Syag.g_00350
OG0000055	Prbe.g_01598	Syag.g_00946
OG0000055	Prbe.g_01011	Syag.g_01799
OG0000057	Prbe.g_01206	Syag.g_00985
OG0000058	Prbe.g_00351	Syag.g_02477
OG0000059	Prbe.g_01094	Syag.g_02721
OG0000061	Prbe.g_01549	Syag.g_01141
OG0000062	Prbe.g_00226	Syag.g_01669
OG0000063	Prbe.g_00021	Syag.g_02313
OG0000064	Prbe.g_00172	Syag.g_00487, Syag.g_01589, Syag.g_00076
OG0000065	Prbe.g_01649	Syag.g_00182, Syag.g_01885
OG0000066	Prbe.g_00596, Prbe.g_01114	Syag.g_01443
OG0000067	Prbe.g_01222	Syag.g_00667
OG0000068	Prbe.g_00373	Syag.g_01537
OG0000070	Prbe.g_01948	Syag.g_00049
OG0000071	Prbe.g_00893	Syag.g_01192
OG0000072	Prbe.g_01719	Syag.g_01980, Syag.g_02859
OG0000073	Prbe.g_00633	Syag.g_01505
OG0000075	Prbe.g_00800	Syag.g_02434
OG0000076	Prbe.g_00774	Syag.g_02393
OG0000077	Prbe.g_00183	Syag.g_01831
OG0000078	Prbe.g_01792	Syag.g_01778
OG0000079	Prbe.g_01805	Syag.g_02659, Syag.g_02652
OG0000082	Prbe.g_00549, Prbe.g_00996	Syag.g_00318
OG0000084	Prbe.g_00314	Syag.g_01425
OG0000085	Prbe.g_00993, Prbe.g_00007	Syag.g_01676
OG0000086	Prbe.g_00192	Syag.g_01853
OG0000087	Prbe.g_01683	Syag.g_01939
OG0000088	Prbe.g_01714	Syag.g_01974
OG0000089	Prbe.g_01915	Syag.g_00005
OG0000090	Prbe.g_00602	Syag.g_01454
OG0000091	Prbe.g_01477	Syag.g_00418
OG0000092	Prbe.g_00422	Syag.g_00242
OG0000097	Prbe.g_01503	Syag.g_01065
OG0000098	Prbe.g_00397	Syag.g_00578
OG0000099	Prbe.g_00350	Syag.g_02536
OG0000100	Prbe.g_00232	Syag.g_00704
OG0000101	Prbe.g_00836	Syag.g_02773
OG0000102	Prbe.g_00769	Syag.g_02387
OG0000103	Prbe.g_01195	Syag.g_02253
OG0000104	Prbe.g_01061	Syag.g_02268
OG0000105	Prbe.g_01828	Syag.g_02606
OG0000106	Prbe.g_00740	Syag.g_00462
OG0000108	Prbe.g_00653	Syag.g_01528
