Orthogroup	Prbe	Prav
OG0000000	Prbe.g_01119	Prav.g_01695, Prav.g_00973
OG0000002	Prbe.g_01285, Prbe.g_01290	Prav.g_01466
OG0000002	Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452	Prav.g_01276
OG0000004	Prbe.g_01203	Prav.g_01293
OG0000004	Prbe.g_01784	Prav.g_00806
OG0000005	Prbe.g_00228	Prav.g_01654
OG0000006	Prbe.g_01794	Prav.g_02001
OG0000007	Prbe.g_00636	Prav.g_01095
OG0000007	Prbe.g_00985	Prav.g_01761
OG0000008	Prbe.g_00036	Prav.g_01749
OG0000008	Prbe.g_00037	Prav.g_01750
OG0000010	Prbe.g_00096, Prbe.g_01411, Prbe.g_00659	Prav.g_01072
OG0000012	Prbe.g_00196, Prbe.g_00511	Prav.g_01221
OG0000013	Prbe.g_01879	Prav.g_01973
OG0000014	Prbe.g_01861	Prav.g_01952
OG0000015	Prbe.g_01046, Prbe.g_01000	Prav.g_00363, Prav.g_00961
OG0000016	Prbe.g_01607	Prav.g_01385
OG0000017	Prbe.g_00536	Prav.g_01194
OG0000018	Prbe.g_01571	Prav.g_00046
OG0000018	Prbe.g_01250	Prav.g_00424
OG0000019	Prbe.g_01802	Prav.g_01896
OG0000019	Prbe.g_01573	Prav.g_00375
OG0000020	Prbe.g_00204	Prav.g_00014
OG0000020	Prbe.g_00018	Prav.g_01386
OG0000021	Prbe.g_00203	Prav.g_00984
OG0000022	Prbe.g_00220	Prav.g_00360
OG0000023	Prbe.g_00062	Prav.g_00979
OG0000024	Prbe.g_01415	Prav.g_00343
OG0000024	Prbe.g_00449	Prav.g_01273
OG0000025	Prbe.g_01258	Prav.g_00431, Prav.g_01977
OG0000026	Prbe.g_00132	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000027	Prbe.g_00012	Prav.g_01068, Prav.g_01416
OG0000028	Prbe.g_00034	Prav.g_01885
OG0000029	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133	Prav.g_00350
OG0000030	Prbe.g_00763	Prav.g_00699
OG0000033	Prbe.g_01717	Prav.g_00869
OG0000034	Prbe.g_00882	Prav.g_01448
OG0000037	Prbe.g_01651	Prav.g_00174
OG0000038	Prbe.g_01156	Prav.g_00739
OG0000039	Prbe.g_00461	Prav.g_01284
OG0000041	Prbe.g_00938	Prav.g_01808
OG0000042	Prbe.g_00766	Prav.g_00696
OG0000043	Prbe.g_01570	Prav.g_00467
OG0000045	Prbe.g_01593	Prav.g_00990
OG0000048	Prbe.g_01825	Prav.g_00993
OG0000050	Prbe.g_00098	Prav.g_01013
OG0000052	Prbe.g_00333	Prav.g_01533
OG0000053	Prbe.g_01040, Prbe.g_00290	Prav.g_01598
OG0000054	Prbe.g_00527	Prav.g_01202
OG0000055	Prbe.g_01598	Prav.g_00376
OG0000057	Prbe.g_01206	Prav.g_01296
OG0000058	Prbe.g_00351	Prav.g_01512
OG0000059	Prbe.g_01094	Prav.g_00292
OG0000061	Prbe.g_01549	Prav.g_00065
OG0000062	Prbe.g_00226	Prav.g_01551, Prav.g_01338, Prav.g_01656
OG0000063	Prbe.g_00021	Prav.g_00101
OG0000065	Prbe.g_01649	Prav.g_00172
OG0000066	Prbe.g_00596, Prbe.g_01114	Prav.g_01137
OG0000067	Prbe.g_01222	Prav.g_00397
OG0000068	Prbe.g_00373	Prav.g_01473
OG0000069	Prbe.g_00678	Prav.g_01881, Prav.g_01689
OG0000070	Prbe.g_01948	Prav.g_01049
OG0000071	Prbe.g_00893	Prav.g_01438
OG0000072	Prbe.g_01719	Prav.g_00867
OG0000073	Prbe.g_00633	Prav.g_01097
OG0000074	Prbe.g_00456	Prav.g_01280
OG0000075	Prbe.g_00800	Prav.g_00665
OG0000076	Prbe.g_00774	Prav.g_00689
OG0000077	Prbe.g_00183	Prav.g_00143
OG0000078	Prbe.g_01792	Prav.g_00799
OG0000079	Prbe.g_01805	Prav.g_01899
OG0000081	Prbe.g_00604	Prav.g_01129
OG0000082	Prbe.g_00549, Prbe.g_00996	Prav.g_01182
OG0000084	Prbe.g_00314	Prav.g_01574
OG0000085	Prbe.g_00993, Prbe.g_00007	Prav.g_01754
OG0000086	Prbe.g_00192	Prav.g_00153
OG0000087	Prbe.g_01683	Prav.g_00204
OG0000088	Prbe.g_01714	Prav.g_00872
OG0000089	Prbe.g_01915	Prav.g_00975
OG0000090	Prbe.g_00602	Prav.g_01131
OG0000091	Prbe.g_01477	Prav.g_01240
OG0000092	Prbe.g_00422	Prav.g_00504
OG0000093	Prbe.g_01448	Prav.g_01497, Prav.g_00525
OG0000094	Prbe.g_01399	Prav.g_00914
OG0000095	Prbe.g_01297	Prav.g_00933
OG0000096	Prbe.g_00081	Prav.g_01732, Prav.g_01400
OG0000097	Prbe.g_01503	Prav.g_01840
OG0000098	Prbe.g_00397	Prav.g_01455
OG0000099	Prbe.g_00350	Prav.g_01514
OG0000100	Prbe.g_00232	Prav.g_01652
OG0000101	Prbe.g_00836	Prav.g_00632
OG0000102	Prbe.g_00769	Prav.g_00694
OG0000103	Prbe.g_01195	Prav.g_00773
OG0000104	Prbe.g_01061	Prav.g_00782
OG0000105	Prbe.g_01828	Prav.g_01920
OG0000106	Prbe.g_00740	Prav.g_00989
OG0000107	Prbe.g_00921	Prav.g_01001
OG0000108	Prbe.g_00653	Prav.g_01078
OG0000109	Prbe.g_00639	Prav.g_01092
OG0000110	Prbe.g_00560	Prav.g_01172
OG0000111	Prbe.g_01207	Prav.g_01297
OG0000112	Prbe.g_00487	Prav.g_00364
OG0000113	Prbe.g_01245	Prav.g_00419
OG0000114	Prbe.g_00417	Prav.g_00499
OG0000115	Prbe.g_01618	Prav.g_00010
OG0000116	Prbe.g_01560	Prav.g_00055
OG0000117	Prbe.g_01522	Prav.g_01390
OG0000118	Prbe.g_00880	Prav.g_01450
OG0000119	Prbe.g_01603, Prbe.g_00214	Prav.g_01469
OG0000120	Prbe.g_00353	Prav.g_01513
OG0000121	Prbe.g_00309	Prav.g_01580
OG0000122	Prbe.g_01625, Prbe.g_00268	Prav.g_01618
OG0000123	Prbe.g_00829	Prav.g_00639
OG0000124	Prbe.g_00745	Prav.g_00705
OG0000125	Prbe.g_01158	Prav.g_00741
OG0000126	Prbe.g_01060	Prav.g_00781
OG0000128	Prbe.g_01076	Prav.g_00079
OG0000129	Prbe.g_00145	Prav.g_00115
OG0000130	Prbe.g_00174	Prav.g_00134
OG0000131	Prbe.g_01692	Prav.g_00212
OG0000132	Prbe.g_01712	Prav.g_00874
OG0000133	Prbe.g_01875	Prav.g_01968
OG0000134	Prbe.g_01917	Prav.g_00976
OG0000135	Prbe.g_00911	Prav.g_00999
OG0000136	Prbe.g_01939	Prav.g_01040
OG0000137	Prbe.g_00658	Prav.g_01073
OG0000138	Prbe.g_00638	Prav.g_01093
OG0000139	Prbe.g_00598	Prav.g_01135
OG0000140	Prbe.g_00597	Prav.g_01136
OG0000141	Prbe.g_00526	Prav.g_01203
OG0000142	Prbe.g_01485	Prav.g_01233
OG0000143	Prbe.g_01481	Prav.g_01237
OG0000144	Prbe.g_01467	Prav.g_01250
OG0000145	Prbe.g_00909	Prav.g_00362
OG0000146	Prbe.g_00488	Prav.g_00365
OG0000147	Prbe.g_00489	Prav.g_00366
OG0000148	Prbe.g_01239	Prav.g_00413
OG0000149	Prbe.g_01271	Prav.g_00443
OG0000150	Prbe.g_01281	Prav.g_00451
OG0000151	Prbe.g_00427	Prav.g_00509
OG0000152	Prbe.g_01350	Prav.g_00556
OG0000153	Prbe.g_01369	Prav.g_00575
OG0000154	Prbe.g_01389	Prav.g_00907
OG0000155	Prbe.g_01528	Prav.g_01861
OG0000156	Prbe.g_00904	Prav.g_01427
OG0000157	Prbe.g_00903	Prav.g_01428
OG0000158	Prbe.g_00792	Prav.g_01505
OG0000159	Prbe.g_00165	Prav.g_01506
OG0000160	Prbe.g_00310	Prav.g_01579
OG0000161	Prbe.g_00304	Prav.g_01585
OG0000162	Prbe.g_00298	Prav.g_01591
OG0000163	Prbe.g_00259	Prav.g_01625
OG0000164	Prbe.g_00961	Prav.g_01785
OG0000165	Prbe.g_00954	Prav.g_01792
OG0000166	Prbe.g_01083	Prav.g_00596
OG0000167	Prbe.g_00802	Prav.g_00663
OG0000168	Prbe.g_00791	Prav.g_00673
OG0000169	Prbe.g_00781	Prav.g_00683
OG0000170	Prbe.g_00778	Prav.g_00685
OG0000171	Prbe.g_00758	Prav.g_00704
OG0000172	Prbe.g_00751	Prav.g_00712
OG0000173	Prbe.g_01143	Prav.g_00727
OG0000174	Prbe.g_01173	Prav.g_00755
OG0000175	Prbe.g_01186	Prav.g_00765
OG0000176	Prbe.g_01069	Prav.g_00790
OG0000177	Prbe.g_01070	Prav.g_00791
OG0000178	Prbe.g_01071	Prav.g_00792
OG0000179	Prbe.g_00116	Prav.g_00084
OG0000180	Prbe.g_00117	Prav.g_00085
OG0000181	Prbe.g_00118	Prav.g_00086
OG0000182	Prbe.g_00119	Prav.g_00087
OG0000183	Prbe.g_00123	Prav.g_00091
OG0000184	Prbe.g_00149	Prav.g_00117
OG0000185	Prbe.g_00152	Prav.g_00120
OG0000186	Prbe.g_00168	Prav.g_00129
OG0000187	Prbe.g_00169	Prav.g_00130
OG0000188	Prbe.g_00186	Prav.g_00147
OG0000189	Prbe.g_01636	Prav.g_00161
OG0000190	Prbe.g_01638	Prav.g_00162
OG0000191	Prbe.g_01661	Prav.g_00182
OG0000192	Prbe.g_01666	Prav.g_00186
OG0000193	Prbe.g_01693	Prav.g_00213
OG0000194	Prbe.g_01696	Prav.g_00216
OG0000195	Prbe.g_01698	Prav.g_00887
OG0000196	Prbe.g_01709	Prav.g_00877
OG0000197	Prbe.g_01710	Prav.g_00876
OG0000198	Prbe.g_01711	Prav.g_00875
OG0000199	Prbe.g_01718	Prav.g_00868
OG0000200	Prbe.g_01732	Prav.g_00854
OG0000201	Prbe.g_01741	Prav.g_00846
OG0000202	Prbe.g_01742	Prav.g_00845
OG0000203	Prbe.g_01743	Prav.g_00844
OG0000204	Prbe.g_01744	Prav.g_00843
OG0000205	Prbe.g_01751	Prav.g_00836
OG0000206	Prbe.g_01756	Prav.g_00831
OG0000207	Prbe.g_01759	Prav.g_00829
OG0000208	Prbe.g_01760	Prav.g_00828
OG0000209	Prbe.g_01769	Prav.g_00819
OG0000210	Prbe.g_01770	Prav.g_00818
OG0000211	Prbe.g_01785	Prav.g_00805
OG0000212	Prbe.g_01793	Prav.g_00798
OG0000213	Prbe.g_01811	Prav.g_01904
OG0000214	Prbe.g_01821	Prav.g_01914
OG0000215	Prbe.g_01848	Prav.g_01938
OG0000216	Prbe.g_01849	Prav.g_01940
OG0000217	Prbe.g_01852	Prav.g_01943
OG0000218	Prbe.g_01854	Prav.g_01945
OG0000219	Prbe.g_01855	Prav.g_01946
OG0000220	Prbe.g_01856	Prav.g_01947
OG0000221	Prbe.g_01857	Prav.g_01948
OG0000222	Prbe.g_01864	Prav.g_01956
OG0000223	Prbe.g_01876	Prav.g_01969
OG0000224	Prbe.g_01878	Prav.g_01971
OG0000225	Prbe.g_01904	Prav.g_01992
OG0000226	Prbe.g_01908	Prav.g_01996
OG0000227	Prbe.g_01910	Prav.g_01998
