Orthogroup	Prbe	Praz
OG0000000	Prbe.g_01119	Praz.g_00894, Praz.g_00921
OG0000002	Prbe.g_01285, Prbe.g_01290	Praz.g_01146
OG0000002	Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452	Praz.g_01652
OG0000004	Prbe.g_01203	Praz.g_01635
OG0000004	Prbe.g_01784	Praz.g_00592
OG0000005	Prbe.g_00228	Praz.g_00965
OG0000006	Prbe.g_01794	Praz.g_00601
OG0000007	Prbe.g_00636	Praz.g_01831
OG0000007	Prbe.g_00985	Praz.g_00877
OG0000008	Prbe.g_00036	Praz.g_01241
OG0000009	Prbe.g_00216	Praz.g_01230
OG0000010	Prbe.g_00096, Prbe.g_01411, Prbe.g_00659	Praz.g_01854
OG0000012	Prbe.g_00196, Prbe.g_00511	Praz.g_01707
OG0000013	Prbe.g_01879	Praz.g_00684
OG0000014	Prbe.g_01861	Praz.g_00663
OG0000015	Prbe.g_01046, Prbe.g_01000	Praz.g_01551
OG0000017	Prbe.g_00536	Praz.g_01732
OG0000018	Prbe.g_01571	Praz.g_00011
OG0000018	Prbe.g_01250	Praz.g_01485
OG0000019	Prbe.g_01802	Praz.g_00609
OG0000019	Prbe.g_01573	Praz.g_01532
OG0000020	Prbe.g_00204	Praz.g_00048
OG0000021	Prbe.g_00203	Praz.g_00896, Praz.g_00810
OG0000022	Prbe.g_00220	Praz.g_01556
OG0000023	Prbe.g_00062	Praz.g_00814
OG0000024	Prbe.g_01415	Praz.g_01571
OG0000024	Prbe.g_00449	Praz.g_01655
OG0000025	Prbe.g_01258	Praz.g_01477, Praz.g_00688
OG0000026	Prbe.g_00132	Praz.g_00396, Praz.g_00081
OG0000027	Prbe.g_00012	Praz.g_01858, Praz.g_01197
OG0000028	Prbe.g_00034	Praz.g_01246
OG0000029	Prbe.g_01091	Praz.g_00799
OG0000029	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133	Praz.g_01564
OG0000030	Prbe.g_00763	Praz.g_00195
OG0000031	Prbe.g_00352	Praz.g_01116
OG0000033	Prbe.g_01717	Praz.g_00529
OG0000034	Prbe.g_00882	Praz.g_01170
OG0000037	Prbe.g_01651	Praz.g_00469
OG0000038	Prbe.g_01156	Praz.g_00154
OG0000039	Prbe.g_00461	Praz.g_01644
OG0000042	Prbe.g_00766	Praz.g_00198
OG0000043	Prbe.g_01570	Praz.g_01440
OG0000045	Prbe.g_01593	Praz.g_00803
OG0000047	Prbe.g_01921	Praz.g_01921
OG0000048	Prbe.g_01825	Praz.g_00800
OG0000050	Prbe.g_00098	Praz.g_00769
OG0000052	Prbe.g_00333	Praz.g_01103
OG0000053	Prbe.g_01040, Prbe.g_00290	Praz.g_01021
OG0000054	Prbe.g_00527	Praz.g_01724
OG0000055	Prbe.g_01598	Praz.g_01531
OG0000057	Prbe.g_01206	Praz.g_01632
OG0000058	Prbe.g_00351	Praz.g_01096
OG0000059	Prbe.g_01094	Praz.g_00311, Praz.g_01071
OG0000061	Prbe.g_01549	Praz.g_00755
OG0000062	Prbe.g_00226	Praz.g_00963
