Orthogroup	Prbe	Syaa
OG0000004	Prbe.g_01203	Syaa.g_00892
OG0000004	Prbe.g_01784	Syaa.g_01667, Syaa.g_02116
OG0000005	Prbe.g_00228	Syaa.g_00573
OG0000006	Prbe.g_01794	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prbe.g_00636	Syaa.g_02032
OG0000007	Prbe.g_00985	Syaa.g_00551
OG0000008	Prbe.g_00036	Syaa.g_00918
OG0000008	Prbe.g_00037	Syaa.g_00919
OG0000010	Prbe.g_00096, Prbe.g_01411, Prbe.g_00659	Syaa.g_01843
OG0000012	Prbe.g_00511	Syaa.g_01660
OG0000013	Prbe.g_01879	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212
OG0000014	Prbe.g_01861	Syaa.g_00222
OG0000015	Prbe.g_01046, Prbe.g_01000	Syaa.g_01079, Syaa.g_01989
OG0000016	Prbe.g_01607	Syaa.g_00981, Syaa.g_01481
OG0000017	Prbe.g_00529	Syaa.g_01883
OG0000017	Prbe.g_00536	Syaa.g_01890
OG0000018	Prbe.g_01571, Prbe.g_01250	Syaa.g_01801
OG0000019	Prbe.g_01802, Prbe.g_01573	Syaa.g_00307
OG0000021	Prbe.g_01208	Syaa.g_02627
OG0000022	Prbe.g_00220	Syaa.g_01571
OG0000023	Prbe.g_00062	Syaa.g_01529, Syaa.g_01216
OG0000024	Prbe.g_01415, Prbe.g_00449	Syaa.g_00922
OG0000025	Prbe.g_01258	Syaa.g_00839
OG0000026	Prbe.g_00132	Syaa.g_00038
OG0000027	Prbe.g_01121, Prbe.g_00012	Syaa.g_01605, Syaa.g_00854
OG0000028	Prbe.g_00034	Syaa.g_00205
OG0000029	Prbe.g_01091, Prbe.g_00025, Prbe.g_01054, Prbe.g_01133	Syaa.g_01578
OG0000030	Prbe.g_00763	Syaa.g_00099, Syaa.g_00098
OG0000031	Prbe.g_00352	Syaa.g_00480
OG0000032	Prbe.g_00272	Syaa.g_01818
OG0000033	Prbe.g_00345	Syaa.g_00485
OG0000033	Prbe.g_01717	Syaa.g_02478
OG0000034	Prbe.g_00882	Syaa.g_00722, Syaa.g_02444
OG0000035	Prbe.g_00311	Syaa.g_01773
OG0000037	Prbe.g_01651	Syaa.g_02384
OG0000038	Prbe.g_01156	Syaa.g_02596
OG0000039	Prbe.g_00461	Syaa.g_00846
OG0000041	Prbe.g_00938	Syaa.g_00660
OG0000042	Prbe.g_00766	Syaa.g_00103
OG0000045	Prbe.g_01593	Syaa.g_01560
