Orthogroup	Prbe	Prbh
OG0000000	Prbe.g_01587	Prbh.g_01901
OG0000000	Prbe.g_01119	Prbh.g_01903
OG0000000	Prbe.g_01120	Prbh.g_01902
OG0000000	Prbe.g_01052	Prbh.g_01858
OG0000001	Prbe.g_00400	Prbh.g_00001
OG0000001	Prbe.g_00112	Prbh.g_00863
OG0000002	Prbe.g_01285	Prbh.g_01016
OG0000002	Prbe.g_01290	Prbh.g_01022
OG0000002	Prbe.g_01579	Prbh.g_01313
OG0000002	Prbe.g_00379	Prbh.g_00006
OG0000002	Prbe.g_01577	Prbh.g_01311
OG0000002	Prbe.g_01584	Prbh.g_01317
OG0000002	Prbe.g_00208	Prbh.g_00199
OG0000002	Prbe.g_00452	Prbh.g_00912
OG0000004	Prbe.g_01203	Prbh.g_00933
OG0000004	Prbe.g_01784	Prbh.g_00548
OG0000005	Prbe.g_00228	Prbh.g_00182
OG0000006	Prbe.g_01794	Prbh.g_00538
OG0000007	Prbe.g_00636	Prbh.g_00334
OG0000007	Prbe.g_00985	Prbh.g_01782
OG0000008	Prbe.g_00036	Prbh.g_01406
OG0000008	Prbe.g_00037	Prbh.g_01405
OG0000009	Prbe.g_00216	Prbh.g_00377
OG0000010	Prbe.g_00096	Prbh.g_00848
OG0000010	Prbe.g_01411	Prbh.g_01143
OG0000010	Prbe.g_00659	Prbh.g_00357
OG0000012	Prbe.g_00511	Prbh.g_01460
OG0000013	Prbe.g_01879	Prbh.g_00452
OG0000014	Prbe.g_01861	Prbh.g_00472
OG0000015	Prbe.g_01046, Prbe.g_01000	Prbh.g_01869
OG0000016	Prbe.g_01607	Prbh.g_01336
OG0000017	Prbe.g_00529	Prbh.g_00225
OG0000017	Prbe.g_00536	Prbh.g_00232
OG0000018	Prbe.g_01571	Prbh.g_01305
OG0000018	Prbe.g_01250	Prbh.g_00981
OG0000019	Prbe.g_01802	Prbh.g_00530
OG0000019	Prbe.g_01573	Prbh.g_01307
OG0000020	Prbe.g_00204	Prbh.g_00202
OG0000020	Prbe.g_00018	Prbh.g_01898
OG0000021	Prbe.g_00203	Prbh.g_00203
OG0000021	Prbe.g_01208	Prbh.g_00938
OG0000022	Prbe.g_00220	Prbh.g_00190
OG0000023	Prbe.g_00062	Prbh.g_00833
OG0000024	Prbe.g_01415	Prbh.g_01147
OG0000024	Prbe.g_00449	Prbh.g_00909
OG0000025	Prbe.g_01258	Prbh.g_00988
OG0000026	Prbe.g_00132	Prbh.g_00749
OG0000028	Prbe.g_00034	Prbh.g_00404
OG0000029	Prbe.g_01091	Prbh.g_01691
OG0000029	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133	Prbh.g_01885
OG0000030	Prbe.g_00763	Prbh.g_01570
OG0000031	Prbe.g_00352	Prbh.g_00064
OG0000032	Prbe.g_00272	Prbh.g_00138
OG0000033	Prbe.g_01717	Prbh.g_00613
OG0000034	Prbe.g_00882	Prbh.g_01383
OG0000035	Prbe.g_00311	Prbh.g_00099
OG0000037	Prbe.g_01651	Prbh.g_00674
OG0000038	Prbe.g_01156	Prbh.g_01530
OG0000039	Prbe.g_00461	Prbh.g_00921
OG0000041	Prbe.g_00938	Prbh.g_01734
OG0000042	Prbe.g_00766	Prbh.g_01573
