Orthogroup	Prbe	Syap
OG0000004	Prbe.g_01784	Syap.g_01987
OG0000005	Prbe.g_00228	Syap.g_01218
OG0000007	Prbe.g_00636	Syap.g_00275
OG0000007	Prbe.g_00985	Syap.g_00621
OG0000010	Prbe.g_00096, Prbe.g_01411, Prbe.g_00659	Syap.g_02757
OG0000013	Prbe.g_01879	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prbe.g_01861	Syap.g_01675
OG0000016	Prbe.g_01607	Syap.g_00404
OG0000017	Prbe.g_00536	Syap.g_00449
OG0000018	Prbe.g_01571, Prbe.g_01250	Syap.g_02010
OG0000019	Prbe.g_01802, Prbe.g_01573	Syap.g_01586
OG0000025	Prbe.g_01258	Syap.g_01846
OG0000027	Prbe.g_01121, Prbe.g_00012	Syap.g_01440
OG0000028	Prbe.g_00034	Syap.g_01658
OG0000030	Prbe.g_00763	Syap.g_00787, Syap.g_00788
OG0000031	Prbe.g_00352	Syap.g_00722
OG0000033	Prbe.g_00345, Prbe.g_01717	Syap.g_01198
OG0000034	Prbe.g_00882	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prbe.g_00311	Syap.g_02465
OG0000037	Prbe.g_01651	Syap.g_02492
OG0000038	Prbe.g_01156	Syap.g_00139
OG0000039	Prbe.g_00461	Syap.g_01749, Syap.g_01748
OG0000042	Prbe.g_00766	Syap.g_01891, Syap.g_01120
OG0000043	Prbe.g_01570	Syap.g_01998
OG0000045	Prbe.g_01593	Syap.g_02525
OG0000046	Prbe.g_01880	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Prbe.g_00906, Prbe.g_01825	Syap.g_02340
OG0000051	Prbe.g_00720	Syap.g_01574
OG0000053	Prbe.g_01040, Prbe.g_00290	Syap.g_02006
OG0000054	Prbe.g_00527	Syap.g_00678
OG0000059	Prbe.g_01094	Syap.g_01082, Syap.g_02478
OG0000061	Prbe.g_01549	Syap.g_00228
OG0000062	Prbe.g_00226	Syap.g_01220, Syap.g_01365
OG0000063	Prbe.g_00021	Syap.g_01796
OG0000066	Prbe.g_00596, Prbe.g_01114	Syap.g_01972
OG0000067	Prbe.g_01222	Syap.g_00194
OG0000068	Prbe.g_00373	Syap.g_00108, Syap.g_00144
OG0000070	Prbe.g_01948	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000072	Prbe.g_01719	Syap.g_00555
OG0000073	Prbe.g_00633	Syap.g_00273
OG0000075	Prbe.g_00800	Syap.g_01064, Syap.g_00664
OG0000076	Prbe.g_00774	Syap.g_01111
OG0000079	Prbe.g_01805	Syap.g_01589
OG0000085	Prbe.g_00993, Prbe.g_00007	Syap.g_00611
OG0000087	Prbe.g_01683	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prbe.g_01714	Syap.g_01202
OG0000089	Prbe.g_01915	Syap.g_00115, Syap.g_02042
OG0000090	Prbe.g_00602	Syap.g_01451
OG0000091	Prbe.g_01477	Syap.g_01861
OG0000095	Prbe.g_01297	Syap.g_01556
OG0000098	Prbe.g_00397	Syap.g_01975
OG0000099	Prbe.g_00350	Syap.g_01385
OG0000101	Prbe.g_00836	Syap.g_00472
OG0000102	Prbe.g_00769	Syap.g_01116
OG0000103	Prbe.g_01195	Syap.g_02607, Syap.g_02608
OG0000104	Prbe.g_01061	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prbe.g_01828	Syap.g_01369, Syap.g_01368
OG0000107	Prbe.g_00921	Syap.g_02496
OG0000108	Prbe.g_00653	Syap.g_00733, Syap.g_02255
OG0000109	Prbe.g_00639	Syap.g_00279, Syap.g_02237
OG0000110	Prbe.g_00560	Syap.g_01313
OG0000111	Prbe.g_01207	Syap.g_01566, Syap.g_01568
OG0000112	Prbe.g_00487	Syap.g_02023
OG0000113	Prbe.g_01245	Syap.g_02714
OG0000114	Prbe.g_00417	Syap.g_01255
OG0000115	Prbe.g_01618	Syap.g_02004
OG0000116	Prbe.g_01560	Syap.g_00241
OG0000117	Prbe.g_01522	Syap.g_01889
OG0000118	Prbe.g_00880	Syap.g_02286
OG0000120	Prbe.g_00353	Syap.g_02075
OG0000121	Prbe.g_00309	Syap.g_02471
OG0000123	Prbe.g_00829	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prbe.g_00745	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prbe.g_01158	Syap.g_01046, Syap.g_01047
OG0000126	Prbe.g_01060	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000128	Prbe.g_01076	Syap.g_00069
OG0000129	Prbe.g_00145	Syap.g_00130, Syap.g_00129
OG0000130	Prbe.g_00174	Syap.g_01688, Syap.g_01689
OG0000131	Prbe.g_01692	Syap.g_02189
OG0000132	Prbe.g_01712	Syap.g_01205
OG0000133	Prbe.g_01875	Syap.g_02017
OG0000134	Prbe.g_01917	Syap.g_02047
OG0000135	Prbe.g_00911	Syap.g_02090
OG0000136	Prbe.g_01939	Syap.g_00089
OG0000137	Prbe.g_00658	Syap.g_02756
OG0000138	Prbe.g_00638	Syap.g_00278
OG0000139	Prbe.g_00598	Syap.g_00410
OG0000140	Prbe.g_00597	Syap.g_01976
OG0000141	Prbe.g_00526	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prbe.g_01485	Syap.g_00895, Syap.g_00894
OG0000143	Prbe.g_01481	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prbe.g_01467	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prbe.g_00909	Syap.g_01860, Syap.g_01859
OG0000146	Prbe.g_00488	Syap.g_02024
OG0000147	Prbe.g_00489	Syap.g_02025
OG0000148	Prbe.g_01239	Syap.g_02720
OG0000149	Prbe.g_01271	Syap.g_00824
OG0000150	Prbe.g_01281	Syap.g_01540
OG0000151	Prbe.g_00427	Syap.g_00142
OG0000152	Prbe.g_01350	Syap.g_02012
OG0000153	Prbe.g_01369	Syap.g_02682
OG0000154	Prbe.g_01389	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Prbe.g_01528	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Prbe.g_00904	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Prbe.g_00903	Syap.g_00249, Syap.g_00286
OG0000158	Prbe.g_00792	Syap.g_01075
OG0000159	Prbe.g_00165	Syap.g_00852
OG0000160	Prbe.g_00310	Syap.g_02470, Syap.g_02469
OG0000161	Prbe.g_00304	Syap.g_02476
OG0000162	Prbe.g_00298	Syap.g_02531
OG0000164	Prbe.g_00961	Syap.g_01391, Syap.g_01392
OG0000165	Prbe.g_00954	Syap.g_01381, Syap.g_01382
OG0000166	Prbe.g_01083	Syap.g_00512, Syap.g_01238
OG0000167	Prbe.g_00802	Syap.g_02080
OG0000168	Prbe.g_00791	Syap.g_01076
OG0000169	Prbe.g_00781	Syap.g_01049, Syap.g_01093
OG0000170	Prbe.g_00778	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Prbe.g_00758	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Prbe.g_00751	Syap.g_01143, Syap.g_00635
OG0000173	Prbe.g_01143	Syap.g_00982, Syap.g_00983
OG0000174	Prbe.g_01173	Syap.g_02092
OG0000175	Prbe.g_01186	Syap.g_02654
OG0000176	Prbe.g_01069	Syap.g_00059
OG0000177	Prbe.g_01070	Syap.g_00061, Syap.g_00060
OG0000178	Prbe.g_01071	Syap.g_00062
OG0000179	Prbe.g_00116	Syap.g_00077, Syap.g_02638
OG0000180	Prbe.g_00117	Syap.g_00078, Syap.g_02640
OG0000181	Prbe.g_00118	Syap.g_00079, Syap.g_02641
OG0000182	Prbe.g_00119	Syap.g_00080, Syap.g_02642
OG0000183	Prbe.g_00123	Syap.g_00084
OG0000184	Prbe.g_00149	Syap.g_01337
OG0000185	Prbe.g_00152	Syap.g_01322
OG0000186	Prbe.g_00168	Syap.g_01684
OG0000187	Prbe.g_00169	Syap.g_01686
OG0000188	Prbe.g_00186	Syap.g_02547
OG0000191	Prbe.g_01661	Syap.g_02233
OG0000192	Prbe.g_01666	Syap.g_02224
OG0000193	Prbe.g_01693	Syap.g_02187, Syap.g_02188
OG0000194	Prbe.g_01696	Syap.g_02183
OG0000195	Prbe.g_01698	Syap.g_02180
OG0000196	Prbe.g_01709	Syap.g_01208, Syap.g_02167
OG0000197	Prbe.g_01710	Syap.g_01207, Syap.g_02166
OG0000198	Prbe.g_01711	Syap.g_01206
OG0000199	Prbe.g_01718	Syap.g_01197
OG0000200	Prbe.g_01732	Syap.g_01181
OG0000201	Prbe.g_01741	Syap.g_02265
OG0000202	Prbe.g_01742	Syap.g_02264
OG0000203	Prbe.g_01743	Syap.g_01601
OG0000204	Prbe.g_01744	Syap.g_01602
OG0000205	Prbe.g_01751	Syap.g_01616
OG0000206	Prbe.g_01756	Syap.g_01628
OG0000207	Prbe.g_01759	Syap.g_01426, Syap.g_00424
OG0000208	Prbe.g_01760	Syap.g_00426, Syap.g_01425
OG0000209	Prbe.g_01769	Syap.g_01906
OG0000210	Prbe.g_01770	Syap.g_01905
OG0000211	Prbe.g_01785	Syap.g_01160
OG0000212	Prbe.g_01793	Syap.g_02664
OG0000213	Prbe.g_01811	Syap.g_00107, Syap.g_01599
OG0000214	Prbe.g_01821	Syap.g_02344, Syap.g_02345
OG0000215	Prbe.g_01848	Syap.g_01347, Syap.g_01629
OG0000216	Prbe.g_01849	Syap.g_01634
OG0000217	Prbe.g_01852	Syap.g_01638
OG0000218	Prbe.g_01854	Syap.g_01641, Syap.g_01640
OG0000219	Prbe.g_01855	Syap.g_01642, Syap.g_01643
OG0000220	Prbe.g_01856	Syap.g_01645
OG0000221	Prbe.g_01857	Syap.g_01646
OG0000222	Prbe.g_01864	Syap.g_01669
OG0000223	Prbe.g_01876	Syap.g_02072, Syap.g_02073
OG0000224	Prbe.g_01878	Syap.g_02064
OG0000225	Prbe.g_01904	Syap.g_00553, Syap.g_00552
OG0000226	Prbe.g_01908	Syap.g_02029, Syap.g_02144
OG0000227	Prbe.g_01910	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Prbe.g_01914	Syap.g_00116, Syap.g_02041
OG0000229	Prbe.g_01934	Syap.g_02059
OG0000230	Prbe.g_01936	Syap.g_02061
OG0000231	Prbe.g_01947	Syap.g_02533
OG0000232	Prbe.g_00672	Syap.g_02510, Syap.g_02511
OG0000233	Prbe.g_00666	Syap.g_02133
OG0000234	Prbe.g_00657	Syap.g_02755
OG0000235	Prbe.g_00654	Syap.g_00732, Syap.g_02258
OG0000236	Prbe.g_00640	Syap.g_02238
OG0000237	Prbe.g_00627	Syap.g_00262, Syap.g_00263
OG0000238	Prbe.g_00621	Syap.g_00257, Syap.g_00258
OG0000239	Prbe.g_00610	Syap.g_02744
OG0000240	Prbe.g_00609	Syap.g_02742
OG0000241	Prbe.g_00605	Syap.g_00888
OG0000242	Prbe.g_00603	Syap.g_01455
OG0000243	Prbe.g_00592	Syap.g_01938
OG0000244	Prbe.g_00589	Syap.g_01146, Syap.g_01145
