Orthogroup	Prae	Prbh
OG0000000	Prae.g_01310	Prbh.g_01853
OG0000000	Prae.g_01580	Prbh.g_01903
OG0000002	Prae.g_01361	Prbh.g_01016, Prbh.g_01022
OG0000002	Prae.g_00652	Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912
OG0000004	Prae.g_00669	Prbh.g_00933
OG0000004	Prae.g_00235	Prbh.g_00548
OG0000005	Prae.g_01535	Prbh.g_00182
OG0000006	Prae.g_00244	Prbh.g_00538
OG0000007	Prae.g_00471	Prbh.g_00334
OG0000007	Prae.g_01623	Prbh.g_01782
OG0000009	Prae.g_01270	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841
OG0000010	Prae.g_00448	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357
OG0000011	Prae.g_01245	Prbh.g_01835
OG0000012	Prae.g_00597	Prbh.g_01460
OG0000013	Prae.g_00328	Prbh.g_00452
OG0000014	Prae.g_00307	Prbh.g_00472
OG0000015	Prae.g_00769, Prae.g_01235	Prbh.g_00840, Prbh.g_01869
OG0000017	Prae.g_00572	Prbh.g_00232
OG0000018	Prae.g_01144	Prbh.g_01305
OG0000018	Prae.g_00833	Prbh.g_00981
OG0000019	Prae.g_00252	Prbh.g_00530
OG0000019	Prae.g_00786	Prbh.g_01307
OG0000020	Prae.g_01107	Prbh.g_00202
OG0000021	Prae.g_01600, Prae.g_00364	Prbh.g_00203
OG0000022	Prae.g_00764	Prbh.g_00190
OG0000023	Prae.g_00359	Prbh.g_00833
OG0000024	Prae.g_00748	Prbh.g_01147
OG0000024	Prae.g_00649	Prbh.g_00909
OG0000025	Prae.g_00840, Prae.g_00332	Prbh.g_00988
OG0000026	Prae.g_01056	Prbh.g_00749
OG0000028	Prae.g_00321	Prbh.g_00459
OG0000029	Prae.g_00375	Prbh.g_01691
OG0000029	Prae.g_00755	Prbh.g_01885
OG0000030	Prae.g_01825	Prbh.g_01570
OG0000031	Prae.g_01402, Prae.g_01391	Prbh.g_00064
OG0000033	Prae.g_00172	Prbh.g_00613
OG0000034	Prae.g_01339	Prbh.g_01383
OG0000035	Prae.g_01459	Prbh.g_00096
OG0000037	Prae.g_00108	Prbh.g_00674
OG0000038	Prae.g_01865	Prbh.g_01530
