Orthogroup	Prae	Syan
OG0000004	Prae.g_00669	Syan.g_00183
OG0000004	Prae.g_00235	Syan.g_00989
OG0000005	Prae.g_01636	Syan.g_01423
OG0000005	Prae.g_01535	Syan.g_01378
OG0000006	Prae.g_00244	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Prae.g_00471	Syan.g_02743
OG0000007	Prae.g_01623	Syan.g_01400
OG0000009	Prae.g_01270, Prae.g_01572	Syan.g_02972
OG0000010	Prae.g_01048, Prae.g_00448	Syan.g_02847
OG0000012	Prae.g_00597	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000013	Prae.g_00328	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Prae.g_00307	Syan.g_01987
OG0000016	Prae.g_00013	Syan.g_01766
OG0000017	Prae.g_00572	Syan.g_01006
OG0000018	Prae.g_01144, Prae.g_00833	Syan.g_02816
OG0000019	Prae.g_00252, Prae.g_00786	Syan.g_02088
OG0000021	Prae.g_01600, Prae.g_00364	Syan.g_01001
OG0000022	Prae.g_00764, Prae.g_01125	Syan.g_00089
OG0000023	Prae.g_00359	Syan.g_00404
OG0000025	Prae.g_00840, Prae.g_00332	Syan.g_00374
OG0000026	Prae.g_00031, Prae.g_01056	Syan.g_01743
OG0000027	Prae.g_00444, Prae.g_01311	Syan.g_02678
OG0000028	Prae.g_00321	Syan.g_01971
OG0000030	Prae.g_01825	Syan.g_01884, Syan.g_01883
OG0000033	Prae.g_01396, Prae.g_00172	Syan.g_03036
OG0000034	Prae.g_01339	Syan.g_01227, Syan.g_03003
OG0000035	Prae.g_01459	Syan.g_01276
OG0000037	Prae.g_00108	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Prae.g_01865	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Prae.g_00660	Syan.g_02771, Syan.g_00535
OG0000041	Prae.g_01669	Syan.g_01465
OG0000042	Prae.g_01822	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000045	Prae.g_00371	Syan.g_00086, Syan.g_00151
OG0000048	Prae.g_00374	Syan.g_02036
OG0000053	Prae.g_01479	Syan.g_02812
OG0000054	Prae.g_00580	Syan.g_02503
OG0000055	Prae.g_00787	Syan.g_00312
OG0000058	Prae.g_01406	Syan.g_01128, Syan.g_01124
OG0000060	Prae.g_01238	Syan.g_00277
OG0000061	Prae.g_01422, Prae.g_01163	Syan.g_02696
OG0000062	Prae.g_01537	Syan.g_00098
OG0000063	Prae.g_00033	Syan.g_01739
OG0000065	Prae.g_00106	Syan.g_02974
OG0000066	Prae.g_00514	Syan.g_01156
OG0000067	Prae.g_00806	Syan.g_00690
OG0000068	Prae.g_01368	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Prae.g_01573	Syan.g_00278
OG0000070	Prae.g_00424	Syan.g_00289
OG0000071	Prae.g_01329	Syan.g_01213
OG0000072	Prae.g_00174	Syan.g_03038, Syan.g_02999
OG0000073	Prae.g_00473	Syan.g_02741
OG0000075	Prae.g_01791	Syan.g_00981, Syan.g_01937
OG0000076	Prae.g_01815	Syan.g_01896
OG0000079	Prae.g_00255	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Prae.g_00559	Syan.g_00952
OG0000085	Prae.g_01616	Syan.g_01387
OG0000086	Prae.g_00088	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Prae.g_00139	Syan.g_02268
OG0000088	Prae.g_00169	Syan.g_03031
OG0000089	Prae.g_00355	Syan.g_02316
OG0000090	Prae.g_00508	Syan.g_01166
OG0000091	Prae.g_00616	Syan.g_00235, Syan.g_00808
OG0000092	Prae.g_00913	Syan.g_02502
OG0000094	Prae.g_01021	Syan.g_00353, Syan.g_00065
OG0000097	Prae.g_01204	Syan.g_00160, Syan.g_00733
OG0000098	Prae.g_01350	Syan.g_00043
OG0000099	Prae.g_01390	Syan.g_01968
OG0000100	Prae.g_01533	Syan.g_00658
OG0000101	Prae.g_01758	Syan.g_02199
OG0000102	Prae.g_01820	Syan.g_01891
OG0000103	Prae.g_01899	Syan.g_01692
OG0000104	Prae.g_01907	Syan.g_01792
OG0000105	Prae.g_01440	Syan.g_02031
OG0000106	Prae.g_00370	Syan.g_00076
OG0000107	Prae.g_00385	Syan.g_02106
OG0000108	Prae.g_00454	Syan.g_02764
OG0000109	Prae.g_00468	Syan.g_02748
OG0000110	Prae.g_00549	Syan.g_00882
OG0000111	Prae.g_00673	Syan.g_00187
OG0000112	Prae.g_00770	Syan.g_00556, Syan.g_00252
OG0000113	Prae.g_00828	Syan.g_00664
OG0000114	Prae.g_00908	Syan.g_00741
OG0000115	Prae.g_01102	Syan.g_02810
OG0000116	Prae.g_01153	Syan.g_02710, Syan.g_00460
OG0000117	Prae.g_01263	Syan.g_02644
OG0000118	Prae.g_01341	Syan.g_01241, Syan.g_01237
OG0000119	Prae.g_01364	Syan.g_02672
OG0000120	Prae.g_01389	Syan.g_01966
OG0000121	Prae.g_01461	Syan.g_01273
OG0000123	Prae.g_01766	Syan.g_02190
OG0000124	Prae.g_01831	Syan.g_01873
OG0000125	Prae.g_01867	Syan.g_01573
OG0000126	Prae.g_01906	Syan.g_01705
OG0000128	Prae.g_00011	Syan.g_01768
OG0000129	Prae.g_00046	Syan.g_01563
OG0000130	Prae.g_00069	Syan.g_02906, Syan.g_02907
OG0000131	Prae.g_00148	Syan.g_03008
OG0000132	Prae.g_00167	Syan.g_03029
OG0000133	Prae.g_00323	Syan.g_00561
OG0000134	Prae.g_00356	Syan.g_02319
OG0000135	Prae.g_00382	Syan.g_01616
OG0000136	Prae.g_00415	Syan.g_01342
OG0000137	Prae.g_00449	Syan.g_02846
OG0000138	Prae.g_00469	Syan.g_02747
OG0000140	Prae.g_00513	Syan.g_00042
OG0000141	Prae.g_00581	Syan.g_01032
OG0000142	Prae.g_00609	Syan.g_00816
OG0000143	Prae.g_00613	Syan.g_00812
OG0000144	Prae.g_00626	Syan.g_00782
OG0000145	Prae.g_00766	Syan.g_02740
OG0000146	Prae.g_00771	Syan.g_00555, Syan.g_00253
OG0000147	Prae.g_00772	Syan.g_00254, Syan.g_00554
OG0000148	Prae.g_00822	Syan.g_00670
OG0000149	Prae.g_00852	Syan.g_00393
OG0000150	Prae.g_00860	Syan.g_01031
OG0000151	Prae.g_00918	Syan.g_00731
OG0000152	Prae.g_00964	Syan.g_00565
OG0000153	Prae.g_00983	Syan.g_00601
OG0000154	Prae.g_01014	Syan.g_00363
OG0000155	Prae.g_01183	Syan.g_02654
OG0000156	Prae.g_01317	Syan.g_02717
OG0000157	Prae.g_01318	Syan.g_02718
OG0000158	Prae.g_01426	Syan.g_01078, Syan.g_01926
OG0000159	Prae.g_01438	Syan.g_01120
OG0000160	Prae.g_01460	Syan.g_01274
OG0000161	Prae.g_01466	Syan.g_01268
OG0000162	Prae.g_01472	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Prae.g_01506	Syan.g_02405
OG0000164	Prae.g_01647	Syan.g_01440
OG0000165	Prae.g_01654	Syan.g_01448
OG0000166	Prae.g_01722	Syan.g_02239
OG0000167	Prae.g_01789	Syan.g_01941
OG0000168	Prae.g_01799	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Prae.g_01809	Syan.g_01912
OG0000170	Prae.g_01811	Syan.g_01901
OG0000171	Prae.g_01830	Syan.g_01875
OG0000172	Prae.g_01838	Syan.g_01810
OG0000173	Prae.g_01853	Syan.g_01720
OG0000174	Prae.g_01881	Syan.g_01619
OG0000175	Prae.g_01891	Syan.g_01678, Syan.g_00258
OG0000176	Prae.g_00004	Syan.g_01801
OG0000177	Prae.g_00005	Syan.g_01775
OG0000178	Prae.g_00006	Syan.g_01774
OG0000179	Prae.g_00016	Syan.g_01759
OG0000180	Prae.g_00017	Syan.g_01758
OG0000181	Prae.g_00018	Syan.g_01757
OG0000182	Prae.g_00019	Syan.g_01756
OG0000183	Prae.g_00023	Syan.g_01752
OG0000184	Prae.g_00048	Syan.g_01549
OG0000185	Prae.g_00051	Syan.g_01540
OG0000186	Prae.g_00064	Syan.g_02902
OG0000187	Prae.g_00065	Syan.g_02904
OG0000188	Prae.g_00082	Syan.g_02926
OG0000189	Prae.g_00096	Syan.g_02966
OG0000190	Prae.g_00097	Syan.g_00971
OG0000191	Prae.g_00117	Syan.g_02300
OG0000192	Prae.g_00121	Syan.g_02294
OG0000193	Prae.g_00149	Syan.g_03009
OG0000194	Prae.g_00152	Syan.g_03012
OG0000195	Prae.g_00154	Syan.g_03014
OG0000196	Prae.g_00164	Syan.g_03026
OG0000197	Prae.g_00165	Syan.g_03027
OG0000198	Prae.g_00166	Syan.g_03028
OG0000199	Prae.g_00173	Syan.g_03037
OG0000200	Prae.g_00187	Syan.g_03055
OG0000201	Prae.g_00195	Syan.g_03074
OG0000202	Prae.g_00196	Syan.g_03075
OG0000203	Prae.g_00197	Syan.g_03076
OG0000204	Prae.g_00198	Syan.g_03077
OG0000205	Prae.g_00205	Syan.g_03087
OG0000206	Prae.g_00210	Syan.g_03095
OG0000207	Prae.g_00212	Syan.g_03100
OG0000208	Prae.g_00213	Syan.g_03101
OG0000209	Prae.g_00222	Syan.g_01521
OG0000210	Prae.g_00223	Syan.g_01522
OG0000211	Prae.g_00236	Syan.g_02416
OG0000212	Prae.g_00243	Syan.g_01508, Syan.g_02438
OG0000213	Prae.g_00260	Syan.g_02059
OG0000214	Prae.g_00270	Syan.g_02040
OG0000215	Prae.g_00293	Syan.g_02010
OG0000216	Prae.g_00295	Syan.g_02006
OG0000217	Prae.g_00298	Syan.g_02001
OG0000218	Prae.g_00300	Syan.g_01999
OG0000219	Prae.g_00301	Syan.g_01998
OG0000220	Prae.g_00302	Syan.g_01997
OG0000221	Prae.g_00303	Syan.g_01994
OG0000222	Prae.g_00311	Syan.g_01981
OG0000223	Prae.g_00324	Syan.g_00228
OG0000224	Prae.g_00326	Syan.g_01959
OG0000225	Prae.g_00345	Syan.g_02997
OG0000226	Prae.g_00349	Syan.g_02990
OG0000227	Prae.g_00351	Syan.g_02988
OG0000228	Prae.g_00354	Syan.g_02315
OG0000229	Prae.g_00410	Syan.g_02396
OG0000230	Prae.g_00412	Syan.g_02398
OG0000231	Prae.g_00423	Syan.g_01333
OG0000232	Prae.g_00432	Syan.g_02801
OG0000233	Prae.g_00437	Syan.g_02876
OG0000234	Prae.g_00450	Syan.g_02844
OG0000235	Prae.g_00453	Syan.g_02765
OG0000236	Prae.g_00467	Syan.g_02749
OG0000237	Prae.g_00480	Syan.g_02731
OG0000238	Prae.g_00486	Syan.g_02726
OG0000239	Prae.g_00499	Syan.g_01187
OG0000240	Prae.g_00500	Syan.g_01186
OG0000241	Prae.g_00504	Syan.g_00822
OG0000242	Prae.g_00506	Syan.g_01168
OG0000243	Prae.g_00518	Syan.g_00840
OG0000244	Prae.g_00521	Syan.g_00848
OG0000245	Prae.g_00523	Syan.g_00850
OG0000246	Prae.g_00527	Syan.g_00854
OG0000247	Prae.g_00537	Syan.g_00866
OG0000248	Prae.g_00539	Syan.g_00869
OG0000249	Prae.g_00541	Syan.g_00871
OG0000250	Prae.g_00546	Syan.g_00878
OG0000251	Prae.g_00565	Syan.g_00961
OG0000252	Prae.g_00568	Syan.g_00966
OG0000253	Prae.g_00569	Syan.g_01000
OG0000254	Prae.g_00585	Syan.g_01026
OG0000255	Prae.g_00591	Syan.g_00978
OG0000256	Prae.g_00601	Syan.g_00001, Syan.g_01135
OG0000257	Prae.g_00604	Syan.g_00827
OG0000258	Prae.g_00617	Syan.g_00803
OG0000259	Prae.g_00634	Syan.g_00772
OG0000260	Prae.g_00637	Syan.g_00769
OG0000261	Prae.g_00639	Syan.g_00765
OG0000262	Prae.g_00643	Syan.g_00760
OG0000263	Prae.g_00655	Syan.g_02618
OG0000264	Prae.g_00665	Syan.g_00540
OG0000266	Prae.g_00721	Syan.g_00330
OG0000267	Prae.g_00732	Syan.g_00470
OG0000268	Prae.g_00733	Syan.g_00471
OG0000269	Prae.g_00801	Syan.g_00695
OG0000270	Prae.g_00804	Syan.g_00692
OG0000271	Prae.g_00812	Syan.g_00684
OG0000272	Prae.g_00813	Syan.g_00683
OG0000273	Prae.g_00836	Syan.g_00654
OG0000274	Prae.g_00837	Syan.g_00653
OG0000275	Prae.g_00839	Syan.g_00373
OG0000276	Prae.g_00844	Syan.g_00380
OG0000277	Prae.g_00845	Syan.g_00381
OG0000278	Prae.g_00848	Syan.g_00384
OG0000279	Prae.g_00855	Syan.g_00398
OG0000280	Prae.g_00856	Syan.g_00518
OG0000282	Prae.g_00910	Syan.g_00739
OG0000283	Prae.g_00941	Syan.g_00491
OG0000284	Prae.g_00946	Syan.g_00497
OG0000285	Prae.g_00951	Syan.g_00533
OG0000286	Prae.g_00963	Syan.g_00564
OG0000287	Prae.g_00980	Syan.g_00593
OG0000288	Prae.g_01013	Syan.g_00364
OG0000289	Prae.g_01024	Syan.g_00350
OG0000290	Prae.g_01037	Syan.g_00293
OG0000291	Prae.g_01039	Syan.g_00291
OG0000292	Prae.g_01090	Syan.g_01703
OG0000293	Prae.g_01154	Syan.g_02709
OG0000294	Prae.g_01155	Syan.g_02708
OG0000295	Prae.g_01175	Syan.g_02662
OG0000296	Prae.g_01177	Syan.g_02660
OG0000299	Prae.g_01203	Syan.g_02601
OG0000301	Prae.g_01207	Syan.g_02592
OG0000302	Prae.g_01209	Syan.g_02591
OG0000303	Prae.g_01216	Syan.g_02582
OG0000304	Prae.g_01220	Syan.g_02556
OG0000305	Prae.g_01360	Syan.g_00195
OG0000306	Prae.g_01363	Syan.g_00087
OG0000307	Prae.g_01377	Syan.g_02782
OG0000308	Prae.g_01378	Syan.g_02784
OG0000309	Prae.g_01382	Syan.g_02883
OG0000310	Prae.g_01444	Syan.g_01304
OG0000311	Prae.g_01446	Syan.g_01299
OG0000312	Prae.g_01449	Syan.g_01290
OG0000313	Prae.g_01463	Syan.g_01271
OG0000314	Prae.g_01486	Syan.g_02823
OG0000315	Prae.g_01496	Syan.g_02833
OG0000316	Prae.g_01516	Syan.g_01354
OG0000317	Prae.g_01621	Syan.g_01396
OG0000318	Prae.g_01624	Syan.g_01401
OG0000319	Prae.g_01637	Syan.g_01425
OG0000320	Prae.g_01639	Syan.g_01427
OG0000321	Prae.g_01640	Syan.g_01428
OG0000322	Prae.g_01641	Syan.g_01429
OG0000323	Prae.g_01650	Syan.g_01442
OG0000324	Prae.g_01676	Syan.g_01472
OG0000325	Prae.g_01687	Syan.g_02107
OG0000326	Prae.g_01693	Syan.g_02114
OG0000327	Prae.g_01717	Syan.g_02244
OG0000328	Prae.g_01718	Syan.g_02243
OG0000329	Prae.g_01735	Syan.g_02225
OG0000330	Prae.g_01736	Syan.g_02224
OG0000331	Prae.g_01737	Syan.g_02223
OG0000332	Prae.g_01751	Syan.g_02208
OG0000333	Prae.g_01753	Syan.g_02205
OG0000334	Prae.g_01761	Syan.g_00247, Syan.g_02194
OG0000335	Prae.g_01767	Syan.g_02189
OG0000336	Prae.g_01771	Syan.g_02185
OG0000337	Prae.g_01787	Syan.g_01949
OG0000338	Prae.g_01788	Syan.g_01943
OG0000339	Prae.g_01792	Syan.g_01935, Syan.g_00264
OG0000340	Prae.g_01800	Syan.g_01923
OG0000341	Prae.g_01802	Syan.g_01921
OG0000342	Prae.g_01803	Syan.g_01920
OG0000343	Prae.g_01804	Syan.g_01918
OG0000344	Prae.g_01807	Syan.g_01914
OG0000345	Prae.g_01812	Syan.g_01900
OG0000346	Prae.g_01816	Syan.g_01895
OG0000347	Prae.g_01832	Syan.g_01867
OG0000348	Prae.g_01841	Syan.g_01803
OG0000349	Prae.g_01858	Syan.g_01727
OG0000350	Prae.g_01877	Syan.g_02121
OG0000351	Prae.g_01894	Syan.g_01682
OG0000352	Prae.g_01895	Syan.g_01683
OG0000353	Prae.g_01910	Syan.g_01795
OG0000354	Prae.g_00689	Syan.g_01761
OG0000355	Prae.g_00001	Syan.g_01797
OG0000356	Prae.g_00002	Syan.g_01798
OG0000357	Prae.g_00003	Syan.g_01800
OG0000358	Prae.g_00007	Syan.g_01773
OG0000359	Prae.g_00008	Syan.g_01771
OG0000360	Prae.g_00009	Syan.g_01770
OG0000361	Prae.g_00010	Syan.g_01769
OG0000362	Prae.g_00012	Syan.g_01767
OG0000363	Prae.g_00014	Syan.g_01765
OG0000364	Prae.g_00015	Syan.g_01398
OG0000365	Prae.g_00020	Syan.g_01755
OG0000366	Prae.g_00021	Syan.g_01754
OG0000367	Prae.g_00022	Syan.g_01753
OG0000368	Prae.g_00024	Syan.g_01751
OG0000369	Prae.g_00025	Syan.g_01750
OG0000370	Prae.g_00026	Syan.g_01749
OG0000371	Prae.g_00032	Syan.g_01740
OG0000372	Prae.g_00035	Syan.g_01734
OG0000373	Prae.g_00036	Syan.g_01733
OG0000374	Prae.g_00037	Syan.g_01732
OG0000375	Prae.g_00042	Syan.g_01731
OG0000376	Prae.g_00044	Syan.g_01729
OG0000377	Prae.g_00047	Syan.g_01555
OG0000378	Prae.g_00049	Syan.g_01543
OG0000379	Prae.g_00052	Syan.g_01539
OG0000380	Prae.g_00066	Syan.g_02905
OG0000381	Prae.g_00070	Syan.g_02908
OG0000382	Prae.g_00081	Syan.g_02925
OG0000383	Prae.g_00083	Syan.g_02936
OG0000384	Prae.g_00084	Syan.g_02937
OG0000385	Prae.g_00085	Syan.g_02938
OG0000386	Prae.g_00086	Syan.g_02939
OG0000387	Prae.g_00099	Syan.g_00967
OG0000388	Prae.g_00102	Syan.g_02970
OG0000389	Prae.g_00105	Syan.g_02973
OG0000390	Prae.g_00112	Syan.g_02306
OG0000391	Prae.g_00116	Syan.g_02301
OG0000392	Prae.g_00120	Syan.g_02295
OG0000393	Prae.g_00122	Syan.g_02292
OG0000394	Prae.g_00123	Syan.g_02291
OG0000395	Prae.g_00124	Syan.g_02290
OG0000396	Prae.g_00127	Syan.g_02287
OG0000397	Prae.g_00129	Syan.g_02285
OG0000398	Prae.g_00131	Syan.g_02279
OG0000399	Prae.g_00132	Syan.g_02278
OG0000400	Prae.g_00133	Syan.g_02277
OG0000401	Prae.g_00134	Syan.g_02274
OG0000402	Prae.g_00136	Syan.g_02272
OG0000403	Prae.g_00137	Syan.g_02271
OG0000404	Prae.g_00138	Syan.g_02269
OG0000405	Prae.g_00142	Syan.g_03005
OG0000406	Prae.g_00150	Syan.g_03010
OG0000407	Prae.g_00151	Syan.g_03011
OG0000408	Prae.g_00153	Syan.g_03013
OG0000409	Prae.g_00155	Syan.g_03015
OG0000410	Prae.g_00156	Syan.g_03016
OG0000411	Prae.g_00157	Syan.g_03017
OG0000412	Prae.g_00158	Syan.g_03018
OG0000413	Prae.g_00159	Syan.g_03020
OG0000414	Prae.g_00160	Syan.g_03021
OG0000415	Prae.g_00161	Syan.g_03022
OG0000416	Prae.g_00162	Syan.g_03023
OG0000417	Prae.g_00163	Syan.g_03025
OG0000418	Prae.g_00168	Syan.g_03030
OG0000419	Prae.g_00170	Syan.g_03033
OG0000420	Prae.g_00171	Syan.g_03035
OG0000421	Prae.g_00176	Syan.g_03040
OG0000422	Prae.g_00177	Syan.g_03041
OG0000423	Prae.g_00178	Syan.g_03042
OG0000424	Prae.g_00179	Syan.g_03043
OG0000425	Prae.g_00180	Syan.g_03044
OG0000426	Prae.g_00181	Syan.g_03045
OG0000427	Prae.g_00182	Syan.g_03046
OG0000428	Prae.g_00184	Syan.g_03049
OG0000429	Prae.g_00185	Syan.g_03051
OG0000430	Prae.g_00186	Syan.g_03053
OG0000431	Prae.g_00188	Syan.g_03058
OG0000432	Prae.g_00191	Syan.g_03065
OG0000433	Prae.g_00192	Syan.g_03068
OG0000434	Prae.g_00193	Syan.g_03069
OG0000435	Prae.g_00194	Syan.g_03071
OG0000436	Prae.g_00199	Syan.g_03079
OG0000437	Prae.g_00200	Syan.g_03080
OG0000438	Prae.g_00201	Syan.g_03083
OG0000439	Prae.g_00203	Syan.g_03085
OG0000440	Prae.g_00204	Syan.g_03086
OG0000441	Prae.g_00207	Syan.g_03089
OG0000442	Prae.g_00208	Syan.g_03090
OG0000443	Prae.g_00209	Syan.g_03094
OG0000444	Prae.g_00214	Syan.g_03102
OG0000445	Prae.g_00215	Syan.g_03103
OG0000446	Prae.g_00216	Syan.g_03105
OG0000447	Prae.g_00217	Syan.g_03111
OG0000448	Prae.g_00218	Syan.g_03112
OG0000449	Prae.g_00219	Syan.g_03113
OG0000450	Prae.g_00220	Syan.g_01518
OG0000451	Prae.g_00221	Syan.g_01519
OG0000452	Prae.g_00224	Syan.g_01523
OG0000453	Prae.g_00225	Syan.g_01524
OG0000454	Prae.g_00226	Syan.g_01525
OG0000455	Prae.g_00227	Syan.g_01526
OG0000456	Prae.g_00228	Syan.g_01527
OG0000457	Prae.g_00229	Syan.g_01529
OG0000458	Prae.g_00230	Syan.g_01530
OG0000459	Prae.g_00231	Syan.g_01531
OG0000460	Prae.g_00238	Syan.g_02423
OG0000461	Prae.g_00245	Syan.g_02099
OG0000462	Prae.g_00247	Syan.g_02096
OG0000463	Prae.g_00248	Syan.g_02095
OG0000464	Prae.g_00249	Syan.g_02094
OG0000465	Prae.g_00250	Syan.g_02092
OG0000466	Prae.g_00253	Syan.g_02087
OG0000467	Prae.g_00254	Syan.g_02086
OG0000468	Prae.g_00256	Syan.g_02063
OG0000469	Prae.g_00265	Syan.g_02046
OG0000470	Prae.g_00267	Syan.g_02044
OG0000471	Prae.g_00268	Syan.g_02043
OG0000472	Prae.g_00269	Syan.g_02041
OG0000473	Prae.g_00271	Syan.g_02039
OG0000474	Prae.g_00272	Syan.g_02038
OG0000475	Prae.g_00273	Syan.g_02037
OG0000476	Prae.g_00274	Syan.g_02035
OG0000477	Prae.g_00276	Syan.g_02029
OG0000478	Prae.g_00277	Syan.g_02028
OG0000479	Prae.g_00278	Syan.g_02027
OG0000480	Prae.g_00283	Syan.g_02020
OG0000481	Prae.g_00285	Syan.g_00975
OG0000482	Prae.g_00286	Syan.g_02018
OG0000483	Prae.g_00289	Syan.g_02014
OG0000484	Prae.g_00290	Syan.g_02013
OG0000485	Prae.g_00291	Syan.g_02012
OG0000486	Prae.g_00292	Syan.g_02011
OG0000487	Prae.g_00296	Syan.g_02005
OG0000488	Prae.g_00299	Syan.g_02000
OG0000489	Prae.g_00304	Syan.g_01993
OG0000490	Prae.g_00309	Syan.g_01985
OG0000491	Prae.g_00310	Syan.g_01983
OG0000492	Prae.g_00312	Syan.g_01980
OG0000493	Prae.g_00313	Syan.g_01979
OG0000494	Prae.g_00314	Syan.g_01978
OG0000495	Prae.g_00315	Syan.g_01977
OG0000496	Prae.g_00316	Syan.g_01976
OG0000497	Prae.g_00317	Syan.g_01975
OG0000498	Prae.g_00318	Syan.g_01974
OG0000499	Prae.g_00319	Syan.g_01973
OG0000500	Prae.g_00320	Syan.g_01972
OG0000501	Prae.g_00322	Syan.g_01969
OG0000502	Prae.g_00325	Syan.g_01961
OG0000503	Prae.g_00335	Syan.g_02144
OG0000504	Prae.g_00336	Syan.g_02142
OG0000505	Prae.g_00337	Syan.g_02141
OG0000506	Prae.g_00338	Syan.g_02139
OG0000507	Prae.g_00341	Syan.g_02133
OG0000508	Prae.g_00344	Syan.g_02998
OG0000509	Prae.g_00346	Syan.g_02993
OG0000510	Prae.g_00347	Syan.g_02992
OG0000511	Prae.g_00348	Syan.g_02991
OG0000512	Prae.g_00350	Syan.g_02989
OG0000513	Prae.g_00357	Syan.g_02320
OG0000514	Prae.g_00405	Syan.g_02326
OG0000515	Prae.g_00406	Syan.g_02327
OG0000516	Prae.g_00407	Syan.g_02389
OG0000517	Prae.g_00409	Syan.g_02395
OG0000518	Prae.g_00420	Syan.g_01336
OG0000519	Prae.g_00421	Syan.g_01335
OG0000520	Prae.g_00422	Syan.g_01334
OG0000521	Prae.g_00427	Syan.g_02805
OG0000522	Prae.g_00429	Syan.g_02803
OG0000523	Prae.g_00430	Syan.g_02802
OG0000524	Prae.g_00435	Syan.g_02878
OG0000525	Prae.g_00438	Syan.g_02853
OG0000526	Prae.g_00439	Syan.g_02852
OG0000527	Prae.g_00447	Syan.g_02848
OG0000528	Prae.g_00452	Syan.g_02767
OG0000529	Prae.g_00455	Syan.g_02763
OG0000530	Prae.g_00458	Syan.g_02760
OG0000531	Prae.g_00459	Syan.g_02759
OG0000532	Prae.g_00461	Syan.g_02756
OG0000533	Prae.g_00462	Syan.g_02754
OG0000534	Prae.g_00463	Syan.g_02753
OG0000535	Prae.g_00464	Syan.g_02752
OG0000536	Prae.g_00465	Syan.g_02751
OG0000537	Prae.g_00466	Syan.g_02750
OG0000538	Prae.g_00474	Syan.g_02738
OG0000539	Prae.g_00475	Syan.g_02737
OG0000540	Prae.g_00476	Syan.g_02736
OG0000541	Prae.g_00477	Syan.g_02735
OG0000542	Prae.g_00479	Syan.g_02732
OG0000543	Prae.g_00481	Syan.g_02730
OG0000544	Prae.g_00482	Syan.g_02729
OG0000545	Prae.g_00484	Syan.g_02727
OG0000546	Prae.g_00487	Syan.g_02725
OG0000547	Prae.g_00489	Syan.g_02723
OG0000548	Prae.g_00490	Syan.g_02722
OG0000549	Prae.g_00492	Syan.g_01194
OG0000550	Prae.g_00497	Syan.g_01189
OG0000551	Prae.g_00501	Syan.g_01184
OG0000552	Prae.g_00502	Syan.g_01183
OG0000553	Prae.g_00503	Syan.g_01179
OG0000554	Prae.g_00509	Syan.g_01165
OG0000555	Prae.g_00517	Syan.g_00839
OG0000556	Prae.g_00519	Syan.g_00842
OG0000557	Prae.g_00520	Syan.g_00847
OG0000558	Prae.g_00522	Syan.g_00849
OG0000559	Prae.g_00526	Syan.g_00853
OG0000560	Prae.g_00529	Syan.g_00856
OG0000561	Prae.g_00530	Syan.g_00857
OG0000562	Prae.g_00531	Syan.g_00858
OG0000563	Prae.g_00532	Syan.g_00859
OG0000564	Prae.g_00533	Syan.g_00860
OG0000565	Prae.g_00536	Syan.g_00864
OG0000566	Prae.g_00538	Syan.g_00868
OG0000567	Prae.g_00542	Syan.g_00872
