Orthogroup	Prae	Syad
OG0000001	Prae.g_01353, Prae.g_01236, Prae.g_01223, Prae.g_01224	Syad.g_00628
OG0000002	Prae.g_01361, Prae.g_00652	Syad.g_00619
OG0000004	Prae.g_00669	Syad.g_01304
OG0000004	Prae.g_00235	Syad.g_02184, Syad.g_00810
OG0000005	Prae.g_01636	Syad.g_02639
OG0000005	Prae.g_01535	Syad.g_02596
OG0000006	Prae.g_00244	Syad.g_00588, Syad.g_00829
OG0000007	Prae.g_00471	Syad.g_00923
OG0000007	Prae.g_01623	Syad.g_02623
OG0000009	Prae.g_01270, Prae.g_01572	Syad.g_01952, Syad.g_00868
OG0000010	Prae.g_01048, Prae.g_00448	Syad.g_02354
OG0000011	Prae.g_01291	Syad.g_02006
OG0000011	Prae.g_00398	Syad.g_02680
OG0000012	Prae.g_00597	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008, Syad.g_02176
OG0000013	Prae.g_00328	Syad.g_00737, Syad.g_00724, Syad.g_00729
OG0000014	Prae.g_00307	Syad.g_00480
OG0000015	Prae.g_00769, Prae.g_01235	Syad.g_01600, Syad.g_01601
OG0000016	Prae.g_00013	Syad.g_00176
OG0000017	Prae.g_00572	Syad.g_01084
OG0000018	Prae.g_01144, Prae.g_00833	Syad.g_02306
OG0000019	Prae.g_00252, Prae.g_00786	Syad.g_00569
OG0000020	Prae.g_01107	Syad.g_00845
OG0000022	Prae.g_00764, Prae.g_01125	Syad.g_02090
OG0000023	Prae.g_00359	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Prae.g_00748, Prae.g_00649	Syad.g_01374
OG0000025	Prae.g_00840, Prae.g_00332	Syad.g_01241
OG0000026	Prae.g_00031, Prae.g_01056	Syad.g_00198
OG0000027	Prae.g_00444, Prae.g_01311	Syad.g_01257
OG0000028	Prae.g_00321	Syad.g_00463
OG0000029	Prae.g_00375, Prae.g_00755	Syad.g_02099
OG0000030	Prae.g_01825	Syad.g_00328, Syad.g_00327
OG0000033	Prae.g_01396	Syad.g_00289
OG0000033	Prae.g_00172	Syad.g_02903
OG0000034	Prae.g_01339	Syad.g_02420, Syad.g_02872
OG0000035	Prae.g_01459	Syad.g_02275
OG0000037	Prae.g_00108	Syad.g_02805
OG0000038	Prae.g_01865	Syad.g_03038
OG0000039	Prae.g_00660	Syad.g_01249, Syad.g_01111
OG0000041	Prae.g_01669	Syad.g_02498
OG0000042	Prae.g_01822	Syad.g_00333
OG0000043	Prae.g_00876	Syad.g_02119
OG0000047	Prae.g_00331	Syad.g_00754
OG0000048	Prae.g_00374	Syad.g_00534
OG0000051	Prae.g_01294	Syad.g_00842
OG0000052	Prae.g_01416	Syad.g_00434
OG0000053	Prae.g_01479	Syad.g_02302
OG0000054	Prae.g_00580	Syad.g_02209
OG0000055	Prae.g_00787	Syad.g_01255
OG0000057	Prae.g_00672	Syad.g_01301
OG0000058	Prae.g_01417, Prae.g_01406	Syad.g_00452
OG0000059	Prae.g_01710	Syad.g_00642
OG0000060	Prae.g_01238	Syad.g_01508
OG0000061	Prae.g_01422, Prae.g_01163	Syad.g_01152
OG0000063	Prae.g_00033	Syad.g_00202
OG0000065	Prae.g_00106	Syad.g_02574, Syad.g_02801
OG0000066	Prae.g_00514	Syad.g_00992
OG0000067	Prae.g_00806	Syad.g_01889
OG0000068	Prae.g_01368	Syad.g_00891
OG0000070	Prae.g_00424	Syad.g_02424
OG0000071	Prae.g_01329	Syad.g_02405
OG0000072	Prae.g_00174	Syad.g_02905
OG0000073	Prae.g_00473	Syad.g_00926
OG0000075	Prae.g_01791	Syad.g_00416
OG0000076	Prae.g_01815	Syad.g_00348
OG0000077	Prae.g_00078	Syad.g_02741
OG0000078	Prae.g_00242	Syad.g_00824
OG0000079	Prae.g_00255	Syad.g_00565
OG0000081	Prae.g_00505	Syad.g_00833
OG0000082	Prae.g_00559	Syad.g_01063
OG0000084	Prae.g_01455	Syad.g_02272
OG0000085	Prae.g_01616	Syad.g_02612
OG0000086	Prae.g_00088	Syad.g_02770
OG0000087	Prae.g_00139	Syad.g_02860
OG0000088	Prae.g_00169	Syad.g_02899
OG0000089	Prae.g_00355	Syad.g_00785, Syad.g_02829
OG0000090	Prae.g_00508	Syad.g_00977
OG0000091	Prae.g_00616	Syad.g_02144
OG0000092	Prae.g_00913	Syad.g_01190
OG0000094	Prae.g_01021	Syad.g_01676
OG0000097	Prae.g_01204	Syad.g_01458
OG0000098	Prae.g_01350	Syad.g_00625
OG0000099	Prae.g_01390	Syad.g_00460
OG0000100	Prae.g_01533	Syad.g_01846
OG0000101	Prae.g_01758	Syad.g_00694
OG0000102	Prae.g_01820	Syad.g_00343
OG0000103	Prae.g_01899	Syad.g_00143
OG0000104	Prae.g_01907	Syad.g_00158
OG0000105	Prae.g_01440	Syad.g_00530
OG0000106	Prae.g_00370	Syad.g_01993
OG0000107	Prae.g_00385	Syad.g_00590
OG0000108	Prae.g_00454	Syad.g_00904
OG0000109	Prae.g_00468	Syad.g_00919
OG0000110	Prae.g_00549	Syad.g_01048
OG0000111	Prae.g_00673	Syad.g_01300
OG0000112	Prae.g_00770	Syad.g_01766
OG0000113	Prae.g_00828	Syad.g_01851
OG0000114	Prae.g_00908	Syad.g_01617
OG0000115	Prae.g_01102	Syad.g_02300
OG0000116	Prae.g_01153	Syad.g_01123
OG0000117	Prae.g_01263	Syad.g_01510
OG0000118	Prae.g_01341	Syad.g_01104
OG0000119	Prae.g_01364	Syad.g_01168
OG0000120	Prae.g_01389	Syad.g_00459
OG0000121	Prae.g_01461	Syad.g_02280
OG0000122	Prae.g_01499	Syad.g_02122
OG0000123	Prae.g_01766	Syad.g_00701
