Orthogroup	Prae	Syap
OG0000004	Prae.g_00235	Syap.g_01987
OG0000005	Prae.g_01636	Syap.g_01773
OG0000005	Prae.g_01535	Syap.g_01218
OG0000007	Prae.g_00471	Syap.g_00275
OG0000007	Prae.g_01623	Syap.g_00621
OG0000010	Prae.g_01048, Prae.g_00448	Syap.g_02757
OG0000013	Prae.g_00328	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prae.g_00307	Syap.g_01675
OG0000014	Prae.g_01401	Syap.g_00813
OG0000016	Prae.g_00013	Syap.g_00071
OG0000017	Prae.g_00572	Syap.g_00449
OG0000018	Prae.g_01144, Prae.g_00833	Syap.g_02010
OG0000019	Prae.g_00252, Prae.g_00786	Syap.g_01586
OG0000025	Prae.g_00840, Prae.g_00332	Syap.g_01846
OG0000027	Prae.g_00444, Prae.g_01311	Syap.g_01440
OG0000028	Prae.g_00321	Syap.g_01658
OG0000030	Prae.g_01825	Syap.g_00787, Syap.g_00788
OG0000033	Prae.g_01396, Prae.g_00172	Syap.g_01198
OG0000034	Prae.g_01339	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prae.g_01459	Syap.g_02465
OG0000037	Prae.g_00108	Syap.g_02492
OG0000038	Prae.g_01865	Syap.g_00139
OG0000039	Prae.g_00660	Syap.g_01749, Syap.g_01748
OG0000042	Prae.g_01822	Syap.g_01891, Syap.g_01120
OG0000043	Prae.g_00876	Syap.g_01998
OG0000045	Prae.g_00371	Syap.g_02525
OG0000048	Prae.g_00374	Syap.g_02340
OG0000051	Prae.g_01294, Prae.g_01602	Syap.g_01574
OG0000053	Prae.g_01479	Syap.g_02006
OG0000054	Prae.g_00580	Syap.g_00678
OG0000059	Prae.g_01710	Syap.g_01082, Syap.g_02478
OG0000060	Prae.g_01238	Syap.g_00795
OG0000061	Prae.g_01422, Prae.g_01163	Syap.g_00228
OG0000062	Prae.g_01537	Syap.g_01365
OG0000063	Prae.g_00033	Syap.g_01796
OG0000066	Prae.g_00514	Syap.g_01972
OG0000067	Prae.g_00806	Syap.g_00194
OG0000068	Prae.g_01368	Syap.g_00108, Syap.g_00144
OG0000070	Prae.g_00424	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000072	Prae.g_00174	Syap.g_00555
OG0000073	Prae.g_00473	Syap.g_00273, Syap.g_01020
OG0000075	Prae.g_01791	Syap.g_01064, Syap.g_00664
OG0000076	Prae.g_01815	Syap.g_01111
OG0000079	Prae.g_00255	Syap.g_01589
OG0000085	Prae.g_01616	Syap.g_00611
OG0000087	Prae.g_00139	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prae.g_00169	Syap.g_01202
OG0000089	Prae.g_00355	Syap.g_00115, Syap.g_02042
OG0000090	Prae.g_00508	Syap.g_01451
OG0000091	Prae.g_00616	Syap.g_01861
OG0000094	Prae.g_01021	Syap.g_02781
OG0000095	Prae.g_01040	Syap.g_01556
OG0000098	Prae.g_01350	Syap.g_01975
OG0000099	Prae.g_01390	Syap.g_01385
OG0000101	Prae.g_01758	Syap.g_00472
OG0000102	Prae.g_01820	Syap.g_01116
OG0000103	Prae.g_01899	Syap.g_02607, Syap.g_02608
OG0000104	Prae.g_01907	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prae.g_01440	Syap.g_01369, Syap.g_01368
OG0000107	Prae.g_00385	Syap.g_02496
OG0000108	Prae.g_00454	Syap.g_00733, Syap.g_02255
OG0000109	Prae.g_00468	Syap.g_00279, Syap.g_02237
OG0000110	Prae.g_00549	Syap.g_01313
OG0000111	Prae.g_00673	Syap.g_01566, Syap.g_01568
OG0000112	Prae.g_00770	Syap.g_02023
OG0000113	Prae.g_00828	Syap.g_02714
OG0000114	Prae.g_00908	Syap.g_01255
OG0000115	Prae.g_01102	Syap.g_02004
OG0000116	Prae.g_01153	Syap.g_00241
OG0000117	Prae.g_01263	Syap.g_01889
OG0000118	Prae.g_01341	Syap.g_02286
OG0000120	Prae.g_01389	Syap.g_02075
OG0000121	Prae.g_01461	Syap.g_02471
OG0000123	Prae.g_01766	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prae.g_01831	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prae.g_01867	Syap.g_01046, Syap.g_01047
OG0000126	Prae.g_01906	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000128	Prae.g_00011	Syap.g_00069
OG0000129	Prae.g_00046	Syap.g_00130, Syap.g_00129
OG0000130	Prae.g_00069	Syap.g_01688, Syap.g_01689
OG0000131	Prae.g_00148	Syap.g_02189
OG0000132	Prae.g_00167	Syap.g_01205
OG0000133	Prae.g_00323	Syap.g_02017
OG0000134	Prae.g_00356	Syap.g_02047
OG0000135	Prae.g_00382	Syap.g_02090
OG0000136	Prae.g_00415	Syap.g_00089
OG0000137	Prae.g_00449	Syap.g_02756
OG0000138	Prae.g_00469	Syap.g_00278
OG0000139	Prae.g_00512	Syap.g_00410
OG0000140	Prae.g_00513	Syap.g_01976
OG0000141	Prae.g_00581	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prae.g_00609	Syap.g_00895, Syap.g_00894
