Orthogroup	Prae	Syaj
OG0000001	Prae.g_01353, Prae.g_01236, Prae.g_01223, Prae.g_01224	Syaj.g_02674
OG0000002	Prae.g_01361, Prae.g_00652	Syaj.g_02667
OG0000004	Prae.g_00669	Syaj.g_00441
OG0000004	Prae.g_00235	Syaj.g_01314, Syaj.g_02853
OG0000005	Prae.g_01636	Syaj.g_01736
OG0000005	Prae.g_01535	Syaj.g_01698
OG0000006	Prae.g_00244	Syaj.g_02635
OG0000007	Prae.g_00471	Syaj.g_00091
OG0000007	Prae.g_01623	Syaj.g_01721
OG0000009	Prae.g_01270, Prae.g_01572	Syaj.g_01069
OG0000010	Prae.g_01048, Prae.g_00448	Syaj.g_01445
OG0000011	Prae.g_01291	Syaj.g_01133
OG0000011	Prae.g_00398	Syaj.g_01780
OG0000012	Prae.g_00597	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172, Syaj.g_01306
OG0000013	Prae.g_00328	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774
OG0000014	Prae.g_00307	Syaj.g_02522
OG0000014	Prae.g_01401	Syaj.g_02344
OG0000015	Prae.g_00769, Prae.g_01235	Syaj.g_00725, Syaj.g_02659
OG0000016	Prae.g_00013	Syaj.g_02276
OG0000017	Prae.g_00572	Syaj.g_00248
OG0000018	Prae.g_01144, Prae.g_00833	Syaj.g_01413
OG0000019	Prae.g_00252, Prae.g_00786	Syaj.g_02613
OG0000021	Prae.g_01600, Prae.g_00364	Syaj.g_00982
OG0000022	Prae.g_00764, Prae.g_01125	Syaj.g_01220
OG0000023	Prae.g_00359	Syaj.g_00829, Syaj.g_01791
OG0000024	Prae.g_00748, Prae.g_00649	Syaj.g_00500
OG0000025	Prae.g_00840, Prae.g_00332	Syaj.g_00383
OG0000026	Prae.g_00031, Prae.g_01056	Syaj.g_02298
OG0000027	Prae.g_00444, Prae.g_01311	Syaj.g_00396
OG0000028	Prae.g_00321	Syaj.g_02506
OG0000029	Prae.g_00375, Prae.g_00755	Syaj.g_01229
OG0000030	Prae.g_01825	Syaj.g_02396, Syaj.g_02395
OG0000033	Prae.g_00172	Syaj.g_01990
OG0000034	Prae.g_01339	Syaj.g_01959
