Orthogroup	Prae	Praf
OG0000000	Prae.g_01580	Praf.g_00813
OG0000000	Prae.g_01300	Praf.g_01039, Praf.g_01042
OG0000000	Prae.g_01308, Prae.g_01581	Praf.g_00815, Praf.g_00814
OG0000001	Prae.g_01353, Prae.g_01236, Prae.g_01223, Prae.g_01224	Praf.g_01895, Praf.g_00818, Praf.g_01896
OG0000002	Prae.g_01361	Praf.g_01631
OG0000002	Prae.g_00652	Praf.g_00948
OG0000004	Prae.g_00669	Praf.g_01121
OG0000004	Prae.g_00235	Praf.g_00743
OG0000005	Prae.g_01535	Praf.g_00503
OG0000006	Prae.g_00244	Praf.g_00396, Praf.g_01719
OG0000007	Prae.g_00471	Praf.g_00614
OG0000007	Prae.g_01623	Praf.g_00480
OG0000010	Prae.g_00448	Praf.g_01908
OG0000011	Prae.g_01291	Praf.g_01188, Praf.g_01190
OG0000012	Prae.g_00597	Praf.g_01668
OG0000013	Prae.g_00328	Praf.g_02073
OG0000014	Prae.g_00307	Praf.g_02319
OG0000014	Prae.g_01401	Praf.g_00112
OG0000015	Prae.g_00769, Prae.g_01235	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Prae.g_00013	Praf.g_00014
OG0000017	Prae.g_00572	Praf.g_00752
OG0000018	Prae.g_01144, Prae.g_00833	Praf.g_01832
OG0000019	Prae.g_00252, Prae.g_00786	Praf.g_00943
OG0000021	Prae.g_01600, Prae.g_00364	Praf.g_00946, Praf.g_01089
OG0000022	Prae.g_00764	Praf.g_00201
OG0000022	Prae.g_01125	Praf.g_00965
OG0000024	Prae.g_00748, Prae.g_00649	Praf.g_01139
OG0000025	Prae.g_00840, Prae.g_00332	Praf.g_01591
OG0000026	Prae.g_00031, Prae.g_01056	Praf.g_00037
OG0000028	Prae.g_00321	Praf.g_02333
OG0000029	Prae.g_00375	Praf.g_02647
OG0000029	Prae.g_00755	Praf.g_02091
OG0000030	Prae.g_01825	Praf.g_00160, Praf.g_00159
OG0000031	Prae.g_01402	Praf.g_00113
OG0000033	Prae.g_01396	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Prae.g_00172	Praf.g_02457
