Orthogroup	Syaa	Praf
OG0000001	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Praf.g_01031
OG0000004	Syaa.g_00892	Praf.g_01121
OG0000004	Syaa.g_01667, Syaa.g_02116	Praf.g_00743
OG0000005	Syaa.g_00573	Praf.g_00503
OG0000006	Syaa.g_01611, Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Praf.g_00396, Praf.g_01719
OG0000007	Syaa.g_02032	Praf.g_00614
OG0000007	Syaa.g_00551	Praf.g_00480
OG0000008	Syaa.g_00918	Praf.g_01223
OG0000008	Syaa.g_00919	Praf.g_01224
OG0000009	Syaa.g_02378	Praf.g_01768, Praf.g_00246
OG0000010	Syaa.g_01843	Praf.g_01908
OG0000012	Syaa.g_01660	Praf.g_01668
OG0000013	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217	Praf.g_02073
OG0000014	Syaa.g_00222	Praf.g_02319
OG0000014	Syaa.g_00481	Praf.g_00112
OG0000015	Syaa.g_02739, Syaa.g_01079, Syaa.g_01989	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Syaa.g_00014	Praf.g_00014
OG0000016	Syaa.g_00981	Praf.g_00906
OG0000017	Syaa.g_01890	Praf.g_00752
OG0000017	Syaa.g_01883	Praf.g_00760
OG0000018	Syaa.g_01801	Praf.g_01832
OG0000019	Syaa.g_00307	Praf.g_00943, Praf.g_02214
OG0000021	Syaa.g_02627	Praf.g_00946, Praf.g_01089, Praf.g_00746
OG0000022	Syaa.g_01571	Praf.g_00965
OG0000024	Syaa.g_00922	Praf.g_01139
OG0000025	Syaa.g_00839	Praf.g_01591
OG0000026	Syaa.g_00038	Praf.g_00037
OG0000028	Syaa.g_00205	Praf.g_02333
OG0000029	Syaa.g_01578	Praf.g_02091, Praf.g_02647
OG0000030	Syaa.g_00099	Praf.g_00160
OG0000030	Syaa.g_00098	Praf.g_00159
OG0000031	Syaa.g_00200	Praf.g_02400
OG0000031	Syaa.g_00480	Praf.g_00113
OG0000032	Syaa.g_01818	Praf.g_01851
OG0000033	Syaa.g_02478, Syaa.g_00485	Praf.g_02457
OG0000034	Syaa.g_00722, Syaa.g_02444	Praf.g_00783
OG0000035	Syaa.g_01773	Praf.g_01794
OG0000037	Syaa.g_02384	Praf.g_00240
OG0000038	Syaa.g_02596	Praf.g_02660
OG0000041	Syaa.g_00660, Syaa.g_00869	Praf.g_00426
OG0000042	Syaa.g_00103	Praf.g_00164, Praf.g_00920
OG0000044	Syaa.g_00363	Praf.g_00356, Praf.g_01078
OG0000045	Syaa.g_01518	Praf.g_00322
OG0000046	Syaa.g_02211, Syaa.g_02205, Syaa.g_02218	Praf.g_02072
OG0000047	Syaa.g_02189	Praf.g_01864, Praf.g_01898
OG0000048	Syaa.g_00275	Praf.g_02267
OG0000050	Syaa.g_01213, Syaa.g_01712	Praf.g_01105
OG0000052	Syaa.g_00174	Praf.g_02366
OG0000053	Syaa.g_01797	Praf.g_01828
OG0000054	Syaa.g_01691, Syaa.g_01502	Praf.g_00763
OG0000055	Syaa.g_01564, Syaa.g_00852	Praf.g_01257
OG0000057	Syaa.g_01466, Syaa.g_00889	Praf.g_01125
OG0000058	Syaa.g_00193, Syaa.g_00455	Praf.g_02345
OG0000059	Syaa.g_02315	Praf.g_02172
OG0000060	Syaa.g_02053	Praf.g_00592
OG0000061	Syaa.g_00469	Praf.g_01859
OG0000061	Syaa.g_00770	Praf.g_00854
OG0000062	Syaa.g_00571	Praf.g_00501
OG0000063	Syaa.g_00042	Praf.g_00041
OG0000066	Syaa.g_01968	Praf.g_00672
OG0000067	Syaa.g_01154	Praf.g_01530
OG0000068	Syaa.g_02059	Praf.g_00585, Praf.g_00583
OG0000070	Syaa.g_00718	Praf.g_01962
OG0000071	Syaa.g_00735	Praf.g_00796
OG0000073	Syaa.g_02030	Praf.g_00616
OG0000075	Syaa.g_00157	Praf.g_02384
OG0000076	Syaa.g_00123	Praf.g_00178
OG0000077	Syaa.g_00341	Praf.g_00309
OG0000078	Syaa.g_02103	Praf.g_00391
OG0000079	Syaa.g_00303	Praf.g_02225
OG0000081	Syaa.g_02089, Syaa.g_01694	Praf.g_01131
OG0000082	Syaa.g_01905	Praf.g_00731
OG0000084	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770	Praf.g_01790
OG0000085	Syaa.g_00564	Praf.g_00491
OG0000086	Syaa.g_00324	Praf.g_00297
OG0000087	Syaa.g_02433	Praf.g_02420
OG0000088	Syaa.g_02474	Praf.g_02454, Praf.g_01239
OG0000089	Syaa.g_02149	Praf.g_02015
OG0000090	Syaa.g_01980	Praf.g_00660
OG0000091	Syaa.g_01625	Praf.g_01700
OG0000093	Syaa.g_01139	Praf.g_01503
OG0000094	Syaa.g_01288	Praf.g_02685
OG0000095	Syaa.g_00879	Praf.g_01274
OG0000097	Syaa.g_00979	Praf.g_00905
OG0000098	Syaa.g_01970	Praf.g_01886
OG0000099	Syaa.g_00202	Praf.g_02342
OG0000100	Syaa.g_01201	Praf.g_00370, Praf.g_01561
OG0000101	Syaa.g_02249	Praf.g_02119
OG0000102	Syaa.g_00118	Praf.g_00173
OG0000103	Syaa.g_02740	Praf.g_02765
OG0000104	Syaa.g_02754	Praf.g_02779
OG0000105	Syaa.g_00270	Praf.g_02271
OG0000106	Syaa.g_01439	Praf.g_00496
OG0000107	Syaa.g_02351	Praf.g_02201
OG0000108	Syaa.g_02051	Praf.g_00595
OG0000109	Syaa.g_02036	Praf.g_00611
OG0000110	Syaa.g_01918	Praf.g_00718
OG0000111	Syaa.g_00888	Praf.g_01126
OG0000112	Syaa.g_01366	Praf.g_01400
OG0000113	Syaa.g_01196	Praf.g_01556
OG0000114	Syaa.g_01094	Praf.g_01461
OG0000115	Syaa.g_01795	Praf.g_01825
OG0000116	Syaa.g_00757	Praf.g_00825
OG0000117	Syaa.g_01009	Praf.g_00919
OG0000118	Syaa.g_01874	Praf.g_00779
OG0000119	Syaa.g_00785	Praf.g_01108, Praf.g_01143
OG0000120	Syaa.g_00201	Praf.g_02343
OG0000121	Syaa.g_01777	Praf.g_01796
OG0000122	Syaa.g_01598	Praf.g_00976
OG0000123	Syaa.g_02242	Praf.g_02108
OG0000124	Syaa.g_00092	Praf.g_00153
OG0000125	Syaa.g_02598	Praf.g_02664
OG0000126	Syaa.g_02752	Praf.g_02777
OG0000127	Syaa.g_00934	Praf.g_01187, Praf.g_00342, Praf.g_02627, Praf.g_01168
OG0000127	Syaa.g_00377	Praf.g_00338
OG0000128	Syaa.g_00012	Praf.g_00012
OG0000129	Syaa.g_02586	Praf.g_02652
OG0000130	Syaa.g_00354	Praf.g_00321
OG0000131	Syaa.g_02448	Praf.g_02432
OG0000132	Syaa.g_02472	Praf.g_02452
OG0000133	Syaa.g_01361	Praf.g_02336
OG0000134	Syaa.g_02146	Praf.g_02012
OG0000135	Syaa.g_02649	Praf.g_02715
OG0000136	Syaa.g_00708	Praf.g_01984
OG0000137	Syaa.g_01842	Praf.g_01907
OG0000138	Syaa.g_02035	Praf.g_00612
OG0000139	Syaa.g_01974	Praf.g_00666
OG0000140	Syaa.g_01971	Praf.g_00670
OG0000141	Syaa.g_01689	Praf.g_00764
OG0000142	Syaa.g_01633	Praf.g_01692
OG0000143	Syaa.g_01629	Praf.g_01696
OG0000144	Syaa.g_01446	Praf.g_01721
OG0000145	Syaa.g_02029	Praf.g_00617
OG0000146	Syaa.g_01367	Praf.g_01401
OG0000147	Syaa.g_01368	Praf.g_01402
OG0000148	Syaa.g_01190	Praf.g_01548
OG0000149	Syaa.g_00826	Praf.g_01604
OG0000150	Syaa.g_01688	Praf.g_01625
OG0000151	Syaa.g_01107	Praf.g_01478
OG0000152	Syaa.g_01357	Praf.g_01392
OG0000153	Syaa.g_01324	Praf.g_01362
OG0000154	Syaa.g_01298	Praf.g_01337
OG0000155	Syaa.g_00804	Praf.g_00886
OG0000156	Syaa.g_00751	Praf.g_00810
OG0000157	Syaa.g_00750	Praf.g_00809
OG0000158	Syaa.g_00148	Praf.g_02394
OG0000160	Syaa.g_01776	Praf.g_01795
OG0000161	Syaa.g_01782	Praf.g_01805
OG0000162	Syaa.g_01788	Praf.g_01817
OG0000163	Syaa.g_00624	Praf.g_00538
OG0000164	Syaa.g_00507	Praf.g_00453
OG0000165	Syaa.g_00681	Praf.g_00444
OG0000166	Syaa.g_02289	Praf.g_02157
OG0000167	Syaa.g_00160	Praf.g_02382, Praf.g_02378, Praf.g_02380
OG0000168	Syaa.g_00145	Praf.g_02395
OG0000169	Syaa.g_00134	Praf.g_00191
OG0000170	Syaa.g_00128	Praf.g_00183
OG0000171	Syaa.g_00093	Praf.g_00154
OG0000172	Syaa.g_00079	Praf.g_00087
OG0000173	Syaa.g_00060	Praf.g_00062
OG0000174	Syaa.g_02651	Praf.g_02717
OG0000175	Syaa.g_02726	Praf.g_02754
OG0000176	Syaa.g_00004	Praf.g_00004
OG0000177	Syaa.g_00005	Praf.g_00005
OG0000178	Syaa.g_00006	Praf.g_00006
OG0000179	Syaa.g_00023	Praf.g_00021
OG0000180	Syaa.g_00024	Praf.g_00022
OG0000181	Syaa.g_00025	Praf.g_00023
OG0000182	Syaa.g_00026	Praf.g_00024
OG0000183	Syaa.g_00030	Praf.g_00028
OG0000184	Syaa.g_02578	Praf.g_02611
OG0000185	Syaa.g_02575	Praf.g_00333
OG0000186	Syaa.g_00359	Praf.g_00328
OG0000187	Syaa.g_00358	Praf.g_00326
OG0000188	Syaa.g_00334	Praf.g_00303
OG0000189	Syaa.g_02367	Praf.g_00257
OG0000190	Syaa.g_02369	Praf.g_00255
OG0000191	Syaa.g_02404	Praf.g_00218
OG0000192	Syaa.g_02410	Praf.g_00212
OG0000193	Syaa.g_02449	Praf.g_02433
OG0000194	Syaa.g_02452	Praf.g_02436
OG0000195	Syaa.g_02459	Praf.g_02438
OG0000196	Syaa.g_02469	Praf.g_02449
OG0000197	Syaa.g_02470	Praf.g_02450
OG0000198	Syaa.g_02471	Praf.g_02451
OG0000199	Syaa.g_02479	Praf.g_02468
OG0000200	Syaa.g_02496	Praf.g_02492
OG0000201	Syaa.g_02521	Praf.g_02511
OG0000202	Syaa.g_02522	Praf.g_02512
OG0000203	Syaa.g_02523	Praf.g_02513
