Orthogroup	Syaa	Prav
OG0000001	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436, Syaa.g_02439, Syaa.g_02329	Prav.g_01458
OG0000004	Syaa.g_00892	Prav.g_01293
OG0000004	Syaa.g_01667, Syaa.g_02116	Prav.g_00806
OG0000005	Syaa.g_00534	Prav.g_01774
OG0000005	Syaa.g_00573	Prav.g_01654
OG0000006	Syaa.g_01611, Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Prav.g_02001
OG0000007	Syaa.g_02032	Prav.g_01095
OG0000007	Syaa.g_00551	Prav.g_01761
OG0000008	Syaa.g_00918	Prav.g_01749
OG0000008	Syaa.g_00919	Prav.g_01750
OG0000009	Syaa.g_02378	Prav.g_00170
OG0000010	Syaa.g_01843	Prav.g_00218
OG0000011	Syaa.g_00921	Prav.g_01334
OG0000012	Syaa.g_01660, Syaa.g_02304	Prav.g_01221
OG0000013	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217	Prav.g_01973
OG0000014	Syaa.g_00222	Prav.g_01952
OG0000015	Syaa.g_02739, Syaa.g_01079, Syaa.g_01989	Prav.g_00363, Prav.g_00961
OG0000016	Syaa.g_00014	Prav.g_00081
OG0000016	Syaa.g_01481	Prav.g_01385
OG0000017	Syaa.g_01890, Syaa.g_01883	Prav.g_01194
OG0000018	Syaa.g_01801	Prav.g_00046
OG0000019	Syaa.g_00307	Prav.g_01896, Prav.g_00375
OG0000021	Syaa.g_02627	Prav.g_00984
OG0000022	Syaa.g_01571	Prav.g_00029
OG0000023	Syaa.g_01529, Syaa.g_01216	Prav.g_00979
OG0000024	Syaa.g_00922	Prav.g_00343, Prav.g_01273
OG0000025	Syaa.g_00839	Prav.g_01977, Prav.g_00431
OG0000026	Syaa.g_00038	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000027	Syaa.g_01605, Syaa.g_00854	Prav.g_01068, Prav.g_01416
OG0000028	Syaa.g_00205	Prav.g_01885, Prav.g_01966
OG0000029	Syaa.g_01578	Prav.g_00350
OG0000030	Syaa.g_00099, Syaa.g_00098	Prav.g_00699
OG0000034	Syaa.g_00722, Syaa.g_02444	Prav.g_01448
OG0000035	Syaa.g_01773	Prav.g_01578
OG0000037	Syaa.g_02384	Prav.g_00174
OG0000038	Syaa.g_02596	Prav.g_00739
OG0000039	Syaa.g_00846	Prav.g_01284
OG0000040	Syaa.g_01606	Prav.g_01720
OG0000040	Syaa.g_02690	Prav.g_00045
OG0000041	Syaa.g_00660, Syaa.g_00869	Prav.g_01808
OG0000042	Syaa.g_00103	Prav.g_00696
OG0000045	Syaa.g_01560	Prav.g_00990
OG0000047	Syaa.g_02189	Prav.g_01976
OG0000048	Syaa.g_00275, Syaa.g_02719	Prav.g_00993
OG0000050	Syaa.g_01591	Prav.g_01013
OG0000050	Syaa.g_01213, Syaa.g_01712	Prav.g_00247
OG0000051	Syaa.g_01531	Prav.g_01410
OG0000052	Syaa.g_00461	Prav.g_01533
OG0000053	Syaa.g_01797	Prav.g_01598
OG0000054	Syaa.g_01691, Syaa.g_01502	Prav.g_01202
