Orthogroup	Syaa	Praw
OG0000001	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436, Syaa.g_02439, Syaa.g_02329	Praw.g_01000
OG0000004	Syaa.g_00892	Praw.g_01827
OG0000004	Syaa.g_01667, Syaa.g_02116	Praw.g_01203
OG0000005	Syaa.g_00534	Praw.g_00528
OG0000005	Syaa.g_00573	Praw.g_00413
OG0000006	Syaa.g_01611, Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Praw.g_01950
OG0000007	Syaa.g_02032	Praw.g_00651
OG0000007	Syaa.g_00551	Praw.g_00515
OG0000008	Syaa.g_00918	Praw.g_00501
OG0000008	Syaa.g_00919	Praw.g_00502
OG0000009	Syaa.g_02378	Praw.g_01330
OG0000010	Syaa.g_01843	Praw.g_01460
OG0000012	Syaa.g_01660, Syaa.g_02304	Praw.g_00159
OG0000013	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217	Praw.g_00807
OG0000014	Syaa.g_00222	Praw.g_00828
OG0000015	Syaa.g_02739, Syaa.g_01079, Syaa.g_01989	Praw.g_01738
OG0000016	Syaa.g_00981	Praw.g_01415
OG0000016	Syaa.g_01481	Praw.g_00484
OG0000017	Syaa.g_01890, Syaa.g_01883	Praw.g_01944
OG0000018	Syaa.g_01801	Praw.g_00215
OG0000019	Syaa.g_00307	Praw.g_00884, Praw.g_01717
OG0000021	Syaa.g_02627	Praw.g_00479, Praw.g_00767
OG0000022	Syaa.g_01571	Praw.g_00197
OG0000023	Syaa.g_01529, Syaa.g_01216	Praw.g_00772
OG0000024	Syaa.g_00922	Praw.g_01763, Praw.g_01847
OG0000025	Syaa.g_00839	Praw.g_00803, Praw.g_01664
OG0000026	Syaa.g_00038	Praw.g_01397, Praw.g_01453
OG0000027	Syaa.g_01605, Syaa.g_00854	Praw.g_00677, Praw.g_00492, Praw.g_00962
OG0000028	Syaa.g_00205	Praw.g_00334, Praw.g_00814
OG0000029	Syaa.g_01578	Praw.g_01755
OG0000030	Syaa.g_00099, Syaa.g_00098	Praw.g_00029
OG0000034	Syaa.g_00722, Syaa.g_02444	Praw.g_00991
OG0000035	Syaa.g_01773	Praw.g_01081, Praw.g_01083
OG0000037	Syaa.g_02384	Praw.g_01326
OG0000038	Syaa.g_02596	Praw.g_01182
OG0000039	Syaa.g_00846	Praw.g_01836
OG0000040	Syaa.g_01606	Praw.g_00476
OG0000040	Syaa.g_02690	Praw.g_00214
OG0000041	Syaa.g_00660, Syaa.g_00869	Praw.g_00562
OG0000042	Syaa.g_00103	Praw.g_00032
OG0000045	Syaa.g_01560	Praw.g_00761
OG0000047	Syaa.g_02189	Praw.g_00804
OG0000048	Syaa.g_00275, Syaa.g_02719	Praw.g_00504, Praw.g_00758
OG0000050	Syaa.g_01213, Syaa.g_01712	Praw.g_01432
OG0000051	Syaa.g_01531	Praw.g_00955
OG0000052	Syaa.g_00461	Praw.g_01071
OG0000053	Syaa.g_01797	Praw.g_00357
OG0000054	Syaa.g_01691, Syaa.g_01502	Praw.g_00142
OG0000055	Syaa.g_01564, Syaa.g_00852	Praw.g_01716
OG0000057	Syaa.g_01466, Syaa.g_00889	Praw.g_01824
OG0000059	Syaa.g_02315	Praw.g_01894
OG0000060	Syaa.g_02053, Syaa.g_01007	Praw.g_01743
OG0000061	Syaa.g_00770	Praw.g_00234
OG0000062	Syaa.g_00571	Praw.g_00415
OG0000063	Syaa.g_00042	Praw.g_01395
OG0000065	Syaa.g_02380	Praw.g_01328
OG0000066	Syaa.g_01968	Praw.g_00609
OG0000067	Syaa.g_01154	Praw.g_01697
OG0000068	Syaa.g_02059	Praw.g_01016
OG0000069	Syaa.g_01497, Syaa.g_01256	Praw.g_00448
OG0000070	Syaa.g_00718	Praw.g_00697
OG0000071	Syaa.g_00735	Praw.g_00981
OG0000072	Syaa.g_02480	Praw.g_01264
OG0000073	Syaa.g_02030	Praw.g_00649
OG0000074	Syaa.g_00372	Praw.g_01840
OG0000075	Syaa.g_00157	Praw.g_00064
OG0000076	Syaa.g_00123	Praw.g_00039
OG0000077	Syaa.g_00341	Praw.g_01356
OG0000078	Syaa.g_02103	Praw.g_01196
OG0000081	Syaa.g_02089, Syaa.g_01694	Praw.g_00617
OG0000082	Syaa.g_01905	Praw.g_01932
OG0000084	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770	Praw.g_01087
OG0000085	Syaa.g_00564	Praw.g_00508
OG0000086	Syaa.g_00324	Praw.g_01346
OG0000087	Syaa.g_02433	Praw.g_01296
OG0000088	Syaa.g_02474	Praw.g_01269
OG0000089	Syaa.g_02149	Praw.g_00776
OG0000090	Syaa.g_01980	Praw.g_00615
OG0000091	Syaa.g_01625	Praw.g_01880
OG0000093	Syaa.g_01139	Praw.g_01571
OG0000094	Syaa.g_01288	Praw.g_01486
OG0000095	Syaa.g_00879	Praw.g_01467
OG0000097	Syaa.g_00979	Praw.g_00275
OG0000098	Syaa.g_01970	Praw.g_00997
OG0000099	Syaa.g_00202	Praw.g_01051
OG0000100	Syaa.g_01201	Praw.g_00411
OG0000101	Syaa.g_02249	Praw.g_00096
OG0000102	Syaa.g_00118	Praw.g_00034
OG0000103	Syaa.g_02740	Praw.g_01148
OG0000104	Syaa.g_02754	Praw.g_01140
OG0000105	Syaa.g_00270	Praw.g_00860
OG0000106	Syaa.g_01439	Praw.g_00762
OG0000107	Syaa.g_02351	Praw.g_00748
OG0000108	Syaa.g_02051	Praw.g_00667
OG0000109	Syaa.g_02036	Praw.g_00654
OG0000110	Syaa.g_01918	Praw.g_01922
OG0000111	Syaa.g_00888	Praw.g_01823
OG0000112	Syaa.g_01366	Praw.g_01732
OG0000113	Syaa.g_01196	Praw.g_01675
OG0000114	Syaa.g_01094	Praw.g_01597
OG0000115	Syaa.g_01795	Praw.g_00178
OG0000116	Syaa.g_00757	Praw.g_00224
OG0000117	Syaa.g_01009	Praw.g_00926
OG0000118	Syaa.g_01874	Praw.g_00993
OG0000119	Syaa.g_00785	Praw.g_01012
OG0000120	Syaa.g_00201	Praw.g_01050
OG0000121	Syaa.g_01777	Praw.g_01078
OG0000122	Syaa.g_01598	Praw.g_00377
OG0000123	Syaa.g_02242	Praw.g_00089
OG0000124	Syaa.g_00092	Praw.g_00023
OG0000125	Syaa.g_02598	Praw.g_01180
OG0000126	Syaa.g_02752	Praw.g_01141
OG0000128	Syaa.g_00012	Praw.g_01125
OG0000129	Syaa.g_02586	Praw.g_01384
OG0000130	Syaa.g_00354	Praw.g_01365
OG0000131	Syaa.g_02448	Praw.g_01290
OG0000132	Syaa.g_02472	Praw.g_01271
OG0000133	Syaa.g_01361	Praw.g_00812
OG0000134	Syaa.g_02146	Praw.g_00775
OG0000135	Syaa.g_02649	Praw.g_00751
OG0000136	Syaa.g_00708	Praw.g_00706
OG0000137	Syaa.g_01842	Praw.g_00672
OG0000138	Syaa.g_02035	Praw.g_00653
OG0000139	Syaa.g_01974	Praw.g_00611
OG0000140	Syaa.g_01971	Praw.g_00610
OG0000141	Syaa.g_01689	Praw.g_00143
OG0000142	Syaa.g_01633	Praw.g_01887
OG0000143	Syaa.g_01629	Praw.g_01883
OG0000144	Syaa.g_01446	Praw.g_01870
OG0000145	Syaa.g_02029	Praw.g_01745
OG0000146	Syaa.g_01367	Praw.g_01731
OG0000147	Syaa.g_01368	Praw.g_01730
OG0000148	Syaa.g_01190	Praw.g_01681
OG0000149	Syaa.g_00826	Praw.g_01652
OG0000150	Syaa.g_01688	Praw.g_01644
OG0000151	Syaa.g_01107	Praw.g_01587
OG0000152	Syaa.g_01357	Praw.g_01539
OG0000153	Syaa.g_01324	Praw.g_01520
OG0000154	Syaa.g_01298	Praw.g_01493
OG0000155	Syaa.g_00804	Praw.g_00254
OG0000156	Syaa.g_00751	Praw.g_00968
OG0000157	Syaa.g_00750	Praw.g_00969
OG0000158	Syaa.g_00148	Praw.g_01052
OG0000160	Syaa.g_01776	Praw.g_01079, Praw.g_01080
OG0000161	Syaa.g_01782	Praw.g_00344
OG0000162	Syaa.g_01788	Praw.g_00350
OG0000163	Syaa.g_00624	Praw.g_00384
OG0000164	Syaa.g_00507	Praw.g_00539
OG0000165	Syaa.g_00681	Praw.g_00546
OG0000166	Syaa.g_02289	Praw.g_00132
OG0000167	Syaa.g_00160	Praw.g_00066
OG0000168	Syaa.g_00145	Praw.g_00056
OG0000169	Syaa.g_00134	Praw.g_00046
OG0000170	Syaa.g_00128	Praw.g_00044
OG0000171	Syaa.g_00093	Praw.g_00024
OG0000172	Syaa.g_00079	Praw.g_00016
OG0000173	Syaa.g_00060	Praw.g_00001
OG0000174	Syaa.g_02651	Praw.g_01166
OG0000175	Syaa.g_02726	Praw.g_01156
OG0000176	Syaa.g_00004	Praw.g_01132
OG0000177	Syaa.g_00005	Praw.g_01131
OG0000178	Syaa.g_00006	Praw.g_01130
OG0000179	Syaa.g_00023	Praw.g_01412
OG0000180	Syaa.g_00024	Praw.g_01411
OG0000181	Syaa.g_00025	Praw.g_01410
OG0000182	Syaa.g_00026	Praw.g_01409
OG0000183	Syaa.g_00030	Praw.g_01405
OG0000184	Syaa.g_02578	Praw.g_01382
OG0000185	Syaa.g_02575	Praw.g_01379
OG0000186	Syaa.g_00359	Praw.g_01370
OG0000187	Syaa.g_00358	Praw.g_01369
OG0000188	Syaa.g_00334	Praw.g_01352
OG0000189	Syaa.g_02367	Praw.g_01339
OG0000190	Syaa.g_02369	Praw.g_01338
OG0000191	Syaa.g_02404	Praw.g_01318
OG0000192	Syaa.g_02410	Praw.g_01314
OG0000193	Syaa.g_02449	Praw.g_01289
OG0000194	Syaa.g_02452	Praw.g_01286
OG0000195	Syaa.g_02459	Praw.g_01284
OG0000196	Syaa.g_02469	Praw.g_01274
OG0000197	Syaa.g_02470	Praw.g_01273
OG0000198	Syaa.g_02471	Praw.g_01272
OG0000199	Syaa.g_02479	Praw.g_01265
OG0000200	Syaa.g_02496	Praw.g_01251
OG0000201	Syaa.g_02521	Praw.g_01243
OG0000202	Syaa.g_02522	Praw.g_01242
OG0000203	Syaa.g_02523	Praw.g_01241
OG0000204	Syaa.g_02524	Praw.g_01240
OG0000205	Syaa.g_02531	Praw.g_01233
OG0000206	Syaa.g_02538	Praw.g_01228
OG0000207	Syaa.g_02540	Praw.g_01226
OG0000208	Syaa.g_02541	Praw.g_01225
OG0000209	Syaa.g_02556	Praw.g_01216
OG0000210	Syaa.g_02557	Praw.g_01215
OG0000211	Syaa.g_02113	Praw.g_01202
OG0000212	Syaa.g_02102	Praw.g_01195
OG0000213	Syaa.g_00295	Praw.g_00876
OG0000214	Syaa.g_00279	Praw.g_00867
OG0000215	Syaa.g_00248	Praw.g_00842
OG0000216	Syaa.g_00244	Praw.g_00840
OG0000217	Syaa.g_00240	Praw.g_00837
OG0000218	Syaa.g_00238	Praw.g_00835
OG0000219	Syaa.g_00237	Praw.g_00834
OG0000220	Syaa.g_00236	Praw.g_00833
OG0000221	Syaa.g_00229	Praw.g_00832
OG0000222	Syaa.g_00215	Praw.g_00824
OG0000223	Syaa.g_00192	Praw.g_00811
OG0000224	Syaa.g_00183	Praw.g_00809
OG0000225	Syaa.g_02166	Praw.g_00786
OG0000226	Syaa.g_02162	Praw.g_00782
OG0000227	Syaa.g_02160	Praw.g_00780
OG0000228	Syaa.g_02150	Praw.g_00777
OG0000229	Syaa.g_00703	Praw.g_00711
OG0000230	Syaa.g_00705	Praw.g_00709
OG0000231	Syaa.g_00717	Praw.g_00698
OG0000232	Syaa.g_01858	Praw.g_00689
OG0000233	Syaa.g_01853	Praw.g_00684
OG0000234	Syaa.g_01841	Praw.g_00671
OG0000235	Syaa.g_02052	Praw.g_00668
OG0000236	Syaa.g_02037	Praw.g_00655
OG0000237	Syaa.g_02020	Praw.g_00642
OG0000238	Syaa.g_02015	Praw.g_00636
OG0000239	Syaa.g_01996	Praw.g_00623
OG0000240	Syaa.g_01995	Praw.g_00622
OG0000241	Syaa.g_01644	Praw.g_00618
OG0000242	Syaa.g_01982	Praw.g_00616
OG0000243	Syaa.g_01960	Praw.g_00605
OG0000244	Syaa.g_01954	Praw.g_00602
OG0000245	Syaa.g_01952	Praw.g_00600
OG0000246	Syaa.g_01948	Praw.g_00596
OG0000247	Syaa.g_01937	Praw.g_00586
OG0000248	Syaa.g_01934	Praw.g_00584
OG0000249	Syaa.g_01932	Praw.g_00582
OG0000250	Syaa.g_01922	Praw.g_00577
OG0000251	Syaa.g_01897	Praw.g_01937
OG0000252	Syaa.g_01894	Praw.g_01940
OG0000253	Syaa.g_01893	Praw.g_01941
OG0000254	Syaa.g_01684	Praw.g_00147
OG0000255	Syaa.g_01668	Praw.g_00153
OG0000256	Syaa.g_01651	Praw.g_00163
OG0000257	Syaa.g_01645	Praw.g_00166
OG0000258	Syaa.g_01624	Praw.g_01879
OG0000259	Syaa.g_01063	Praw.g_01862
OG0000260	Syaa.g_01066	Praw.g_01859
OG0000261	Syaa.g_01069	Praw.g_01857
OG0000262	Syaa.g_01074	Praw.g_01853
OG0000263	Syaa.g_00989	Praw.g_01841
OG0000264	Syaa.g_00910	Praw.g_01831
OG0000265	Syaa.g_00931, Syaa.g_01498	Praw.g_01809
OG0000266	Syaa.g_01257, Syaa.g_01258	Praw.g_01799
OG0000267	Syaa.g_01409	Praw.g_01788
OG0000268	Syaa.g_01408	Praw.g_01787
OG0000269	Syaa.g_01149	Praw.g_01702
OG0000270	Syaa.g_01152	Praw.g_01699
OG0000271	Syaa.g_01160	Praw.g_01691
OG0000272	Syaa.g_01161	Praw.g_01690
OG0000273	Syaa.g_00844	Praw.g_01668
OG0000274	Syaa.g_00843	Praw.g_01667
OG0000275	Syaa.g_00840	Praw.g_01665
OG0000276	Syaa.g_00834	Praw.g_01660
OG0000277	Syaa.g_00833	Praw.g_01659
OG0000278	Syaa.g_00830	Praw.g_01656
OG0000279	Syaa.g_00822	Praw.g_01649
OG0000280	Syaa.g_00815	Praw.g_01648
OG0000282	Syaa.g_01096	Praw.g_01595
OG0000283	Syaa.g_01396	Praw.g_01562
OG0000284	Syaa.g_01390	Praw.g_01557
OG0000285	Syaa.g_01377	Praw.g_01552
OG0000286	Syaa.g_01358	Praw.g_01540
OG0000287	Syaa.g_01330	Praw.g_01523
OG0000288	Syaa.g_01299	Praw.g_01494
OG0000289	Syaa.g_01285	Praw.g_01483
OG0000290	Syaa.g_00875	Praw.g_01470
OG0000291	Syaa.g_00877	Praw.g_01468
OG0000292	Syaa.g_02751	Praw.g_01418
OG0000293	Syaa.g_00758	Praw.g_00225
OG0000294	Syaa.g_00759	Praw.g_00226
OG0000295	Syaa.g_00796	Praw.g_00246
OG0000296	Syaa.g_00798	Praw.g_00248
OG0000297	Syaa.g_01021	Praw.g_00256
OG0000298	Syaa.g_01010	Praw.g_00257
OG0000299	Syaa.g_00982	Praw.g_00274
OG0000300	Syaa.g_00976	Praw.g_00277
OG0000301	Syaa.g_00975	Praw.g_00278
OG0000302	Syaa.g_00972	Praw.g_00280
OG0000303	Syaa.g_00963	Praw.g_00287
OG0000304	Syaa.g_00957	Praw.g_00291
OG0000305	Syaa.g_00881	Praw.g_01008
OG0000306	Syaa.g_00807	Praw.g_01011
OG0000307	Syaa.g_02068	Praw.g_01025
OG0000308	Syaa.g_02070	Praw.g_01026
OG0000309	Syaa.g_02075	Praw.g_01030
OG0000310	Syaa.g_01752	Praw.g_01098
OG0000311	Syaa.g_01757	Praw.g_01096
OG0000312	Syaa.g_01762	Praw.g_01093
OG0000313	Syaa.g_01779	Praw.g_01076
OG0000314	Syaa.g_01806	Praw.g_00363
OG0000315	Syaa.g_01816	Praw.g_00374
OG0000316	Syaa.g_00598	Praw.g_00394
OG0000317	Syaa.g_00556	Praw.g_00513
OG0000318	Syaa.g_00550	Praw.g_00516
OG0000319	Syaa.g_00532	Praw.g_00529
OG0000320	Syaa.g_00530	Praw.g_00531
OG0000321	Syaa.g_00529	Praw.g_00532
OG0000322	Syaa.g_00528	Praw.g_00533
OG0000323	Syaa.g_00496	Praw.g_00542
OG0000324	Syaa.g_00653	Praw.g_00569
OG0000325	Syaa.g_02350	Praw.g_01916
OG0000326	Syaa.g_02343	Praw.g_01910
OG0000327	Syaa.g_02294	Praw.g_00137
OG0000328	Syaa.g_02293	Praw.g_00136
OG0000329	Syaa.g_02275	Praw.g_00119
OG0000330	Syaa.g_02274	Praw.g_00118
OG0000331	Syaa.g_02273	Praw.g_00117
OG0000332	Syaa.g_02258	Praw.g_00103
OG0000333	Syaa.g_02255	Praw.g_00101
OG0000334	Syaa.g_02246	Praw.g_00093
OG0000335	Syaa.g_02241	Praw.g_00088
OG0000336	Syaa.g_02237	Praw.g_00084
OG0000337	Syaa.g_00167	Praw.g_00068
OG0000338	Syaa.g_00162	Praw.g_00067
OG0000339	Syaa.g_00156	Praw.g_00063
OG0000340	Syaa.g_00144	Praw.g_00055
OG0000341	Syaa.g_00142	Praw.g_00053
OG0000342	Syaa.g_00141	Praw.g_00052
OG0000343	Syaa.g_00140	Praw.g_00051
OG0000344	Syaa.g_00136	Praw.g_00048
OG0000345	Syaa.g_00127	Praw.g_00043
OG0000346	Syaa.g_00122	Praw.g_00038
OG0000347	Syaa.g_00088	Praw.g_00022
OG0000348	Syaa.g_00071	Praw.g_00013
OG0000349	Syaa.g_00053	Praw.g_01189
OG0000350	Syaa.g_02336	Praw.g_01170
OG0000351	Syaa.g_02730	Praw.g_01153
OG0000352	Syaa.g_02731	Praw.g_01152
OG0000353	Syaa.g_02757	Praw.g_01137
OG0000354	Syaa.g_00019, Syaa.g_00020	Praw.g_00910
OG0000355	Syaa.g_00001	Praw.g_01135
OG0000356	Syaa.g_00002	Praw.g_01134
