Orthogroup	Syaa	Prax
OG0000001	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436, Syaa.g_02439, Syaa.g_02329	Prax.g_01878
OG0000004	Syaa.g_00892	Prax.g_00947
OG0000004	Syaa.g_01667, Syaa.g_02116	Prax.g_00986
OG0000005	Syaa.g_00534	Prax.g_01546
OG0000005	Syaa.g_00573	Prax.g_01652
OG0000006	Syaa.g_01611, Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Prax.g_01972
OG0000007	Syaa.g_02032	Prax.g_00704
OG0000007	Syaa.g_00551	Prax.g_01559
OG0000010	Syaa.g_01843	Prax.g_01212
OG0000011	Syaa.g_00921	Prax.g_00454
OG0000012	Syaa.g_01660, Syaa.g_02304	Prax.g_00082
OG0000013	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217	Prax.g_00846
OG0000014	Syaa.g_00222	Prax.g_00869
OG0000014	Syaa.g_00481	Prax.g_01763
OG0000015	Syaa.g_02739, Syaa.g_01079, Syaa.g_01989	Prax.g_00523, Prax.g_00410
OG0000017	Syaa.g_01890, Syaa.g_01883	Prax.g_00057
OG0000018	Syaa.g_01801	Prax.g_00181
OG0000019	Syaa.g_00307	Prax.g_00926, Prax.g_00393
OG0000021	Syaa.g_02627	Prax.g_01587, Prax.g_00808
OG0000022	Syaa.g_01571	Prax.g_00157
OG0000023	Syaa.g_01529, Syaa.g_01216	Prax.g_00813
OG0000024	Syaa.g_00922	Prax.g_00432, Prax.g_00967
OG0000025	Syaa.g_00839	Prax.g_00842, Prax.g_00338
OG0000026	Syaa.g_00038	Prax.g_00458, Prax.g_00282, Prax.g_01220
OG0000027	Syaa.g_01605, Syaa.g_00854	Prax.g_01916
OG0000028	Syaa.g_00205	Prax.g_00855
OG0000029	Syaa.g_01578	Prax.g_00425, Prax.g_00798
OG0000030	Syaa.g_00099, Syaa.g_00098	Prax.g_01404
OG0000031	Syaa.g_00200, Syaa.g_00480	Prax.g_01831
OG0000034	Syaa.g_00722, Syaa.g_02444	Prax.g_01889
OG0000035	Syaa.g_01773	Prax.g_01728, Prax.g_01733
OG0000037	Syaa.g_02384	Prax.g_01110
OG0000038	Syaa.g_02596	Prax.g_01445
OG0000039	Syaa.g_00846	Prax.g_00956
OG0000040	Syaa.g_01606	Prax.g_01591
OG0000040	Syaa.g_02690	Prax.g_00180
OG0000041	Syaa.g_00660, Syaa.g_00869	Prax.g_01512
OG0000042	Syaa.g_00103	Prax.g_01401
OG0000045	Syaa.g_01560	Prax.g_00802
OG0000047	Syaa.g_02189	Prax.g_00843
OG0000048	Syaa.g_00275, Syaa.g_02719	Prax.g_00173, Prax.g_00512, Prax.g_00799
OG0000050	Syaa.g_01591	Prax.g_00448, Prax.g_00508
OG0000050	Syaa.g_01213, Syaa.g_01712	Prax.g_01240
OG0000051	Syaa.g_01531	Prax.g_01927
OG0000053	Syaa.g_01797	Prax.g_01708
OG0000054	Syaa.g_01691, Syaa.g_01502	Prax.g_00065
OG0000055	Syaa.g_01564, Syaa.g_00852	Prax.g_00392
OG0000057	Syaa.g_01466, Syaa.g_00889	Prax.g_00944
OG0000059	Syaa.g_02315	Prax.g_01286
OG0000060	Syaa.g_02053, Syaa.g_01007	Prax.g_00517
OG0000061	Syaa.g_00770	Prax.g_00200
OG0000062	Syaa.g_00571	Prax.g_01650
OG0000063	Syaa.g_00042	Prax.g_00280
OG0000065	Syaa.g_02380	Prax.g_01112
OG0000066	Syaa.g_01968	Prax.g_00662
OG0000067	Syaa.g_01154	Prax.g_00373
OG0000068	Syaa.g_02059	Prax.g_01863
OG0000069	Syaa.g_01497, Syaa.g_01256	Prax.g_01616
OG0000070	Syaa.g_00718	Prax.g_00750
OG0000071	Syaa.g_00735	Prax.g_01899
OG0000072	Syaa.g_02480	Prax.g_01047
OG0000073	Syaa.g_02030	Prax.g_00702
OG0000074	Syaa.g_00372	Prax.g_00960
OG0000075	Syaa.g_00157	Prax.g_01370
OG0000076	Syaa.g_00123	Prax.g_01394
OG0000077	Syaa.g_00341	Prax.g_00649
OG0000078	Syaa.g_02103	Prax.g_00979
OG0000079	Syaa.g_00303	Prax.g_00923
OG0000081	Syaa.g_02089, Syaa.g_01694	Prax.g_00670
OG0000082	Syaa.g_01905	Prax.g_00045
OG0000084	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770	Prax.g_01737
OG0000085	Syaa.g_00564	Prax.g_01566
OG0000086	Syaa.g_00324	Prax.g_00659
OG0000087	Syaa.g_02433	Prax.g_01079
OG0000088	Syaa.g_02474	Prax.g_01052
OG0000089	Syaa.g_02149	Prax.g_00817
OG0000090	Syaa.g_01980	Prax.g_00668
OG0000091	Syaa.g_01625	Prax.g_00101
OG0000093	Syaa.g_01139	Prax.g_00588
OG0000094	Syaa.g_01288	Prax.g_01185
OG0000095	Syaa.g_00879	Prax.g_01204
OG0000097	Syaa.g_00979	Prax.g_00241
OG0000098	Syaa.g_01970	Prax.g_01881
OG0000099	Syaa.g_00202	Prax.g_01825
OG0000100	Syaa.g_01201	Prax.g_01654
OG0000101	Syaa.g_02249	Prax.g_01338
OG0000102	Syaa.g_00118	Prax.g_01399
OG0000103	Syaa.g_02740	Prax.g_01478
OG0000104	Syaa.g_02754	Prax.g_01486
OG0000105	Syaa.g_00270	Prax.g_00901
OG0000106	Syaa.g_01439	Prax.g_00803
OG0000107	Syaa.g_02351	Prax.g_00790
OG0000108	Syaa.g_02051	Prax.g_00722
OG0000109	Syaa.g_02036	Prax.g_00707
OG0000110	Syaa.g_01918	Prax.g_00035
OG0000111	Syaa.g_00888	Prax.g_00943
OG0000112	Syaa.g_01366	Prax.g_00409
OG0000113	Syaa.g_01196	Prax.g_00351
OG0000114	Syaa.g_01094	Prax.g_00561
OG0000115	Syaa.g_01795	Prax.g_00132
OG0000116	Syaa.g_00757	Prax.g_00190
OG0000117	Syaa.g_01009	Prax.g_01959
OG0000118	Syaa.g_01874	Prax.g_01887
OG0000119	Syaa.g_00785	Prax.g_01867
OG0000120	Syaa.g_00201	Prax.g_01832
OG0000121	Syaa.g_01777	Prax.g_01726
OG0000122	Syaa.g_01598	Prax.g_01688
OG0000123	Syaa.g_02242	Prax.g_01345
OG0000124	Syaa.g_00092	Prax.g_01410
OG0000125	Syaa.g_02598	Prax.g_01447
OG0000126	Syaa.g_02752	Prax.g_01485
OG0000128	Syaa.g_00012	Prax.g_01974
OG0000129	Syaa.g_02586	Prax.g_00269
OG0000130	Syaa.g_00354	Prax.g_00640
OG0000131	Syaa.g_02448	Prax.g_01073
OG0000132	Syaa.g_02472	Prax.g_01054
OG0000133	Syaa.g_01361	Prax.g_00853, Prax.g_00852, Prax.g_01783
OG0000134	Syaa.g_02146	Prax.g_00816, Prax.g_01573
OG0000135	Syaa.g_02649	Prax.g_00792
OG0000136	Syaa.g_00708	Prax.g_00759
OG0000137	Syaa.g_01842	Prax.g_00727
OG0000138	Syaa.g_02035	Prax.g_00706
OG0000139	Syaa.g_01974	Prax.g_00664
OG0000140	Syaa.g_01971	Prax.g_00663
OG0000141	Syaa.g_01689	Prax.g_00066
OG0000142	Syaa.g_01633	Prax.g_00094
OG0000143	Syaa.g_01629	Prax.g_00098
OG0000144	Syaa.g_01446	Prax.g_00111
OG0000145	Syaa.g_02029	Prax.g_00413
OG0000146	Syaa.g_01367	Prax.g_00408
