Orthogroup	Syaa	Syae
OG0000001	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Syae.g_01416
OG0000001	Syaa.g_02329	Syae.g_02055
OG0000004	Syaa.g_00892	Syae.g_00779
OG0000004	Syaa.g_01667	Syae.g_00042
OG0000004	Syaa.g_02116	Syae.g_02231
OG0000005	Syaa.g_00534	Syae.g_01179
OG0000005	Syaa.g_00573	Syae.g_01143
OG0000005	Syaa.g_01449	Syae.g_00257
OG0000006	Syaa.g_01611	Syae.g_00096
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Syae.g_02030, Syae.g_02248
OG0000007	Syaa.g_02032	Syae.g_02328
OG0000007	Syaa.g_00551	Syae.g_01163
OG0000008	Syaa.g_00918	Syae.g_00753
OG0000008	Syaa.g_00919	Syae.g_00752
OG0000009	Syaa.g_02378	Syae.g_01361
OG0000010	Syaa.g_01843	Syae.g_02529
OG0000011	Syaa.g_00921	Syae.g_00750
OG0000012	Syaa.g_01660	Syae.g_00049
OG0000012	Syaa.g_02304	Syae.g_02562
OG0000013	Syaa.g_02212	Syae.g_02160
OG0000013	Syaa.g_02204	Syae.g_02169
OG0000013	Syaa.g_02217	Syae.g_02155
OG0000014	Syaa.g_00222	Syae.g_01930
OG0000014	Syaa.g_00481	Syae.g_01850
OG0000015	Syaa.g_02739	Syae.g_01693
OG0000015	Syaa.g_01079	Syae.g_00590
OG0000016	Syaa.g_00014	Syae.g_01726
OG0000016	Syaa.g_00981	Syae.g_00681
OG0000016	Syaa.g_01481	Syae.g_00233
OG0000017	Syaa.g_01890	Syae.g_02462
OG0000017	Syaa.g_01883	Syae.g_02469
OG0000018	Syaa.g_01801	Syae.g_02625
OG0000019	Syaa.g_00307	Syae.g_02015
OG0000022	Syaa.g_01571	Syae.g_00144
OG0000023	Syaa.g_01216	Syae.g_00439
OG0000025	Syaa.g_00839	Syae.g_00833
OG0000026	Syaa.g_00038	Syae.g_01748
OG0000027	Syaa.g_01605	Syae.g_00103
OG0000027	Syaa.g_00854	Syae.g_00814
OG0000028	Syaa.g_00205	Syae.g_01916
OG0000029	Syaa.g_01578	Syae.g_00136
OG0000030	Syaa.g_00099	Syae.g_01817
OG0000030	Syaa.g_00098	Syae.g_01816
OG0000031	Syaa.g_00200	Syae.g_01911
OG0000032	Syaa.g_01818	Syae.g_02607
OG0000033	Syaa.g_02478	Syae.g_01453
OG0000034	Syaa.g_00722, Syaa.g_02444	Syae.g_00975, Syae.g_01424
OG0000035	Syaa.g_01773	Syae.g_02653
OG0000037	Syaa.g_02384	Syae.g_01367
OG0000038	Syaa.g_02596	Syae.g_01571
OG0000039	Syaa.g_00846	Syae.g_00822
OG0000040	Syaa.g_02690	Syae.g_01653
OG0000041	Syaa.g_00660	Syae.g_01042
OG0000041	Syaa.g_00869	Syae.g_00802
OG0000042	Syaa.g_00103	Syae.g_01821
OG0000043	Syaa.g_01437	Syae.g_00117
OG0000044	Syaa.g_01737, Syaa.g_00363, Syaa.g_00851	Syae.g_00098
OG0000045	Syaa.g_01518	Syae.g_00732
OG0000046	Syaa.g_02211	Syae.g_02161
OG0000046	Syaa.g_02205	Syae.g_02168
OG0000046	Syaa.g_02218	Syae.g_02154
OG0000047	Syaa.g_02189	Syae.g_02184
OG0000048	Syaa.g_00275	Syae.g_01982
OG0000050	Syaa.g_01591	Syae.g_00122
OG0000050	Syaa.g_01213, Syaa.g_01712	Syae.g_01023
OG0000051	Syaa.g_01531	Syae.g_00438
OG0000052	Syaa.g_00461	Syae.g_01224
OG0000052	Syaa.g_00174	Syae.g_01886
OG0000053	Syaa.g_01797	Syae.g_02629
OG0000054	Syaa.g_01691	Syae.g_00014
OG0000054	Syaa.g_01502	Syae.g_00221
OG0000055	Syaa.g_00852	Syae.g_00817
OG0000057	Syaa.g_01466, Syaa.g_00889	Syae.g_00782
OG0000058	Syaa.g_00193	Syae.g_01905
OG0000058	Syaa.g_00455	Syae.g_01227
OG0000059	Syaa.g_02315	Syae.g_02074
OG0000060	Syaa.g_02053	Syae.g_02306
OG0000060	Syaa.g_01007	Syae.g_00649
OG0000061	Syaa.g_00770	Syae.g_00921
OG0000062	Syaa.g_00571	Syae.g_01145
OG0000063	Syaa.g_00042	Syae.g_01752
OG0000064	Syaa.g_00579	Syae.g_01137
OG0000064	Syaa.g_02666	Syae.g_01631
OG0000065	Syaa.g_02380	Syae.g_01363
OG0000066	Syaa.g_01968	Syae.g_02386
OG0000067	Syaa.g_01154	Syae.g_00521
OG0000068	Syaa.g_02059	Syae.g_02299
OG0000069	Syaa.g_01256	Syae.g_00458
OG0000070	Syaa.g_00718	Syae.g_00979
OG0000071	Syaa.g_00735	Syae.g_00961
OG0000072	Syaa.g_02480	Syae.g_01455
OG0000073	Syaa.g_02030	Syae.g_02330
OG0000074	Syaa.g_00372	Syae.g_00719
OG0000075	Syaa.g_00157	Syae.g_01871
OG0000076	Syaa.g_00123	Syae.g_01829
OG0000077	Syaa.g_00341	Syae.g_01297
OG0000078	Syaa.g_02103	Syae.g_02243
OG0000079	Syaa.g_00303	Syae.g_02011
OG0000081	Syaa.g_02089	Syae.g_02261
OG0000082	Syaa.g_01905	Syae.g_02447
OG0000084	Syaa.g_01827, Syaa.g_02302	Syae.g_00857
OG0000084	Syaa.g_01770	Syae.g_02656
OG0000085	Syaa.g_00564	Syae.g_01152
OG0000086	Syaa.g_00324	Syae.g_01333
OG0000087	Syaa.g_02433	Syae.g_01414
OG0000088	Syaa.g_02474	Syae.g_01449
OG0000089	Syaa.g_02149	Syae.g_02219
OG0000090	Syaa.g_01980	Syae.g_02374
OG0000091	Syaa.g_01625	Syae.g_00082
OG0000093	Syaa.g_01139	Syae.g_00537
OG0000094	Syaa.g_01288	Syae.g_00430
OG0000095	Syaa.g_00879	Syae.g_00793
OG0000097	Syaa.g_00979	Syae.g_00683
OG0000098	Syaa.g_01970	Syae.g_02384
OG0000099	Syaa.g_00202	Syae.g_01913
OG0000100	Syaa.g_01201	Syae.g_00489
OG0000101	Syaa.g_02249	Syae.g_02125
OG0000102	Syaa.g_00118	Syae.g_01824
OG0000103	Syaa.g_02740	Syae.g_01694
OG0000104	Syaa.g_02754	Syae.g_01708
OG0000105	Syaa.g_00270	Syae.g_01977
OG0000106	Syaa.g_01439	Syae.g_00272
OG0000107	Syaa.g_02351	Syae.g_02032
OG0000108	Syaa.g_02051	Syae.g_02309
OG0000109	Syaa.g_02036	Syae.g_02324
OG0000110	Syaa.g_01918	Syae.g_02435
OG0000111	Syaa.g_00888	Syae.g_00783
OG0000112	Syaa.g_01366	Syae.g_00351
OG0000113	Syaa.g_01196	Syae.g_00494
OG0000114	Syaa.g_01094	Syae.g_00575
OG0000115	Syaa.g_01795	Syae.g_02631
