Orthogroup	Syaa	Syal
OG0000001	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Syal.g_02215
OG0000004	Syaa.g_00892	Syal.g_01809
OG0000004	Syaa.g_01667	Syal.g_02718
OG0000004	Syaa.g_02116	Syal.g_00691
OG0000005	Syaa.g_00534	Syal.g_00606
OG0000005	Syaa.g_00573	Syal.g_00565
OG0000005	Syaa.g_01449	Syal.g_01664
OG0000006	Syaa.g_01611	Syal.g_02611
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Syal.g_00674
OG0000007	Syaa.g_02032	Syal.g_02918
OG0000007	Syaa.g_00551	Syal.g_00587
OG0000008	Syaa.g_00918	Syal.g_02512
OG0000008	Syaa.g_00919	Syal.g_01783
OG0000009	Syaa.g_02378	Syal.g_00818
OG0000010	Syaa.g_01843	Syal.g_00464
OG0000011	Syaa.g_00921	Syal.g_00702
OG0000012	Syaa.g_02304	Syal.g_01639
OG0000013	Syaa.g_02212	Syal.g_00315
OG0000013	Syaa.g_02204	Syal.g_00322
OG0000013	Syaa.g_02217	Syal.g_00310
OG0000014	Syaa.g_00222	Syal.g_01305
OG0000015	Syaa.g_02739	Syal.g_02210, Syal.g_01183
OG0000016	Syaa.g_00014	Syal.g_00111
OG0000016	Syaa.g_00981	Syal.g_01734
OG0000017	Syaa.g_01890	Syal.g_02752
OG0000017	Syaa.g_01883	Syal.g_02745
OG0000018	Syaa.g_01801	Syal.g_00410
OG0000019	Syaa.g_00307	Syal.g_01209
OG0000022	Syaa.g_01571	Syal.g_02587
OG0000024	Syaa.g_00922	Syal.g_02597
OG0000025	Syaa.g_00839	Syal.g_02459
OG0000026	Syaa.g_00038	Syal.g_00132
OG0000027	Syaa.g_00854	Syal.g_02543
OG0000028	Syaa.g_00205	Syal.g_01319
OG0000029	Syaa.g_01578	Syal.g_03014
OG0000030	Syaa.g_00099	Syal.g_01511
OG0000030	Syaa.g_00098	Syal.g_01512
OG0000031	Syaa.g_00200	Syal.g_01404, Syal.g_01432
OG0000032	Syaa.g_01818	Syal.g_00428
OG0000033	Syaa.g_02478	Syal.g_00912
OG0000034	Syaa.g_00722, Syaa.g_02444	Syal.g_00881, Syal.g_01586
OG0000035	Syaa.g_01773	Syal.g_00370, Syal.g_00020
OG0000037	Syaa.g_02384	Syal.g_00601
OG0000038	Syaa.g_02596	Syal.g_01071
OG0000040	Syaa.g_01606	Syal.g_01187
OG0000040	Syaa.g_02690	Syal.g_01149
OG0000041	Syaa.g_00660, Syaa.g_00869	Syal.g_00649
OG0000042	Syaa.g_00103	Syal.g_01705, Syal.g_01508
OG0000043	Syaa.g_01437	Syal.g_02547
OG0000044	Syaa.g_00851	Syal.g_01847
OG0000045	Syaa.g_01518	Syal.g_01563
OG0000046	Syaa.g_02211	Syal.g_00316
OG0000046	Syaa.g_02205	Syal.g_00321
OG0000046	Syaa.g_02218	Syal.g_00309
OG0000047	Syaa.g_02189	Syal.g_01568
OG0000048	Syaa.g_00275, Syaa.g_02719	Syal.g_01250
OG0000050	Syaa.g_01213, Syaa.g_01712	Syal.g_01549
OG0000051	Syaa.g_01531	Syal.g_01550
OG0000052	Syaa.g_00461	Syal.g_01396
OG0000052	Syaa.g_00174	Syal.g_01338
OG0000053	Syaa.g_01797	Syal.g_00406
OG0000054	Syaa.g_01502	Syal.g_02098
OG0000055	Syaa.g_00852	Syal.g_01845
OG0000057	Syaa.g_01466	Syal.g_01812
OG0000058	Syaa.g_00193, Syaa.g_00455	Syal.g_01326
OG0000059	Syaa.g_02315	Syal.g_00225
OG0000060	Syaa.g_02053	Syal.g_02895
OG0000060	Syaa.g_01007	Syal.g_02214
OG0000061	Syaa.g_00770	Syal.g_01653
OG0000062	Syaa.g_00571	Syal.g_00567
OG0000063	Syaa.g_00042	Syal.g_00136
OG0000064	Syaa.g_00579	Syal.g_01545
OG0000064	Syaa.g_01284, Syaa.g_02666	Syal.g_02544
OG0000064	Syaa.g_01568	Syal.g_01681
OG0000067	Syaa.g_01154	Syal.g_02414
OG0000068	Syaa.g_02059	Syal.g_02888
OG0000070	Syaa.g_00718	Syal.g_00509
OG0000071	Syaa.g_00735	Syal.g_01601
OG0000072	Syaa.g_02480	Syal.g_00914
OG0000073	Syaa.g_02030	Syal.g_02920
OG0000075	Syaa.g_00157	Syal.g_01350
OG0000076	Syaa.g_00123	Syal.g_01459
OG0000078	Syaa.g_02103	Syal.g_00680
OG0000079	Syaa.g_00303	Syal.g_01213
OG0000080	Syaa.g_00487	Syal.g_01394
OG0000081	Syaa.g_02089, Syaa.g_01694	Syal.g_02555
OG0000082	Syaa.g_01905	Syal.g_02769
OG0000084	Syaa.g_01827, Syaa.g_02302	Syal.g_01896
OG0000085	Syaa.g_00564	Syal.g_00575
OG0000086	Syaa.g_00324	Syal.g_00784
OG0000087	Syaa.g_02433	Syal.g_00871
OG0000088	Syaa.g_02474	Syal.g_00908
OG0000089	Syaa.g_02149	Syal.g_00555
OG0000090	Syaa.g_01980	Syal.g_02838
OG0000091	Syaa.g_01625	Syal.g_02628
OG0000093	Syaa.g_01139	Syal.g_02233
OG0000094	Syaa.g_01288	Syal.g_01907
OG0000095	Syaa.g_00879	Syal.g_01823
OG0000097	Syaa.g_00979	Syal.g_01735
OG0000099	Syaa.g_00202	Syal.g_01323
OG0000100	Syaa.g_01201	Syal.g_02448
OG0000101	Syaa.g_02249	Syal.g_00275
OG0000102	Syaa.g_00118	Syal.g_01488
OG0000103	Syaa.g_02740	Syal.g_00077
OG0000104	Syaa.g_02754	Syal.g_00092
OG0000105	Syaa.g_00270	Syal.g_01255
OG0000106	Syaa.g_01439	Syal.g_02577
OG0000107	Syaa.g_02351	Syal.g_00194
OG0000108	Syaa.g_02051	Syal.g_02897
OG0000109	Syaa.g_02036	Syal.g_02913
OG0000110	Syaa.g_01918	Syal.g_02782
OG0000111	Syaa.g_00888	Syal.g_01813
OG0000112	Syaa.g_01366	Syal.g_02000
OG0000113	Syaa.g_01196	Syal.g_02443
OG0000114	Syaa.g_01094	Syal.g_02286
OG0000115	Syaa.g_01795	Syal.g_00404
OG0000116	Syaa.g_00757	Syal.g_01630
OG0000117	Syaa.g_01009	Syal.g_01704
OG0000118	Syaa.g_01874	Syal.g_01583
OG0000119	Syaa.g_00785	Syal.g_02056
OG0000120	Syaa.g_00201	Syal.g_01324
OG0000121	Syaa.g_01777	Syal.g_00374
OG0000122	Syaa.g_01598	Syal.g_02602
OG0000123	Syaa.g_02242	Syal.g_00283
OG0000124	Syaa.g_00092	Syal.g_01519
OG0000125	Syaa.g_02598	Syal.g_01075
OG0000126	Syaa.g_02752	Syal.g_00090
OG0000127	Syaa.g_00377	Syal.g_00720
OG0000128	Syaa.g_00012	Syal.g_00109
OG0000129	Syaa.g_02586	Syal.g_01062
OG0000130	Syaa.g_00354	Syal.g_00751
OG0000131	Syaa.g_02448	Syal.g_00886
OG0000132	Syaa.g_02472	Syal.g_00906
OG0000133	Syaa.g_01361	Syal.g_01995
OG0000134	Syaa.g_02146	Syal.g_00552
OG0000135	Syaa.g_02649	Syal.g_01119
OG0000136	Syaa.g_00708	Syal.g_00520
OG0000137	Syaa.g_01842	Syal.g_00463
OG0000138	Syaa.g_02035	Syal.g_02914
OG0000139	Syaa.g_01974	Syal.g_02832
OG0000140	Syaa.g_01971	Syal.g_02830
OG0000141	Syaa.g_01689	Syal.g_02738
OG0000142	Syaa.g_01633	Syal.g_02636
OG0000143	Syaa.g_01629	Syal.g_02632
OG0000144	Syaa.g_01446	Syal.g_02515
OG0000145	Syaa.g_02029	Syal.g_02921
OG0000146	Syaa.g_01367	Syal.g_02001
OG0000147	Syaa.g_01368	Syal.g_02002
OG0000148	Syaa.g_01190	Syal.g_02437
OG0000149	Syaa.g_00826	Syal.g_02475
OG0000150	Syaa.g_01688	Syal.g_02737
OG0000151	Syaa.g_01107	Syal.g_02263
OG0000152	Syaa.g_01357	Syal.g_01991
OG0000153	Syaa.g_01324	Syal.g_01958
OG0000154	Syaa.g_01298	Syal.g_01918
OG0000155	Syaa.g_00804	Syal.g_01695
OG0000156	Syaa.g_00751	Syal.g_01620
OG0000157	Syaa.g_00750	Syal.g_01619
OG0000158	Syaa.g_00148	Syal.g_01431
OG0000159	Syaa.g_00456	Syal.g_01400
OG0000160	Syaa.g_01776	Syal.g_00372
OG0000161	Syaa.g_01782	Syal.g_00384
OG0000162	Syaa.g_01788	Syal.g_00396
OG0000163	Syaa.g_00624	Syal.g_02971
OG0000164	Syaa.g_00507	Syal.g_00623
OG0000165	Syaa.g_00681	Syal.g_00632
OG0000166	Syaa.g_02289	Syal.g_00236
OG0000167	Syaa.g_00160	Syal.g_01347
OG0000168	Syaa.g_00145	Syal.g_01433
OG0000169	Syaa.g_00134	Syal.g_01447
OG0000170	Syaa.g_00128	Syal.g_01454
OG0000171	Syaa.g_00093	Syal.g_01518
OG0000172	Syaa.g_00079	Syal.g_00174, Syal.g_00173
OG0000173	Syaa.g_00060	Syal.g_00155
OG0000174	Syaa.g_02651	Syal.g_01121
OG0000175	Syaa.g_02726	Syal.g_01172
OG0000176	Syaa.g_00004	Syal.g_00101
OG0000177	Syaa.g_00005	Syal.g_00102
OG0000178	Syaa.g_00006	Syal.g_00103
OG0000179	Syaa.g_00023	Syal.g_00118
OG0000180	Syaa.g_00024	Syal.g_00119
OG0000181	Syaa.g_00025	Syal.g_00120
OG0000182	Syaa.g_00026	Syal.g_00121
OG0000183	Syaa.g_00030	Syal.g_00125
OG0000184	Syaa.g_02578	Syal.g_02678, Syal.g_01050
OG0000185	Syaa.g_02575	Syal.g_01025
OG0000186	Syaa.g_00359	Syal.g_02684, Syal.g_00747
OG0000187	Syaa.g_00358	Syal.g_02685, Syal.g_00748
OG0000188	Syaa.g_00334	Syal.g_00771
OG0000189	Syaa.g_02367	Syal.g_00807
OG0000190	Syaa.g_02369	Syal.g_01364
OG0000191	Syaa.g_02404	Syal.g_00841
OG0000192	Syaa.g_02410	Syal.g_00847
OG0000193	Syaa.g_02449	Syal.g_00887
OG0000194	Syaa.g_02452	Syal.g_00890
OG0000195	Syaa.g_02459	Syal.g_00892
OG0000196	Syaa.g_02469	Syal.g_00903
OG0000197	Syaa.g_02470	Syal.g_00904
OG0000198	Syaa.g_02471	Syal.g_00905
OG0000199	Syaa.g_02479	Syal.g_00913
OG0000200	Syaa.g_02496	Syal.g_00932
OG0000201	Syaa.g_02521	Syal.g_00949
OG0000202	Syaa.g_02522	Syal.g_00950
OG0000203	Syaa.g_02523	Syal.g_00951
OG0000204	Syaa.g_02524	Syal.g_00952
OG0000205	Syaa.g_02531	Syal.g_00959
OG0000206	Syaa.g_02538	Syal.g_00971
OG0000207	Syaa.g_02540	Syal.g_00974
OG0000208	Syaa.g_02541	Syal.g_00975
OG0000209	Syaa.g_02556	Syal.g_01000
OG0000210	Syaa.g_02557	Syal.g_01001
OG0000211	Syaa.g_02113	Syal.g_00688
OG0000212	Syaa.g_02102	Syal.g_00679
OG0000213	Syaa.g_00295	Syal.g_01229
OG0000214	Syaa.g_00279	Syal.g_01246
OG0000215	Syaa.g_00248	Syal.g_01277
OG0000216	Syaa.g_00244	Syal.g_01281
OG0000217	Syaa.g_00240	Syal.g_01285
OG0000218	Syaa.g_00238	Syal.g_01287
OG0000219	Syaa.g_00237	Syal.g_01288
OG0000220	Syaa.g_00236	Syal.g_01289
OG0000221	Syaa.g_00229	Syal.g_01297
OG0000222	Syaa.g_00215	Syal.g_01309
OG0000223	Syaa.g_00192	Syal.g_01327
OG0000224	Syaa.g_00183	Syal.g_01329
OG0000225	Syaa.g_02166	Syal.g_00363
OG0000226	Syaa.g_02162	Syal.g_00367
OG0000227	Syaa.g_02160	Syal.g_00369
OG0000228	Syaa.g_02150	Syal.g_00556
OG0000229	Syaa.g_00703	Syal.g_00525
OG0000230	Syaa.g_00705	Syal.g_00523
OG0000231	Syaa.g_00717	Syal.g_00510
OG0000232	Syaa.g_01858	Syal.g_00495
OG0000233	Syaa.g_01853	Syal.g_00487
OG0000234	Syaa.g_01841	Syal.g_00461
OG0000235	Syaa.g_02052	Syal.g_02896
OG0000236	Syaa.g_02037	Syal.g_02912
OG0000237	Syaa.g_02020	Syal.g_02930
OG0000238	Syaa.g_02015	Syal.g_02935
OG0000239	Syaa.g_01996	Syal.g_02951
OG0000240	Syaa.g_01995	Syal.g_02952
OG0000241	Syaa.g_01644	Syal.g_02696
OG0000242	Syaa.g_01982	Syal.g_02840
OG0000243	Syaa.g_01960	Syal.g_02822
OG0000244	Syaa.g_01954	Syal.g_02815
OG0000245	Syaa.g_01952	Syal.g_02813
OG0000246	Syaa.g_01948	Syal.g_02809
OG0000247	Syaa.g_01937	Syal.g_02797
OG0000248	Syaa.g_01934	Syal.g_02794
OG0000249	Syaa.g_01932	Syal.g_02792
OG0000250	Syaa.g_01922	Syal.g_02786
OG0000251	Syaa.g_01897	Syal.g_02760
OG0000252	Syaa.g_01894	Syal.g_02757
OG0000253	Syaa.g_01893	Syal.g_02755
OG0000254	Syaa.g_01684	Syal.g_02732
OG0000255	Syaa.g_01668	Syal.g_02719
OG0000256	Syaa.g_01651	Syal.g_02705
OG0000257	Syaa.g_01645	Syal.g_02697
OG0000258	Syaa.g_01624	Syal.g_02623
OG0000259	Syaa.g_01063	Syal.g_02182
OG0000260	Syaa.g_01066	Syal.g_02188
OG0000261	Syaa.g_01069	Syal.g_02199
OG0000262	Syaa.g_01074	Syal.g_02204
OG0000263	Syaa.g_00989	Syal.g_01720
OG0000264	Syaa.g_00910	Syal.g_01788
OG0000265	Syaa.g_01498	Syal.g_02534
OG0000266	Syaa.g_01257, Syaa.g_01258	Syal.g_02421
OG0000267	Syaa.g_01409	Syal.g_02043
OG0000268	Syaa.g_01408	Syal.g_02042
OG0000269	Syaa.g_01149	Syal.g_02409
OG0000270	Syaa.g_01152	Syal.g_02412
OG0000271	Syaa.g_01160	Syal.g_01871
OG0000272	Syaa.g_01161	Syal.g_01872
OG0000274	Syaa.g_00843	Syal.g_02455
OG0000275	Syaa.g_00840	Syal.g_02458
OG0000276	Syaa.g_00834	Syal.g_02467
OG0000277	Syaa.g_00833	Syal.g_02468
OG0000278	Syaa.g_00830	Syal.g_02471
OG0000279	Syaa.g_00822	Syal.g_02479
OG0000280	Syaa.g_00815	Syal.g_02493
OG0000282	Syaa.g_01096	Syal.g_02284
OG0000283	Syaa.g_01396	Syal.g_02028, Syal.g_02131
OG0000284	Syaa.g_01390	Syal.g_02023
OG0000285	Syaa.g_01377	Syal.g_02012
OG0000286	Syaa.g_01358	Syal.g_01992
OG0000287	Syaa.g_01330	Syal.g_01965
OG0000288	Syaa.g_01299	Syal.g_01919
OG0000289	Syaa.g_01285	Syal.g_01904
OG0000290	Syaa.g_00875	Syal.g_01826
OG0000291	Syaa.g_00877	Syal.g_01824
OG0000292	Syaa.g_02751	Syal.g_00089
OG0000293	Syaa.g_00758	Syal.g_01631
OG0000294	Syaa.g_00759	Syal.g_01632
OG0000295	Syaa.g_00796	Syal.g_01687
OG0000296	Syaa.g_00798	Syal.g_01689
OG0000297	Syaa.g_01021	Syal.g_01702
OG0000298	Syaa.g_01010	Syal.g_01703
OG0000299	Syaa.g_00982	Syal.g_01732
OG0000300	Syaa.g_00976	Syal.g_01738
OG0000301	Syaa.g_00975	Syal.g_01739
OG0000302	Syaa.g_00972	Syal.g_01740
OG0000303	Syaa.g_00963	Syal.g_01763
OG0000304	Syaa.g_00957	Syal.g_01756
OG0000305	Syaa.g_00881	Syal.g_01821
OG0000306	Syaa.g_00807	Syal.g_02579
OG0000307	Syaa.g_02068	Syal.g_02880
OG0000308	Syaa.g_02070	Syal.g_02878
OG0000309	Syaa.g_02075	Syal.g_02873
OG0000310	Syaa.g_01752	Syal.g_01537
OG0000311	Syaa.g_01757	Syal.g_00061
OG0000312	Syaa.g_01762	Syal.g_00031
OG0000313	Syaa.g_01779	Syal.g_00381
OG0000314	Syaa.g_01806	Syal.g_00416
OG0000315	Syaa.g_01816	Syal.g_00426
OG0000316	Syaa.g_00598	Syal.g_02987
OG0000317	Syaa.g_00556	Syal.g_00583
OG0000318	Syaa.g_00550	Syal.g_00588
OG0000319	Syaa.g_00532	Syal.g_00608
OG0000320	Syaa.g_00530	Syal.g_00610
OG0000321	Syaa.g_00529	Syal.g_00611
OG0000322	Syaa.g_00528	Syal.g_00612
