Orthogroup	Syaa	Syaq
OG0000001	Syaa.g_02435	Syaq.g_01436
OG0000001	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syaa.g_02329	Syaq.g_02178, Syaq.g_02413
OG0000004	Syaa.g_00892	Syaq.g_02603
OG0000004	Syaa.g_01667	Syaq.g_02042
OG0000004	Syaa.g_02116	Syaq.g_01567
OG0000005	Syaa.g_00534	Syaq.g_01658
OG0000005	Syaa.g_00573	Syaq.g_01692
OG0000005	Syaa.g_01449	Syaq.g_00236
OG0000006	Syaa.g_01611	Syaq.g_02108
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Syaq.g_00696, Syaq.g_01590
OG0000007	Syaa.g_02032	Syaq.g_01793
OG0000007	Syaa.g_00551	Syaq.g_01673
OG0000008	Syaa.g_00918	Syaq.g_02162
OG0000008	Syaa.g_00919	Syaq.g_02575
OG0000009	Syaa.g_02378	Syaq.g_01489
OG0000010	Syaa.g_01843	Syaq.g_00443
OG0000011	Syaa.g_00921	Syaq.g_01038
OG0000012	Syaa.g_01660	Syaq.g_02059
OG0000012	Syaa.g_02304	Syaq.g_00077
OG0000013	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Syaa.g_00222	Syaq.g_00862
OG0000015	Syaa.g_02739	Syaq.g_00121, Syaq.g_01171
OG0000015	Syaa.g_01079, Syaa.g_01989	Syaq.g_02255
OG0000016	Syaa.g_00014	Syaq.g_01136
OG0000016	Syaa.g_00981	Syaq.g_00169
OG0000017	Syaa.g_01890	Syaq.g_01992
OG0000017	Syaa.g_01883	Syaq.g_01999
OG0000018	Syaa.g_01801	Syaq.g_00401
OG0000019	Syaa.g_00307	Syaq.g_00717
OG0000022	Syaa.g_01571	Syaq.g_02126
OG0000023	Syaa.g_01529, Syaa.g_01216	Syaq.g_02540
OG0000025	Syaa.g_00839	Syaq.g_02381
OG0000026	Syaa.g_00038	Syaq.g_01114
OG0000028	Syaa.g_00205	Syaq.g_00878
OG0000030	Syaa.g_00099	Syaq.g_01047
OG0000030	Syaa.g_00098	Syaq.g_01048
OG0000031	Syaa.g_00200	Syaq.g_01009
OG0000032	Syaa.g_01818	Syaq.g_00421
OG0000033	Syaa.g_02478	Syaq.g_01399
OG0000034	Syaa.g_00722, Syaa.g_02444	Syaq.g_00312, Syaq.g_01431
OG0000035	Syaa.g_01773	Syaq.g_00372, Syaq.g_00371
OG0000037	Syaa.g_02384	Syaq.g_01483
OG0000038	Syaa.g_02596	Syaq.g_01260
OG0000041	Syaa.g_00869	Syaq.g_02688
OG0000042	Syaa.g_00103	Syaq.g_00200, Syaq.g_01044
OG0000043	Syaa.g_01437	Syaq.g_01920
OG0000044	Syaa.g_00363	Syaq.g_00107
OG0000044	Syaa.g_00851	Syaq.g_02701
OG0000045	Syaa.g_01560, Syaa.g_01518	Syaq.g_02047
OG0000046	Syaa.g_02218	Syaq.g_00570, Syaq.g_00573
OG0000048	Syaa.g_00275	Syaq.g_00749
OG0000052	Syaa.g_00461	Syaq.g_00935
OG0000052	Syaa.g_00174	Syaq.g_00969
OG0000053	Syaa.g_01797	Syaq.g_00397
OG0000054	Syaa.g_01691, Syaa.g_01502	Syaq.g_02005
OG0000055	Syaa.g_00852	Syaq.g_02700
OG0000057	Syaa.g_01466	Syaq.g_02541
OG0000058	Syaa.g_00193	Syaq.g_00944
OG0000059	Syaa.g_02315	Syaq.g_00657
OG0000060	Syaa.g_02053	Syaq.g_01770
OG0000060	Syaa.g_01007	Syaq.g_00201
OG0000061	Syaa.g_00770	Syaq.g_00249
OG0000062	Syaa.g_00571	Syaq.g_01690
OG0000063	Syaa.g_00042	Syaq.g_01110
OG0000064	Syaa.g_02666	Syaq.g_02138
OG0000067	Syaa.g_01154	Syaq.g_02340, Syaq.g_02560
OG0000068	Syaa.g_02059	Syaq.g_01763
OG0000070	Syaa.g_00718	Syaq.g_00484
OG0000071	Syaa.g_00735	Syaq.g_00297
OG0000072	Syaa.g_02480	Syaq.g_01397
OG0000073	Syaa.g_02030	Syaq.g_01795
OG0000075	Syaa.g_00157	Syaq.g_00986
OG0000076	Syaa.g_00123	Syaq.g_01028
OG0000077	Syaa.g_00341	Syaq.g_01547
OG0000078	Syaa.g_02103	Syaq.g_01585
OG0000079	Syaa.g_00303	Syaq.g_00721
OG0000081	Syaa.g_02089, Syaa.g_01694	Syaq.g_01893
OG0000082	Syaa.g_01905	Syaq.g_01975
OG0000084	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770	Syaq.g_00367
OG0000085	Syaa.g_00564	Syaq.g_01683
OG0000086	Syaa.g_00324	Syaq.g_01525
OG0000087	Syaa.g_02433	Syaq.g_01438
OG0000088	Syaa.g_02474	Syaq.g_01402
OG0000089	Syaa.g_02149	Syaq.g_00529
OG0000090	Syaa.g_01980	Syaq.g_01838
OG0000091	Syaa.g_01625	Syaq.g_02090
OG0000093	Syaa.g_01139	Syaq.g_02323
OG0000094	Syaa.g_01288	Syaq.g_00056
OG0000095	Syaa.g_00879	Syaq.g_02679
OG0000097	Syaa.g_00979	Syaq.g_00167
OG0000098	Syaa.g_01970	Syaq.g_02221, Syaq.g_01849
OG0000099	Syaa.g_00202	Syaq.g_00882
OG0000100	Syaa.g_01201	Syaq.g_02371
OG0000101	Syaa.g_02249	Syaq.g_00607
OG0000102	Syaa.g_00118	Syaq.g_01033
OG0000103	Syaa.g_02740	Syaq.g_01170
OG0000104	Syaa.g_02754	Syaq.g_01154
OG0000105	Syaa.g_00270	Syaq.g_00754
OG0000106	Syaa.g_01439	Syaq.g_01863
OG0000107	Syaa.g_02351	Syaq.g_00694
OG0000108	Syaa.g_02051	Syaq.g_01772
OG0000109	Syaa.g_02036	Syaq.g_01788
OG0000110	Syaa.g_01918	Syaq.g_01962
OG0000111	Syaa.g_00888	Syaq.g_02606
OG0000112	Syaa.g_01366	Syaq.g_02476
OG0000114	Syaa.g_01094	Syaq.g_02269
OG0000115	Syaa.g_01795	Syaq.g_00395
OG0000116	Syaa.g_00757	Syaq.g_00263
OG0000117	Syaa.g_01009	Syaq.g_00203
OG0000118	Syaa.g_01874	Syaq.g_00325, Syaq.g_00316
OG0000120	Syaa.g_00201	Syaq.g_00883
OG0000121	Syaa.g_01777	Syaq.g_00375
OG0000122	Syaa.g_01598	Syaq.g_02118
OG0000123	Syaa.g_02242	Syaq.g_00599
OG0000124	Syaa.g_00092	Syaq.g_01055
OG0000125	Syaa.g_02598	Syaq.g_01256
OG0000126	Syaa.g_02752	Syaq.g_01156
OG0000128	Syaa.g_00012	Syaq.g_01138
OG0000129	Syaa.g_02586	Syaq.g_01269
OG0000130	Syaa.g_00354	Syaq.g_01559
OG0000131	Syaa.g_02448	Syaq.g_01427, Syaq.g_01424
OG0000132	Syaa.g_02472	Syaq.g_01404
OG0000133	Syaa.g_01361	Syaq.g_02481
OG0000134	Syaa.g_02146	Syaq.g_00526
OG0000135	Syaa.g_02649	Syaq.g_01227
OG0000136	Syaa.g_00708	Syaq.g_00496
OG0000137	Syaa.g_01842	Syaq.g_00442
OG0000138	Syaa.g_02035	Syaq.g_01789
OG0000139	Syaa.g_01974	Syaq.g_01844
OG0000140	Syaa.g_01971	Syaq.g_01848
OG0000141	Syaa.g_01689	Syaq.g_02010
OG0000142	Syaa.g_01633	Syaq.g_02082
OG0000143	Syaa.g_01629	Syaq.g_02086
OG0000144	Syaa.g_01446	Syaq.g_02152
OG0000145	Syaa.g_02029	Syaq.g_01796
OG0000146	Syaa.g_01367	Syaq.g_02475
OG0000147	Syaa.g_01368	Syaq.g_02474
OG0000148	Syaa.g_01190	Syaq.g_02359
OG0000149	Syaa.g_00826	Syaq.g_02395
OG0000150	Syaa.g_01688	Syaq.g_02011
OG0000151	Syaa.g_01107	Syaq.g_02283
OG0000152	Syaa.g_01357	Syaq.g_02485
OG0000153	Syaa.g_01324	Syaq.g_02518
OG0000154	Syaa.g_01298	Syaq.g_00066
OG0000155	Syaa.g_00804	Syaq.g_00212
OG0000156	Syaa.g_00751	Syaq.g_00281
OG0000157	Syaa.g_00750	Syaq.g_00282
OG0000158	Syaa.g_00148	Syaq.g_01003
OG0000160	Syaa.g_01776	Syaq.g_00374
OG0000161	Syaa.g_01782	Syaq.g_00382
OG0000162	Syaa.g_01788	Syaq.g_00389
OG0000163	Syaa.g_00624	Syaq.g_01730
OG0000164	Syaa.g_00507	Syaq.g_01642
OG0000165	Syaa.g_00681	Syaq.g_01630
OG0000166	Syaa.g_02289	Syaq.g_00647
OG0000167	Syaa.g_00160	Syaq.g_00983
OG0000168	Syaa.g_00145	Syaq.g_01004
OG0000169	Syaa.g_00134	Syaq.g_01016
OG0000170	Syaa.g_00128	Syaq.g_01023
OG0000171	Syaa.g_00093	Syaq.g_01052
OG0000172	Syaa.g_00079	Syaq.g_01074
OG0000173	Syaa.g_00060	Syaq.g_01092
OG0000174	Syaa.g_02651	Syaq.g_01224
OG0000175	Syaa.g_02726	Syaq.g_01183
OG0000176	Syaa.g_00004	Syaq.g_01146
OG0000177	Syaa.g_00005	Syaq.g_01145
OG0000178	Syaa.g_00006	Syaq.g_01144
OG0000179	Syaa.g_00023	Syaq.g_01129
OG0000180	Syaa.g_00024	Syaq.g_01128
OG0000181	Syaa.g_00025	Syaq.g_01127
OG0000182	Syaa.g_00026	Syaq.g_01126
OG0000183	Syaa.g_00030	Syaq.g_01122
OG0000184	Syaa.g_02578	Syaq.g_01277
