Orthogroup	Syaa	Syas
OG0000001	Syaa.g_02439	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000004	Syaa.g_00892	Syas.g_00176
OG0000004	Syaa.g_01667	Syas.g_00174, Syas.g_00311
OG0000004	Syaa.g_02116	Syas.g_00072
OG0000005	Syaa.g_00534	Syas.g_02665
OG0000005	Syaa.g_00573	Syas.g_02704
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Syas.g_01684, Syas.g_02565
OG0000007	Syaa.g_02032	Syas.g_01232
OG0000007	Syaa.g_00551	Syas.g_02681
OG0000008	Syaa.g_00918	Syas.g_00886
OG0000008	Syaa.g_00919	Syas.g_00887
OG0000009	Syaa.g_02378	Syas.g_01450
OG0000010	Syaa.g_01843	Syas.g_01334
OG0000012	Syaa.g_02304	Syas.g_00111, Syas.g_00827
OG0000014	Syaa.g_00222	Syas.g_01816
OG0000015	Syaa.g_02739	Syas.g_02007
OG0000016	Syaa.g_00014	Syas.g_02048
OG0000016	Syaa.g_00981	Syas.g_01086
OG0000017	Syaa.g_01883	Syas.g_00856
OG0000018	Syaa.g_01801	Syas.g_01290
OG0000019	Syaa.g_00307	Syas.g_01696
OG0000022	Syaa.g_01571	Syas.g_02758
OG0000025	Syaa.g_00839	Syas.g_00231
OG0000026	Syaa.g_00038	Syas.g_02070
OG0000027	Syaa.g_01605, Syaa.g_00854	Syas.g_01480
OG0000028	Syaa.g_00205	Syas.g_01793
OG0000030	Syaa.g_00099	Syas.g_01644
OG0000030	Syaa.g_00098	Syas.g_01645
OG0000031	Syaa.g_00200	Syas.g_01827
OG0000033	Syaa.g_02478, Syaa.g_00485	Syas.g_02328
OG0000034	Syaa.g_00722, Syaa.g_02444	Syas.g_02371, Syas.g_02838
OG0000035	Syaa.g_01773	Syas.g_02814, Syas.g_02818
OG0000037	Syaa.g_02384	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Syaa.g_02596	Syas.g_01885
OG0000040	Syaa.g_01606	Syas.g_02028
OG0000040	Syaa.g_02690	Syas.g_01972
OG0000042	Syaa.g_00103	Syas.g_01121, Syas.g_02147
OG0000044	Syaa.g_00363	Syas.g_00894, Syas.g_02453
OG0000046	Syaa.g_02218	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Syaa.g_00275, Syaa.g_02719	Syas.g_01734
OG0000051	Syaa.g_01531	Syas.g_01445
OG0000053	Syaa.g_01797	Syas.g_01287
OG0000054	Syaa.g_01502	Syas.g_00961, Syas.g_00957
OG0000055	Syaa.g_01564	Syas.g_00203
OG0000057	Syaa.g_01466	Syas.g_01055
OG0000059	Syaa.g_02315	Syas.g_01639
OG0000060	Syaa.g_01007	Syas.g_00975
OG0000061	Syaa.g_00770	Syas.g_01184
OG0000062	Syaa.g_00571	Syas.g_02702
OG0000063	Syaa.g_00042	Syas.g_02074
OG0000064	Syaa.g_02666	Syas.g_02423
OG0000064	Syaa.g_01568	Syas.g_00946
OG0000066	Syaa.g_01968	Syas.g_00094
OG0000067	Syaa.g_01154	Syas.g_00596, Syas.g_00352, Syas.g_02346
OG0000068	Syaa.g_02059	Syas.g_00969, Syas.g_01261
OG0000069	Syaa.g_01497	Syas.g_00876
OG0000070	Syaa.g_00718	Syas.g_00173
OG0000072	Syaa.g_02480	Syas.g_02326
OG0000073	Syaa.g_02030	Syas.g_01230
OG0000075	Syaa.g_00157	Syas.g_01921, Syas.g_02194
OG0000076	Syaa.g_00123	Syas.g_02156
OG0000078	Syaa.g_02103	Syas.g_02561
OG0000079	Syaa.g_00303	Syas.g_01699
