Orthogroup	Syaa	Prao
OG0000001	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436, Syaa.g_02439, Syaa.g_02329	Prao.g_01254
OG0000004	Syaa.g_00892	Prao.g_00133
OG0000004	Syaa.g_01667, Syaa.g_02116	Prao.g_00370
OG0000005	Syaa.g_00534	Prao.g_01565
OG0000005	Syaa.g_00573	Prao.g_01472
OG0000006	Syaa.g_01611, Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Prao.g_00379
OG0000007	Syaa.g_02032	Prao.g_00603
OG0000007	Syaa.g_00551	Prao.g_01552
OG0000010	Syaa.g_01843	Prao.g_00985
OG0000012	Syaa.g_01660, Syaa.g_02304	Prao.g_00062
OG0000013	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217	Prao.g_00463
OG0000014	Syaa.g_00222, Syaa.g_00481	Prao.g_01213
OG0000015	Syaa.g_02739, Syaa.g_01079, Syaa.g_01989	Prao.g_00703
OG0000016	Syaa.g_00014	Prao.g_00160
OG0000017	Syaa.g_01890, Syaa.g_01883	Prao.g_00036
OG0000018	Syaa.g_01801	Prao.g_01108
OG0000019	Syaa.g_00307	Prao.g_00387, Prao.g_00720
OG0000021	Syaa.g_02627	Prao.g_01346, Prao.g_00500
OG0000022	Syaa.g_01571	Prao.g_01126
OG0000023	Syaa.g_01529, Syaa.g_01216	Prao.g_00494
OG0000024	Syaa.g_00922	Prao.g_00683, Prao.g_00114
OG0000025	Syaa.g_00839	Prao.g_00467, Prao.g_00776
OG0000026	Syaa.g_00038	Prao.g_00177, Prao.g_00992
OG0000027	Syaa.g_01605, Syaa.g_00854	Prao.g_00576, Prao.g_01293
OG0000028	Syaa.g_00205	Prao.g_01348, Prao.g_00456
OG0000029	Syaa.g_01578	Prao.g_00690, Prao.g_00510
OG0000030	Syaa.g_00099, Syaa.g_00098	Prao.g_01753
OG0000031	Syaa.g_00480	Prao.g_01364
OG0000034	Syaa.g_00722, Syaa.g_02444	Prao.g_01266
OG0000035	Syaa.g_01773	Prao.g_01397
OG0000037	Syaa.g_02384	Prao.g_00247
OG0000038	Syaa.g_02596	Prao.g_01794
OG0000039	Syaa.g_00846	Prao.g_00124
OG0000040	Syaa.g_01606	Prao.g_01531
OG0000040	Syaa.g_02690	Prao.g_01109
OG0000041	Syaa.g_00660, Syaa.g_00869	Prao.g_01598
OG0000042	Syaa.g_00103	Prao.g_01750
OG0000045	Syaa.g_01560	Prao.g_00506
OG0000047	Syaa.g_02189	Prao.g_00466
OG0000048	Syaa.g_00275, Syaa.g_02719	Prao.g_00509
OG0000050	Syaa.g_01213, Syaa.g_01712	Prao.g_01012
OG0000051	Syaa.g_01531	Prao.g_01304
OG0000052	Syaa.g_00461	Prao.g_01358
OG0000053	Syaa.g_01797	Prao.g_01417
OG0000054	Syaa.g_01691, Syaa.g_01502	Prao.g_00044
OG0000055	Syaa.g_01564, Syaa.g_00852	Prao.g_00721
OG0000057	Syaa.g_01466, Syaa.g_00889	Prao.g_00136
OG0000059	Syaa.g_02315	Prao.g_01639
OG0000061	Syaa.g_00770	Prao.g_01089
OG0000062	Syaa.g_00571	Prao.g_01474
OG0000063	Syaa.g_00042	Prao.g_00179
OG0000065	Syaa.g_02380	Prao.g_00245
OG0000067	Syaa.g_01154	Prao.g_00741
OG0000068	Syaa.g_02059	Prao.g_01239
OG0000069	Syaa.g_01497, Syaa.g_01256	Prao.g_01508
OG0000070	Syaa.g_00718	Prao.g_00554
OG0000071	Syaa.g_00735	Prao.g_01276
OG0000072	Syaa.g_02480	Prao.g_00309
OG0000073	Syaa.g_02030	Prao.g_00605
OG0000074	Syaa.g_00372	Prao.g_00120
OG0000075	Syaa.g_00157	Prao.g_01719
OG0000076	Syaa.g_00123	Prao.g_01743
OG0000077	Syaa.g_00341	Prao.g_00217
OG0000078	Syaa.g_02103	Prao.g_00377
OG0000079	Syaa.g_00303	Prao.g_00390
OG0000081	Syaa.g_02089, Syaa.g_01694	Prao.g_01860
OG0000082	Syaa.g_01905	Prao.g_00024
OG0000084	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770	Prao.g_01393
OG0000085	Syaa.g_00564	Prao.g_01545
OG0000086	Syaa.g_00324	Prao.g_00227
OG0000087	Syaa.g_02433	Prao.g_00277
OG0000088	Syaa.g_02474	Prao.g_00304
OG0000089	Syaa.g_02149	Prao.g_00490
OG0000090	Syaa.g_01980	Prao.g_01858
OG0000091	Syaa.g_01625	Prao.g_00081
OG0000093	Syaa.g_01139	Prao.g_00870
OG0000094	Syaa.g_01288	Prao.g_00955
OG0000095	Syaa.g_00879	Prao.g_00974
OG0000097	Syaa.g_00979	Prao.g_01048
OG0000098	Syaa.g_01970	Prao.g_01257
OG0000099	Syaa.g_00202	Prao.g_01214
OG0000100	Syaa.g_01201	Prao.g_01470
OG0000101	Syaa.g_02249	Prao.g_01687
OG0000102	Syaa.g_00118	Prao.g_01748
OG0000103	Syaa.g_02740	Prao.g_01828
OG0000104	Syaa.g_02754	Prao.g_01837
OG0000105	Syaa.g_00270	Prao.g_01378
OG0000106	Syaa.g_01439	Prao.g_00505
OG0000107	Syaa.g_02351	Prao.g_00518
OG0000108	Syaa.g_02051	Prao.g_00586
OG0000109	Syaa.g_02036	Prao.g_00600
OG0000110	Syaa.g_01918	Prao.g_01867
OG0000111	Syaa.g_00888	Prao.g_00137
OG0000112	Syaa.g_01366	Prao.g_00704
OG0000113	Syaa.g_01196	Prao.g_00763
OG0000114	Syaa.g_01094	Prao.g_00845
OG0000115	Syaa.g_01795	Prao.g_01150
OG0000116	Syaa.g_00757	Prao.g_01099
OG0000117	Syaa.g_01009	Prao.g_01332
OG0000118	Syaa.g_01874	Prao.g_01264
OG0000119	Syaa.g_00785	Prao.g_01243
OG0000120	Syaa.g_00201	Prao.g_01215
OG0000121	Syaa.g_01777	Prao.g_01399
OG0000122	Syaa.g_01598	Prao.g_01436
OG0000123	Syaa.g_02242	Prao.g_01694
OG0000124	Syaa.g_00092	Prao.g_01759
OG0000125	Syaa.g_02598	Prao.g_01796
OG0000126	Syaa.g_02752	Prao.g_01836
OG0000128	Syaa.g_00012	Prao.g_00158
OG0000129	Syaa.g_02586	Prao.g_00190
OG0000130	Syaa.g_00354	Prao.g_00208
OG0000131	Syaa.g_02448	Prao.g_00283
OG0000132	Syaa.g_02472	Prao.g_00302
OG0000133	Syaa.g_01361	Prao.g_00458
OG0000134	Syaa.g_02146	Prao.g_00491
OG0000135	Syaa.g_02649	Prao.g_00516
OG0000136	Syaa.g_00708	Prao.g_00545
OG0000137	Syaa.g_01842	Prao.g_00581
OG0000138	Syaa.g_02035	Prao.g_00601
OG0000139	Syaa.g_01974	Prao.g_01854
OG0000140	Syaa.g_01971	Prao.g_01853
OG0000141	Syaa.g_01689	Prao.g_00045
OG0000142	Syaa.g_01633	Prao.g_00074
OG0000143	Syaa.g_01629	Prao.g_00078
OG0000144	Syaa.g_01446	Prao.g_00091
OG0000145	Syaa.g_02029	Prao.g_00701
OG0000146	Syaa.g_01367	Prao.g_00705
OG0000147	Syaa.g_01368	Prao.g_00706
OG0000148	Syaa.g_01190	Prao.g_00757
OG0000149	Syaa.g_00826	Prao.g_00788
OG0000150	Syaa.g_01688	Prao.g_00796
OG0000151	Syaa.g_01107	Prao.g_00855
OG0000152	Syaa.g_01357	Prao.g_00902
OG0000153	Syaa.g_01324	Prao.g_00921
OG0000154	Syaa.g_01298	Prao.g_00948
OG0000155	Syaa.g_00804	Prao.g_01069
OG0000156	Syaa.g_00751	Prao.g_01287
OG0000157	Syaa.g_00750	Prao.g_01286
OG0000158	Syaa.g_00148	Prao.g_01220
OG0000160	Syaa.g_01776	Prao.g_01398
OG0000161	Syaa.g_01782	Prao.g_01404
OG0000162	Syaa.g_01788	Prao.g_01410
OG0000163	Syaa.g_00624	Prao.g_01443
OG0000164	Syaa.g_00507	Prao.g_01576
OG0000165	Syaa.g_00681	Prao.g_01583
OG0000166	Syaa.g_02289	Prao.g_01651
OG0000167	Syaa.g_00160	Prao.g_01717
OG0000168	Syaa.g_00145	Prao.g_01727
OG0000169	Syaa.g_00134	Prao.g_01737
OG0000170	Syaa.g_00128	Prao.g_01739
OG0000171	Syaa.g_00093	Prao.g_01758
OG0000172	Syaa.g_00079	Prao.g_01767
OG0000173	Syaa.g_00060	Prao.g_01782
OG0000174	Syaa.g_02651	Prao.g_01810
OG0000175	Syaa.g_02726	Prao.g_01820
OG0000176	Syaa.g_00004	Prao.g_01845
OG0000177	Syaa.g_00005	Prao.g_01846
OG0000178	Syaa.g_00006	Prao.g_01847
OG0000179	Syaa.g_00023	Prao.g_00163
OG0000180	Syaa.g_00024	Prao.g_00164
OG0000181	Syaa.g_00025	Prao.g_00165
OG0000182	Syaa.g_00026	Prao.g_00166
OG0000183	Syaa.g_00030	Prao.g_00170
OG0000184	Syaa.g_02578	Prao.g_00192
OG0000185	Syaa.g_02575	Prao.g_00195
OG0000186	Syaa.g_00359	Prao.g_00203
OG0000187	Syaa.g_00358	Prao.g_00204
OG0000188	Syaa.g_00334	Prao.g_00221
OG0000189	Syaa.g_02367	Prao.g_00235
OG0000190	Syaa.g_02369	Prao.g_00236
OG0000191	Syaa.g_02404	Prao.g_00256
OG0000192	Syaa.g_02410	Prao.g_00260
OG0000193	Syaa.g_02449	Prao.g_00284
OG0000194	Syaa.g_02452	Prao.g_00287
OG0000195	Syaa.g_02459	Prao.g_00289
OG0000196	Syaa.g_02469	Prao.g_00299
OG0000197	Syaa.g_02470	Prao.g_00300
OG0000198	Syaa.g_02471	Prao.g_00301
OG0000199	Syaa.g_02479	Prao.g_00308
OG0000200	Syaa.g_02496	Prao.g_00322
OG0000201	Syaa.g_02521	Prao.g_00330
OG0000202	Syaa.g_02522	Prao.g_00331
OG0000203	Syaa.g_02523	Prao.g_00332
OG0000204	Syaa.g_02524	Prao.g_00333
OG0000205	Syaa.g_02531	Prao.g_00340
OG0000206	Syaa.g_02538	Prao.g_00345
OG0000207	Syaa.g_02540	Prao.g_00347
OG0000208	Syaa.g_02541	Prao.g_00348
OG0000209	Syaa.g_02556	Prao.g_00357
OG0000210	Syaa.g_02557	Prao.g_00358
OG0000211	Syaa.g_02113	Prao.g_00371
OG0000212	Syaa.g_02102	Prao.g_00378
OG0000213	Syaa.g_00295	Prao.g_00395
OG0000214	Syaa.g_00279	Prao.g_00405
OG0000215	Syaa.g_00248	Prao.g_00429
OG0000216	Syaa.g_00244	Prao.g_00431
OG0000217	Syaa.g_00240	Prao.g_00434
OG0000218	Syaa.g_00238	Prao.g_00436
OG0000219	Syaa.g_00237	Prao.g_00437
OG0000220	Syaa.g_00236	Prao.g_00438
OG0000221	Syaa.g_00229	Prao.g_00439
OG0000222	Syaa.g_00215	Prao.g_00446
OG0000223	Syaa.g_00192	Prao.g_00459
OG0000224	Syaa.g_00183	Prao.g_00461
OG0000225	Syaa.g_02166	Prao.g_00480
OG0000226	Syaa.g_02162	Prao.g_00484
OG0000227	Syaa.g_02160	Prao.g_00486
OG0000228	Syaa.g_02150	Prao.g_00489
OG0000229	Syaa.g_00703	Prao.g_00540
OG0000230	Syaa.g_00705	Prao.g_00542
OG0000231	Syaa.g_00717	Prao.g_00553
OG0000232	Syaa.g_01858	Prao.g_00564
OG0000233	Syaa.g_01853	Prao.g_00569
OG0000234	Syaa.g_01841	Prao.g_00582
OG0000235	Syaa.g_02052	Prao.g_00585
OG0000236	Syaa.g_02037	Prao.g_00599
OG0000237	Syaa.g_02020	Prao.g_00612
OG0000238	Syaa.g_02015	Prao.g_00618
OG0000239	Syaa.g_01996	Prao.g_00631
OG0000240	Syaa.g_01995	Prao.g_00632
OG0000241	Syaa.g_01644	Prao.g_01861
OG0000242	Syaa.g_01982	Prao.g_01859
OG0000243	Syaa.g_01960	Prao.g_01162
OG0000244	Syaa.g_01954	Prao.g_01165
OG0000245	Syaa.g_01952	Prao.g_01167
OG0000246	Syaa.g_01948	Prao.g_01171
OG0000247	Syaa.g_01937	Prao.g_01181
OG0000248	Syaa.g_01934	Prao.g_01183
OG0000249	Syaa.g_01932	Prao.g_01185
OG0000250	Syaa.g_01922	Prao.g_01864
OG0000251	Syaa.g_01897	Prao.g_00029
OG0000252	Syaa.g_01894	Prao.g_00032
OG0000253	Syaa.g_01893	Prao.g_00033
OG0000254	Syaa.g_01684	Prao.g_00049
OG0000255	Syaa.g_01668	Prao.g_00055
OG0000256	Syaa.g_01651	Prao.g_00066
OG0000257	Syaa.g_01645	Prao.g_00069
OG0000258	Syaa.g_01624	Prao.g_00082
OG0000259	Syaa.g_01063	Prao.g_00099
OG0000260	Syaa.g_01066	Prao.g_00102
OG0000261	Syaa.g_01069	Prao.g_00104
OG0000262	Syaa.g_01074	Prao.g_00108
OG0000263	Syaa.g_00989	Prao.g_00119
OG0000264	Syaa.g_00910	Prao.g_00129
OG0000265	Syaa.g_00931, Syaa.g_01498	Prao.g_00648
OG0000266	Syaa.g_01257, Syaa.g_01258	Prao.g_00658
OG0000267	Syaa.g_01409	Prao.g_00669
OG0000268	Syaa.g_01408	Prao.g_00670
OG0000269	Syaa.g_01149	Prao.g_00736
OG0000270	Syaa.g_01152	Prao.g_00739
OG0000271	Syaa.g_01160	Prao.g_00747
OG0000272	Syaa.g_01161	Prao.g_00748
OG0000273	Syaa.g_00844	Prao.g_00771
OG0000274	Syaa.g_00843	Prao.g_00772
OG0000275	Syaa.g_00840	Prao.g_00775
OG0000276	Syaa.g_00834	Prao.g_00780
OG0000277	Syaa.g_00833	Prao.g_00781
OG0000278	Syaa.g_00830	Prao.g_00784
OG0000279	Syaa.g_00822	Prao.g_00791
OG0000280	Syaa.g_00815	Prao.g_00792
OG0000282	Syaa.g_01096	Prao.g_00847
OG0000283	Syaa.g_01396	Prao.g_00879
OG0000284	Syaa.g_01390	Prao.g_00884
OG0000285	Syaa.g_01377	Prao.g_00889
OG0000286	Syaa.g_01358	Prao.g_00901
OG0000287	Syaa.g_01330	Prao.g_00918
OG0000288	Syaa.g_01299	Prao.g_00947
OG0000289	Syaa.g_01285	Prao.g_00958
OG0000290	Syaa.g_00875	Prao.g_00971
OG0000291	Syaa.g_00877	Prao.g_00973
OG0000292	Syaa.g_02751	Prao.g_01025
OG0000293	Syaa.g_00758	Prao.g_01098
OG0000294	Syaa.g_00759	Prao.g_01097
OG0000295	Syaa.g_00796	Prao.g_01077
OG0000296	Syaa.g_00798	Prao.g_01075
OG0000297	Syaa.g_01021	Prao.g_01067
OG0000298	Syaa.g_01010	Prao.g_01066
OG0000299	Syaa.g_00982	Prao.g_01049
OG0000300	Syaa.g_00976	Prao.g_01046
OG0000301	Syaa.g_00975	Prao.g_01045
OG0000302	Syaa.g_00972	Prao.g_01043
OG0000303	Syaa.g_00963	Prao.g_01036
OG0000304	Syaa.g_00957	Prao.g_01032
OG0000305	Syaa.g_00881	Prao.g_01247
OG0000306	Syaa.g_00807	Prao.g_01244
OG0000307	Syaa.g_02068	Prao.g_01230
OG0000308	Syaa.g_02070	Prao.g_01229
OG0000309	Syaa.g_02075	Prao.g_01225
OG0000310	Syaa.g_01752	Prao.g_01382
OG0000311	Syaa.g_01757	Prao.g_01384
OG0000312	Syaa.g_01762	Prao.g_01387
OG0000313	Syaa.g_01779	Prao.g_01401
OG0000314	Syaa.g_01806	Prao.g_01423
OG0000315	Syaa.g_01816	Prao.g_01433
OG0000316	Syaa.g_00598	Prao.g_01453
OG0000317	Syaa.g_00556	Prao.g_01550
OG0000318	Syaa.g_00550	Prao.g_01553
OG0000319	Syaa.g_00532	Prao.g_01566
OG0000320	Syaa.g_00530	Prao.g_01568
OG0000321	Syaa.g_00529	Prao.g_01569
OG0000322	Syaa.g_00528	Prao.g_01570
OG0000323	Syaa.g_00496	Prao.g_01579
OG0000324	Syaa.g_00653	Prao.g_01605
OG0000325	Syaa.g_02350	Prao.g_01616
OG0000326	Syaa.g_02343	Prao.g_01622
OG0000327	Syaa.g_02294	Prao.g_01646
OG0000328	Syaa.g_02293	Prao.g_01647
OG0000329	Syaa.g_02275	Prao.g_01664
OG0000330	Syaa.g_02274	Prao.g_01665
OG0000331	Syaa.g_02273	Prao.g_01666
OG0000332	Syaa.g_02258	Prao.g_01680
OG0000333	Syaa.g_02255	Prao.g_01682
OG0000334	Syaa.g_02246	Prao.g_01690
OG0000335	Syaa.g_02241	Prao.g_01695
OG0000336	Syaa.g_02237	Prao.g_01699
OG0000337	Syaa.g_00167	Prao.g_01715
OG0000338	Syaa.g_00162	Prao.g_01716
OG0000339	Syaa.g_00156	Prao.g_01720
OG0000340	Syaa.g_00144	Prao.g_01728
OG0000341	Syaa.g_00142	Prao.g_01730
OG0000342	Syaa.g_00141	Prao.g_01731
OG0000343	Syaa.g_00140	Prao.g_01732
OG0000344	Syaa.g_00136	Prao.g_01735
OG0000345	Syaa.g_00127	Prao.g_01740
OG0000346	Syaa.g_00122	Prao.g_01744
OG0000347	Syaa.g_00088	Prao.g_01760
OG0000348	Syaa.g_00071	Prao.g_01770
