Orthogroup	Prar	Syae
OG0000001	Prar.g_00926	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055
OG0000004	Prar.g_01525	Syae.g_00779
OG0000004	Prar.g_00095	Syae.g_00042, Syae.g_02231
OG0000005	Prar.g_01130	Syae.g_01179
OG0000005	Prar.g_00771	Syae.g_01143
OG0000006	Prar.g_00086	Syae.g_00096, Syae.g_02030, Syae.g_02248
OG0000007	Prar.g_01328	Syae.g_02328
OG0000007	Prar.g_01143	Syae.g_01163
OG0000008	Prar.g_01185	Syae.g_00753
OG0000009	Prar.g_00737	Syae.g_00561, Syae.g_00171
OG0000009	Prar.g_00223	Syae.g_00100, Syae.g_01361
OG0000010	Prar.g_01567, Prar.g_01912	Syae.g_02529
OG0000011	Prar.g_00978	Syae.g_00268
OG0000011	Prar.g_00988	Syae.g_00750
OG0000012	Prar.g_01453	Syae.g_00049, Syae.g_02397, Syae.g_02562
OG0000013	Prar.g_00260	Syae.g_02160, Syae.g_02169, Syae.g_02155
OG0000014	Prar.g_00281	Syae.g_01930
OG0000015	Prar.g_01179	Syae.g_01693, Syae.g_00590
OG0000016	Prar.g_00025	Syae.g_01726
OG0000017	Prar.g_01428	Syae.g_02462, Syae.g_02469
OG0000018	Prar.g_01282	Syae.g_02625
OG0000019	Prar.g_00078, Prar.g_01663	Syae.g_02015
OG0000021	Prar.g_00425	Syae.g_01261, Syae.g_00481
OG0000022	Prar.g_01300	Syae.g_00144
OG0000023	Prar.g_00420	Syae.g_00439, Syae.g_00930
OG0000025	Prar.g_00256, Prar.g_01718	Syae.g_00833
OG0000026	Prar.g_00007, Prar.g_01919	Syae.g_01748
OG0000027	Prar.g_00520	Syae.g_00103, Syae.g_00814
OG0000028	Prar.g_00985, Prar.g_00267	Syae.g_01916
OG0000029	Prar.g_00436	Syae.g_00136
OG0000030	Prar.g_00662	Syae.g_01817, Syae.g_01816
OG0000031	Prar.g_00879	Syae.g_01911
OG0000034	Prar.g_00945	Syae.g_00975, Syae.g_01424
OG0000035	Prar.g_00339	Syae.g_02653
OG0000037	Prar.g_00219	Syae.g_01367
OG0000038	Prar.g_00702	Syae.g_01571
OG0000039	Prar.g_01516	Syae.g_00822, Syae.g_02495
OG0000040	Prar.g_01283	Syae.g_01653
OG0000041	Prar.g_00602	Syae.g_01042, Syae.g_00802
OG0000042	Prar.g_00660	Syae.g_01821
OG0000044	Prar.g_01172	Syae.g_00098, Syae.g_01067
OG0000045	Prar.g_01583	Syae.g_00732
OG0000047	Prar.g_00257, Prar.g_00468	Syae.g_02184
OG0000048	Prar.g_00435	Syae.g_01982
OG0000050	Prar.g_01940	Syae.g_01023
OG0000053	Prar.g_00589, Prar.g_00827	Syae.g_02629
OG0000054	Prar.g_01436	Syae.g_00014, Syae.g_00221
OG0000055	Prar.g_01664	Syae.g_00817
OG0000057	Prar.g_01528	Syae.g_00782
OG0000059	Prar.g_01090	Syae.g_02074
OG0000061	Prar.g_01263	Syae.g_00921
OG0000062	Prar.g_00769	Syae.g_01145
OG0000063	Prar.g_00004, Prar.g_00005, Prar.g_01189	Syae.g_01752
OG0000065	Prar.g_00221	Syae.g_01363, Syae.g_00722
OG0000066	Prar.g_01369	Syae.g_02386
OG0000067	Prar.g_01684	Syae.g_00521
OG0000068	Prar.g_00911	Syae.g_02299
OG0000069	Prar.g_01170, Prar.g_00736	Syae.g_00458
OG0000070	Prar.g_00498	Syae.g_00979
OG0000071	Prar.g_00955	Syae.g_00961
OG0000072	Prar.g_00156	Syae.g_01455
OG0000073	Prar.g_01330	Syae.g_02330
OG0000074	Prar.g_01512	Syae.g_00719
OG0000075	Prar.g_00629	Syae.g_01871
OG0000076	Prar.g_00592, Prar.g_00653	Syae.g_01829
OG0000077	Prar.g_00250	Syae.g_01297
OG0000078	Prar.g_00088	Syae.g_02243
OG0000081	Prar.g_01361	Syae.g_02261
