Orthogroup	Prar	Prbc
OG0000000	Prar.g_00971	Prbc.g_02163, Prbc.g_00103
OG0000000	Prar.g_00713	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806
OG0000000	Prar.g_00729	Prbc.g_02165
OG0000000	Prar.g_00730, Prar.g_01204	Prbc.g_00525
OG0000001	Prar.g_00926	Prbc.g_00588
OG0000002	Prar.g_00918	Prbc.g_01920
OG0000002	Prar.g_01508	Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759
OG0000004	Prar.g_01525	Prbc.g_01381
OG0000004	Prar.g_00095	Prbc.g_00339
OG0000005	Prar.g_01130	Prbc.g_00098
OG0000005	Prar.g_00771	Prbc.g_00788
OG0000006	Prar.g_00086	Prbc.g_02202
OG0000007	Prar.g_01328	Prbc.g_01556
OG0000007	Prar.g_01143	Prbc.g_00832
OG0000008	Prar.g_01185	Prbc.g_00893
OG0000010	Prar.g_00524	Prbc.g_01533
OG0000010	Prar.g_01567, Prar.g_01912	Prbc.g_02115
OG0000011	Prar.g_00978	Prbc.g_00164
OG0000011	Prar.g_00988	Prbc.g_00136
OG0000012	Prar.g_01453	Prbc.g_02155
OG0000013	Prar.g_00260	Prbc.g_01219
OG0000014	Prar.g_00281	Prbc.g_01198
OG0000015	Prar.g_01179	Prbc.g_00599
OG0000016	Prar.g_00025	Prbc.g_01083
OG0000017	Prar.g_01428	Prbc.g_01674, Prbc.g_01681
OG0000018	Prar.g_01711	Prbc.g_01887
OG0000018	Prar.g_01282	Prbc.g_01468
OG0000019	Prar.g_01663	Prbc.g_01836
OG0000020	Prar.g_01187	Prbc.g_00054
OG0000020	Prar.g_01007, Prar.g_01155, Prar.g_01561	Prbc.g_00116
OG0000021	Prar.g_00425	Prbc.g_00924, Prbc.g_02189
OG0000022	Prar.g_01300	Prbc.g_01288
OG0000022	Prar.g_01649	Prbc.g_00166
OG0000023	Prar.g_00420	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Prar.g_01634	Prbc.g_00598
OG0000024	Prar.g_01505	Prbc.g_01755
OG0000025	Prar.g_00256	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Prar.g_00007, Prar.g_01919	Prbc.g_01101
OG0000027	Prar.g_00520	Prbc.g_00072
OG0000028	Prar.g_00985	Prbc.g_00653
OG0000030	Prar.g_00662	Prbc.g_00199
OG0000031	Prar.g_00879	Prbc.g_01228
OG0000033	Prar.g_00158	Prbc.g_00402
OG0000034	Prar.g_00945	Prbc.g_00575
OG0000035	Prar.g_00339	Prbc.g_00709
OG0000037	Prar.g_00219	Prbc.g_00464
OG0000038	Prar.g_00702	Prbc.g_00995
OG0000039	Prar.g_01516	Prbc.g_01768
OG0000040	Prar.g_00715	Prbc.g_00811
OG0000041	Prar.g_00602	Prbc.g_00877
OG0000042	Prar.g_00660	Prbc.g_00203
OG0000044	Prar.g_01172	Prbc.g_00533
OG0000047	Prar.g_00257	Prbc.g_01227
OG0000047	Prar.g_00468	Prbc.g_01273
OG0000048	Prar.g_00435	Prbc.g_01165
OG0000050	Prar.g_01940	Prbc.g_00513
OG0000053	Prar.g_00589, Prar.g_00827	Prbc.g_00728
OG0000054	Prar.g_01436	Prbc.g_01683
OG0000055	Prar.g_01664	Prbc.g_01822, Prbc.g_00907
OG0000056	Prar.g_00932	Prbc.g_00532, Prbc.g_00011, Prbc.g_01108
OG0000057	Prar.g_01528	Prbc.g_00055, Prbc.g_01780
OG0000058	Prar.g_00362	Prbc.g_01928
