Orthogroup	Prar	Prak
OG0000000	Prar.g_00713, Prar.g_00729	Prak.g_01562
OG0000001	Prar.g_00926	Prak.g_01302
OG0000002	Prar.g_00918	Prak.g_00908, Prak.g_00913
OG0000002	Prar.g_01508	Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805
OG0000004	Prar.g_01525	Prak.g_00826
OG0000004	Prar.g_00095	Prak.g_00248
OG0000005	Prar.g_00771	Prak.g_01474
OG0000006	Prar.g_00086	Prak.g_00258
OG0000007	Prar.g_01328	Prak.g_00458
OG0000007	Prar.g_01143	Prak.g_01645
OG0000008	Prar.g_01185	Prak.g_01544
OG0000010	Prar.g_00524	Prak.g_00435
OG0000010	Prar.g_01567, Prar.g_01912	Prak.g_00739, Prak.g_01034
OG0000012	Prar.g_01453	Prak.g_00584, Prak.g_01506
OG0000013	Prar.g_00260	Prak.g_00343
OG0000014	Prar.g_00281	Prak.g_00325
OG0000015	Prar.g_01179	Prak.g_01584, Prak.g_01630
OG0000016	Prar.g_00025	Prak.g_00013
OG0000017	Prar.g_01428	Prak.g_00559, Prak.g_00566
OG0000018	Prar.g_01711	Prak.g_00873
OG0000018	Prar.g_01282	Prak.g_01194
OG0000019	Prar.g_00078	Prak.g_00266
OG0000019	Prar.g_01663	Prak.g_01196
OG0000020	Prar.g_01007, Prar.g_01155, Prar.g_01561	Prak.g_01527
OG0000021	Prar.g_00425	Prak.g_01499, Prak.g_00831
OG0000022	Prar.g_01649	Prak.g_01482
OG0000023	Prar.g_00420	Prak.g_00721
OG0000024	Prar.g_01634	Prak.g_01038
OG0000024	Prar.g_01505	Prak.g_00802
OG0000025	Prar.g_00256, Prar.g_01718	Prak.g_00881
OG0000026	Prar.g_00007, Prar.g_01919	Prak.g_00032
OG0000027	Prar.g_00520	Prak.g_01521, Prak.g_01564
OG0000028	Prar.g_00985	Prak.g_01543
OG0000029	Prar.g_00436	Prak.g_01735
OG0000030	Prar.g_00662	Prak.g_01853
OG0000031	Prar.g_00879	Prak.g_01350
OG0000034	Prar.g_00945	Prak.g_01288
OG0000035	Prar.g_00339	Prak.g_01391
OG0000037	Prar.g_00219	Prak.g_00115
OG0000038	Prar.g_00702	Prak.g_01893
OG0000039	Prar.g_01516	Prak.g_00814
OG0000041	Prar.g_00602	Prak.g_01692
OG0000042	Prar.g_00660	Prak.g_01850
OG0000043	Prar.g_01755	Prak.g_01193
OG0000047	Prar.g_00468	Prak.g_00385
OG0000048	Prar.g_00435	Prak.g_01264, Prak.g_00289
OG0000053	Prar.g_00589, Prar.g_00827	Prak.g_01412, Prak.g_01590
OG0000054	Prar.g_01436	Prak.g_00568
OG0000055	Prar.g_01664	Prak.g_01221, Prak.g_01619
OG0000057	Prar.g_01528	Prak.g_00829
OG0000058	Prar.g_00870, Prar.g_00362	Prak.g_01351
OG0000059	Prar.g_01090	Prak.g_01732
OG0000061	Prar.g_01263	Prak.g_01172
OG0000062	Prar.g_00769	Prak.g_01476
OG0000063	Prar.g_01189	Prak.g_01530
OG0000065	Prar.g_00221	Prak.g_00113
OG0000066	Prar.g_01369	Prak.g_00498, Prak.g_01557
OG0000067	Prar.g_01684	Prak.g_00845
OG0000068	Prar.g_00911	Prak.g_01329
OG0000069	Prar.g_01170, Prar.g_00736	Prak.g_00416
OG0000070	Prar.g_00498	Prak.g_00412
OG0000071	Prar.g_00955	Prak.g_01277
OG0000072	Prar.g_00156	Prak.g_00183
OG0000073	Prar.g_01330	Prak.g_00461
OG0000074	Prar.g_01512	Prak.g_00809, Prak.g_00750, Prak.g_00713
OG0000075	Prar.g_00629	Prak.g_01816
OG0000076	Prar.g_00592, Prar.g_00653	Prak.g_01842
OG0000077	Prar.g_00250	Prak.g_00083
OG0000078	Prar.g_00088	Prak.g_00256
OG0000081	Prar.g_01361	Prak.g_00490
OG0000082	Prar.g_01414	Prak.g_00546, Prak.g_01634
OG0000084	Prar.g_00343	Prak.g_01388
OG0000085	Prar.g_01150	Prak.g_01516, Prak.g_01637
